YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,99.86,564232.0,99.86,99.24,101.45,101.36,
2017-01-04,101.79,495957.0,101.79,99.83,102.39,100.3,
2017-01-05,90.56,5625526.0,90.56,90.37,99.87,99.0,
2017-01-06,95.68,3067468.0,95.68,91.62,95.77,91.9,
2017-01-09,95.82,1369281.0,95.82,94.77,97.54,97.13,
2017-01-10,97.62,1655669.0,97.62,95.76,98.43,95.76,
2017-01-11,98.96,1159359.0,98.96,96.83,100.14,97.08,
2017-01-12,99.84,926246.0,99.84,98.08,100.0,98.52,
2017-01-13,101.94,986046.0,101.94,100.02,102.18,100.29,
2017-01-17,99.41,911264.0,99.41,99.01,102.13,102.13,
2017-01-18,99.68,674200.0,99.68,98.98,100.6,99.83,
2017-01-19,99.01,384091.0,99.01,98.62,99.79,99.42,
2017-01-20,99.44,353329.0,99.44,99.05,100.25,99.33,
2017-01-23,100.37,491317.0,100.37,98.96,100.54,99.31,
2017-01-24,100.95,350437.0,100.95,100.44,101.35,100.44,
2017-01-25,101.18,321781.0,101.18,100.38,101.83,101.27,
2017-01-26,101.52,522285.0,101.52,100.49,101.8,100.81,
2017-01-27,100.56,451865.0,100.56,100.07,101.67,101.67,
2017-01-30,99.82,601717.0,99.82,98.495,100.51,100.46,
2017-01-31,99.36,1220434.0,99.36,98.59,99.96,99.57,
2017-02-01,98.81,639755.0,98.81,97.83,100.47,100.14,
2017-02-02,99.15,1661076.0,99.15,95.4,100.28,97.06,
2017-02-03,99.6,567198.0,99.6,98.64,100.64,100.26,
2017-02-06,99.07,480147.0,99.07,98.48,99.89,99.59,
2017-02-07,98.68,493284.0,98.68,98.21,99.8,99.02,
2017-02-08,98.85,367921.0,98.85,97.96,99.26,98.94,
2017-02-09,100.27,325245.0,100.27,98.08,100.79,98.95,
2017-02-10,101.02,314364.0,101.02,100.43,101.69,100.75,
2017-02-13,101.42,384254.0,101.42,100.7722,102.0,101.46,
2017-02-14,101.25,394785.0,101.25,100.33,101.81,100.41,
2017-02-15,102.84,652859.0,102.84,100.36,102.87,100.51,
2017-02-16,103.43,1070976.0,103.43,102.785,104.09,103.0,
2017-02-17,103.13,796878.0,103.13,102.11,103.28,102.41,
2017-02-21,103.38,376348.0,103.38,102.275,103.745,102.92,
2017-02-22,102.46,439081.0,102.46,102.1,103.65,103.08,
2017-02-23,102.54,309198.0,102.54,101.68,103.26,102.28,
2017-02-24,103.71,328004.0,103.71,101.2,103.73,101.68,
2017-02-27,104.55,380417.0,104.55,102.94,104.55,103.74,
2017-02-28,103.21,457095.0,103.21,103.15,104.71,104.5,
2017-03-01,104.2,555517.0,104.2,103.8,104.97,104.24,
2017-03-02,104.04,456696.0,104.04,103.17,104.26,103.85,
2017-03-03,103.41,364239.0,103.41,102.9,103.91,103.46,
2017-03-06,103.11,352361.0,103.11,101.86,103.4,102.71,
2017-03-07,103.46,519201.0,103.46,102.35,104.12,103.45,
2017-03-08,104.3,385877.0,104.3,102.91,104.58,103.12,
2017-03-09,104.58,383810.0,104.58,103.37,104.8,104.05,
2017-03-10,105.95,520010.0,105.95,104.86,106.12,105.0,
2017-03-13,109.18,900382.0,109.18,107.995,109.99,108.8,
2017-03-14,109.07,588885.0,109.07,108.46,109.93,108.97,
2017-03-15,111.93,1031383.0,111.93,109.36,112.04,109.49,
2017-03-16,111.49,569777.0,111.49,110.96,112.39,111.73,
2017-03-17,111.47,702980.0,111.47,111.4,112.42,111.4,
2017-03-20,111.33,337910.0,111.33,110.43,111.75,111.24,
2017-03-21,109.11,568397.0,109.11,108.9701,112.115,111.52,
2017-03-22,110.44,483892.0,110.44,108.2,110.51,109.07,
2017-03-23,108.96,520396.0,108.96,108.78,110.48,110.28,
2017-03-24,109.06,356219.0,109.06,108.66,109.88,109.51,
2017-03-27,109.38,477524.0,109.38,107.0,109.74,108.16,
2017-03-28,109.61,518038.0,109.61,109.0,110.04,109.14,
2017-03-29,108.6,529452.0,108.6,108.45,109.66,109.66,
2017-03-30,108.75,1271793.0,108.75,107.67,109.04,108.22,
2017-03-31,107.99,1095973.0,107.99,107.13,108.95,108.75,
2017-04-03,108.95,1520760.0,108.95,107.7,109.41,108.08,
2017-04-04,108.7,19351878.0,108.7,107.92,109.28,108.87,
2017-04-05,109.23,972281.0,109.23,108.37,110.93,108.85,
2017-04-06,110.47,925304.0,110.47,109.17,112.0,109.84,
2017-04-07,110.08,779019.0,110.08,109.77,110.74,110.32,
2017-04-10,109.79,499465.0,109.79,109.39,111.03,110.15,
2017-04-11,109.7,824800.0,109.7,109.05,110.0,109.88,
2017-04-12,109.23,824560.0,109.23,108.81,109.79,109.79,
2017-04-13,108.93,514818.0,108.93,108.44,109.51,109.13,
2017-04-17,110.84,732363.0,110.84,109.43,110.86,109.43,
2017-04-18,110.48,520858.0,110.48,110.16,111.1,110.5,
2017-04-19,112.07,659204.0,112.07,110.39,112.16,110.69,
2017-04-20,112.96,522860.0,112.96,112.0,113.34,112.4,
2017-04-21,112.58,395655.0,112.58,112.4,113.49,113.29,
2017-04-24,113.42,393779.0,113.42,113.02,114.0,114.0,
2017-04-25,113.21,494300.0,113.21,112.645,114.04,113.6,
2017-04-26,113.87,475574.0,113.87,113.055,113.88,113.38,
2017-04-27,113.99,571393.0,113.99,113.57,114.72,114.11,
2017-04-28,114.09,453570.0,114.09,113.41,114.3,114.13,
2017-05-01,114.3,470888.0,114.3,113.55,114.675,114.55,
2017-05-02,114.33,492631.0,114.33,114.04,114.75,114.44,
2017-05-03,113.44,749588.0,113.44,112.54,114.01,113.67,
2017-05-04,112.92,930925.0,112.92,112.825,116.48,114.44,
2017-05-05,113.22,1208132.0,113.22,111.5,113.7,113.44,
2017-05-08,113.32,634550.0,113.32,112.48,113.43,113.42,
2017-05-09,113.69,670208.0,113.69,112.88,114.0,113.3,
2017-05-10,113.1,496582.0,113.1,112.71,113.98,113.57,
2017-05-11,112.66,532348.0,112.66,112.035,112.895,112.64,
2017-05-12,113.25,337265.0,113.25,112.4,113.31,112.52,
2017-05-15,114.01,405867.0,114.01,113.06,114.025,113.11,
2017-05-16,113.83,434688.0,113.83,113.64,114.11,114.01,
