YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,122.52,1299192.0,122.52,121.72,124.07,123.73,
2017-01-04,122.99,1135010.0,122.99,122.39,123.29,123.05,
2017-01-05,121.61,1480523.0,121.61,120.7,123.63,122.95,
2017-01-06,122.88,958611.0,122.88,121.4,123.21,121.91,
2017-01-09,122.28,980874.0,122.28,122.19,123.23,122.68,
2017-01-10,122.57,1560537.0,122.57,121.79,122.895,122.36,
2017-01-11,123.16,1139016.0,123.16,122.02,123.28,122.5,
2017-01-12,122.61,1287141.0,122.61,120.06,123.1799,122.99,
2017-01-13,123.39,1021616.0,123.39,122.61,123.66,122.61,
2017-01-17,122.82,964728.0,122.82,122.25,123.255,122.74,
2017-01-18,123.66,989597.0,123.66,122.94,124.03,122.94,
2017-01-19,123.37,1145641.0,123.37,122.61,124.26,123.6,
2017-01-20,123.74,1109701.0,123.74,123.29,124.42,123.75,
2017-01-23,124.05,1145748.0,124.05,123.15,124.13,123.6,
2017-01-24,127.06,2431157.0,127.06,123.86,127.5,124.43,
2017-01-25,128.57,3539395.0,128.57,124.84,130.16,129.11,
2017-01-26,128.21,1915635.0,128.21,127.18,130.04,128.74,
2017-01-27,128.86,1175972.0,128.86,128.27,129.64,128.27,
2017-01-30,128.79,1483926.0,128.79,127.72,128.86,128.82,
2017-01-31,127.2,1664175.0,127.2,126.56,128.63,128.49,
2017-02-01,126.88,1371432.0,126.88,125.96,127.9155,127.14,
2017-02-02,126.98,964428.0,126.98,126.06,127.35,126.6,
2017-02-03,127.21,1486894.0,127.21,126.47,127.66,127.6,
2017-02-06,127.29,741044.0,127.29,126.82,127.78,127.06,
2017-02-07,126.94,1114630.0,126.94,126.81,127.98,127.54,
2017-02-08,127.12,759251.0,127.12,126.52,127.39,126.92,
2017-02-09,127.26,1164117.0,127.26,127.15,128.26,127.3,
2017-02-10,128.0,725736.0,128.0,127.18,128.1,127.64,
2017-02-13,129.37,897696.0,129.37,128.34,129.64,128.34,
2017-02-14,129.6,960954.0,129.6,128.54,129.71,129.3,
2017-02-15,129.76,838350.0,129.76,128.9,129.98,129.19,
2017-02-16,130.26,1185592.0,130.26,129.39,130.305,129.83,
2017-02-17,130.31,1939513.0,130.31,128.03,130.36,129.17,
2017-02-21,130.41,1502850.0,130.41,129.6001,130.9021,129.95,
2017-02-22,130.12,1299572.0,130.12,129.65,130.85,129.75,
2017-02-23,130.42,1588962.0,130.42,129.37,130.86,130.48,
2017-02-24,131.68,1661291.0,131.68,129.57,131.68,130.0,
2017-02-27,131.88,1125107.0,131.88,131.07,132.01,131.48,
2017-02-28,132.01,2274674.0,132.01,131.32,132.2,131.61,
2017-03-01,134.92,1884027.0,134.92,133.23,135.24,133.28,
2017-03-02,134.24,1661050.0,134.24,133.87,134.9,134.51,
2017-03-03,134.33,1033857.0,134.33,133.34,134.44,134.06,
2017-03-06,134.14,1256224.0,134.14,133.44,134.44,133.52,
2017-03-07,133.9,1167032.0,133.9,133.38,134.36,133.79,
2017-03-08,133.88,869808.0,133.88,133.73,134.6544,133.88,
2017-03-09,132.95,1154358.0,132.95,132.35,134.06,133.67,
2017-03-10,134.02,976664.0,134.02,132.97,134.08,133.91,
2017-03-13,134.27,890487.0,134.27,133.6,134.44,134.02,
2017-03-14,133.24,913638.0,133.24,132.72,133.76,133.62,
2017-03-15,135.46,1002036.0,135.46,133.71,135.93,133.91,
2017-03-16,134.48,1001661.0,134.48,134.1,136.02,135.11,
2017-03-17,135.5,2867715.0,135.5,134.52,135.79,135.0,
2017-03-20,135.22,915564.0,135.22,135.02,136.03,135.72,
2017-03-21,133.48,1109137.0,133.48,133.24,135.97,135.72,
2017-03-22,133.85,819626.0,133.85,132.89,134.04,133.44,
2017-03-23,133.44,1207766.0,133.44,133.06,134.39,133.72,
2017-03-24,132.77,1215419.0,132.77,132.35,134.19,133.46,
2017-03-27,131.64,1734689.0,131.64,129.17,132.11,130.91,
2017-03-28,132.91,1476121.0,132.91,130.87,133.47,131.82,
2017-03-29,131.95,947625.0,131.95,131.51,132.29,132.08,
2017-03-30,132.61,752485.0,132.61,131.65,133.07,131.73,
2017-03-31,132.47,1096051.0,132.47,132.1101,133.37,132.34,
2017-04-03,131.58,1945541.0,131.58,130.71,133.38,132.97,
2017-04-04,131.61,981306.0,131.61,130.9401,131.9,131.58,
2017-04-05,131.06,1190353.0,131.06,130.97,133.18,132.2,
2017-04-06,131.62,958898.0,131.62,130.83,132.35,131.28,
2017-04-07,131.73,725327.0,131.73,131.44,132.32,131.46,
2017-04-10,132.24,927499.0,132.24,131.71,132.78,131.71,
2017-04-11,132.81,1400056.0,132.81,131.36,132.84,131.92,
2017-04-12,130.87,1453882.0,130.87,130.795,132.79,132.79,
2017-04-13,130.17,747438.0,130.17,130.17,131.57,130.71,
2017-04-17,131.37,862223.0,131.37,130.17,131.465,130.64,
2017-04-18,132.39,1610400.0,132.39,130.58,133.0,130.58,
2017-04-19,132.12,1098992.0,132.12,131.785,133.19,132.8,
2017-04-20,134.58,1276394.0,134.58,132.52,134.92,132.79,
2017-04-21,134.87,2193397.0,134.87,134.59,135.71,134.87,
2017-04-24,139.76,4098904.0,139.76,138.63,142.82,138.79,
2017-04-25,139.26,2972727.0,139.26,138.72,140.9899,138.91,
2017-04-26,139.14,1938557.0,139.14,139.006,139.9,139.5,
2017-04-27,139.42,1230594.0,139.42,139.03,140.21,139.29,
2017-04-28,138.09,1535499.0,138.09,137.91,139.62,139.34,
2017-05-01,137.65,1626768.0,137.65,136.58,138.08,137.88,
2017-05-02,137.22,1675307.0,137.22,136.66,138.92,138.46,
2017-05-03,137.95,1223004.0,137.95,136.48,138.08,137.06,
2017-05-04,138.27,1541557.0,138.27,137.43,138.56,138.25,
2017-05-05,139.6,924648.0,139.6,138.39,139.64,138.85,
2017-05-08,139.54,874009.0,139.54,139.1,139.78,139.34,
2017-05-09,138.95,792917.0,138.95,138.59,139.79,139.42,
2017-05-10,138.3,893257.0,138.3,137.6,139.26,138.87,
2017-05-11,138.0,1084897.0,138.0,136.47,138.34,138.34,
2017-05-12,137.38,961038.0,137.38,137.115,137.98,137.72,
2017-05-15,137.69,776830.0,137.69,137.36,138.19,137.54,
2017-05-16,137.72,773431.0,137.72,137.01,138.07,138.05,
2017-05-17,134.78,1625840.0,134.78,134.71,136.82,136.46,
