YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,30.93,3483548.0,30.93,30.56,31.24,30.98,
2017-01-04,31.77,3470424.0,31.77,30.95,31.82,31.04,
2017-01-05,31.52,2797536.0,31.52,31.06,31.8,31.56,
2017-01-06,31.53,3522546.0,31.53,31.18,31.625,31.6,
2017-01-09,30.85,3525069.0,30.85,30.84,31.55,31.25,
2017-01-10,30.67,2895969.0,30.67,30.64,31.01,30.85,
2017-01-11,31.11,2361445.0,31.11,30.58,31.13,30.61,
2017-01-12,31.05,2984667.0,31.05,30.46,31.15,30.89,
2017-01-13,31.1,2411160.0,31.1,31.06,31.55,31.14,
2017-01-17,30.55,2834097.0,30.55,30.45,30.94,30.9,
2017-01-18,30.55,3512493.0,30.55,30.235,30.57,30.43,
2017-01-19,30.17,3964772.0,30.17,30.115,30.82,30.64,
2017-01-20,30.52,3855508.0,30.52,30.2,30.53,30.29,
2017-01-23,30.46,1988474.0,30.46,30.1099,30.51,30.38,
2017-01-24,30.85,3467741.0,30.85,30.57,31.3,30.61,
2017-01-25,31.09,3511634.0,31.09,30.85,31.49,31.27,
2017-01-26,30.0,4882343.0,30.0,29.89,31.53,31.44,
2017-01-27,29.51,4015258.0,29.51,29.33,30.03,29.96,
2017-01-30,29.22,4102332.0,29.22,28.84,29.43,29.43,
2017-01-31,28.92,4944754.0,28.92,28.75,29.18,29.12,
2017-02-01,29.59,3632551.0,29.59,29.09,29.7,29.16,
2017-02-02,29.55,3505304.0,29.55,29.0724,29.66,29.24,
2017-02-03,30.9,5353947.0,30.9,30.13,30.9344,30.16,
2017-02-06,30.46,2567327.0,30.46,30.41,30.98,30.59,
2017-02-07,30.43,2405968.0,30.43,30.13,30.685,30.65,
2017-02-08,30.52,2658764.0,30.52,29.98,30.6,30.21,
2017-02-09,31.5,3904513.0,31.5,30.685,31.54,30.69,
2017-02-10,31.84,3905275.0,31.84,31.71,32.1864,31.74,
2017-02-13,32.11,2251481.0,32.11,31.83,32.23,32.03,
2017-02-14,32.0,2231231.0,32.0,31.66,32.14,31.76,
2017-02-15,32.71,2972915.0,32.71,32.11,32.82,32.37,
2017-02-16,32.55,2188535.0,32.55,32.41,32.7562,32.69,
2017-02-17,32.54,2121062.0,32.54,32.0173,32.57,32.05,
2017-02-21,33.15,3064603.0,33.15,32.74,33.22,32.75,
2017-02-22,33.35,3770483.0,33.35,32.89,33.435,32.92,
2017-02-23,33.0,3407394.0,33.0,32.97,33.46,33.46,
2017-02-24,32.66,3424879.0,32.66,32.53,32.84,32.56,
2017-02-27,32.65,2425093.0,32.65,32.53,32.81,32.62,
2017-02-28,32.19,5043308.0,32.19,31.9,32.51,32.46,
2017-03-01,32.45,5487957.0,32.45,32.41,33.1756,32.93,
2017-03-02,32.38,3480210.0,32.38,32.17,32.62,32.48,
2017-03-03,32.33,2671470.0,32.33,32.08,32.55,32.44,
2017-03-06,32.19,2590906.0,32.19,32.07,32.385,32.16,
2017-03-07,31.96,3799723.0,31.96,31.86,32.365,32.15,
2017-03-08,32.21,2299990.0,32.21,32.12,32.4,32.28,
2017-03-09,32.26,2635845.0,32.26,32.1,32.45,32.31,
2017-03-10,31.79,3616958.0,31.79,31.65,32.49,32.44,
2017-03-13,31.67,2729693.0,31.67,31.465,31.92,31.92,
2017-03-14,31.58,2959373.0,31.58,31.11,31.6,31.53,
2017-03-15,32.5,3014786.0,32.5,32.025,32.57,32.11,
2017-03-16,32.68,2005161.0,32.68,32.5,32.81,32.78,
2017-03-17,31.23,5448075.0,31.23,31.18,32.72,32.72,
2017-03-20,31.09,2711317.0,31.09,30.8,31.34,31.18,
2017-03-21,30.28,3662503.0,30.28,30.2,31.73,31.33,
2017-03-22,30.1,3305702.0,30.1,29.7,30.21,30.13,
2017-03-23,30.22,3201352.0,30.22,30.02,30.79,30.09,
2017-03-24,30.1,3466527.0,30.1,29.945,30.53,30.32,
2017-03-27,30.0,3811042.0,30.0,29.36,30.04,29.63,
2017-03-28,30.77,3481582.0,30.77,29.87,30.98,29.96,
2017-03-29,30.59,2165932.0,30.59,30.53,30.825,30.7,
2017-03-30,30.72,2402985.0,30.72,30.42,30.86,30.54,
2017-03-31,30.63,2970673.0,30.63,30.47,30.87,30.56,
2017-04-03,30.59,2513185.0,30.59,30.13,30.7302,30.61,
2017-04-04,30.49,1849542.0,30.49,30.41,30.69,30.42,
2017-04-05,30.28,1967647.0,30.28,30.26,31.02,30.76,
2017-04-06,30.59,1870704.0,30.59,30.16,30.68,30.38,
2017-04-07,30.37,2791163.0,30.37,30.2043,30.58,30.32,
2017-04-10,30.75,3003905.0,30.75,30.31,31.005,30.37,
2017-04-11,30.81,2834825.0,30.81,30.1547,30.87,30.58,
2017-04-12,30.48,3275366.0,30.48,30.36,30.92,30.83,
2017-04-13,30.03,2472579.0,30.03,30.02,30.6,30.3,
2017-04-17,30.73,2266256.0,30.73,30.1,30.77,30.12,
2017-04-18,30.64,3066763.0,30.64,30.37,30.84,30.56,
2017-04-19,31.01,3117887.0,31.01,30.87,31.14,30.96,
2017-04-20,31.52,3532860.0,31.52,31.03,31.59,31.19,
2017-04-21,31.28,2734349.0,31.28,31.14,31.64,31.5,
2017-04-24,32.03,3774465.0,32.03,31.88,32.255,32.0,
2017-04-25,32.17,2664224.0,32.17,31.995,32.33,32.3,
2017-04-26,32.44,4084018.0,32.44,32.01,32.68,32.11,
2017-04-27,33.12,4668923.0,33.12,31.99,33.13,32.7,
2017-04-28,32.94,3185461.0,32.94,32.79,33.47,33.12,
2017-05-01,32.69,2332397.0,32.69,32.665,33.119,33.07,
2017-05-02,32.61,2217115.0,32.61,32.36,32.79,32.72,
2017-05-03,32.67,1741007.0,32.67,32.35,32.72,32.44,
2017-05-04,32.41,2003585.0,32.41,32.21,32.95,32.8,
2017-05-05,32.38,1475432.0,32.38,32.18,32.5303,32.47,
2017-05-08,32.35,2267510.0,32.35,32.22,32.48,32.48,
2017-05-09,32.56,2340274.0,32.56,32.3401,32.67,32.4,
2017-05-10,32.39,1856370.0,32.39,32.045,32.44,32.24,
2017-05-11,32.15,2280761.0,32.15,31.77,32.2421,32.22,
2017-05-12,32.12,1837429.0,32.12,31.8401,32.14,31.97,
2017-05-15,32.22,2719787.0,32.22,32.09,32.45,32.23,
2017-05-16,32.18,2170885.0,32.18,31.92,32.42,32.39,
2017-05-17,30.66,3514721.0,30.66,30.575,31.81,31.49,
2017-05-18,31.24,4234031.0,31.24,30.51,31.38,30.69,
2017-05-19,31.62,2281629.0,31.62,31.219,31.775,31.38,
2017-05-22,31.85,1501314.0,31.85,31.5999,31.99,31.87,
2017-05-23,31.25,2741649.0,31.25,30.95,31.9614,30.95,
2017-05-24,31.18,2701729.0,31.18,30.92,31.31,31.28,
2017-05-25,31.95,2435250.0,31.95,31.31,32.12,31.51,
2017-05-26,32.0,1636815.0,32.0,31.635,32.03,31.78,
2017-05-30,31.62,1534210.0,31.62,31.51,31.99,31.99,
2017-05-31,31.7,2521037.0,31.7,31.16,31.9,31.85,
2017-06-01,32.92,3170709.0,32.92,31.75,32.95,31.88,
2017-06-02,32.93,3235407.0,32.93,32.57,33.17,32.7,
2017-06-05,33.34,3359166.0,33.34,32.98,33.4,33.23,
2017-06-06,33.41,3301481.0,33.41,33.0,33.58,33.16,
2017-06-07,33.41,2639246.0,33.41,33.22,33.55,33.48,
2017-06-08,33.88,2717572.0,33.88,33.31,34.105,33.41,
2017-06-09,34.32,2898945.0,34.32,33.925,34.34,34.15,
2017-06-12,34.45,2587856.0,34.45,34.21,34.7,34.31,
2017-06-13,34.49,2151516.0,34.49,34.345,34.79,34.57,
2017-06-14,34.68,2034771.0,34.68,34.14,34.73,34.29,
2017-06-15,34.58,2085091.0,34.58,34.13,34.69,34.13,
2017-06-16,34.61,3181271.0,34.61,34.38,34.72,34.55,
2017-06-19,35.4,2665424.0,35.4,34.71,35.48,34.8,
2017-06-20,35.07,1792940.0,35.07,35.07,35.39,35.26,
2017-06-21,34.8,2266215.0,34.8,34.76,35.19,35.15,
2017-06-22,34.99,1781091.0,34.99,34.71,35.18,34.74,
2017-06-23,34.97,3361357.0,34.97,34.77,35.14,35.14,
2017-06-26,35.01,2934257.0,35.01,34.86,35.36,35.17,
2017-06-27,34.77,3341659.0,34.77,34.75,35.25,35.24,
2017-06-28,35.31,3691533.0,35.31,34.735,35.32,35.05,
2017-06-29,35.0,2729034.0,35.0,34.69,35.91,35.73,
2017-06-30,35.19,2361509.0,35.19,35.06,35.44,35.3,
2017-07-03,35.51,1497301.0,35.51,35.46,35.97,35.46,
2017-07-05,35.5,2033895.0,35.5,35.3,35.82,35.56,
2017-07-06,35.16,3101870.0,35.16,35.145,35.67,35.33,
2017-07-07,35.92,3015460.0,35.92,35.28,35.99,35.48,
2017-07-10,36.47,2942829.0,36.47,35.775,36.63,35.78,
2017-07-11,35.72,2847536.0,35.72,35.625,36.48,36.48,
2017-07-12,36.11,2616243.0,36.11,35.72,36.27,35.79,
2017-07-13,35.9,3907771.0,35.9,35.55,36.1,36.1,
2017-07-14,36.11,2050368.0,36.11,35.53,36.2,35.68,
2017-07-17,36.17,1926101.0,36.17,35.82,36.48,36.48,
2017-07-18,35.94,2115363.0,35.94,35.81,36.18,35.94,
2017-07-19,36.2,1493901.0,36.2,35.92,36.21,36.11,
2017-07-20,36.14,2184507.0,36.14,36.1,36.43,36.31,
2017-07-21,36.05,1749666.0,36.05,35.87,36.26,36.08,
2017-07-24,36.27,1971540.0,36.27,35.98,36.335,36.05,
2017-07-25,36.53,2189341.0,36.53,36.44,36.835,36.72,
2017-07-26,36.44,2800029.0,36.44,36.29,36.75,36.6,
2017-07-27,34.6,6188153.0,34.6,33.86,36.34,36.34,
2017-07-28,34.36,4236109.0,34.36,34.11,34.73,34.32,
2017-07-31,34.77,5081024.0,34.77,34.44,35.17,34.55,
2017-08-01,35.2,2172218.0,35.2,34.73,35.23,34.94,
2017-08-02,34.63,4404506.0,34.63,34.6,35.22,35.11,
2017-08-03,34.53,2532679.0,34.53,34.32,35.11,34.59,
2017-08-04,34.57,1987365.0,34.57,34.42,34.795,34.78,
