YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,96.77,1065780.0,96.77,95.89,99.36,97.83,11440.0
2017-01-04,97.82,1036827.0,97.82,96.25,98.42,96.58,10093.0
2017-01-05,97.19,985778.0,97.19,96.56,97.56,97.42,8918.0
2017-01-06,97.69,751461.0,97.69,96.91,98.46,97.43,8693.0
2017-01-09,96.87,774837.0,96.87,96.31,97.25,97.0,7907.0
2017-01-10,97.72,714200.0,97.72,96.396,98.24,96.97,7975.0
2017-01-11,98.72,689456.0,98.72,97.3,98.87,97.82,8616.0
2017-01-12,99.05,835160.0,99.05,98.02,99.33,98.47,8765.0
2017-01-13,99.28,758934.0,99.28,98.92,99.63,99.25,7714.0
2017-01-17,97.98,816834.0,97.98,97.65,99.42,99.13,8375.0
2017-01-18,98.03,1301281.0,98.03,97.1032,98.62,98.29,12962.0
2017-01-19,94.36,2373390.0,94.36,93.58,97.9,97.5,20644.0
2017-01-20,94.52,1025477.0,94.52,93.33,94.82,94.15,10700.0
2017-01-23,94.5,700139.0,94.5,93.71,95.03,94.65,7728.0
2017-01-24,96.48,690061.0,96.48,94.6,96.6699,94.9,8148.0
2017-01-25,98.54,929083.0,98.54,95.96,98.62,96.78,9645.0
2017-01-26,98.76,782070.0,98.76,97.32,98.88,98.3,8458.0
2017-01-27,98.87,605190.0,98.87,97.775,98.98,98.92,7124.0
2017-01-30,98.93,594822.0,98.93,97.9,99.03,98.09,6847.0
2017-01-31,99.08,1312651.0,99.08,98.67,100.21,99.25,15038.0
2017-02-01,98.32,857480.0,98.32,97.66,99.63,99.49,10542.0
2017-02-02,97.24,942821.0,97.24,96.66,99.08,97.75,9931.0
2017-02-03,99.66,1011076.0,99.66,97.075,99.75,97.38,10175.0
2017-02-06,99.52,3331142.0,99.52,99.05,100.5,99.47,12767.0
2017-02-07,98.51,879163.0,98.51,98.23,100.12,99.8,9772.0
2017-02-08,98.19,746843.0,98.19,96.51,98.46,97.94,7686.0
2017-02-09,98.82,416071.0,98.82,98.27,99.6,98.33,5764.0
2017-02-10,100.37,561008.0,100.37,98.56,100.54,98.56,6347.0
2017-02-13,100.36,661987.0,100.36,99.76,101.23,100.6,7610.0
2017-02-14,99.5,557286.0,99.5,99.42,100.74,100.38,7026.0
2017-02-15,100.67,754144.0,100.67,99.45,100.79,99.45,8247.0
2017-02-16,100.71,414318.0,100.71,99.76,100.97,100.73,5463.0
2017-02-17,101.04,443580.0,101.04,99.83,101.07,100.64,5046.0
2017-02-21,100.82,496518.0,100.82,100.4675,101.23,101.0,5333.0
2017-02-22,98.34,1840400.0,98.34,98.08,101.22,100.79,17099.0
2017-02-23,97.31,1254838.0,97.31,97.04,98.82,98.48,12232.0
