YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,28.6,5170176.0,28.6,28.4,28.99,28.48,
2017-01-04,28.9,2778174.0,28.9,28.31,28.98,28.45,
2017-01-05,28.84,2136674.0,28.84,28.62,29.1,28.88,
2017-01-06,28.86,1394700.0,28.86,28.61,28.91,28.87,
2017-01-09,28.39,2217529.0,28.39,28.26,28.7,28.62,
2017-01-10,28.4,2206908.0,28.4,28.22,28.54,28.38,
2017-01-11,27.85,4789985.0,27.85,27.32,27.94,27.5,
2017-01-12,27.8,2502701.0,27.8,27.4,27.94,27.87,
2017-01-13,27.87,1503771.0,27.87,27.76,27.98,27.83,
2017-01-17,27.41,2509953.0,27.41,27.29,27.795,27.7,
2017-01-18,27.34,3229695.0,27.34,27.33,27.65,27.55,
2017-01-19,27.42,2972253.0,27.42,27.215,27.61,27.41,
2017-01-20,27.43,3054770.0,27.43,27.11,27.61,27.47,
2017-01-23,27.5,3083305.0,27.5,27.3,27.57,27.37,
2017-01-24,27.84,2293642.0,27.84,27.43,27.96,27.53,
2017-01-25,28.14,3302600.0,28.14,27.905,28.34,28.0,
2017-01-26,27.72,6920325.0,27.72,27.555,28.3,28.24,
2017-01-27,26.67,18320362.0,26.67,24.9,27.0368,25.1,
2017-01-30,26.45,5402182.0,26.45,26.2,26.6,26.59,
2017-01-31,26.78,6013409.0,26.78,26.35,26.79,26.45,
2017-02-01,26.81,5880131.0,26.81,26.57,26.89,26.74,
2017-02-02,27.24,6030109.0,27.24,26.57,27.27,26.69,
2017-02-03,27.35,3521857.0,27.35,27.195,27.46,27.4,
2017-02-06,27.28,3873689.0,27.28,27.1,27.36,27.22,
2017-02-07,27.2,5245936.0,27.2,26.98,27.24,27.22,
2017-02-08,27.24,3036701.0,27.24,27.02,27.265,27.2,
2017-02-09,27.4,2945850.0,27.4,27.3,27.62,27.32,
2017-02-10,27.64,2316361.0,27.64,27.38,27.73,27.43,
2017-02-13,27.93,3700347.0,27.93,27.7,28.03,27.7,
2017-02-14,27.88,3576483.0,27.88,27.75,27.97,27.84,
2017-02-15,27.96,2805572.0,27.96,27.805,28.04,27.88,
2017-02-16,28.09,3302246.0,28.09,27.86,28.2,27.95,
2017-02-17,28.39,3280644.0,28.39,27.98,28.43,28.06,
2017-02-21,28.69,2933172.0,28.69,28.26,28.77,28.26,
2017-02-22,28.53,2817508.0,28.53,28.38,28.7,28.59,
2017-02-23,28.43,2329519.0,28.43,28.315,28.72,28.55,
2017-02-24,28.42,1800490.0,28.42,28.05,28.42,28.16,
2017-02-27,28.33,1489743.0,28.33,28.2,28.51,28.37,
2017-02-28,28.0,3944861.0,28.0,27.8901,28.29,28.26,
2017-03-01,28.25,2760374.0,28.25,28.145,28.365,28.2,
2017-03-02,28.26,3701097.0,28.26,27.985,28.28,28.13,
2017-03-03,28.29,2446367.0,28.29,28.05,28.33,28.29,
2017-03-06,28.16,3428551.0,28.16,28.01,28.25,28.16,
2017-03-07,28.15,2645045.0,28.15,27.99,28.23,28.1,
2017-03-08,27.7,6221634.0,27.7,27.44,28.03,28.03,
2017-03-09,27.81,2385415.0,27.81,27.65,27.96,27.74,
2017-03-10,28.01,4549425.0,28.01,27.84,28.09,27.89,
2017-03-13,27.97,3630495.0,27.97,27.83,28.13,28.02,
2017-03-14,28.14,2708452.0,28.14,27.83,28.16,27.96,
2017-03-15,28.3,2887013.0,28.3,28.02,28.395,28.22,
2017-03-16,28.52,3494819.0,28.52,28.255,28.56,28.42,
2017-03-17,28.68,4417913.0,28.68,28.52,28.82,28.64,
2017-03-20,28.18,4389114.0,28.18,28.07,28.4,28.28,
2017-03-21,27.81,7346387.0,27.81,27.73,28.19,28.01,
2017-03-22,28.01,2778795.0,28.01,27.7,28.145,27.81,
2017-03-23,27.84,2707165.0,27.84,27.77,28.18,28.0,
2017-03-24,27.82,2656137.0,27.82,27.72,28.095,27.93,
2017-03-27,27.75,2724254.0,27.75,27.52,27.82,27.64,
2017-03-28,27.79,2277730.0,27.79,27.64,28.0,27.75,
2017-03-29,27.65,3905131.0,27.65,27.57,27.85,27.76,
2017-03-30,27.7,4283821.0,27.7,27.64,27.82,27.69,
2017-03-31,27.83,5097704.0,27.83,27.63,27.89,27.68,
2017-04-03,27.72,2512392.0,27.72,27.42,27.93,27.86,
2017-04-04,27.96,4391861.0,27.96,27.72,28.2,27.73,
2017-04-05,27.82,3312417.0,27.82,27.79,28.21,28.05,
2017-04-06,27.81,2468696.0,27.81,27.72,28.02,27.83,
2017-04-07,27.87,3500128.0,27.87,27.76,28.06,27.81,
2017-04-10,27.88,2347878.0,27.88,27.795,28.02,27.95,
2017-04-11,27.79,3215398.0,27.79,27.62,27.86,27.84,
2017-04-12,27.63,2944460.0,27.63,27.495,27.83,27.83,
2017-04-13,27.56,3459323.0,27.56,27.55,27.845,27.7,
2017-04-17,27.71,1992450.0,27.71,27.58,27.76,27.6,
2017-04-18,27.7,6493556.0,27.7,27.62,27.89,27.62,
2017-04-19,27.73,9401137.0,27.73,27.71,27.88,27.78,
2017-04-20,27.8,5844277.0,27.8,27.71,28.0,27.87,
2017-04-21,27.78,3359866.0,27.78,27.76,27.945,27.77,
2017-04-24,28.27,5327433.0,28.27,28.04,28.41,28.14,
2017-04-25,27.78,13535449.0,27.78,27.77,28.415,28.31,
2017-04-26,29.46,25291287.0,29.46,27.92,30.0,28.47,
2017-04-27,29.99,11312333.0,29.99,29.41,29.99,29.59,
2017-04-28,30.07,9756840.0,30.07,29.63,30.31,29.65,
2017-05-01,30.6,7849038.0,30.6,30.05,30.665,30.14,
2017-05-02,30.89,5698695.0,30.89,30.5532,30.96,30.61,
2017-05-03,30.3,6722326.0,30.3,30.29,30.885,30.79,
2017-05-04,30.5,8795546.0,30.5,30.32,30.5998,30.42,
2017-05-05,30.55,5655563.0,30.55,30.33,30.72,30.63,
2017-05-08,30.49,7182119.0,30.49,30.43,30.63,30.49,
2017-05-09,30.68,5084671.0,30.68,30.47,30.74,30.5,
2017-05-10,30.85,3838994.0,30.85,30.56,30.895,30.74,
2017-05-11,30.56,6463491.0,30.56,30.54,30.86,30.82,
2017-05-12,30.59,7067097.0,30.59,30.455,30.69,30.55,
2017-05-15,30.61,7148052.0,30.61,30.5,30.68,30.63,
2017-05-16,30.59,6337937.0,30.59,30.44,30.68,30.68,
2017-05-17,29.76,5059293.0,29.76,29.76,30.33,30.29,
2017-05-18,29.59,7004747.0,29.59,29.17,29.89,29.51,
2017-05-19,29.53,3285062.0,29.53,29.5,29.94,29.67,
2017-05-22,29.63,4905761.0,29.63,29.47,29.735,29.47,
2017-05-23,29.45,4162805.0,29.45,29.37,29.88,29.78,
2017-05-24,29.34,3359416.0,29.34,29.18,29.46,29.42,
2017-05-25,29.44,8431352.0,29.44,29.36,29.57,29.47,
2017-05-26,29.32,2904277.0,29.32,29.285,29.56,29.56,
2017-05-30,29.3,3073174.0,29.3,29.1,29.425,29.15,
2017-05-31,29.33,4840982.0,29.33,29.14,29.44,29.35,
2017-06-01,30.08,5158721.0,30.08,29.58,30.14,29.65,
2017-06-02,30.03,3344690.0,30.03,29.77,30.23,30.19,
2017-06-05,30.16,6384268.0,30.16,29.855,30.2,29.96,
2017-06-06,30.06,4675649.0,30.06,29.995,30.44,30.11,
2017-06-07,29.19,6957746.0,29.19,29.005,30.105,30.01,
2017-06-08,29.49,6488822.0,29.49,29.1,29.63,29.14,
2017-06-09,28.61,5710611.0,28.61,28.11,29.6,29.46,
2017-06-12,28.86,9244460.0,28.86,28.01,28.88,28.39,
2017-06-13,29.2,4420514.0,29.2,28.8,29.25,28.96,
2017-06-14,28.71,6204810.0,28.71,28.47,29.29,29.25,
2017-06-15,28.86,4906007.0,28.86,28.44,28.99,28.49,
2017-06-16,28.67,4716809.0,28.67,28.525,28.95,28.87,
2017-06-19,29.19,2991168.0,29.19,28.7235,29.19,28.8,
2017-06-20,28.77,5153956.0,28.77,28.73,29.25,29.15,
2017-06-21,28.86,5115509.0,28.86,28.35,28.86,28.4,
2017-06-22,28.36,6640815.0,28.36,28.135,28.9,28.85,
2017-06-23,28.29,16676752.0,28.29,28.23,28.43,28.4,
2017-06-26,28.11,8258302.0,28.11,27.96,28.36,28.3,
2017-06-27,27.94,18018888.0,27.94,27.77,28.38,27.97,
2017-06-28,28.17,3990906.0,28.17,28.02,28.31,28.17,
2017-06-29,27.82,5513296.0,27.82,27.62,28.17,28.09,
2017-06-30,27.88,6127928.0,27.88,27.76,28.04,27.86,
2017-07-03,27.74,1818494.0,27.74,27.72,28.15,28.05,
2017-07-05,28.18,3979051.0,28.18,27.76,28.24,27.86,
2017-07-06,27.79,4180933.0,27.79,27.75,28.13,28.01,
2017-07-07,28.45,3434337.0,28.45,27.86,28.49,27.86,
2017-07-10,29.2,10964591.0,29.2,28.78,29.28,28.9,
2017-07-11,29.11,3340983.0,29.11,28.91,29.27,29.2,
2017-07-12,29.17,4221276.0,29.17,28.98,29.36,29.27,
2017-07-13,29.09,2771070.0,29.09,29.07,29.3,29.24,
2017-07-14,29.01,2615671.0,29.01,28.88,29.135,29.11,
2017-07-17,29.13,3704971.0,29.13,28.93,29.16,29.0,
2017-07-18,28.86,3199447.0,28.86,28.62,29.11,28.94,
2017-07-19,29.37,6228699.0,29.37,28.9,29.45,29.0,
2017-07-20,29.22,3361668.0,29.22,29.005,29.48,29.38,
2017-07-21,29.43,4103278.0,29.43,29.25,29.65,29.59,
2017-07-24,29.46,4279245.0,29.46,29.26,29.57,29.38,
2017-07-25,29.96,8213364.0,29.96,29.5,30.29,29.52,
2017-07-26,28.06,13815349.0,28.06,27.77,29.06,28.21,
2017-07-27,27.81,8122346.0,27.81,27.54,28.19,28.15,
2017-07-28,27.77,4950228.0,27.77,27.66,27.88,27.67,
2017-07-31,27.95,5392864.0,27.95,27.81,28.025,27.87,
2017-08-01,28.27,4641870.0,28.27,27.85,28.29,28.02,
2017-08-02,28.22,4711897.0,28.22,27.965,28.41,28.29,
2017-08-03,28.34,4061435.0,28.34,28.17,28.46,28.26,
2017-08-04,28.14,4398662.0,28.14,28.02,28.46,28.44,
2017-08-07,28.29,3775557.0,28.29,28.085,28.35,28.18,
2017-08-08,28.25,3203353.0,28.25,28.23,28.47,28.26,
2017-08-09,28.33,4806897.0,28.33,28.03,28.45,28.08,
2017-08-10,27.44,8143459.0,27.44,27.4,28.32,28.16,
2017-08-11,27.41,5516082.0,27.41,27.38,27.73,27.44,
2017-08-14,27.92,2827424.0,27.92,27.71,27.96,27.71,
2017-08-15,27.53,5623994.0,27.53,27.44,28.06,28.02,
2017-08-16,27.75,2437142.0,27.75,27.56,27.78,27.6,
2017-08-17,27.16,3039265.0,27.16,27.13,27.72,27.59,
2017-08-18,27.16,2880438.0,27.16,27.08,27.38,27.11,
2017-08-21,27.14,2460335.0,27.14,26.915,27.23,27.13,
2017-08-22,27.57,2082615.0,27.57,27.27,27.61,27.3,
