YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,73.37,1700599.0,73.37,72.83,73.71,73.71,
2017-01-04,73.18,1097819.0,73.18,73.13,73.73,73.54,
2017-01-05,73.11,1576146.0,73.11,72.36,73.38,73.04,
2017-01-06,73.13,1078310.0,73.13,72.5999,73.42,72.77,
2017-01-09,72.13,1586774.0,72.13,72.03,73.26,73.26,
2017-01-10,71.66,1198518.0,71.66,71.62,72.35,72.28,
2017-01-11,71.87,1154059.0,71.87,71.58,72.21,71.64,
2017-01-12,71.92,1428685.0,71.92,71.67,72.33,71.81,
2017-01-13,71.38,2150096.0,71.38,71.05,71.9,71.79,
2017-01-17,72.03,2455852.0,72.03,71.48,72.05,71.5,
2017-01-18,71.98,1975518.0,71.98,71.83,72.55,72.01,
2017-01-19,71.78,1538414.0,71.78,71.68,72.1,71.91,
2017-01-20,72.21,2522399.0,72.21,71.77,72.65,71.91,
2017-01-23,72.29,1655105.0,72.29,71.66,72.4599,72.2,
2017-01-24,72.61,1955421.0,72.61,72.16,72.87,72.3,
2017-01-25,72.31,1605502.0,72.31,72.205,72.83,72.83,
2017-01-26,72.09,1700463.0,72.09,71.95,72.58,72.31,
2017-01-27,73.0,1911061.0,73.0,71.84,73.125,72.13,
2017-01-30,72.67,1038458.0,72.67,72.3,73.05,73.05,
2017-01-31,72.71,1205606.0,72.71,72.61,72.99,72.73,
2017-02-01,71.9,1448570.0,71.9,71.45,72.51,72.31,
2017-02-02,72.77,2030739.0,72.77,72.02,73.43,72.13,
2017-02-03,73.36,1420790.0,73.36,72.57,73.79,73.02,
2017-02-06,72.33,1061458.0,72.33,72.27,73.3199,73.16,
2017-02-07,72.85,1972664.0,72.85,72.38,73.07,72.6,
2017-02-08,73.49,2130689.0,73.49,72.68,73.6,72.85,
2017-02-09,76.44,3654201.0,76.44,74.59,76.69,74.6,
2017-02-10,76.0,2623176.0,76.0,75.71,76.56,76.16,
2017-02-13,75.62,2463914.0,75.62,75.33,76.04,75.89,
2017-02-14,75.92,1871737.0,75.92,75.25,76.15,75.5,
2017-02-15,76.04,1934353.0,76.04,74.531,76.3,75.28,
2017-02-16,74.71,3254816.0,74.71,74.37,76.44,75.89,
2017-02-17,72.9,4179456.0,72.9,72.44,73.69,72.99,
2017-02-21,74.74,3602762.0,74.74,73.84,74.88,74.11,
2017-02-22,74.49,2143442.0,74.49,74.11,75.17,74.64,
2017-02-23,74.8,1404831.0,74.8,74.52,75.02,74.57,
2017-02-24,75.23,1714667.0,75.23,74.67,75.23,74.67,
2017-02-27,73.88,1326725.0,73.88,73.73,74.8,74.44,
2017-02-28,74.07,1789343.0,74.07,73.9,74.6,73.9,
2017-03-01,74.83,1908500.0,74.83,73.75,74.84,74.07,
2017-03-02,75.02,3104708.0,75.02,74.49,75.1,74.93,
2017-03-03,74.47,2688893.0,74.47,74.07,75.03,75.03,
2017-03-06,74.22,1379483.0,74.22,73.76,74.4,74.05,
2017-03-07,74.14,1740674.0,74.14,74.08,74.76,74.15,
2017-03-08,73.86,1370344.0,73.86,73.64,74.08,73.94,
2017-03-09,74.1,1959934.0,74.1,73.72,74.29,74.11,
2017-03-10,74.19,1271375.0,74.19,74.03,74.6499,74.53,
2017-03-13,74.15,1345994.0,74.15,73.8439,74.18,74.04,
2017-03-14,74.23,2105320.0,74.23,73.87,74.48,73.87,
2017-03-15,74.75,1538120.0,74.75,74.23,75.0,74.38,
2017-03-16,74.76,2111770.0,74.76,74.235,74.76,74.65,
2017-03-17,75.11,3593631.0,75.11,74.73,75.31,75.09,
2017-03-20,74.98,2655851.0,74.98,74.66,75.19,75.01,
2017-03-21,73.6,4262847.0,73.6,73.46,74.29,74.06,
2017-03-22,72.71,4567944.0,72.71,72.28,73.63,73.61,
2017-03-23,73.11,3006277.0,73.11,72.38,73.55,72.72,
2017-03-24,73.0,2932976.0,73.0,72.75,73.46,73.29,
2017-03-27,72.56,2523285.0,72.56,72.402,73.0,72.84,
2017-03-28,72.66,1742145.0,72.66,72.2,72.81,72.44,
2017-03-29,73.08,2055681.0,73.08,72.3,73.16,72.67,
2017-03-30,72.54,2143605.0,72.54,72.38,73.13,72.93,
2017-03-31,72.61,2145622.0,72.61,72.45,72.92,72.45,
2017-04-03,72.37,2156056.0,72.37,72.141,72.7499,72.59,
2017-04-04,72.27,1420956.0,72.27,71.86,72.67,72.41,
2017-04-05,72.75,1516649.0,72.75,72.18,72.97,72.34,
2017-04-06,72.41,1777706.0,72.41,72.02,72.59,72.59,
2017-04-07,72.59,1811150.0,72.59,72.255,72.73,72.36,
2017-04-10,72.27,1714867.0,72.27,72.13,72.7622,72.48,
2017-04-11,72.15,2045127.0,72.15,71.97,72.54,72.3,
2017-04-12,72.33,2494405.0,72.33,71.97,72.59,72.07,
2017-04-13,71.95,1698062.0,71.95,71.91,72.58,72.34,
2017-04-17,72.31,1264860.0,72.31,72.0,72.37,72.08,
2017-04-18,72.98,1831730.0,72.98,72.3,73.38,72.38,
2017-04-19,72.66,1204554.0,72.66,72.47,73.33,73.15,
2017-04-20,72.79,2164515.0,72.79,72.23,72.84,72.6,
2017-04-21,72.42,2739164.0,72.42,72.325,72.78,72.54,
2017-04-24,72.77,1863785.0,72.77,72.54,73.0,72.76,
2017-04-25,72.35,2218019.0,72.35,72.34,72.97,72.81,
2017-04-26,71.49,2428653.0,71.49,71.47,72.43,72.38,
2017-04-27,70.96,2293782.0,70.96,70.78,71.62,71.56,
2017-04-28,71.0,3897729.0,71.0,70.57,71.18,71.06,
2017-05-01,70.15,2060918.0,70.15,70.13,71.19,71.09,
2017-05-02,69.03,3625941.0,69.03,68.92,70.51,70.51,
2017-05-03,68.94,2853706.0,68.94,68.67,69.2,69.12,
