YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,87.53,3104614.0,87.53,86.4,87.97,87.85,25356.0
2017-01-04,87.03,2274880.0,87.03,86.9,87.97,87.52,20473.0
2017-01-05,86.53,3037390.0,86.53,86.08,87.3,86.9,27664.0
2017-01-06,86.31,2450244.0,86.31,85.83,86.6298,86.53,22496.0
2017-01-09,86.07,2482512.0,86.07,85.59,86.475,86.25,18377.0
2017-01-10,85.91,2539939.0,85.91,85.41,86.3,85.85,20207.0
2017-01-11,86.76,2754510.0,86.76,86.04,87.04,86.12,21761.0
2017-01-12,87.42,2484719.0,87.42,86.5,87.77,86.83,24523.0
2017-01-13,87.03,1799100.0,87.03,86.5775,87.43,87.42,14750.0
2017-01-17,87.92,2304841.0,87.92,86.71,87.975,86.71,20557.0
2017-01-18,88.35,2881765.0,88.35,87.8,88.59,87.8,18339.0
2017-01-19,87.85,1690802.0,87.85,87.55,88.43,88.18,16178.0
2017-01-20,88.95,2795514.0,88.95,88.01,89.0,88.35,20761.0
2017-01-23,88.8,2654131.0,88.8,88.2,88.95,88.66,17255.0
2017-01-24,88.69,2171124.0,88.69,88.32,89.19,88.91,16862.0
2017-01-25,88.84,2267495.0,88.84,88.41,89.27,88.93,17672.0
2017-01-26,89.41,3092073.0,89.41,88.715,89.9,89.49,27612.0
2017-01-27,89.43,1842942.0,89.43,88.78,89.77,88.96,18302.0
2017-01-30,89.08,2237231.0,89.08,88.63,89.5,89.09,18467.0
2017-01-31,89.29,2650528.0,89.29,88.835,89.56,88.9,19684.0
2017-02-01,88.41,1816784.0,88.41,88.3075,89.335,88.89,18048.0
2017-02-02,88.61,1826675.0,88.61,88.32,89.1,88.51,19536.0
2017-02-03,89.27,2205056.0,89.27,88.64,89.35,89.21,19479.0
2017-02-06,88.7,1359780.0,88.7,88.64,89.4,89.3,13875.0
2017-02-07,88.81,2599297.0,88.81,88.5,89.02,88.71,20840.0
2017-02-08,89.19,3300398.0,89.19,88.79,89.31,88.81,21254.0
2017-02-09,89.78,2712109.0,89.78,89.04,90.39,89.27,20235.0
2017-02-10,90.2,1882092.0,90.2,89.34,90.54,89.6,15607.0
2017-02-13,90.58,1812547.0,90.58,89.695,90.6,90.31,15779.0
2017-02-14,90.81,2323242.0,90.81,90.1,91.0625,90.57,22323.0
2017-02-15,91.095,3083858.0,91.095,90.26,91.3,91.13,27285.0
2017-02-16,87.28,10584747.0,87.28,86.35,89.84,89.1,75246.0
2017-02-17,96.65,30007910.0,96.65,91.85,97.77,92.0,174435.0
2017-02-21,94.87,14506967.0,94.87,91.35,95.48,91.82,91892.0
2017-02-22,93.36,5000119.0,93.36,92.99,95.0,94.85,39686.0
2017-02-23,92.94,2901140.0,92.94,92.35,93.62,93.29,26199.0
2017-02-24,93.08,2670483.0,93.08,92.57,93.8,93.51,24280.0
2017-02-27,90.61,6085677.0,90.61,90.33,92.87,92.6,45773.0
2017-02-28,91.51,4267732.0,91.51,90.35,91.98,90.68,32503.0
2017-03-01,91.43,2858644.0,91.43,90.65,91.91,91.77,26553.0
2017-03-02,91.28,2552714.0,91.28,90.78,91.69,91.5,21377.0
2017-03-03,91.5,1653039.0,91.5,90.81,91.5,91.25,14687.0
2017-03-06,91.16,2044942.0,91.16,90.79,91.51,91.02,16910.0
2017-03-07,90.8,1490968.0,90.8,90.72,91.44,90.81,15208.0
2017-03-08,90.9,2034763.0,90.9,90.44,91.17,90.67,19129.0
2017-03-09,91.53,2108524.0,91.53,90.62,91.585,90.77,18576.0
2017-03-10,91.51,2277111.0,91.51,91.26,92.091,92.08,14703.0
2017-03-13,91.18,2182943.0,91.18,91.02,91.5,91.37,12439.0
2017-03-14,91.06,2097343.0,91.06,90.67,91.35,91.16,20556.0
2017-03-15,91.84,2076292.0,91.84,91.09,92.14,91.59,18589.0
2017-03-16,92.77,4139046.0,92.77,92.16,93.27,92.74,35489.0
2017-03-17,91.98,5655915.0,91.98,91.82,93.67,93.6,25605.0
2017-03-20,92.36,2062998.0,92.36,91.89,92.95,92.03,16669.0
2017-03-21,91.9,2373303.0,91.9,91.59,92.78,92.31,21874.0
2017-03-22,92.29,1540363.0,92.29,92.04,92.75,92.25,16068.0
2017-03-23,92.01,1833318.0,92.01,91.9,92.78,92.05,14956.0
2017-03-24,91.68,1703782.0,91.68,91.32,92.4,92.24,16829.0
2017-03-27,91.25,1699017.0,91.25,91.0913,91.59,91.5,16078.0
2017-03-28,91.41,2223337.0,91.41,90.78,91.665,90.78,14865.0
2017-03-29,91.49,1462578.0,91.49,91.06,91.6,91.2,15001.0
2017-03-30,91.1,1143400.0,91.1,91.04,91.67,91.43,11373.0
2017-03-31,90.81,2205051.0,90.81,90.57,91.19,90.88,14560.0
2017-04-03,91.06,3414988.0,91.06,90.63,91.28,90.8,19441.0
2017-04-04,91.22,2193999.0,91.22,90.27,91.25,90.7,19882.0
2017-04-05,91.42,2694733.0,91.42,91.03,92.42,91.1,21892.0
2017-04-06,90.95,2096946.0,90.95,90.65,91.79,91.49,17661.0
2017-04-07,90.7,2000297.0,90.7,90.67,91.49,91.17,14911.0
2017-04-10,90.89,3496948.0,90.89,90.16,91.0,90.65,19822.0
2017-04-11,90.83,1396543.0,90.83,90.3875,91.07,90.89,14998.0
2017-04-12,91.93,2007448.0,91.93,91.01,92.14,91.03,19252.0
2017-04-13,91.5,1816348.0,91.5,91.4801,92.05,92.05,17271.0
2017-04-17,91.58,1803779.0,91.58,91.03,91.96,91.8,15589.0
2017-04-18,92.5,2135091.0,92.5,91.33,92.63,91.54,20306.0
2017-04-19,91.85,1978523.0,91.85,91.69,92.45,92.43,16609.0
2017-04-20,92.04,1787936.0,92.04,91.55,92.4,92.11,14824.0
2017-04-21,91.6,1969817.0,91.6,91.56,92.24,92.13,16021.0
2017-04-24,92.56,2185402.0,92.56,92.01,92.87,92.01,19759.0
2017-04-25,92.29,1882406.0,92.29,92.28,92.895,92.64,16247.0
2017-04-26,90.92,2736569.0,90.92,90.88,92.33,92.32,23312.0
2017-04-27,90.83,2290675.0,90.83,90.66,91.42,90.92,21391.0
2017-04-28,90.39,2894535.0,90.39,89.83,91.23,91.2,22436.0
2017-05-01,89.47,3363636.0,89.47,89.35,90.75,90.65,25821.0
2017-05-02,89.0,3058604.0,89.0,88.76,89.83,89.64,29871.0
2017-05-03,89.14,2695311.0,89.14,88.9,90.22,90.22,24190.0
2017-05-04,89.7,6391236.0,89.7,87.14,91.8,88.0,51862.0
2017-05-05,89.63,2267257.0,89.63,89.18,90.1,89.86,20603.0
2017-05-08,89.48,2311646.0,89.48,89.0,89.77,89.58,19827.0
2017-05-09,89.2,2299192.0,89.2,88.87,89.6507,89.23,18701.0
2017-05-10,89.33,1654366.0,89.33,88.94,89.4,89.11,16397.0
2017-05-11,89.28,1402517.0,89.28,88.8,89.46,88.8,13657.0
2017-05-12,88.95,1827328.0,88.95,88.67,89.45,89.34,16135.0
2017-05-15,89.45,2029672.0,89.45,88.56,89.47,88.76,15229.0
2017-05-16,89.11,1974606.0,89.11,88.85,89.83,89.26,16572.0
2017-05-17,89.51,3867238.0,89.51,88.51,90.1401,88.91,31006.0
2017-05-18,90.16,2854738.0,90.16,88.91,90.73,89.65,24079.0
2017-05-19,90.28,2707630.0,90.28,89.4,90.55,89.75,20227.0
2017-05-22,91.18,1830532.0,91.18,90.04,91.33,90.11,13080.0
2017-05-23,91.87,1803653.0,91.87,91.01,92.0,91.21,15805.0
2017-05-24,92.59,1814952.0,92.59,91.78,92.66,92.0,14885.0
2017-05-25,92.81,1665648.0,92.81,92.38,93.01,92.69,16507.0
2017-05-26,92.99,1308005.0,92.99,92.52,93.09,92.9,10432.0
2017-05-30,92.46,1952689.0,92.46,92.1875,93.0,92.94,15220.0
2017-05-31,92.2,2283034.0,92.2,91.97,92.95,92.63,18667.0
2017-06-01,92.73,2465990.0,92.73,91.42,92.74,92.35,21497.0
2017-06-02,93.54,2506105.0,93.54,92.38,93.55,92.94,20578.0
2017-06-05,93.44,1707459.0,93.44,93.05,93.7,93.58,12754.0
2017-06-06,93.21,1758505.0,93.21,93.08,93.87,93.45,16025.0
2017-06-07,93.77,1987254.0,93.77,93.14,93.88,93.45,17816.0
2017-06-08,92.57,2458729.0,92.57,92.475,93.67,93.46,17642.0
2017-06-09,90.83,2802439.0,90.83,90.46,92.54,92.48,24808.0
2017-06-12,91.25,2720572.0,91.25,90.4285,92.42,90.6,24765.0
2017-06-13,91.59,1909814.0,91.59,90.17,91.66,90.68,19276.0
2017-06-14,91.46,1697266.0,91.46,90.99,92.45,92.15,17935.0
2017-06-15,91.65,2312724.0,91.65,91.01,91.84,91.16,20074.0
2017-06-16,89.41,7470649.0,89.41,88.91,91.22,90.87,36902.0
2017-06-19,89.85,3331607.0,89.85,89.02,90.24,89.96,25921.0
2017-06-20,89.28,2659504.0,89.28,89.14,89.7722,89.66,19095.0
2017-06-21,89.4,2186185.0,89.4,89.11,89.6975,89.31,20193.0
2017-06-22,89.1,2720958.0,89.1,88.895,89.75,89.47,17486.0
2017-06-23,88.85,4205780.0,88.85,88.57,89.4,89.4,20332.0
2017-06-26,88.94,1704293.0,88.94,88.87,89.73,89.53,15489.0
2017-06-27,87.51,2962070.0,87.51,87.48,88.95,88.76,25222.0
2017-06-28,87.82,3032285.0,87.82,87.21,88.49,88.11,23465.0
2017-06-29,85.76,5189229.0,85.76,85.45,87.8125,87.69,43136.0
2017-06-30,85.64,3415042.0,85.64,85.5,87.27,87.2,24275.0
2017-07-03,84.47,2905466.0,84.47,84.39,86.1,85.96,22977.0
2017-07-05,83.79,4607746.0,83.79,83.645,84.76,84.46,33127.0
2017-07-06,82.82,3403118.0,82.82,82.62,83.61,83.3,27775.0
2017-07-07,83.04,3454606.0,83.04,82.2,83.9,82.58,27039.0
2017-07-10,82.77,3292643.0,82.77,82.76,83.73,83.39,24200.0
2017-07-11,83.75,5022667.0,83.75,82.2,83.99,82.2,32680.0
2017-07-12,84.7,4026384.0,84.7,84.29,85.18,84.33,33413.0
2017-07-13,84.85,2626496.0,84.85,84.335,85.04,84.74,20650.0
2017-07-14,85.65,2533617.0,85.65,84.83,85.7,85.31,21426.0
2017-07-17,85.6,1831490.0,85.6,85.09,85.75,85.68,17521.0
2017-07-18,85.6,1586783.0,85.6,85.1732,85.85,85.69,13828.0
2017-07-19,85.69,2184553.0,85.69,85.21,85.85,85.63,19554.0
2017-07-20,85.9,2770532.0,85.9,85.665,86.1,86.1,21638.0
2017-07-21,86.16,2840837.0,86.16,85.41,86.19,85.66,20621.0
2017-07-24,86.22,1881354.0,86.22,85.6001,86.31,86.12,16410.0
2017-07-25,87.42,3044408.0,87.42,86.145,87.61,86.24,23071.0
2017-07-26,87.66,2935324.0,87.66,87.4101,90.38,87.5,25345.0
2017-07-27,88.19,3025753.0,88.19,87.31,88.22,87.53,26858.0
2017-07-28,87.64,1902723.0,87.64,87.07,88.07,87.8,19983.0
2017-07-31,87.46,2593117.0,87.46,86.98,87.99,87.79,21306.0
