YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,25.38,3131292.0,25.38,25.08,25.39,25.38,
2017-01-04,25.96,4072108.0,25.96,25.39,25.97,25.47,
2017-01-05,26.07,2550031.0,26.07,25.61,26.095,25.71,
2017-01-06,25.88,1777308.0,25.88,25.86,26.16,26.06,
2017-01-09,25.57,2952136.0,25.57,25.54,26.15,26.1,
2017-01-10,25.14,2394568.0,25.14,25.13,25.57,25.53,
2017-01-11,24.95,2583070.0,24.95,24.91,25.215,25.05,
2017-01-12,25.35,2930188.0,25.35,24.72,25.435,24.95,
2017-01-13,25.33,2405379.0,25.33,25.06,25.47,25.3,
2017-01-17,25.54,2542295.0,25.54,25.29,25.57,25.32,
2017-01-18,25.5,1966906.0,25.5,25.32,25.7,25.51,
2017-01-19,24.98,2478798.0,24.98,24.91,25.48,25.39,
2017-01-20,25.15,2018901.0,25.15,24.89,25.19,25.0,
2017-01-23,25.35,2940117.0,25.35,25.07,25.415,25.17,
2017-01-24,25.4,2294287.0,25.4,25.16,25.46,25.37,
2017-01-25,25.12,2522630.0,25.12,25.06,25.479,25.41,
2017-01-26,25.08,2358359.0,25.08,25.0,25.405,25.19,
2017-01-27,24.81,2871910.0,24.81,24.65,25.14,25.13,
2017-01-30,24.76,4109085.0,24.76,24.5599,24.91,24.77,
2017-01-31,24.89,7566716.0,24.89,24.74,25.18,24.81,
2017-02-01,24.57,3081071.0,24.57,24.51,25.08,24.88,
2017-02-02,24.87,3688830.0,24.87,24.43,24.91,24.52,
2017-02-03,24.85,5493182.0,24.85,24.26,25.1,25.1,
2017-02-06,24.76,2615494.0,24.76,24.67,24.96,24.85,
2017-02-07,24.31,3597000.0,24.31,24.28,24.87,24.71,
2017-02-08,24.61,3462684.0,24.61,24.27,24.63,24.31,
2017-02-09,24.79,2393471.0,24.79,24.58,24.83,24.66,
2017-02-10,25.04,2034490.0,25.04,24.71,25.08,24.76,
2017-02-13,24.91,2136473.0,24.91,24.765,25.15,24.97,
2017-02-14,24.68,2783686.0,24.68,24.58,24.88,24.88,
2017-02-15,24.14,3896300.0,24.14,24.02,24.65,24.65,
2017-02-16,24.23,3923995.0,24.23,24.1,24.53,24.21,
2017-02-17,24.33,3157878.0,24.33,24.045,24.36,24.24,
2017-02-21,24.65,2001319.0,24.65,24.2,24.71,24.32,
2017-02-22,24.35,2947223.0,24.35,24.26,24.75,24.65,
2017-02-23,24.48,2635077.0,24.48,24.2,24.51,24.43,
2017-02-24,24.38,3208465.0,24.38,24.07,24.47,24.46,
2017-02-27,24.45,3673362.0,24.45,24.29,24.68,24.44,
2017-02-28,24.25,9280492.0,24.25,24.15,24.6,24.41,
2017-03-01,23.76,3998688.0,23.76,23.6789,24.11,24.11,
2017-03-02,23.53,4274210.0,23.53,23.41,23.75,23.68,
2017-03-03,23.38,5274796.0,23.38,23.0,23.65,23.62,
2017-03-06,23.16,4976046.0,23.16,23.0,23.31,23.31,
2017-03-07,22.75,3138957.0,22.75,22.73,23.17,23.12,
2017-03-08,22.24,4057991.0,22.24,22.12,22.65,22.65,
2017-03-09,21.59,5680709.0,21.59,21.56,22.385,22.22,
2017-03-10,21.64,4907507.0,21.64,21.46,21.93,21.72,
2017-03-13,21.85,5561479.0,21.85,21.6639,21.98,21.98,
2017-03-14,22.19,5988446.0,22.19,21.7,22.3,21.7,
2017-03-15,22.8,5324796.0,22.8,22.23,23.02,22.36,
2017-03-16,22.79,4255718.0,22.79,22.7,22.91,22.82,
2017-03-17,22.79,7561684.0,22.79,22.46,22.84,22.8,
2017-03-20,22.56,3960430.0,22.56,22.51,22.82,22.79,
2017-03-21,22.58,3082257.0,22.58,22.48,22.71,22.55,
2017-03-22,22.13,3732225.0,22.13,21.86,22.57,22.57,
2017-03-23,22.49,3007904.0,22.49,22.09,22.75,22.12,
2017-03-24,22.58,3146409.0,22.58,22.49,22.75,22.49,
2017-03-27,22.0,3319801.0,22.0,21.93,22.69,22.5,
2017-03-28,22.09,3172830.0,22.09,21.72,22.12,21.93,
2017-03-29,21.93,3265535.0,21.93,21.76,22.06,22.06,
2017-03-30,21.96,2475871.0,21.96,21.71,21.99,21.91,
2017-03-31,22.09,5048478.0,22.09,21.955,22.12,22.0,
2017-04-03,22.09,4520120.0,22.09,21.77,22.21,21.82,
2017-04-04,21.9,3999956.0,21.9,21.84,22.21,22.1,
2017-04-05,21.86,3500129.0,21.86,21.83,22.045,21.96,
2017-04-06,21.68,4111307.0,21.68,21.62,21.85,21.83,
2017-04-07,21.5,4361042.0,21.5,21.46,21.78,21.72,
2017-04-10,21.93,4269914.0,21.93,21.43,21.99,21.53,
2017-04-11,22.24,3654613.0,22.24,21.95,22.34,22.0,
2017-04-12,22.35,3181306.0,22.35,22.11,22.46,22.25,
2017-04-13,22.34,2057958.0,22.34,22.26,22.46,22.35,
2017-04-17,22.56,2647880.0,22.56,22.355,22.62,22.41,
2017-04-18,22.72,3224777.0,22.72,22.465,22.74,22.55,
2017-04-19,22.69,3246534.0,22.69,22.64,23.03,22.71,
2017-04-20,22.6,2289681.0,22.6,22.43,22.71,22.71,
2017-04-21,22.23,2704666.0,22.23,22.16,22.6498,22.58,
2017-04-24,21.58,4858982.0,21.58,21.515,22.34,22.32,
2017-04-25,21.71,5728563.0,21.71,21.53,21.795,21.63,
2017-04-26,21.14,8016414.0,21.14,21.09,21.695,21.65,
2017-04-27,20.67,5790318.0,20.67,20.63,21.85,21.49,
2017-04-28,20.29,4208015.0,20.29,20.18,20.65,20.64,
2017-05-01,20.43,4012499.0,20.43,20.16,20.68,20.32,
2017-05-02,20.72,5654936.0,20.72,20.255,20.9,20.43,
2017-05-03,20.11,3562330.0,20.11,20.03,20.79,20.79,
2017-05-04,19.96,6884674.0,19.96,19.39,19.99,19.91,
2017-05-05,19.94,4074880.0,19.94,19.86,20.1186,20.0,
2017-05-08,19.43,3667624.0,19.43,19.31,20.01,19.96,
2017-05-09,19.52,4851597.0,19.52,19.18,19.64,19.41,
2017-05-10,19.64,5303847.0,19.64,19.39,19.795,19.45,
