YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,15.83,1514673.0,15.83,15.51,15.84,15.67,
2017-01-04,16.38,3192332.0,16.38,15.93,16.65,15.96,
2017-01-05,16.41,1635712.0,16.41,16.08,16.43,16.33,
2017-01-06,16.73,2818239.0,16.73,16.38,16.81,16.44,
2017-01-09,17.14,6670112.0,17.14,16.7599,17.27,17.19,
2017-01-10,17.11,3653486.0,17.11,17.04,17.4,17.22,
2017-01-11,17.25,2774064.0,17.25,17.0,17.305,17.21,
2017-01-12,17.23,2319748.0,17.23,17.01,17.39,17.34,
2017-01-13,17.23,2577387.0,17.23,17.0242,17.47,17.25,
2017-01-17,16.99,3467513.0,16.99,16.845,17.19,17.06,
2017-01-18,17.14,2414401.0,17.14,16.86,17.16,16.95,
2017-01-19,17.04,1933216.0,17.04,16.94,17.15,17.14,
2017-01-20,17.22,1576461.0,17.22,17.01,17.24,17.05,
2017-01-23,17.19,3525952.0,17.19,17.12,17.35,17.19,
2017-01-24,17.62,3477154.0,17.62,17.19,17.67,17.24,
2017-01-25,17.69,2644559.0,17.69,17.5,17.8599,17.75,
2017-01-26,17.8,1646166.0,17.8,17.69,17.83,17.71,
2017-01-27,17.74,1869503.0,17.74,17.68,17.8,17.8,
2017-01-30,17.54,1372471.0,17.54,17.36,17.59,17.59,
2017-01-31,17.36,2431146.0,17.36,17.2,17.58,17.34,
2017-02-01,17.58,3277531.0,17.58,17.43,17.79,17.48,
2017-02-02,17.56,2339244.0,17.56,17.35,17.6099,17.46,
2017-02-03,17.61,2164103.0,17.61,17.61,17.98,17.79,
2017-02-06,17.47,1933930.0,17.47,17.4,17.58,17.51,
2017-02-07,17.94,3501819.0,17.94,17.43,18.02,17.49,
2017-02-08,18.37,4020518.0,18.37,17.8493,18.4,17.94,
2017-02-09,18.24,5065683.0,18.24,17.77,18.36,18.0,
2017-02-10,18.17,4701843.0,18.17,18.1,18.38,18.21,
2017-02-13,18.0,5091656.0,18.0,17.67,18.28,18.13,
2017-02-14,18.01,3236402.0,18.01,17.6,18.0668,17.62,
2017-02-15,18.18,2190746.0,18.18,17.95,18.21,17.99,
2017-02-16,18.01,5979186.0,18.01,17.83,18.04,17.98,
2017-02-17,18.25,2947326.0,18.25,17.91,18.285,17.95,
2017-02-21,18.27,2318852.0,18.27,18.14,18.35,18.14,
2017-02-22,18.24,2582029.0,18.24,18.04,18.25,18.04,
2017-02-23,18.19,2182578.0,18.19,18.05,18.27,18.23,
2017-02-24,18.0,4035322.0,18.0,17.69,18.15,17.95,
2017-02-27,18.12,2952711.0,18.12,17.34,18.13,17.83,
2017-02-28,18.03,2444012.0,18.03,17.88,18.14,17.88,
2017-03-01,18.18,6489392.0,18.18,18.15,18.3,18.23,
2017-03-02,18.09,2572067.0,18.09,18.07,18.24,18.18,
2017-03-03,18.09,1504011.0,18.09,17.95,18.13,18.05,
2017-03-06,18.04,2460350.0,18.04,17.94,18.2,17.97,
2017-03-07,17.91,2551469.0,17.91,17.75,18.1,18.07,
2017-03-08,18.01,2873152.0,18.01,17.89,18.095,18.01,
2017-03-09,18.02,2931694.0,18.02,17.925,18.16,18.0,
2017-03-10,18.21,2576072.0,18.21,18.0399,18.25,18.14,
2017-03-13,18.27,2850917.0,18.27,18.1,18.35,18.16,
2017-03-14,18.26,2334625.0,18.26,18.11,18.28,18.19,
2017-03-15,18.43,2077942.0,18.43,18.251,18.5,18.36,
2017-03-16,18.35,1171812.0,18.35,18.27,18.49,18.44,
2017-03-17,18.16,2729388.0,18.16,18.09,18.35,18.32,
2017-03-20,18.25,2151109.0,18.25,18.1,18.29,18.1,
2017-03-21,17.93,4734897.0,17.93,17.89,18.31,18.3,
2017-03-22,18.22,3207024.0,18.22,17.73,18.33,17.92,
2017-03-23,18.24,2444030.0,18.24,18.11,18.31,18.19,
2017-03-24,18.17,2060637.0,18.17,18.08,18.3,18.23,
2017-03-27,17.68,6646984.0,17.68,17.53,18.02,17.91,
2017-03-28,17.85,4303946.0,17.85,17.6,18.0,17.6,
2017-03-29,17.77,1607053.0,17.77,17.65,17.89,17.78,
2017-03-30,18.37,3730777.0,18.37,17.66,18.44,17.66,
2017-03-31,18.23,2556008.0,18.23,18.2,18.52,18.2,
2017-04-03,17.94,1566083.0,17.94,17.825,18.22,18.16,
2017-04-04,18.04,1786257.0,18.04,17.84,18.13,17.84,
2017-04-05,17.68,3066063.0,17.68,17.615,18.17,18.12,
2017-04-06,17.68,2339807.0,17.68,17.58,17.81,17.62,
2017-04-07,17.45,2498493.0,17.45,17.425,17.685,17.56,
2017-04-10,17.89,2022828.0,17.89,17.36,17.9,17.42,
2017-04-11,17.88,2179975.0,17.88,17.7,17.93,17.83,
2017-04-12,17.57,1790671.0,17.57,17.54,17.875,17.8,
2017-04-13,17.27,1322132.0,17.27,17.23,17.63,17.5,
2017-04-17,17.31,1764103.0,17.31,16.85,17.42,16.89,
2017-04-18,17.04,2212196.0,17.04,16.92,17.25,17.16,
2017-04-19,16.86,2489351.0,16.86,16.77,17.23,17.12,
2017-04-20,17.22,2617018.0,17.22,16.89,17.28,16.91,
2017-04-21,17.04,1362177.0,17.04,16.95,17.32,17.25,
2017-04-24,17.26,1397762.0,17.26,17.16,17.3854,17.34,
2017-04-25,17.49,2212546.0,17.49,17.31,17.535,17.35,
2017-04-26,17.77,3091354.0,17.77,17.51,17.945,17.52,
2017-04-27,18.73,10718838.0,18.73,17.91,19.09,18.15,
2017-04-28,18.98,3206829.0,18.98,18.75,19.3,19.19,
2017-05-01,18.9,2743067.0,18.9,18.7,19.0299,18.92,
2017-05-02,18.74,1445622.0,18.74,18.6233,18.85,18.75,
2017-05-03,18.6,1198578.0,18.6,18.54,18.72,18.7,
2017-05-04,18.25,1831186.0,18.25,18.22,18.65,18.5,
2017-05-05,18.59,1978506.0,18.59,18.169,18.6,18.25,
2017-05-08,18.74,1618157.0,18.74,18.505,18.79,18.6,
2017-05-09,18.97,2664047.0,18.97,18.5,19.03,18.65,
2017-05-10,18.83,2541443.0,18.83,18.77,19.02,18.85,
2017-05-11,18.69,2315409.0,18.69,18.54,18.862,18.77,
2017-05-12,18.36,2447366.0,18.36,18.21,18.6779,18.6,
2017-05-15,18.53,2194521.0,18.53,18.28,18.68,18.32,
2017-05-16,18.63,1684385.0,18.63,18.505,18.69,18.55,
2017-05-17,17.93,3136196.0,17.93,17.91,18.47,18.45,
2017-05-18,18.14,2324550.0,18.14,17.61,18.23,17.83,
2017-05-19,18.45,2294142.0,18.45,18.18,18.655,18.2,
2017-05-22,18.84,3398676.0,18.84,18.54,18.98,18.56,
2017-05-23,18.7,1582681.0,18.7,18.59,19.0,18.76,
2017-05-24,18.74,919018.0,18.74,18.55,18.79,18.78,
2017-05-25,18.63,1297466.0,18.63,18.5,18.8,18.75,
2017-05-26,18.67,954995.0,18.67,18.5,18.72,18.57,
2017-05-30,18.61,1084893.0,18.61,18.5003,18.73,18.52,
2017-05-31,18.42,1209397.0,18.42,18.26,18.63,18.55,
2017-06-01,18.76,1764750.0,18.76,18.4102,18.79,18.42,
2017-06-02,18.79,2396394.0,18.79,18.74,18.9,18.8,
2017-06-05,18.5,2000047.0,18.5,18.43,18.81,18.77,
2017-06-06,18.53,1372977.0,18.53,18.25,18.57,18.33,
