YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,79.41,1330860.0,79.41,78.48,80.45,78.97,13637.0
2017-01-04,79.13,1165699.0,79.13,78.43,79.47,79.2,11572.0
2017-01-05,78.42,1317168.0,78.42,77.86,79.27,78.76,10140.0
2017-01-06,79.13,942696.0,79.13,77.92,79.17,78.63,9306.0
2017-01-09,79.59,1040649.0,79.59,79.17,80.1,79.21,10470.0
2017-01-10,79.33,561899.0,79.33,78.83,79.7,79.6,6656.0
2017-01-11,80.27,1208074.0,80.27,79.025,80.46,79.24,10303.0
2017-01-12,80.1,903990.0,80.1,79.47,80.21,80.18,9611.0
2017-01-13,81.44,1148201.0,81.44,80.11,81.58,80.13,9701.0
2017-01-17,80.0,1198991.0,80.0,79.2,81.38,81.38,11689.0
2017-01-18,81.63,1297461.0,81.63,80.03,81.69,80.34,9323.0
2017-01-19,81.15,911245.0,81.15,80.82,81.89,81.67,9344.0
2017-01-20,81.56,965097.0,81.56,80.68,81.88,81.0,8022.0
2017-01-23,82.1,1029770.0,82.1,81.39,82.11,81.69,10330.0
2017-01-24,82.8,1135093.0,82.8,81.88,83.05,82.23,10452.0
2017-01-25,84.67,2007413.0,84.67,83.13,85.14,83.6,17888.0
2017-01-26,83.25,2715731.0,83.25,82.97,84.82,84.65,20946.0
2017-01-27,86.16,3253500.0,86.16,85.23,87.96,85.97,27542.0
2017-01-30,86.25,1635158.0,86.25,85.18,86.56,85.99,14687.0
2017-01-31,85.11,1492809.0,85.11,84.57,86.23,86.23,13008.0
2017-02-01,86.04,1399605.0,86.04,84.9,86.06,85.54,11439.0
2017-02-02,87.36,1612911.0,87.36,85.33,87.57,85.94,12864.0
2017-02-03,87.59,1298064.0,87.59,87.18,88.12,87.91,10813.0
2017-02-06,87.0,1160861.0,87.0,86.9,87.9,87.27,10134.0
2017-02-07,87.66,1256964.0,87.66,86.89,87.72,86.89,12046.0
2017-02-08,86.87,1031752.0,86.87,86.87,87.83,87.76,10197.0
2017-02-09,86.74,811672.0,86.74,86.49,87.29,86.85,8128.0
2017-02-10,86.64,1422066.0,86.64,86.33,87.24,86.96,6805.0
2017-02-13,87.22,698770.0,87.22,86.72,87.48,86.8,6683.0
2017-02-14,86.99,1408884.0,86.99,86.36,87.29,87.16,6956.0
2017-02-15,87.68,743737.0,87.68,86.69,87.86,86.99,7568.0
2017-02-16,88.53,1936323.0,88.53,87.165,88.58,87.91,14274.0
2017-02-17,88.46,1431179.0,88.46,87.41,88.47,88.26,12270.0
2017-02-21,90.45,1301332.0,90.45,88.3,90.5,88.7,11124.0
2017-02-22,90.27,836588.0,90.27,89.56,90.4,90.15,8392.0
2017-02-23,89.9,808626.0,89.9,89.34,90.88,90.35,7819.0
2017-02-24,90.29,762448.0,90.29,89.11,90.35,89.46,7810.0
2017-02-27,90.22,437144.0,90.22,89.51,90.46,90.46,4847.0
2017-02-28,90.12,989938.0,90.12,89.78,90.46,90.26,7901.0
2017-03-01,91.44,1314195.0,91.44,89.86,91.65,90.66,12181.0
2017-03-02,90.73,1091305.0,90.73,90.65,91.58,91.35,10965.0
2017-03-03,90.42,751666.0,90.42,89.87,91.02,90.93,7119.0
2017-03-06,90.82,774930.0,90.82,89.6036,91.06,90.03,7979.0
2017-03-07,91.04,879071.0,91.04,89.52,91.43,90.52,7501.0
2017-03-08,91.55,1089434.0,91.55,90.79,91.89,91.27,9016.0
2017-03-09,91.79,1022122.0,91.79,91.0601,91.9199,91.77,8175.0
2017-03-10,93.2,1386573.0,93.2,91.89,93.22,92.59,11372.0
2017-03-13,92.86,1113696.0,92.86,92.41,93.35,92.97,10712.0
2017-03-14,92.87,712250.0,92.87,92.05,93.39,92.86,7479.0
2017-03-15,93.61,784871.0,93.61,92.64,93.65,93.1,8029.0
2017-03-16,94.2,843595.0,94.2,93.529,94.66,93.61,8276.0
2017-03-17,94.69,1982335.0,94.69,93.99,95.27,94.43,11589.0
2017-03-20,95.12,1013585.0,95.12,94.61,96.34,95.02,10501.0
2017-03-21,94.19,1110306.0,94.19,93.24,95.74,95.34,12885.0
2017-03-22,95.57,1076846.0,95.57,93.99,95.64,94.53,12125.0
2017-03-23,95.23,766765.0,95.23,94.85,95.9956,95.58,7556.0
2017-03-24,95.72,514617.0,95.72,95.3,96.91,96.05,5664.0
2017-03-27,95.8,572022.0,95.8,94.61,96.105,95.33,6496.0
