YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,64.82,2302606.0,64.82,64.095,65.92,65.03,
2017-01-04,66.76,3485940.0,66.76,65.08,67.6,65.18,
2017-01-05,66.38,2052177.0,66.38,65.34,67.17,66.17,
2017-01-06,65.4,1277429.0,65.4,65.37,66.51,66.19,
2017-01-09,65.19,1557353.0,65.19,64.85,65.87,65.46,
2017-01-10,65.68,2462390.0,65.68,65.0,66.73,65.01,
2017-01-11,66.89,2431931.0,66.89,66.25,68.06,67.09,
2017-01-12,66.81,1278194.0,66.81,65.48,67.1,66.95,
2017-01-13,67.17,1063040.0,67.17,66.73,67.51,66.82,
2017-01-17,66.47,1402518.0,66.47,66.2,67.32,67.17,
2017-01-18,65.68,2267565.0,65.68,65.22,66.39,66.25,
2017-01-19,66.47,1994854.0,66.47,65.67,66.88,65.67,
2017-01-20,66.65,1306557.0,66.65,66.11,67.11,66.68,
2017-01-23,67.13,1768808.0,67.13,66.13,67.35,66.2,
2017-01-24,68.21,2608697.0,68.21,67.31,68.72,67.51,
2017-01-25,68.2,2866913.0,68.2,67.85,68.385,68.19,
2017-01-26,67.67,1622716.0,67.67,67.56,68.86,68.34,
2017-01-27,67.46,1084433.0,67.46,67.18,67.97,67.87,
2017-01-30,66.89,2534460.0,66.89,66.22,67.47,67.3,
2017-01-31,66.71,3275669.0,66.71,65.74,66.92,66.85,
2017-02-01,65.19,2931719.0,65.19,64.7,66.55,65.0,
2017-02-02,65.0,1689935.0,65.0,64.63,65.77,65.37,
2017-02-03,65.69,1428378.0,65.69,65.03,66.11,65.03,
2017-02-06,65.11,1340321.0,65.11,64.67,65.59,65.37,
2017-02-07,65.83,1669370.0,65.83,65.02,65.85,65.16,
2017-02-08,66.76,2276220.0,66.76,65.5,66.94,65.53,
2017-02-09,67.44,1432574.0,67.44,66.11,67.68,66.84,
2017-02-10,67.54,1531024.0,67.54,66.75,67.91,67.72,
2017-02-13,67.5,1437186.0,67.5,67.03,67.95,67.79,
2017-02-14,68.22,1308614.0,68.22,67.3,68.31,67.5,
2017-02-15,68.6,1793110.0,68.6,67.79,68.86,67.91,
2017-02-16,68.28,1606836.0,68.28,68.2,69.11,68.5,
2017-02-17,67.02,2383545.0,67.02,66.39,67.65,67.63,
