YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,41.8,14711049.0,41.8,41.28,41.81,41.5,
2017-01-04,41.65,9959402.0,41.65,41.59,41.97,41.88,
2017-01-05,41.75,8968258.0,41.75,41.525,41.86,41.66,
2017-01-06,41.74,10247235.0,41.74,41.54,41.81,41.7,
2017-01-09,41.32,14822501.0,41.32,41.21,41.58,41.23,
2017-01-10,41.04,19706782.0,41.04,40.86,41.44,41.44,
2017-01-11,41.05,9266213.0,41.05,40.83,41.12,40.85,
2017-01-12,40.95,8541181.0,40.95,40.8,41.04,41.01,
2017-01-13,40.88,8123494.0,40.88,40.69,41.04,41.0,
2017-01-17,41.22,12469432.0,41.22,40.8,41.3,40.84,
2017-01-18,41.29,10390485.0,41.29,41.14,41.379,41.25,
2017-01-19,41.14,10987072.0,41.14,41.03,41.29,41.14,
2017-01-20,41.32,14695409.0,41.32,41.13,41.44,41.27,
2017-01-23,41.43,11628909.0,41.43,41.21,41.5,41.31,
2017-01-24,41.9,17040102.0,41.9,41.47,41.97,41.47,
2017-01-25,42.12,12538163.0,42.12,41.9,42.25,41.94,
2017-01-26,41.81,8977135.0,41.81,41.79,42.11,42.03,
2017-01-27,41.45,12967361.0,41.45,41.42,41.95,41.91,
2017-01-30,41.38,11626225.0,41.38,41.205,41.48,41.3,
2017-01-31,41.57,12677977.0,41.57,41.36,41.685,41.39,
2017-02-01,41.26,11136077.0,41.26,41.25,41.66,41.52,
2017-02-02,41.4,9459722.0,41.4,41.25,41.49,41.41,
2017-02-03,41.54,11882373.0,41.54,41.455,41.79,41.58,
2017-02-06,41.56,15742824.0,41.56,41.4,41.67,41.53,
2017-02-07,41.9,13315185.0,41.9,41.67,41.98,41.7,
2017-02-08,42.02,14219667.0,42.02,41.84,42.15,41.91,
2017-02-09,41.25,27240268.0,41.25,40.72,41.68,41.52,
2017-02-10,40.58,28847307.0,40.58,40.55,41.2,41.02,
2017-02-13,40.62,23617075.0,40.62,40.5,40.83,40.77,
2017-02-14,40.53,32177836.0,40.53,40.22,40.6,40.38,
2017-02-15,40.44,26600788.0,40.44,40.395,40.63,40.42,
2017-02-16,41.2,22214839.0,41.2,40.5,41.28,40.55,
2017-02-17,41.23,15065148.0,41.23,41.05,41.36,41.13,
2017-02-21,41.46,17072551.0,41.46,41.2,41.5,41.2,
2017-02-22,41.6,11186823.0,41.6,41.4,41.68,41.51,
2017-02-23,41.66,12856844.0,41.66,41.62,42.0,41.67,
2017-02-24,41.78,13215306.0,41.78,41.6,41.91,41.7,
2017-02-27,41.67,12186364.0,41.67,41.585,41.75,41.75,
2017-02-28,41.96,15946816.0,41.96,41.64,42.07,41.68,
2017-03-01,42.16,14662016.0,42.16,41.88,42.35,42.01,
2017-03-02,42.47,15507623.0,42.47,42.07,42.56,42.08,
2017-03-03,42.48,11743030.0,42.48,42.25,42.49,42.44,
2017-03-06,42.18,16307783.0,42.18,42.12,42.43,42.34,
2017-03-07,41.99,11273704.0,41.99,41.95,42.24,42.0,
2017-03-08,41.99,14641689.0,41.99,41.74,42.025,42.0,
2017-03-09,42.03,14496447.0,42.03,41.92,42.11,42.09,
2017-03-10,42.29,16369676.0,42.29,42.15,42.4,42.23,
2017-03-13,42.03,12831543.0,42.03,41.84,42.12,41.92,
2017-03-14,41.97,9844453.0,41.97,41.83,42.1,41.98,
2017-03-15,42.12,22757762.0,42.12,41.97,42.275,41.98,
2017-03-16,42.25,16004192.0,42.25,41.9,42.39,42.03,
2017-03-17,42.03,37526506.0,42.03,42.01,42.35,42.28,
2017-03-20,42.18,11484233.0,42.18,42.0701,42.34,42.1,
2017-03-21,42.5,17187257.0,42.5,42.21,42.63,42.31,
2017-03-22,42.38,11605453.0,42.38,42.25,42.7,42.56,
2017-03-23,42.17,11503322.0,42.17,42.06,42.39,42.21,
2017-03-24,42.12,13804411.0,42.12,41.91,42.25,42.23,
2017-03-27,42.32,12387364.0,42.32,42.05,42.34,42.11,
2017-03-28,42.43,14123756.0,42.43,42.24,42.56,42.24,
2017-03-29,42.42,9580060.0,42.42,42.29,42.525,42.51,
2017-03-30,42.6,11999910.0,42.6,42.26,42.6155,42.35,
2017-03-31,42.44,11551767.0,42.44,42.43,42.65,42.55,
2017-04-03,42.41,11240037.0,42.41,42.27,42.625,42.58,
2017-04-04,42.68,10946230.0,42.68,42.37,42.69,42.51,
2017-04-05,42.57,10142817.0,42.57,42.53,42.855,42.65,
2017-04-06,42.67,14597765.0,42.67,42.47,42.76,42.58,
2017-04-07,42.61,11028772.0,42.61,42.51,42.74,42.64,
2017-04-10,42.69,9426908.0,42.69,42.5566,42.8,42.73,
2017-04-11,42.66,8909379.0,42.66,42.515,42.75,42.68,
2017-04-12,42.94,13417205.0,42.94,42.51,42.99,42.54,
2017-04-13,42.79,9891941.0,42.79,42.78,43.08,42.87,
2017-04-17,43.07,11318086.0,43.07,42.78,43.07,42.79,
2017-04-18,43.48,13181590.0,43.48,43.09,43.59,43.11,
2017-04-19,43.23,13893062.0,43.23,43.19,43.79,43.74,
2017-04-20,43.09,10838274.0,43.09,43.05,43.3,43.2,
2017-04-21,43.07,13833772.0,43.07,42.89,43.1,42.98,
