YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,129.07,961093.0,129.07,128.2,130.3777,129.17,
2017-01-04,130.1,1180006.0,130.1,128.93,130.1615,129.55,
2017-01-05,129.11,842819.0,129.11,128.15,130.79,129.67,
2017-01-06,129.34,737064.0,129.34,128.64,129.69,128.99,
2017-01-09,130.73,714965.0,130.73,129.4375,130.99,129.44,
2017-01-10,132.06,657955.0,132.06,130.33,132.63,130.98,
2017-01-11,134.94,1657144.0,134.94,132.38,135.92,132.41,
2017-01-12,134.65,718253.0,134.65,133.45,134.89,134.65,
2017-01-13,134.33,670548.0,134.33,134.12,135.9899,134.31,
2017-01-17,133.99,556387.0,133.99,132.66,134.41,133.93,
2017-01-18,134.39,781880.0,134.39,133.84,135.27,134.69,
2017-01-19,132.74,641530.0,132.74,132.56,134.0,133.96,
2017-01-20,132.4,525795.0,132.4,131.93,133.42,132.93,
2017-01-23,132.54,879900.0,132.54,131.59,132.91,131.78,
2017-01-24,133.04,538615.0,133.04,131.48,133.18,132.38,
2017-01-25,135.09,1227448.0,135.09,132.94,135.78,133.24,
2017-01-26,133.83,874589.0,133.83,133.82,135.6,135.09,
2017-01-27,133.63,748424.0,133.63,133.14,134.88,134.28,
2017-01-30,132.5,575031.0,132.5,131.44,133.25,132.92,
2017-01-31,134.21,832398.0,134.21,131.37,134.34,132.48,
2017-02-01,136.37,765340.0,136.37,134.63,136.68,134.7,
2017-02-02,136.49,684304.0,136.49,135.4269,136.59,136.07,
2017-02-03,137.69,502151.0,137.69,136.28,137.86,136.47,
2017-02-06,129.86,3670295.0,129.86,128.0,135.66,135.66,
2017-02-07,130.6,933986.0,130.6,129.42,130.69,129.63,
2017-02-08,131.49,645893.0,131.49,130.49,131.84,131.0,
2017-02-09,133.83,917357.0,133.83,130.292,134.07,131.47,
2017-02-10,135.01,1091030.0,135.01,133.65,135.76,133.84,
2017-02-13,134.93,797679.0,134.93,134.67,136.64,135.17,
2017-02-14,135.88,748755.0,135.88,134.135,136.21,135.19,
2017-02-15,136.37,1009505.0,136.37,134.095,137.19,135.18,
2017-02-16,139.13,1578917.0,139.13,137.0901,140.98,138.55,
2017-02-17,139.59,895298.0,139.59,138.28,140.19,138.68,
2017-02-21,139.64,929397.0,139.64,138.74,140.36,139.0,
2017-02-22,139.02,1000040.0,139.02,138.9,139.87,139.26,
2017-02-23,140.27,1079792.0,140.27,138.94,140.8,139.54,
2017-02-24,142.89,1294069.0,142.89,140.0,143.14,140.2,
2017-02-27,142.82,619910.0,142.82,142.31,143.7,143.0,
2017-02-28,142.26,709321.0,142.26,141.8,143.03,142.27,
2017-03-01,142.74,850466.0,142.74,141.61,143.15,143.15,
2017-03-02,141.93,481868.0,141.93,141.85,142.81,142.61,
2017-03-03,142.29,643792.0,142.29,141.06,142.5099,141.83,
2017-03-06,142.43,777652.0,142.43,141.29,142.81,141.96,
2017-03-07,142.09,497659.0,142.09,141.51,142.79,142.1,
2017-03-08,142.11,562172.0,142.11,141.62,142.71,142.1,
2017-03-09,143.13,714566.0,143.13,141.86,143.27,142.07,
2017-03-10,143.94,605033.0,143.94,142.89,144.28,143.57,
2017-03-13,144.24,678750.0,144.24,142.87,144.45,144.08,
2017-03-14,143.09,521228.0,143.09,142.645,143.8979,143.89,
2017-03-15,144.27,453254.0,144.27,143.07,144.63,143.65,
2017-03-16,144.18,560335.0,144.18,143.88,145.0,144.3,
2017-03-17,143.75,639040.0,143.75,143.28,144.43,144.3,
2017-03-20,143.64,767953.0,143.64,143.07,144.405,143.99,
2017-03-21,142.47,659503.0,142.47,141.93,144.385,143.91,
2017-03-22,142.3,896697.0,142.3,141.65,143.32,142.82,
2017-03-23,141.5,798576.0,141.5,141.06,143.14,142.38,
2017-03-24,142.0,872371.0,142.0,141.48,142.6,141.74,
2017-03-27,142.53,835246.0,142.53,141.07,142.57,141.35,
2017-03-28,142.91,591456.0,142.91,141.29,143.11,142.12,
2017-03-29,143.19,430457.0,143.19,142.46,143.61,142.69,
2017-03-30,143.98,430844.0,143.98,142.13,144.37,142.3,
2017-03-31,143.47,412248.0,143.47,143.15,144.23,144.0,
2017-04-03,144.55,763351.0,144.55,142.75,144.7,142.75,
