YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,31.03,1838489.0,31.03,30.71,31.36,30.99,13297.0
2017-01-04,31.24,2265794.0,31.24,30.975,31.29,31.08,15192.0
2017-01-05,31.26,2371323.0,31.26,30.805,31.34,31.15,16628.0
2017-01-06,31.67,2559176.0,31.67,30.93,31.97,31.26,21130.0
2017-01-09,31.19,2029929.0,31.19,31.16,31.71,31.66,15972.0
2017-01-10,31.26,1482517.0,31.26,31.11,31.52,31.11,10295.0
2017-01-11,31.18,2136202.0,31.18,30.98,31.365,31.19,12647.0
2017-01-12,31.64,1669647.0,31.64,31.02,31.7,31.13,14367.0
2017-01-13,31.8,1177152.0,31.8,31.43,31.86,31.75,9747.0
2017-01-17,31.6,1653564.0,31.6,31.445,31.81,31.68,13301.0
2017-01-18,31.87,1354513.0,31.87,31.4,31.87,31.62,10941.0
2017-01-19,31.48,3889904.0,31.48,31.38,31.99,31.93,18912.0
2017-01-20,31.62,1916521.0,31.62,31.38,31.87,31.66,13061.0
2017-01-23,31.66,1740358.0,31.66,31.39,31.93,31.54,14143.0
2017-01-24,31.48,2996659.0,31.48,31.46,31.88,31.83,20796.0
2017-01-25,31.61,2180291.0,31.61,31.5,31.9,31.66,16219.0
2017-01-26,31.59,1580220.0,31.59,31.385,31.85,31.66,12700.0
2017-01-27,31.47,1675648.0,31.47,31.24,31.6699,31.58,13633.0
2017-01-30,31.85,2563571.0,31.85,31.04,31.86,31.42,18685.0
2017-01-31,31.91,2489899.0,31.91,31.52,31.92,31.77,18846.0
2017-02-01,31.7,2051905.0,31.7,31.465,32.17,31.91,16778.0
2017-02-02,31.74,1184120.0,31.74,31.46,31.75,31.64,11066.0
2017-02-03,31.96,1807566.0,31.96,31.61,32.08,31.72,11496.0
2017-02-06,31.48,2595223.0,31.48,31.43,31.98,31.88,12272.0
2017-02-07,30.89,2365721.0,30.89,30.73,31.64,31.62,18895.0
2017-02-08,30.64,1946001.0,30.64,30.58,30.99,30.89,13673.0
2017-02-09,31.24,2316038.0,31.24,30.6136,31.24,30.63,18009.0
2017-02-10,31.2,1463200.0,31.2,31.09,31.345,31.26,12040.0
2017-02-13,31.35,1517060.0,31.35,31.145,31.38,31.25,11906.0
2017-02-14,31.66,1608571.0,31.66,31.03,31.66,31.38,12167.0
2017-02-15,31.92,1627120.0,31.92,31.37,32.06,31.51,13554.0
2017-02-16,31.98,2379365.0,31.98,31.75,32.07,31.91,19690.0
2017-02-17,31.94,2292395.0,31.94,31.61,31.99,31.88,14827.0
2017-02-21,32.83,3138296.0,32.83,32.0945,32.9,32.14,22928.0
2017-02-22,33.05,4378417.0,33.05,32.46,33.17,32.73,29368.0
2017-02-23,31.58,6674402.0,31.58,31.09,32.1,32.0,42699.0
2017-02-24,31.88,5093059.0,31.88,31.395,31.94,31.56,31841.0
2017-02-27,31.59,3728427.0,31.59,31.54,32.0,31.92,22765.0
2017-02-28,31.58,4050799.0,31.58,31.19,31.8,31.48,23908.0
2017-03-01,32.26,2345176.0,32.26,31.73,32.3,31.9,18852.0
2017-03-02,31.56,3171923.0,31.56,31.53,32.29,32.14,25412.0
2017-03-03,31.71,3160053.0,31.71,31.42,31.73,31.59,19222.0
2017-03-06,31.31,2783085.0,31.31,31.295,31.745,31.58,17454.0
2017-03-07,30.89,2234585.0,30.89,30.825,31.4,31.29,16192.0
2017-03-08,30.7,2129085.0,30.7,30.69,31.255,30.92,16725.0
2017-03-09,30.44,2752285.0,30.44,30.37,30.76,30.63,15369.0
2017-03-10,30.0,4782169.0,30.0,29.95,30.69,30.68,32235.0
2017-03-13,30.23,2381256.0,30.23,29.93,30.26,30.0,16450.0
2017-03-14,30.15,1629760.0,30.15,29.48,30.23,29.48,10821.0
2017-03-15,30.18,2559862.0,30.18,29.96,30.31,30.18,15673.0
2017-03-16,30.41,2102404.0,30.41,30.22,30.54,30.23,13183.0
2017-03-17,30.31,3093992.0,30.31,30.14,30.67,30.59,12596.0
2017-03-20,29.99,1364187.0,29.99,29.97,30.4,30.31,8992.0
2017-03-21,29.65,2304367.0,29.65,29.64,30.275,30.13,15734.0
2017-03-22,29.67,1926930.0,29.67,29.46,29.815,29.72,12054.0
2017-03-23,29.54,2160026.0,29.54,29.5,29.81,29.7,15510.0
2017-03-24,29.39,1853872.0,29.39,29.26,29.7,29.54,14560.0
2017-03-27,29.39,4330486.0,29.39,29.03,29.45,29.18,17493.0
2017-03-28,29.62,3832139.0,29.62,29.09,29.65,29.27,19962.0
2017-03-29,29.65,1781731.0,29.65,29.53,29.815,29.61,14998.0
2017-03-30,29.6,1613589.0,29.6,29.52,29.89,29.56,12662.0
2017-03-31,29.27,3239232.0,29.27,29.24,29.79,29.62,19589.0
2017-04-03,28.7,2959946.0,28.7,28.595,29.39,29.14,22084.0
2017-04-04,28.35,3092262.0,28.35,28.28,28.78,28.69,19605.0
2017-04-05,27.95,3036583.0,27.95,27.89,28.7,28.5,19920.0
2017-04-06,28.11,3351592.0,28.11,27.88,28.24,28.04,21535.0
2017-04-07,28.06,2547147.0,28.06,27.85,28.16,28.09,14600.0
2017-04-10,28.31,2348768.0,28.31,28.02,28.44,28.04,14892.0
2017-04-11,28.62,2416836.0,28.62,28.215,28.62,28.27,18978.0
2017-04-12,28.14,2889540.0,28.14,28.04,28.62,28.5,20637.0
2017-04-13,27.94,1643161.0,27.94,27.93,28.335,28.11,14351.0
2017-04-17,28.08,1537503.0,28.08,27.89,28.2301,27.99,10922.0
2017-04-18,28.22,1536032.0,28.22,27.955,28.29,27.98,13127.0
2017-04-19,28.49,1404836.0,28.49,28.26,28.6,28.33,11459.0
2017-04-20,28.98,1954155.0,28.98,28.54,29.02,28.54,13452.0
2017-04-21,29.01,1594379.0,29.01,28.8,29.02,28.96,11833.0
2017-04-24,29.43,2980813.0,29.43,28.98,29.52,29.3,19981.0
2017-04-25,29.77,2656590.0,29.77,29.4301,29.82,29.57,19031.0
2017-04-26,30.19,4891034.0,30.19,29.735,30.52,29.8,26678.0
2017-04-27,31.19,4552775.0,31.19,30.99,32.47,31.7,31192.0
2017-04-28,31.24,3272438.0,31.24,31.11,31.78,31.31,21503.0
2017-05-01,31.44,3003636.0,31.44,31.35,31.869,31.54,21441.0
2017-05-02,31.46,2100225.0,31.46,31.29,31.76,31.46,18859.0
2017-05-03,31.2,1900734.0,31.2,30.97,31.46,31.33,14298.0
2017-05-04,31.05,1741412.0,31.05,30.9,31.302,31.3,13865.0
2017-05-05,31.52,1823644.0,31.52,31.23,31.61,31.26,11761.0
2017-05-08,31.42,1529470.0,31.42,31.26,31.65,31.6,11275.0
2017-05-09,31.41,1806667.0,31.41,31.35,31.73,31.42,12556.0
2017-05-10,31.29,1256261.0,31.29,31.135,31.46,31.36,10621.0
2017-05-11,31.03,1098516.0,31.03,30.78,31.2014,31.14,9622.0
2017-05-12,31.02,1307403.0,31.02,30.75,31.26,30.93,10060.0
2017-05-15,31.17,984449.0,31.17,30.99,31.49,31.13,8014.0
2017-05-16,30.98,1350757.0,30.98,30.93,31.35,31.35,10867.0
2017-05-17,30.73,1844726.0,30.73,30.64,30.96,30.73,15136.0
2017-05-18,30.87,1833850.0,30.87,30.61,31.3689,30.73,11324.0
2017-05-19,31.05,1522471.0,31.05,30.76,31.15,30.91,10833.0
2017-05-22,31.45,1353808.0,31.45,31.13,31.966,31.13,8472.0
2017-05-23,31.27,1914123.0,31.27,31.15,31.53,31.53,11209.0
2017-05-24,31.26,1159990.0,31.26,31.09,31.35,31.31,8509.0
2017-05-25,31.51,1212697.0,31.51,31.2,31.61,31.37,10577.0
2017-05-26,31.55,2154301.0,31.55,31.325,31.59,31.53,9305.0
2017-05-30,31.35,1378743.0,31.35,31.22,31.61,31.49,11146.0
2017-05-31,31.49,1624913.0,31.49,31.13,31.55,31.41,10880.0
2017-06-01,32.34,2145037.0,32.34,31.25,32.395,31.58,15115.0
2017-06-02,32.33,1047520.0,32.33,32.15,32.44,32.32,8243.0
2017-06-05,32.34,913859.0,32.34,32.1,32.5,32.41,7877.0
2017-06-06,31.9,1270333.0,31.9,31.72,32.23,32.13,9254.0
2017-06-07,31.86,1214666.0,31.86,31.8,31.99,31.98,9622.0
