YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,74.6,3623461.0,74.6,73.54,74.67,73.94,
2017-01-04,74.72,3021617.0,74.72,74.3801,75.0,74.95,
2017-01-05,75.59,3310765.0,75.59,74.431,77.87,74.93,
2017-01-06,75.67,2296679.0,75.67,75.03,76.065,75.46,
2017-01-09,76.27,3204202.0,76.27,75.51,76.6225,75.67,
2017-01-10,76.27,3559403.0,76.27,75.81,76.56,76.44,
2017-01-11,75.26,7701738.0,75.26,74.0,76.92,76.51,
2017-01-12,77.15,11901134.0,77.15,74.76,77.5,74.85,
2017-01-13,77.4,5602614.0,77.4,76.38,78.12,76.92,
2017-01-17,76.85,4913272.0,76.85,75.87,77.06,77.06,
2017-01-18,77.53,3360339.0,77.53,76.88,77.71,77.32,
2017-01-19,76.84,4439238.0,76.84,76.76,77.62,77.47,
2017-01-20,76.81,4371196.0,76.81,76.471,77.41,77.02,
2017-01-23,76.32,5055071.0,76.32,76.16,76.88,76.24,
2017-01-24,74.85,6594265.0,74.85,74.17,76.43,76.2,
2017-01-25,74.85,4830841.0,74.85,74.27,75.6,75.07,
2017-01-26,74.58,3748027.0,74.58,74.54,75.35,74.98,
2017-01-27,75.38,3132793.0,75.38,74.505,75.4,74.92,
2017-01-30,74.7,5909555.0,74.7,74.25,75.175,75.09,
2017-01-31,77.03,6964087.0,77.03,74.0,77.28,74.25,
2017-02-01,77.6,4959227.0,77.6,76.91,78.57,77.9,
2017-02-02,77.39,3830939.0,77.39,76.55,77.91,76.99,
2017-02-03,77.23,3836275.0,77.23,76.71,77.88,77.47,
2017-02-06,77.83,2835509.0,77.83,76.76,77.845,76.92,
2017-02-07,77.7,3346800.0,77.7,77.32,78.01,77.68,
2017-02-08,78.11,2821567.0,78.11,77.19,78.65,77.44,
2017-02-09,77.7,2962614.0,77.7,77.69,78.59,78.12,
2017-02-10,77.79,2598619.0,77.79,77.6,78.25,77.87,
2017-02-13,77.77,2097796.0,77.77,77.53,78.055,77.57,
2017-02-14,78.81,3311161.0,78.81,77.25,78.83,77.5,
2017-02-15,80.25,4272836.0,80.25,78.05,80.54,78.34,
2017-02-16,80.04,3630059.0,80.04,79.41,80.38,80.05,
2017-02-17,80.39,3111144.0,80.39,80.07,81.0,80.14,
2017-02-21,80.36,3178822.0,80.36,80.11,80.87,80.17,
2017-02-22,81.07,3468784.0,81.07,80.3301,81.21,80.42,
2017-02-23,82.55,6193454.0,82.55,81.14,82.88,81.38,
2017-02-24,82.87,4016045.0,82.87,82.24,83.24,82.42,
2017-02-27,83.06,3104235.0,83.06,82.66,83.4,82.83,
2017-02-28,82.81,3672034.0,82.81,82.58,83.48,82.82,
2017-03-01,83.85,3420566.0,83.85,82.97,84.135,83.44,
2017-03-02,82.91,3371556.0,82.91,82.835,83.945,83.87,
2017-03-03,83.78,2649606.0,83.78,82.6,83.9,82.7,
2017-03-06,83.83,3960055.0,83.83,82.95,84.28,83.25,
2017-03-07,82.74,5570598.0,82.74,81.37,83.14,82.95,
2017-03-08,83.41,4491834.0,83.41,82.67,83.985,82.74,
2017-03-09,84.55,5861915.0,84.55,83.51,84.77,83.67,
2017-03-10,84.36,3629914.0,84.36,83.901,84.55,84.5,
2017-03-13,84.14,2248486.0,84.14,83.83,84.55,84.51,
2017-03-14,84.46,2839052.0,84.46,83.918,84.55,84.0,
2017-03-15,85.88,4883922.0,85.88,84.37,86.14,84.43,
2017-03-16,84.99,4742834.0,84.99,83.8,85.54,85.54,
2017-03-17,83.96,5786941.0,83.96,83.83,84.75,84.435,
2017-03-20,84.06,3121865.0,84.06,83.965,84.86,84.6,
2017-03-21,83.73,4066180.0,83.73,83.63,84.95,84.34,
2017-03-22,84.36,2850296.0,84.36,83.47,84.55,84.09,
2017-03-23,84.42,3021071.0,84.42,83.92,85.05,83.92,
2017-03-24,84.18,2479097.0,84.18,83.8639,84.98,84.3,
2017-03-27,84.24,2340927.0,84.24,83.74,84.44,83.9,
2017-03-28,84.75,2754994.0,84.75,84.04,85.0,84.27,
2017-03-29,84.44,2066642.0,84.44,84.32,84.76,84.55,
2017-03-30,84.76,3204818.0,84.76,84.08,84.95,84.57,
2017-03-31,84.11,3151938.0,84.11,84.08,84.94,84.4,
2017-04-03,84.45,2429899.0,84.45,84.07,84.81,84.13,
2017-04-04,86.09,4624956.0,86.09,84.29,86.39,84.53,
2017-04-05,85.63,4056330.0,85.63,85.57,86.72,85.92,
2017-04-06,85.36,2684638.0,85.36,85.12,85.9,85.47,
2017-04-07,85.32,2808455.0,85.32,84.9093,85.66,85.34,
2017-04-10,85.47,1994875.0,85.47,85.23,85.85,85.46,
2017-04-11,85.93,2699165.0,85.93,85.32,86.14,85.47,
2017-04-12,86.25,2545120.0,86.25,85.67,86.34,85.74,
2017-04-13,85.88,2172543.0,85.88,85.78,86.32,86.03,
2017-04-17,82.38,12424515.0,82.38,81.11,82.99,81.3,
2017-04-18,81.2,8210809.0,81.2,80.89,82.1,81.91,
2017-04-19,80.89,5504500.0,80.89,79.88,81.71,81.12,
2017-04-20,81.94,3267398.0,81.94,80.75,82.2,81.19,
2017-04-21,81.89,3204044.0,81.89,81.6726,82.24,81.82,
2017-04-24,83.42,4813568.0,83.42,82.72,83.73,82.82,
2017-04-25,81.2,9221052.0,81.2,80.5,82.71,82.71,
2017-04-26,80.96,4421743.0,80.96,80.93,81.71,81.34,
2017-04-27,81.33,3219208.0,81.33,80.695,81.6,80.97,
2017-04-28,82.06,3161763.0,82.06,81.2,82.25,81.37,
2017-05-01,81.82,2397236.0,81.82,81.75,82.22,82.09,
2017-05-02,81.7,3626452.0,81.7,81.5,81.98,81.98,
2017-05-03,81.25,3373181.0,81.25,81.24,81.56,81.26,
2017-05-04,83.04,3567494.0,83.04,81.29,83.095,81.35,
2017-05-05,82.51,3135576.0,82.51,82.07,83.1119,83.06,
2017-05-08,80.67,4712925.0,80.67,80.36,82.41,82.36,
2017-05-09,80.79,3988118.0,80.79,80.35,80.94,80.82,
2017-05-10,81.05,4018549.0,81.05,80.19,81.11,80.84,
2017-05-11,80.22,3920485.0,80.22,79.91,81.0,80.72,
2017-05-12,80.19,2935178.0,80.19,79.74,80.61,80.33,
2017-05-15,80.3,2559137.0,80.3,79.43,80.49,80.19,
2017-05-16,78.99,7170066.0,78.99,78.4,80.3,80.23,
2017-05-17,78.14,4485989.0,78.14,77.92,79.03,78.52,
2017-05-18,78.3,2928169.0,78.3,78.0387,78.94,78.57,
2017-05-19,77.8,5091841.0,77.8,77.73,78.71,78.5,
2017-05-22,76.98,6936499.0,76.98,76.85,78.01,77.9,
2017-05-23,77.99,5884774.0,77.99,77.02,78.36,77.19,
2017-05-24,77.96,2254384.0,77.96,77.8,78.28,77.99,
2017-05-25,78.34,1737281.0,78.34,77.76,78.455,78.31,
2017-05-26,78.05,2238858.0,78.05,77.72,78.35,78.12,
2017-05-30,78.35,3244949.0,78.35,77.745,78.6693,77.95,
2017-05-31,79.57,5163876.0,79.57,78.48,79.91,78.48,
2017-06-01,79.99,3093104.0,79.99,79.38,80.23,79.6,
2017-06-02,80.13,4005715.0,80.13,79.9,81.06,80.47,
2017-06-05,79.35,2814775.0,79.35,78.98,80.07,80.0,
2017-06-06,79.09,2687965.0,79.09,78.75,79.46,79.41,
2017-06-07,79.39,2899905.0,79.39,79.09,79.54,79.16,
2017-06-08,80.1,4610424.0,80.1,79.34,80.46,79.49,
2017-06-09,81.04,4599396.0,81.04,79.7,81.185,80.1,
2017-06-12,80.9,2842761.0,80.9,80.61,81.29,80.96,
2017-06-13,81.25,4492882.0,81.25,80.24,81.29,81.21,
2017-06-14,81.6,4025557.0,81.6,80.771,81.61,80.9,
2017-06-15,82.05,3484768.0,82.05,80.961,82.15,81.39,
2017-06-16,81.88,4903159.0,81.88,81.66,82.56,82.24,
2017-06-19,82.34,2538037.0,82.34,81.87,82.76,82.02,
2017-06-20,82.75,3694685.0,82.75,82.22,83.68,82.22,
2017-06-21,82.64,3781406.0,82.64,82.38,83.42,83.15,
2017-06-22,84.31,4891552.0,84.31,82.84,84.76,82.84,
2017-06-23,83.89,3928031.0,83.89,83.71,84.34,84.12,
2017-06-26,84.28,2952759.0,84.28,83.66,84.45,84.09,
2017-06-27,83.04,2365826.0,83.04,83.04,84.33,84.18,
2017-06-28,83.1,3035321.0,83.1,82.9,83.92,83.45,
2017-06-29,82.7,2366759.0,82.7,82.3075,83.22,83.09,
2017-06-30,82.3,5713901.0,82.3,82.0,83.13,82.97,
2017-07-03,82.7,1464738.0,82.7,82.32,82.91,82.41,
2017-07-05,82.7,2263553.0,82.7,82.03,82.76,82.63,
2017-07-06,81.6,3390996.0,81.6,81.37,82.57,82.32,
2017-07-07,82.29,1803703.0,82.29,81.43,82.35,81.62,
2017-07-10,82.28,2269712.0,82.28,81.89,82.57,82.33,
2017-07-11,82.35,2708880.0,82.35,81.88,82.84,82.39,
2017-07-12,83.5,3526983.0,83.5,82.61,84.02,82.73,
2017-07-13,84.02,2944146.0,84.02,83.16,84.23,83.56,
2017-07-14,84.35,2005749.0,84.35,83.81,84.5793,84.11,
2017-07-17,83.64,1989072.0,83.64,83.42,84.53,84.31,
2017-07-18,83.7,1704532.0,83.7,83.22,83.77,83.51,
2017-07-19,84.23,2297408.0,84.23,83.52,84.28,83.52,
2017-07-20,84.75,2980635.0,84.75,84.41,85.12,84.53,
2017-07-21,84.66,3064356.0,84.66,84.31,84.96,84.62,
2017-07-24,84.74,3952164.0,84.74,84.51,85.53,84.66,
2017-07-25,82.19,13319876.0,82.19,80.77,84.4,83.74,
2017-07-26,81.84,7030481.0,81.84,81.035,81.88,81.57,
2017-07-27,83.02,5577384.0,83.02,81.46,83.05,81.76,
2017-07-28,83.1,3820069.0,83.1,82.5,83.22,82.87,
2017-07-31,82.66,4082999.0,82.66,82.63,83.755,83.34,
2017-08-01,82.37,3439409.0,82.37,82.12,83.15,82.86,
2017-08-02,81.82,4574837.0,81.82,81.07,82.17,82.06,
2017-08-03,81.93,3688344.0,81.93,81.5,82.28,81.58,
2017-08-04,82.31,2802610.0,82.31,81.76,82.32,81.9,
2017-08-07,82.07,2769747.0,82.07,81.72,82.4,82.31,
2017-08-08,81.97,3292993.0,81.97,81.63,82.72,81.87,
