YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,253.31,1667668.0,253.31,250.76,254.11,251.2,
2017-01-04,253.99,1077649.0,253.99,253.34,254.9,254.1,
2017-01-05,255.98,1279448.0,255.98,254.1,258.02,254.37,
2017-01-06,257.85,1246437.0,257.85,255.48,258.57,255.48,
2017-01-09,257.81,1067126.0,257.81,257.43,258.99,258.0,
2017-01-10,256.17,1146353.0,256.17,256.17,258.96,258.16,
2017-01-11,255.13,1613810.0,255.13,251.71,257.0,256.3,
2017-01-12,252.62,1153409.0,252.62,251.31,255.33,254.91,
2017-01-13,254.53,1162023.0,254.53,252.02,255.95,252.74,
2017-01-17,254.12,1431482.0,254.12,252.06,254.34,253.46,
2017-01-18,254.07,925341.0,254.07,252.9401,254.73,254.1,
2017-01-19,257.03,1076458.0,257.03,255.19,257.44,255.57,
2017-01-20,257.73,1184433.0,257.73,256.1,258.08,257.96,
2017-01-23,257.48,1606287.0,257.48,255.02,259.74,258.15,
2017-01-24,252.91,2984999.0,252.91,249.02,253.45,250.38,
2017-01-25,251.0,2329854.0,251.0,248.0,254.3299,253.06,
2017-01-26,254.97,1956738.0,254.97,249.55,254.99,250.0,
2017-01-27,253.5,2597749.0,253.5,250.13,259.12,254.98,
2017-01-30,252.83,1537362.0,252.83,251.88,256.28,254.33,
2017-01-31,251.33,1276311.0,251.33,249.96,252.5,252.32,
2017-02-01,250.9,1210386.0,250.9,249.98,252.56,250.83,
2017-02-02,251.97,1045748.0,251.97,250.34,252.165,250.9,
2017-02-03,254.46,1803657.0,254.46,251.5,256.46,252.67,
2017-02-06,255.31,980820.0,255.31,254.11,257.07,254.43,
2017-02-07,256.37,977790.0,256.37,255.58,257.3,256.0,
2017-02-08,256.74,973415.0,256.74,256.4,257.809,256.93,
2017-02-09,258.2,869679.0,258.2,256.8,259.04,256.8,
2017-02-10,260.55,749403.0,260.55,258.0,260.916,258.48,
2017-02-13,262.35,906759.0,262.35,261.02,263.11,261.05,
2017-02-14,262.56,824197.0,262.56,261.85,263.16,262.19,
2017-02-15,263.46,1063803.0,263.46,261.07,263.76,262.0,
2017-02-16,265.33,859021.0,265.33,262.73,265.4,263.92,
2017-02-17,265.35,882742.0,265.35,263.5,265.43,264.71,
2017-02-21,265.66,957257.0,265.66,264.19,266.07,264.81,
2017-02-22,265.92,712715.0,265.92,264.21,266.02,265.0,
2017-02-23,264.85,1008277.0,264.85,263.77,266.31,266.31,
2017-02-24,266.0,929225.0,266.0,263.18,266.0,264.57,
2017-02-27,269.36,1500444.0,269.36,264.2,270.0,265.0,
2017-02-28,266.58,2049434.0,266.58,266.45,269.72,269.64,
2017-03-01,268.38,1125601.0,268.38,267.33,270.0,269.09,
2017-03-02,266.99,954181.0,266.99,266.22,269.0,269.0,
2017-03-03,267.76,772421.0,267.76,266.251,268.33,267.07,
2017-03-06,267.72,778302.0,267.72,266.8,268.48,267.43,
2017-03-07,269.04,884634.0,269.04,267.3,269.38,267.31,
2017-03-08,267.72,820093.0,267.72,267.31,269.045,269.0,
2017-03-09,268.68,729460.0,268.68,267.54,269.0,268.0,
2017-03-10,268.66,687343.0,268.66,267.27,269.9,269.9,
2017-03-13,269.19,819126.0,269.19,268.0049,269.26,268.51,
2017-03-14,268.0,701651.0,268.0,267.38,269.15,268.93,
2017-03-15,269.44,748495.0,269.44,267.75,269.87,268.0,
2017-03-16,267.94,982178.0,267.94,267.13,270.68,270.68,
2017-03-17,271.98,2127652.0,271.98,268.3,272.18,268.78,
2017-03-20,272.03,1324995.0,272.03,271.625,274.57,272.16,
2017-03-21,269.0,1359584.0,269.0,268.36,273.02,272.35,
2017-03-22,269.42,1021193.0,269.42,267.91,270.28,268.83,
2017-03-23,269.5,804297.0,269.5,268.98,271.47,269.42,
2017-03-24,267.42,870501.0,267.42,266.725,269.978,269.83,
2017-03-27,267.16,994391.0,267.16,264.041,267.8799,265.65,
2017-03-28,269.12,1021333.0,269.12,266.02,270.7899,266.63,
2017-03-29,268.24,814143.0,268.24,267.26,268.92,268.92,
2017-03-30,270.54,562507.0,270.54,268.21,270.93,268.56,
2017-03-31,267.6,1214444.0,267.6,267.6,270.47,270.47,
2017-04-03,268.68,799099.0,268.68,267.35,269.3,267.6,
2017-04-04,269.56,568007.0,269.56,268.25,270.05,268.54,
2017-04-05,266.98,949515.0,266.98,266.81,270.95,269.84,
2017-04-06,267.11,740491.0,267.11,266.32,267.79,266.87,
2017-04-07,270.23,1020824.0,270.23,268.18,272.34,272.34,
2017-04-10,269.03,789254.0,269.03,268.835,271.36,270.19,
2017-04-11,270.27,744445.0,270.27,268.18,270.52,269.0,
2017-04-12,268.51,955388.0,268.51,268.04,270.475,269.89,
2017-04-13,268.0,764024.0,268.0,268.0,270.28,268.14,
2017-04-17,269.88,811635.0,269.88,267.91,269.9,268.13,
2017-04-18,268.78,762905.0,268.78,268.22,270.7,269.88,
2017-04-19,269.63,816649.0,269.63,268.67,270.0484,269.69,
2017-04-20,271.85,814558.0,271.85,269.665,273.199,270.15,
2017-04-21,273.09,955493.0,273.09,272.0,274.49,272.2,
2017-04-24,276.21,1098834.0,276.21,274.31,276.64,275.54,
2017-04-25,270.02,2963859.0,270.02,267.675,274.5,273.9,
2017-04-26,270.35,1477178.0,270.35,269.54,272.51,270.59,
2017-04-27,271.14,953829.0,271.14,269.94,272.77,270.84,
2017-04-28,269.45,1004174.0,269.45,268.62,271.542,271.07,
2017-05-01,268.43,841677.0,268.43,268.37,270.11,269.55,
2017-05-02,269.49,737105.0,269.49,268.0,269.87,268.19,
2017-05-03,269.6,636526.0,269.6,268.2,269.95,268.75,
2017-05-04,270.51,691113.0,270.51,268.86,270.71,269.87,
2017-05-05,273.03,812695.0,273.03,270.21,273.1,270.68,
2017-05-08,272.5,674829.0,272.5,272.1,274.0,272.92,
2017-05-09,273.87,897905.0,273.87,272.268,274.22,273.0,
2017-05-10,271.74,934942.0,271.74,270.17,273.71,272.88,
2017-05-11,272.09,605542.0,272.09,270.2,272.2499,271.14,
2017-05-12,271.26,599693.0,271.26,270.75,271.7,270.91,
2017-05-15,272.35,616533.0,272.35,271.05,272.47,271.28,
2017-05-16,271.65,614812.0,271.65,271.43,273.26,272.08,
2017-05-17,269.24,943254.0,269.24,268.9101,270.73,270.1,
2017-05-18,267.32,1245863.0,267.32,266.01,269.0,268.54,
2017-05-19,272.79,1254064.0,272.79,268.11,272.88,268.7,
2017-05-22,277.03,1601219.0,277.03,276.22,280.79,280.79,
2017-05-23,278.36,874710.0,278.36,276.1,278.62,278.0,
2017-05-24,280.05,872150.0,280.05,278.11,280.56,278.22,
2017-05-25,282.06,834315.0,282.06,280.56,282.33,281.0,
2017-05-26,283.65,854649.0,283.65,281.54,284.0,282.04,
2017-05-30,280.09,902223.0,280.09,279.73,282.84,281.83,
2017-05-31,281.13,1506621.0,281.13,279.27,281.28,279.47,
2017-06-01,280.96,829260.0,280.96,279.5,281.7,281.18,
2017-06-02,281.76,749261.0,281.76,280.75,282.89,281.28,
2017-06-05,280.13,623248.0,280.13,280.09,282.3,281.5,
2017-06-06,276.88,890784.0,276.88,276.72,279.9477,279.54,
2017-06-07,277.38,658854.0,277.38,276.24,277.85,277.41,
2017-06-08,277.62,1116395.0,277.62,276.67,278.69,278.0,
2017-06-09,277.0,1021687.0,277.0,276.61,279.1899,277.66,
2017-06-12,276.89,835958.0,276.89,273.73,277.225,277.09,
2017-06-13,278.36,638691.0,278.36,275.48,278.94,276.9,
2017-06-14,280.3,828899.0,280.3,278.0,282.32,278.1,
2017-06-15,280.93,617749.0,280.93,277.773,281.57,279.75,
2017-06-16,281.11,1287564.0,281.11,280.68,282.2799,282.13,
2017-06-19,282.3,1064063.0,282.3,281.39,284.4799,281.75,
2017-06-20,282.89,967631.0,282.89,282.395,284.98,282.95,
2017-06-21,282.99,801424.0,282.99,282.21,284.21,283.68,
2017-06-22,280.43,694001.0,280.43,280.38,283.71,282.73,
2017-06-23,280.64,1026843.0,280.64,280.03,281.48,280.03,
2017-06-26,279.7,887131.0,279.7,279.49,283.2,281.17,
2017-06-27,277.83,740502.0,277.83,277.83,280.21,279.32,
2017-06-28,280.02,955916.0,280.02,278.37,280.92,279.08,
2017-06-29,276.73,905160.0,276.73,274.69,279.85,279.85,
2017-06-30,277.61,1085872.0,277.61,276.32,278.92,277.62,
2017-07-03,278.92,462790.0,278.92,277.2,280.48,277.39,
2017-07-05,282.4,869479.0,282.4,279.4,283.72,279.5,
2017-07-06,280.96,766047.0,280.96,280.4,283.475,282.0,
2017-07-07,285.2,1197177.0,285.2,281.5,286.95,281.66,
2017-07-10,285.57,1348114.0,285.57,284.22,287.91,285.5,
2017-07-11,286.42,915644.0,286.42,285.06,287.75,285.57,
2017-07-12,286.36,812590.0,286.36,286.36,288.77,287.15,
2017-07-13,286.76,705408.0,286.76,285.78,287.85,287.12,
2017-07-14,288.13,887863.0,288.13,286.71,288.77,287.05,
2017-07-17,288.49,1319277.0,288.49,287.61,290.06,288.5,
2017-07-18,286.79,1811020.0,286.79,286.03,292.97,290.64,
2017-07-19,290.67,1139818.0,290.67,287.04,291.28,287.68,
2017-07-20,289.67,1150891.0,289.67,288.941,290.74,290.58,
2017-07-21,289.12,1230081.0,289.12,286.86,290.07,288.3,
2017-07-24,290.28,768718.0,290.28,289.2,291.24,289.47,
2017-07-25,289.83,805237.0,289.83,289.72,292.07,291.48,
2017-07-26,289.85,882610.0,289.85,288.77,290.99,290.82,
2017-07-27,288.13,1117441.0,288.13,286.17,290.49,290.2,
2017-07-28,290.41,1086242.0,290.41,286.58,290.7699,288.07,
2017-07-31,292.13,1145699.0,292.13,291.03,293.84,291.42,
2017-08-01,292.65,1037379.0,292.65,291.895,294.33,293.93,
2017-08-02,294.7,984499.0,294.7,292.15,294.84,292.73,
2017-08-03,295.82,983639.0,295.82,292.8001,295.91,294.0,
2017-08-04,297.0,796392.0,297.0,295.04,297.0,296.27,
2017-08-07,297.15,769137.0,297.15,296.6,297.73,297.31,
2017-08-08,300.1,1009268.0,300.1,297.335,300.42,297.79,
2017-08-09,305.22,1750639.0,305.22,301.0001,305.54,301.2,
2017-08-10,303.25,1339550.0,303.25,303.0,307.1,306.55,
2017-08-11,303.75,987783.0,303.75,302.58,306.45,302.84,
2017-08-14,307.58,1202993.0,307.58,304.26,308.06,305.45,
2017-08-15,306.2,1020259.0,306.2,305.52,308.48,307.97,
2017-08-16,305.8,1035574.0,305.8,305.35,306.8072,305.88,
2017-08-17,301.42,1066954.0,301.42,301.27,305.65,305.26,
2017-08-18,299.2,1204704.0,299.2,298.821,301.26,300.87,
2017-08-21,301.88,962243.0,301.88,297.77,302.23,300.0,
2017-08-22,304.8,960436.0,304.8,302.97,305.48,303.51,
2017-08-23,302.84,697111.0,302.84,302.53,304.56,304.0,
2017-08-24,302.6,574443.0,302.6,301.25,304.05,303.51,
2017-08-25,302.8,571101.0,302.8,302.71,304.68,303.92,
2017-08-28,303.61,830378.0,303.61,302.51,303.85,303.73,
2017-08-29,308.14,1277557.0,308.14,304.5,308.18,304.5,
2017-08-30,306.3,1273020.0,306.3,305.5,307.22,306.42,
2017-08-31,305.39,982395.0,305.39,304.97,306.86,306.86,
2017-09-01,302.19,1188815.0,302.19,302.19,306.34,305.96,
2017-09-05,302.2,1388379.0,302.2,301.91,304.53,304.45,
2017-09-06,301.45,1217379.0,301.45,301.31,303.94,303.41,
2017-09-07,302.35,923377.0,302.35,300.24,302.77,301.45,
2017-09-08,302.9,1161734.0,302.9,301.52,303.66,301.52,
2017-09-11,304.48,917551.0,304.48,302.21,304.5925,303.7,
2017-09-12,303.73,640851.0,303.73,302.91,304.76,304.45,
2017-09-13,300.2,1143141.0,300.2,300.11,303.06,303.06,
2017-09-14,301.34,1507615.0,301.34,298.4,301.39,300.2,
2017-09-15,302.3,2025925.0,302.3,301.03,303.35,302.34,
2017-09-18,303.8,1005587.0,303.8,302.4,304.33,302.86,
2017-09-19,305.65,1365111.0,305.65,303.66,307.26,304.29,
2017-09-20,307.9,1265001.0,307.9,305.24,307.96,305.36,
2017-09-21,308.01,875553.0,308.01,307.3866,308.91,308.1,
2017-09-22,308.54,1018588.0,308.54,308.26,311.36,308.65,
2017-09-25,306.85,1222361.0,306.85,304.71,308.974,308.48,
2017-09-26,309.58,1025850.0,309.58,308.21,310.69,308.55,
2017-09-27,310.13,973340.0,310.13,309.01,311.32,309.7,
2017-09-28,309.13,824654.0,309.13,306.58,310.37,309.01,
2017-09-29,310.29,911489.0,310.29,308.69,310.36,308.95,
2017-10-02,311.33,1007846.0,311.33,309.27,311.38,310.79,
2017-10-03,312.86,803332.0,312.86,311.3,314.02,311.38,
2017-10-04,313.02,903777.0,313.02,312.46,314.1,313.28,
2017-10-05,314.58,950398.0,314.58,312.64,315.285,312.82,
2017-10-06,316.46,857932.0,316.46,314.28,316.46,315.0,
2017-10-09,317.3,880540.0,317.3,315.5,318.34,316.62,
2017-10-10,317.71,941547.0,317.71,316.22,318.32,318.32,
2017-10-11,318.59,706261.0,318.59,317.05,318.8,317.65,
2017-10-12,321.15,867742.0,321.15,318.28,321.56,318.35,
2017-10-13,319.39,1095705.0,319.39,319.14,322.19,321.62,
2017-10-16,318.94,588257.0,318.94,317.74,320.67,319.74,
2017-10-17,318.27,741610.0,318.27,317.02,318.925,318.7,
2017-10-18,315.57,1131513.0,315.57,314.7,318.815,318.33,
2017-10-19,316.84,727774.0,316.84,313.02,317.07,315.57,
2017-10-20,320.0,933370.0,320.0,316.6,320.0,317.93,
2017-10-23,320.73,1238958.0,320.73,319.87,321.56,321.06,
2017-10-24,313.15,2567774.0,313.15,310.61,317.0,314.69,
2017-10-25,312.43,1658847.0,312.43,311.31,315.955,312.86,
2017-10-26,307.89,1599418.0,307.89,303.31,314.42,313.44,
2017-10-27,308.0,998712.0,308.0,307.75,310.375,307.95,
2017-10-30,308.63,1157460.0,308.63,307.82,310.42,308.5,
2017-10-31,308.16,693912.0,308.16,308.14,309.835,309.16,
2017-11-01,306.6,1016082.0,306.6,306.23,309.66,309.05,
2017-11-02,310.86,868911.0,310.86,306.11,310.86,306.11,
2017-11-03,309.99,652239.0,309.99,309.035,311.8522,310.92,
2017-11-06,310.08,717346.0,310.08,308.68,311.93,309.72,
2017-11-07,313.29,874524.0,313.29,310.08,313.37,310.08,
2017-11-08,315.64,730128.0,315.64,313.3,315.7,313.44,
2017-11-09,311.08,890609.0,311.08,310.28,315.06,314.85,
2017-11-10,311.17,630850.0,311.17,309.76,311.68,310.3,
2017-11-13,312.95,702812.0,312.95,310.31,313.28,311.0,
2017-11-14,313.74,605687.0,313.74,310.7,314.0,312.0,
2017-11-15,310.64,754876.0,310.64,310.54,313.78,313.1,
2017-11-16,312.65,635588.0,312.65,311.0,312.8028,311.09,
2017-11-17,309.7,692334.0,309.7,309.5,312.43,311.59,
2017-11-20,314.65,902098.0,314.65,310.0101,315.57,310.2,
2017-11-21,316.94,858021.0,316.94,314.61,317.62,315.24,
2017-11-22,314.87,685744.0,314.87,314.3472,316.86,316.31,
2017-11-24,315.82,320919.0,315.82,315.02,316.23,315.09,
2017-11-27,316.7,657817.0,316.7,315.045,316.89,316.0,
2017-11-28,319.01,967205.0,319.01,316.17,319.43,316.78,
2017-11-29,320.76,1190559.0,320.76,318.33,321.21,319.5,
2017-11-30,319.12,2626221.0,319.12,318.475,320.94,319.62,
2017-12-01,313.57,1707449.0,313.57,311.1301,319.63,319.06,
2017-12-04,311.78,1365859.0,311.78,311.61,316.52,315.94,
2017-12-05,310.14,1170963.0,310.14,310.07,314.5,314.5,
2017-12-06,311.97,824790.0,311.97,310.25,313.07,310.25,
2017-12-07,314.42,972381.0,314.42,311.81,315.36,311.83,
2017-12-08,315.85,853887.0,315.85,313.45,316.56,316.56,
2017-12-11,316.17,765760.0,316.17,315.15,317.235,315.45,
2017-12-12,315.89,1082388.0,315.89,314.91,316.9,316.38,
2017-12-13,317.79,862435.0,317.79,316.3,319.835,316.66,
2017-12-14,317.01,867643.0,317.01,316.42,319.03,318.21,
2017-12-15,322.82,1929416.0,322.82,318.43,323.38,318.69,
2017-12-18,322.76,1254405.0,322.76,319.0,323.94,323.59,
2017-12-19,319.97,930995.0,319.97,319.78,323.13,322.76,
2017-12-20,317.72,932407.0,317.72,317.65,321.255,319.84,
2017-12-21,317.19,868675.0,317.19,317.01,319.2,319.0,
2017-12-22,318.03,542941.0,318.03,317.6,319.24,318.3,
2017-12-26,318.51,517446.0,318.51,317.97,319.77,318.36,
2017-12-27,319.44,574679.0,319.44,318.0701,319.67,319.67,
2017-12-28,322.1,721724.0,322.1,319.71,322.3,319.83,
2017-12-29,321.05,731198.0,321.05,321.02,323.15,322.22,
