YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,70.95,6412188.0,70.95,70.49,71.92,71.71,
2017-01-04,71.81,5863668.0,71.81,71.05,72.23,71.18,
2017-01-05,71.07,4420248.0,71.07,70.76,71.79,71.44,
2017-01-06,70.95,4645538.0,70.95,70.54,71.4,71.2,
2017-01-09,71.07,3563619.0,71.07,70.9,71.32,70.93,
2017-01-10,71.21,4133974.0,71.21,70.67,71.7,70.95,
2017-01-11,71.26,3432226.0,71.26,70.56,71.37,71.16,
2017-01-12,71.58,4310647.0,71.58,70.795,71.64,71.25,
2017-01-13,72.15,6947951.0,72.15,71.39,72.615,71.4,
2017-01-17,72.38,5468495.0,72.38,71.39,73.21,71.62,
2017-01-18,71.38,8788340.0,71.38,71.06,72.1,72.1,
2017-01-19,71.6,6274039.0,71.6,71.15,72.65,71.29,
2017-01-20,71.76,5613940.0,71.76,71.26,71.93,71.63,
2017-01-23,72.58,5361256.0,72.58,71.24,72.84,71.24,
2017-01-24,74.0,5736753.0,74.0,72.505,74.03,72.61,
2017-01-25,73.06,5372664.0,73.06,73.04,74.75,74.291,
2017-01-26,73.23,5268772.0,73.23,72.8675,73.83,73.38,
2017-01-27,73.25,4183657.0,73.25,72.72,73.43,73.29,
2017-01-30,73.57,3856045.0,73.57,72.57,73.6397,73.09,
2017-01-31,73.08,4537466.0,73.08,72.745,73.54,72.84,
2017-02-01,72.35,4006587.0,72.35,72.32,73.03,72.91,
2017-02-02,71.95,3538330.0,71.95,71.9,72.79,72.73,
2017-02-03,73.29,6311664.0,73.29,71.79,73.4,72.12,
2017-02-06,72.61,5166821.0,72.61,72.4,73.2,72.96,
2017-02-07,72.24,3749526.0,72.24,72.11,72.99,72.85,
2017-02-08,72.45,4029600.0,72.45,72.21,72.77,72.61,
2017-02-09,73.53,4040972.0,73.53,72.43,73.695,72.71,
2017-02-10,73.97,3661291.0,73.97,73.11,74.04,73.42,
2017-02-13,73.9,3007985.0,73.9,73.58,74.2625,74.08,
2017-02-14,75.72,8107043.0,75.72,73.96,75.89,74.06,
2017-02-15,76.91,10410263.0,76.91,75.35,77.475,75.47,
2017-02-16,76.32,4686165.0,76.32,75.66,77.4,76.91,
2017-02-17,76.74,5446248.0,76.74,75.94,76.74,76.16,
2017-02-21,77.25,5294139.0,77.25,76.46,77.52,77.5,
2017-02-22,76.8,3711594.0,76.8,76.6,77.45,77.33,
2017-02-23,75.8,5663360.0,75.8,75.73,77.21,77.15,
2017-02-24,76.1,11147738.0,76.1,75.405,76.3353,75.91,
2017-02-27,76.42,4006013.0,76.42,75.69,76.45,76.2,
2017-02-28,74.37,10698528.0,74.37,74.17,75.93,75.91,
2017-03-01,81.45,21443861.0,81.45,80.6,82.85,81.28,
2017-03-02,80.4,8424008.0,80.4,80.28,81.4,81.37,
2017-03-03,81.68,6555455.0,81.68,80.56,81.87,80.6,
2017-03-06,81.02,6611919.0,81.02,81.02,81.5,81.27,
2017-03-07,80.84,4718040.0,80.84,80.65,81.32,81.0,
2017-03-08,81.33,4869181.0,81.33,80.84,81.72,80.84,
2017-03-09,81.17,3806749.0,81.17,81.07,81.81,81.36,
