YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,107.26,1937513.0,107.26,105.79,108.56,106.68,19834.0
2017-01-04,107.32,1297398.0,107.32,106.91,108.105,107.61,13485.0
2017-01-05,107.08,1634252.0,107.08,107.07,108.78,107.52,15486.0
2017-01-06,107.6,1203610.0,107.6,106.08,107.88,106.88,13126.0
2017-01-09,108.86,1440082.0,108.86,107.79,109.85,107.8,14338.0
2017-01-10,108.47,1318051.0,108.47,107.78,108.99,108.97,11758.0
2017-01-11,108.99,1272368.0,108.99,107.765,109.0,108.68,12376.0
2017-01-12,108.17,996443.0,108.17,106.8,108.74,108.74,12448.0
2017-01-13,110.54,1466783.0,110.54,108.63,111.1,108.71,14402.0
2017-01-17,109.1,1503122.0,109.1,108.46,110.6,110.33,13865.0
2017-01-18,111.24,1715584.0,111.24,109.33,111.29,109.96,13651.0
2017-01-19,110.84,1870361.0,110.84,110.5,112.41,111.39,16516.0
2017-01-20,112.35,1727459.0,112.35,111.34,112.83,111.91,15301.0
2017-01-23,112.77,2520176.0,112.77,112.21,114.11,113.01,18418.0
2017-01-24,114.64,1729333.0,114.64,113.1,114.85,113.1,14609.0
2017-01-25,116.92,3548501.0,116.92,114.52,117.21,116.54,30417.0
2017-01-26,114.33,3789170.0,114.33,112.86,116.16,115.03,32873.0
2017-01-27,118.24,3617454.0,118.24,115.35,119.14,115.62,27276.0
2017-01-30,116.0,2617258.0,116.0,114.72,117.0,116.78,21913.0
2017-01-31,114.86,2384585.0,114.86,114.52,116.36,115.96,21076.0
2017-02-01,117.74,2115526.0,117.74,115.52,117.76,115.91,20887.0
2017-02-02,117.23,1203518.0,117.23,116.135,117.95,117.5,13471.0
2017-02-03,117.65,1128663.0,117.65,116.91,118.17,117.5,10618.0
2017-02-06,117.16,1138906.0,117.16,116.84,118.0,118.0,10592.0
2017-02-07,117.0,3554808.0,117.0,116.15,117.88,117.88,21785.0
2017-02-08,115.87,2334350.0,115.87,115.7,117.51,117.5,20406.0
2017-02-09,116.0,1357250.0,116.0,115.74,116.46,116.46,12201.0
2017-02-10,115.99,1542750.0,115.99,114.95,116.58,116.57,13055.0
2017-02-13,116.26,943423.0,116.26,116.17,117.67,117.02,10083.0
