YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,66.85,2871567.0,66.85,65.72,67.87,65.94,23844.0
2017-01-04,69.41,4938572.0,69.41,66.88,69.99,66.97,35417.0
2017-01-05,68.73,2286766.0,68.73,67.36,69.38,68.43,21068.0
2017-01-06,68.27,2185802.0,68.27,67.86,69.71,68.74,17070.0
2017-01-09,68.19,2240164.0,68.19,67.15,68.535,67.21,18494.0
2017-01-10,69.9,2784445.0,69.9,68.5,70.5,68.77,23091.0
2017-01-11,69.4,1946230.0,69.4,68.33,70.247,69.96,17913.0
2017-01-12,68.62,1372497.0,68.62,68.31,69.34,68.66,12920.0
2017-01-13,67.92,1074019.0,67.92,67.6,69.25,68.9,9901.0
2017-01-17,68.78,1274371.0,68.78,68.04,69.28,68.04,12078.0
2017-01-18,68.5,772062.0,68.5,67.91,69.12,69.12,7837.0
2017-01-19,66.99,1366580.0,66.99,66.64,68.18,67.92,12194.0
2017-01-20,67.32,1252199.0,67.32,67.02,67.8,67.31,10790.0
2017-01-23,66.86,1010210.0,66.86,66.01,67.22,66.99,8925.0
2017-01-24,67.77,1278604.0,67.77,67.16,68.15,67.16,11719.0
2017-01-25,68.82,857647.0,68.82,68.04,68.87,68.4,8072.0
2017-01-26,67.64,1010385.0,67.64,67.61,69.04,68.69,8634.0
2017-01-27,66.82,1264643.0,66.82,66.04,67.74,67.74,10552.0
2017-01-30,66.89,1180589.0,66.89,65.6702,66.9597,66.64,9145.0
2017-01-31,67.51,1584209.0,67.51,65.09,67.78,65.09,12686.0
2017-02-01,66.4,1220384.0,66.4,66.08,67.89,67.87,11147.0
2017-02-02,66.52,925073.0,66.52,66.41,67.39,67.0,9012.0
2017-02-03,66.39,1413473.0,66.39,65.5,66.78,65.67,12576.0
2017-02-06,66.47,815618.0,66.47,66.0,66.64,66.24,7421.0
2017-02-07,66.14,936200.0,66.14,65.84,66.74,66.68,8296.0
2017-02-08,67.17,1058820.0,67.17,65.92,67.32,66.0,8997.0
2017-02-09,67.0,1091081.0,67.0,66.86,67.9,67.25,9927.0
2017-02-10,67.62,1240274.0,67.62,66.94,67.87,67.56,12812.0
2017-02-13,66.99,1376601.0,66.99,66.84,68.23,68.07,13384.0
2017-02-14,67.76,930907.0,67.76,66.29,67.93,66.83,8306.0
2017-02-15,67.16,1014436.0,67.16,66.82,67.88,67.53,9822.0
2017-02-16,65.97,1630873.0,65.97,65.38,67.49,67.23,14492.0
2017-02-17,66.73,1213795.0,66.73,65.59,66.98,65.89,10374.0
2017-02-21,66.72,842228.0,66.72,66.23,67.24,67.22,7917.0
2017-02-22,67.0,533850.0,67.0,66.55,67.22,66.89,5564.0
2017-02-23,64.84,1708666.0,64.84,64.81,67.38,67.33,15036.0
2017-02-24,65.32,1814142.0,65.32,64.01,65.76,64.55,16910.0
2017-02-27,66.43,1205178.0,66.43,65.32,66.79,65.38,10855.0
2017-02-28,65.26,947773.0,65.26,65.03,66.4,66.4,8773.0
2017-03-01,65.39,1093526.0,65.39,64.53,66.17,66.1,10079.0
2017-03-02,66.53,1633157.0,66.53,65.28,66.97,65.55,11628.0
2017-03-03,65.7,2133641.0,65.7,65.35,66.56,66.37,14866.0
2017-03-06,64.93,1014289.0,64.93,64.77,65.705,65.51,9538.0
2017-03-07,65.14,1097733.0,65.14,64.7,65.39,64.7,8476.0
2017-03-08,66.25,1370265.0,66.25,65.0901,66.43,65.42,11209.0
2017-03-09,65.0,1747351.0,65.0,64.8,65.96,65.6,15260.0
2017-03-10,65.08,1142175.0,65.08,64.67,65.77,65.1,9344.0
2017-03-13,63.79,1452383.0,63.79,63.65,65.45,65.45,12130.0
2017-03-14,63.67,994225.0,63.67,63.32,64.17,63.5,9364.0
2017-03-15,63.94,1768993.0,63.94,62.78,64.1,64.0,12052.0
2017-03-16,63.84,1139936.0,63.84,63.75,64.66,64.21,10985.0
2017-03-17,64.04,2102264.0,64.04,63.23,64.24,64.24,17616.0
2017-03-20,63.79,1268311.0,63.79,63.35,64.22,64.13,9757.0
2017-03-21,62.93,2958597.0,62.93,62.57,64.32,63.9,19258.0
2017-03-22,62.82,2340768.0,62.82,61.681,62.92,61.8,19103.0
