YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,37.49,2006963.0,37.49,37.36,38.6,37.71,
2017-01-04,36.98,1712669.0,36.98,36.4248,38.41,37.67,
2017-01-05,36.62,1099841.0,36.62,36.48,37.71,36.98,
2017-01-06,36.83,1367990.0,36.83,36.06,36.96,36.42,
2017-01-09,36.89,1333756.0,36.89,36.1,37.09,36.81,
2017-01-10,36.84,3712586.0,36.84,36.19,38.96,38.79,
2017-01-11,36.89,2185874.0,36.89,36.02,37.2,36.7,
2017-01-12,36.96,1235201.0,36.96,36.1201,37.01,36.69,
2017-01-13,37.22,1010164.0,37.22,36.55,37.3,36.89,
2017-01-17,36.89,1907181.0,36.89,36.75,37.22,37.14,
2017-01-18,36.64,1214200.0,36.64,36.41,36.88,36.75,
2017-01-19,36.96,890406.0,36.96,36.33,37.0,36.79,
2017-01-20,37.11,1337042.0,37.11,36.77,37.56,36.95,
2017-01-23,36.77,2035285.0,36.77,36.466,37.42,36.98,
2017-01-24,37.49,1199629.0,37.49,36.59,37.67,36.66,
2017-01-25,36.67,1183305.0,36.67,36.44,37.7999,37.45,
2017-01-26,36.33,1015269.0,36.33,36.25,36.87,36.39,
2017-01-27,36.44,1088390.0,36.44,35.81,36.54,36.4,
2017-01-30,36.78,912896.0,36.78,36.2,36.93,36.2,
2017-01-31,37.36,1625296.0,37.36,36.68,37.55,36.68,
2017-02-01,37.77,2212174.0,37.77,37.16,37.97,37.58,
2017-02-02,38.42,2496332.0,38.42,37.61,38.81,37.7,
2017-02-03,38.9,1495201.0,38.9,38.4601,39.47,38.49,
2017-02-06,39.24,1097753.0,39.24,38.721,39.35,39.13,
2017-02-07,39.41,1362245.0,39.41,38.98,39.8,39.25,
2017-02-08,39.16,1575213.0,39.16,38.58,39.69,39.28,
2017-02-09,39.08,1138886.0,39.08,38.69,39.52,39.06,
2017-02-10,39.27,868909.0,39.27,38.6,39.57,39.0,
2017-02-13,39.43,1128260.0,39.43,38.83,39.71,39.24,
2017-02-14,39.65,1098381.0,39.65,39.25,39.74,39.33,
2017-02-15,39.63,1387718.0,39.63,39.2,39.75,39.5,
2017-02-16,39.9,1034842.0,39.9,39.5599,40.16,39.57,
2017-02-17,39.62,1487957.0,39.62,39.3,39.95,39.77,
2017-02-21,39.62,1295408.0,39.62,39.3,40.13,39.56,
2017-02-22,39.85,800763.0,39.85,39.41,40.0,39.41,
2017-02-23,39.5,564214.0,39.5,39.27,39.95,39.95,
2017-02-24,39.58,374979.0,39.58,39.3215,39.66,39.5,
2017-02-27,39.48,603491.0,39.48,39.08,39.7,39.7,
2017-02-28,39.19,653900.0,39.19,39.19,39.79,39.44,
2017-03-01,39.95,734412.0,39.95,39.07,40.04,39.1,
2017-03-02,40.22,818892.0,40.22,39.557,40.39,39.7,
2017-03-03,40.4,1254144.0,40.4,39.53,40.467,40.08,
2017-03-06,40.42,1784398.0,40.42,40.06,40.61,40.37,
2017-03-07,40.74,1684017.0,40.74,40.045,41.05,40.26,
2017-03-08,40.72,1926522.0,40.72,40.42,41.08,40.65,
2017-03-09,40.98,1533904.0,40.98,40.54,41.1,40.79,
2017-03-10,41.4,1544140.0,41.4,40.8644,41.6,41.02,
2017-03-13,41.53,1383880.0,41.53,41.31,41.61,41.39,
2017-03-14,42.21,992609.0,42.21,41.3232,42.25,41.5,
2017-03-15,42.36,2309856.0,42.36,42.28,43.47,42.44,
2017-03-16,41.99,1065257.0,41.99,41.75,42.5,42.28,
2017-03-17,42.25,1608966.0,42.25,41.6695,42.39,41.94,
2017-03-20,42.48,1693155.0,42.48,42.091,42.63,42.31,
2017-03-21,42.87,1640736.0,42.87,42.54,43.125,42.59,
2017-03-22,42.44,1391719.0,42.44,42.43,43.48,43.02,
2017-03-23,43.01,1135576.0,43.01,42.22,43.28,42.4,
2017-03-24,42.67,1338311.0,42.67,42.67,43.235,43.0,
2017-03-27,42.96,812738.0,42.96,42.22,43.02,42.53,
2017-03-28,42.92,901945.0,42.92,42.66,43.2,42.86,
2017-03-29,42.64,704039.0,42.64,42.52,42.95,42.88,
2017-03-30,42.09,641004.0,42.09,42.06,42.7,42.7,
2017-03-31,42.06,1003812.0,42.06,41.81,42.145,42.07,
2017-04-03,42.0,914679.0,42.0,41.75,42.25,42.01,
2017-04-04,42.19,1297662.0,42.19,41.54,42.22,42.08,
2017-04-05,41.74,816318.0,41.74,41.7,42.5,42.13,
2017-04-06,43.14,2956532.0,43.14,40.61,43.4,43.12,
2017-04-07,42.99,2618207.0,42.99,41.75,43.26,42.13,
2017-04-10,42.76,1236697.0,42.76,42.18,43.01,42.94,
2017-04-11,42.88,1170516.0,42.88,42.0943,42.89,42.78,
2017-04-12,42.16,717625.0,42.16,42.08,42.9499,42.9,
2017-04-13,41.87,531793.0,41.87,41.87,42.34,42.18,
2017-04-17,42.23,508809.0,42.23,41.755,42.26,41.89,
2017-04-18,42.38,812945.0,42.38,41.99,42.44,42.27,
2017-04-19,42.2,526314.0,42.2,42.01,42.39,42.29,
2017-04-20,42.6,415618.0,42.6,42.02,42.74,42.31,
2017-04-21,42.26,1035046.0,42.26,42.04,42.57,42.57,
2017-04-24,42.67,555585.0,42.67,42.2,42.71,42.53,
2017-04-25,42.46,840056.0,42.46,42.28,42.93,42.84,
2017-04-26,42.24,901229.0,42.24,41.96,42.38,42.33,
2017-04-27,42.64,991385.0,42.64,42.13,42.85,42.14,
2017-04-28,41.75,1186078.0,41.75,41.55,42.64,42.59,
2017-05-01,41.8,1440256.0,41.8,41.35,41.97,41.86,
2017-05-02,41.39,1039744.0,41.39,40.91,42.02,41.68,
2017-05-03,40.9,800552.0,40.9,40.83,41.44,41.17,
2017-05-04,41.26,959269.0,41.26,40.75,41.4,41.18,
2017-05-05,41.57,595167.0,41.57,41.18,41.635,41.18,
2017-05-08,41.58,739582.0,41.58,41.12,41.62,41.42,
2017-05-09,41.75,715032.0,41.75,41.31,41.9,41.62,
2017-05-10,42.47,1017208.0,42.47,41.65,42.47,41.68,
2017-05-11,42.2,1006884.0,42.2,41.92,42.5,42.33,
2017-05-12,42.2,523108.0,42.2,42.07,42.37,42.07,
2017-05-15,42.93,601864.0,42.93,42.14,42.96,42.14,
2017-05-16,44.47,1805882.0,44.47,43.1,44.51,43.23,
2017-05-17,44.17,1248382.0,44.17,44.03,44.71,44.39,
2017-05-18,43.94,2490774.0,43.94,43.72,44.22,44.05,
2017-05-19,44.38,740241.0,44.38,44.0501,44.84,44.42,
2017-05-22,44.58,531801.0,44.58,44.29,44.75,44.5,
2017-05-23,44.22,651295.0,44.22,44.16,44.73,44.51,
2017-05-24,45.49,1182038.0,45.49,44.4,45.51,44.68,
2017-05-25,45.63,561452.0,45.63,45.4,45.92,45.58,
2017-05-26,45.66,434195.0,45.66,45.31,45.81,45.55,
2017-05-30,46.17,756935.0,46.17,45.41,46.32,45.5,
2017-05-31,46.41,879685.0,46.41,46.31,46.82,46.31,
2017-06-01,47.32,740514.0,47.32,46.33,47.4,46.48,
2017-06-02,47.38,634097.0,47.38,47.0,47.99,47.56,
2017-06-05,46.71,653729.0,46.71,46.41,47.46,47.15,
2017-06-06,46.67,568089.0,46.67,45.94,46.705,46.65,
2017-06-07,46.91,691077.0,46.91,46.325,47.21,46.76,
2017-06-08,46.5,373975.0,46.5,46.48,46.91,46.9,
2017-06-09,46.03,863154.0,46.03,45.85,46.76,46.58,
2017-06-12,45.43,611563.0,45.43,45.2,46.28,46.16,
2017-06-13,45.98,592952.0,45.98,45.47,46.24,45.6,
2017-06-14,45.59,759970.0,45.59,45.46,46.13,45.8,
2017-06-15,45.32,480335.0,45.32,45.06,45.64,45.46,
2017-06-16,45.07,1658171.0,45.07,43.89,45.27,45.18,
2017-06-19,45.55,906195.0,45.55,44.96,45.65,44.96,
2017-06-20,45.73,447726.0,45.73,45.48,45.93,45.86,
2017-06-21,45.82,812338.0,45.82,45.57,46.18,45.91,
2017-06-22,45.59,311228.0,45.59,45.41,46.01,45.83,
2017-06-23,45.56,2435357.0,45.56,45.31,45.73,45.54,
2017-06-26,45.34,482955.0,45.34,45.06,45.74,45.62,
2017-06-27,44.69,591825.0,44.69,44.52,45.37,45.28,
2017-06-28,45.37,664006.0,45.37,44.65,45.74,44.86,
2017-06-29,44.13,762053.0,44.13,44.04,45.31,45.3,
2017-06-30,44.04,652596.0,44.04,43.96,44.51,44.29,
2017-07-03,43.86,618134.0,43.86,43.32,44.16,44.02,
2017-07-05,43.27,820641.0,43.27,43.26,44.07,43.67,
2017-07-06,42.9,726607.0,42.9,42.745,43.24,43.13,
2017-07-07,43.1,516779.0,43.1,42.76,43.4,43.01,
2017-07-10,42.74,1034906.0,42.74,42.58,43.26,43.2,
2017-07-11,43.79,1129639.0,43.79,42.58,43.81,42.81,
2017-07-12,44.0,931942.0,44.0,43.75,44.53,44.0,
2017-07-13,43.77,697406.0,43.77,43.48,44.19,44.03,
2017-07-14,43.65,358200.0,43.65,43.605,44.09,43.8,
2017-07-17,43.99,512537.0,43.99,43.4,44.18,43.67,
2017-07-18,44.13,568848.0,44.13,43.855,44.34,44.02,
2017-07-19,44.38,592590.0,44.38,44.05,44.57,44.2,
2017-07-20,44.28,470073.0,44.28,44.22,44.51,44.44,
2017-07-21,45.0,1988993.0,45.0,44.27,45.2,44.3,
2017-07-24,44.75,961992.0,44.75,44.46,45.26,44.81,
2017-07-25,45.68,3175173.0,45.68,45.02,49.94,47.38,
2017-07-26,44.28,1260182.0,44.28,44.18,46.01,45.51,
2017-07-27,43.86,1866105.0,43.86,43.72,44.54,44.29,
2017-07-28,43.82,951064.0,43.82,43.6,44.1812,43.69,
2017-07-31,43.98,1196673.0,43.98,43.6425,44.15,43.65,
2017-08-01,44.04,1094120.0,44.04,43.91,44.26,44.21,
2017-08-02,43.76,1002646.0,43.76,43.25,44.13,43.86,
2017-08-03,43.22,691528.0,43.22,43.12,43.74,43.74,
2017-08-04,43.62,441720.0,43.62,42.9,43.62,43.41,
2017-08-07,43.86,555530.0,43.86,43.41,44.11,43.62,
2017-08-08,43.56,789743.0,43.56,43.21,43.76,43.74,
2017-08-09,43.51,690855.0,43.51,43.0,43.81,43.45,
2017-08-10,44.34,620412.0,44.34,43.28,44.38,43.43,
2017-08-11,44.81,452938.0,44.81,44.08,44.81,44.33,
2017-08-14,44.81,690766.0,44.81,44.695,45.06,44.87,
2017-08-15,45.02,439945.0,45.02,44.7,45.08,44.9,
2017-08-16,45.36,523238.0,45.36,44.92,45.57,45.11,
2017-08-17,45.37,729785.0,45.37,45.12,45.9,45.29,
2017-08-18,45.27,756030.0,45.27,44.86,45.31,45.21,
2017-08-21,45.45,697288.0,45.45,45.014,45.58,45.14,
2017-08-22,45.66,858638.0,45.66,45.39,45.97,45.5,
2017-08-23,45.59,709113.0,45.59,45.03,45.74,45.57,
2017-08-24,45.0,1029501.0,45.0,44.815,45.61,45.61,
2017-08-25,45.04,983199.0,45.04,44.81,45.23,45.06,
