YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,86.88,2560315.0,86.88,85.87,87.8,87.02,
2017-01-04,88.79,3022886.0,88.79,87.23,89.28,87.25,
2017-01-05,88.68,2330788.0,88.68,87.91,89.59,88.4,
2017-01-06,88.17,1937586.0,88.17,87.3801,88.88,88.82,
2017-01-09,86.89,3227377.0,86.89,86.79,88.5,87.81,
2017-01-10,86.88,2708550.0,86.88,86.3,87.54,87.02,
2017-01-11,88.44,2841033.0,88.44,86.56,88.46,87.18,
2017-01-12,89.62,3429448.0,89.62,88.2,90.0,88.45,
2017-01-13,89.73,1919963.0,89.73,89.25,90.7,89.73,
2017-01-17,89.97,2778148.0,89.97,89.37,90.215,89.64,
2017-01-18,90.05,2030502.0,90.05,89.61,90.71,89.99,
2017-01-19,89.76,2095154.0,89.76,89.06,90.47,90.24,
2017-01-20,90.89,3372712.0,90.89,90.16,91.95,90.92,
2017-01-23,91.16,2396656.0,91.16,90.23,91.2,90.59,
2017-01-24,95.13,4948449.0,95.13,91.75,95.89,91.88,
2017-01-25,96.38,4606468.0,96.38,94.19,96.83,95.1,
2017-01-26,95.39,4841358.0,95.39,94.88,97.64,95.82,
2017-01-27,95.3,2579307.0,95.3,94.48,95.68,95.32,
2017-01-30,94.3,2846636.0,94.3,93.64,94.97,94.97,
2017-01-31,93.27,3850142.0,93.27,92.81,93.875,93.77,
2017-02-01,95.07,2506287.0,95.07,93.675,95.38,93.75,
2017-02-02,93.75,4174766.0,93.75,93.4,95.19,94.86,
2017-02-03,94.69,5093829.0,94.69,93.0,95.92,93.75,
2017-02-06,94.94,2788422.0,94.94,94.12,95.42,94.21,
2017-02-07,92.35,4434997.0,92.35,91.4,94.21,93.17,
2017-02-08,91.66,4523051.0,91.66,91.33,92.5,92.4,
2017-02-09,92.24,3110458.0,92.24,91.96,92.81,92.0,
2017-02-10,91.86,3765237.0,91.86,91.37,92.79,92.0,
2017-02-13,92.22,2646709.0,92.22,91.76,92.78,92.67,
2017-02-14,93.15,1990962.0,93.15,92.06,93.25,92.3,
2017-02-15,93.09,1764970.0,93.09,92.35,93.28,93.02,
2017-02-16,92.69,1698637.0,92.69,92.42,93.54,93.0,
2017-02-17,92.91,2401810.0,92.91,92.25,93.5,92.47,
2017-02-21,94.52,2704489.0,94.52,92.86,94.71,93.24,
2017-02-22,94.01,2244402.0,94.01,93.67,94.79,94.02,
2017-02-23,93.13,2015375.0,93.13,92.6,94.65,94.22,
2017-02-24,92.43,2639153.0,92.43,91.36,92.4961,92.23,
