YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,47.2,725186.0,47.2,46.955,47.48,47.23,
2017-01-04,46.9,1075736.0,46.9,46.88,47.48,47.33,
2017-01-05,46.54,774118.0,46.54,46.38,46.96,46.76,
2017-01-06,46.75,725392.0,46.75,46.5,46.99,46.62,
2017-01-09,46.29,543785.0,46.29,46.275,46.6244,46.5,
2017-01-10,46.47,643615.0,46.47,46.09,46.57,46.29,
2017-01-11,46.43,854461.0,46.43,46.1,46.5699,46.42,
2017-01-12,46.15,662885.0,46.15,45.81,46.3,46.28,
2017-01-13,46.1,628193.0,46.1,46.02,46.62,46.18,
2017-01-17,45.68,813625.0,45.68,45.6,46.06,45.86,
2017-01-18,46.26,819612.0,46.26,45.68,46.31,45.85,
2017-01-19,45.7,759776.0,45.7,45.54,46.3,46.25,
2017-01-20,46.03,646897.0,46.03,45.81,46.2,45.96,
2017-01-23,45.93,522628.0,45.93,45.62,46.05,45.98,
2017-01-24,46.74,915508.0,46.74,46.11,46.86,46.16,
2017-01-25,47.09,854203.0,47.09,46.64,47.12,46.97,
2017-01-26,47.15,781508.0,47.15,46.93,47.19,47.01,
2017-01-27,46.7,643348.0,46.7,46.61,47.2,47.18,
2017-01-30,46.42,923082.0,46.42,45.92,46.63,46.56,
2017-01-31,46.58,1550461.0,46.58,45.94,46.63,46.43,
2017-02-01,46.2,989239.0,46.2,46.08,46.9,46.75,
2017-02-02,46.27,864317.0,46.27,45.89,46.27,46.14,
2017-02-03,46.61,921836.0,46.61,46.32,47.03,46.68,
2017-02-06,46.5,846117.0,46.5,45.98,47.0,46.3,
2017-02-07,46.42,744818.0,46.42,46.15,46.84,46.59,
2017-02-08,46.25,624677.0,46.25,45.98,46.42,46.21,
2017-02-09,46.24,765915.0,46.24,46.08,46.45,46.24,
2017-02-10,46.48,820255.0,46.48,46.3,46.56,46.47,
2017-02-13,46.81,890678.0,46.81,46.28,46.87,46.42,
2017-02-14,46.96,820055.0,46.96,46.67,47.16,46.83,
2017-02-15,47.25,771854.0,47.25,46.71,47.25,46.82,
2017-02-16,47.05,1425023.0,47.05,46.97,47.37,47.36,
2017-02-17,46.98,996796.0,46.98,46.57,47.0,46.91,
2017-02-21,47.12,766941.0,47.12,46.97,47.34,46.98,
2017-02-22,47.12,783976.0,47.12,46.91,47.215,46.93,
2017-02-23,47.42,713345.0,47.42,47.0075,47.43,47.22,
2017-02-24,47.23,620304.0,47.23,47.01,47.34,47.22,
2017-02-27,47.08,624442.0,47.08,47.01,47.29,47.23,
2017-02-28,46.98,1068684.0,46.98,46.91,47.19,46.98,
2017-03-01,47.82,1225590.0,47.82,47.42,47.87,47.7,
2017-03-02,47.25,741601.0,47.25,47.21,47.88,47.88,
2017-03-03,47.68,820224.0,47.68,47.17,47.785,47.31,
2017-03-06,47.51,593767.0,47.51,47.3,47.7,47.51,
2017-03-07,47.45,620334.0,47.45,47.27,47.57,47.47,
2017-03-08,47.26,730308.0,47.26,47.24,47.73,47.64,
2017-03-09,47.14,853745.0,47.14,47.0,47.52,47.32,
2017-03-10,47.2,608536.0,47.2,47.0065,47.43,47.43,
2017-03-13,47.15,836418.0,47.15,47.04,47.28,47.14,
2017-03-14,47.2,692425.0,47.2,46.75,47.3,46.97,
2017-03-15,47.54,940573.0,47.54,47.07,47.625,47.24,
2017-03-16,47.37,561890.0,47.37,47.3,47.745,47.58,
2017-03-17,47.21,1008115.0,47.21,46.99,47.43,47.42,
2017-03-20,46.88,504754.0,46.88,46.75,47.21,47.12,
2017-03-21,46.47,999072.0,46.47,46.32,47.12,47.11,
2017-03-22,46.23,956048.0,46.23,46.01,46.41,46.28,
2017-03-23,46.34,483218.0,46.34,46.09,46.76,46.2,
2017-03-24,46.04,781437.0,46.04,45.79,46.48,46.32,
2017-03-27,45.92,515913.0,45.92,45.25,45.98,45.45,
2017-03-28,46.49,1170865.0,46.49,45.78,46.56,45.78,
2017-03-29,46.35,720226.0,46.35,46.32,46.56,46.39,
2017-03-30,46.86,559949.0,46.86,46.26,46.895,46.31,
2017-03-31,46.77,850996.0,46.77,46.71,47.07,46.77,
2017-04-03,46.74,705532.0,46.74,46.28,46.93,46.78,
2017-04-04,47.09,688027.0,47.09,46.64,47.1,46.69,
2017-04-05,47.0,1295161.0,47.0,46.77,47.46,46.93,
2017-04-06,47.3,800646.0,47.3,46.8,47.36,46.94,
2017-04-07,47.24,835768.0,47.24,47.02,47.36,47.21,
2017-04-10,47.46,647807.0,47.46,47.17,47.55,47.24,
2017-04-11,47.21,471766.0,47.21,46.94,47.456,47.27,
2017-04-12,46.72,989746.0,46.72,46.66,47.09,47.09,
2017-04-13,46.13,883595.0,46.13,46.06,46.64,46.55,
2017-04-17,46.48,1723738.0,46.48,46.17,46.64,46.31,
2017-04-18,46.16,1013469.0,46.16,45.9,46.37,46.18,
2017-04-19,45.88,737212.0,45.88,45.78,46.48,46.41,
2017-04-20,46.06,942502.0,46.06,45.71,46.15,46.03,
2017-04-21,45.95,712406.0,45.95,45.89,46.22,46.02,
2017-04-24,47.05,1262556.0,47.05,46.59,47.08,46.6,
2017-04-25,47.34,850527.0,47.34,47.22,47.5,47.37,
2017-04-26,47.45,820406.0,47.45,47.12,47.93,47.31,
2017-04-27,47.33,619781.0,47.33,47.14,47.52,47.45,
2017-04-28,46.62,1253577.0,46.62,46.61,47.41,47.23,
