YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,105.39,4711319.0,105.39,104.11,105.94,104.41,
2017-01-04,106.39,3299023.0,106.39,104.86,106.75,105.34,
2017-01-05,106.99,3262213.0,106.99,106.46,108.15,107.05,
2017-01-06,107.76,3044955.0,107.76,106.87,108.11,107.32,
2017-01-09,107.55,2500662.0,107.55,107.31,108.15,107.76,
2017-01-10,107.32,3162227.0,107.32,106.92,108.57,107.55,
2017-01-11,107.81,2499275.0,107.81,106.83,107.85,107.04,
2017-01-12,108.71,3289112.0,108.71,107.31,108.86,107.67,
2017-01-13,108.7,4661858.0,108.7,108.53,109.4,108.63,
2017-01-17,108.4,2898194.0,108.4,107.61,108.86,108.23,
2017-01-18,108.66,2652563.0,108.66,107.91,109.22,108.71,
2017-01-19,108.53,1885957.0,108.53,108.33,109.37,108.84,
2017-01-20,109.96,4173340.0,109.96,108.91,110.0,109.24,
2017-01-23,109.63,3678204.0,109.63,109.13,109.98,109.66,
2017-01-24,109.92,2899629.0,109.92,109.18,110.13,109.81,
2017-01-25,110.19,3848339.0,110.19,109.4,111.07,110.66,
2017-01-26,109.38,2568700.0,109.38,109.0,110.32,109.97,
2017-01-27,109.84,2591592.0,109.84,108.92,109.84,109.57,
2017-01-30,109.3,4304352.0,109.3,108.1,109.56,109.37,
2017-01-31,106.33,6470230.0,106.33,105.5,107.1,105.97,
2017-02-01,105.0,6149776.0,105.0,104.01,106.75,106.63,
2017-02-02,105.14,4112044.0,105.14,104.61,105.49,104.92,
2017-02-03,106.58,7132581.0,106.58,105.6,107.54,106.31,
2017-02-06,106.59,3445069.0,106.59,105.69,106.62,106.58,
2017-02-07,106.6,3204834.0,106.6,106.04,107.15,107.0,
2017-02-08,106.72,2993641.0,106.72,105.8,106.9,106.55,
2017-02-09,107.3,2679439.0,107.3,106.5,107.54,106.73,
2017-02-10,107.27,2078832.0,107.27,107.2,107.64,107.55,
2017-02-13,108.28,2337277.0,108.28,107.54,108.33,107.7,
2017-02-14,108.88,2336826.0,108.88,107.76,109.21,108.01,
2017-02-15,109.66,2920281.0,109.66,108.77,110.06,109.0,
2017-02-16,109.3,2147154.0,109.3,108.885,110.2,109.75,
2017-02-17,109.42,2851173.0,109.42,108.98,110.0,109.24,
2017-02-21,110.16,3117248.0,110.16,109.34,110.24,109.45,
2017-02-22,109.44,3049304.0,109.44,109.16,110.41,109.8,
2017-02-23,110.74,4162766.0,110.74,109.6,110.75,109.83,
2017-02-24,111.0,2471728.0,111.0,110.2,111.0,110.54,
2017-02-27,110.57,2361708.0,110.57,109.76,110.99,110.4,
