YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,32.23,2660933.0,32.23,31.7,32.2899,31.89,
2017-01-04,32.94,3589850.0,32.94,32.273,33.11,32.35,
2017-01-05,32.66,2513259.0,32.66,32.52,33.19,32.84,
2017-01-06,32.53,3157648.0,32.53,32.5,33.06,32.88,
2017-01-09,32.18,2573842.0,32.18,32.16,32.6,32.46,
2017-01-10,32.21,2705707.0,32.21,32.055,32.45,32.16,
2017-01-11,32.46,2602213.0,32.46,32.1,32.5,32.21,
2017-01-12,32.05,3490544.0,32.05,31.59,32.32,32.32,
2017-01-13,32.05,2417008.0,32.05,31.99,32.34,32.1,
2017-01-17,32.03,1614011.0,32.03,31.7,32.21,31.93,
2017-01-18,32.1,2248583.0,32.1,31.85,32.31,32.17,
2017-01-19,31.93,2160488.0,31.93,31.89,32.47,32.11,
2017-01-20,31.98,3139724.0,31.98,31.7,32.18,32.04,
2017-01-23,32.03,2648617.0,32.03,31.685,32.21,31.99,
2017-01-24,32.92,2648446.0,32.92,32.26,33.04,32.28,
2017-01-25,33.62,4217380.0,33.62,33.18,33.72,33.18,
2017-01-26,33.64,3732564.0,33.64,33.5,34.05,33.84,
2017-01-27,33.32,2228107.0,33.32,33.18,33.72,33.72,
2017-01-30,33.31,2157186.0,33.31,32.71,33.31,33.23,
2017-01-31,32.95,3024252.0,32.95,32.71,33.32,33.19,
2017-02-01,33.26,3089017.0,33.26,32.85,33.515,32.93,
2017-02-02,33.0,3447120.0,33.0,32.895,33.27,33.2,
2017-02-03,33.23,3837302.0,33.23,33.15,33.54,33.16,
2017-02-06,33.18,5896090.0,33.18,32.99,33.47,33.14,
2017-02-07,33.61,2989978.0,33.61,33.16,33.63,33.27,
2017-02-08,33.79,4793484.0,33.79,33.34,33.81,33.57,
2017-02-09,33.06,10892620.0,33.06,31.29,33.545,31.52,
2017-02-10,33.75,4714585.0,33.75,33.07,33.99,33.15,
2017-02-13,33.5,3789285.0,33.5,33.46,34.12,33.98,
2017-02-14,33.11,3425448.0,33.11,32.88,33.46,33.4,
2017-02-15,33.44,2477684.0,33.44,33.04,33.515,33.06,
2017-02-16,33.67,3012393.0,33.67,33.3101,33.75,33.47,
2017-02-17,33.52,2072921.0,33.52,33.21,33.6,33.6,
2017-02-21,34.03,2559909.0,34.03,33.58,34.16,33.63,
2017-02-22,33.85,2805153.0,33.85,33.78,34.21,34.03,
2017-02-23,34.11,4360016.0,34.11,33.685,34.3,34.0,
2017-02-24,34.02,3782271.0,34.02,33.61,34.02,33.88,
2017-02-27,34.43,2018914.0,34.43,33.94,34.46,34.0,
2017-02-28,33.78,3244152.0,33.78,33.76,34.41,34.34,
2017-03-01,34.56,3527383.0,34.56,34.32,34.92,34.33,
2017-03-02,34.33,3231069.0,34.33,34.04,34.54,34.54,
2017-03-03,34.06,3360979.0,34.06,34.02,34.48,34.39,
2017-03-06,33.46,8926943.0,33.46,33.09,33.96,33.87,
2017-03-07,33.25,3391507.0,33.25,33.07,33.63,33.47,
2017-03-08,33.82,3222919.0,33.82,33.24,33.93,33.29,
2017-03-09,33.71,2560903.0,33.71,33.63,34.19,33.78,
2017-03-10,33.93,1870871.0,33.93,33.61,34.13,33.65,
2017-03-13,33.68,2928867.0,33.68,33.515,34.055,33.87,
2017-03-14,33.68,2372046.0,33.68,33.4,33.85,33.51,
2017-03-15,34.38,3735125.0,34.38,33.78,34.52,33.91,
2017-03-16,34.65,3186435.0,34.65,34.37,34.76,34.46,
2017-03-17,34.66,4146420.0,34.66,34.38,34.77,34.65,
2017-03-20,34.49,1715431.0,34.49,34.35,34.7,34.7,
2017-03-21,33.83,2800952.0,33.83,33.7625,34.61,34.6,
2017-03-22,33.92,1973609.0,33.92,33.62,34.02,33.88,
2017-03-23,34.21,2064663.0,34.21,33.8,34.32,33.88,
2017-03-24,33.99,1653638.0,33.99,33.85,34.42,34.2,
2017-03-27,33.74,2381279.0,33.74,33.285,33.86,33.56,
2017-03-28,33.97,2226900.0,33.97,33.575,34.18,33.6,
2017-03-29,33.97,2616255.0,33.97,33.79,34.205,33.83,
2017-03-30,33.82,1916691.0,33.82,33.7,34.12,33.96,
2017-03-31,33.99,3437123.0,33.99,33.64,34.12,33.8,
2017-04-03,33.41,3193849.0,33.41,33.055,34.19,34.03,
2017-04-04,33.27,3122046.0,33.27,33.21,33.51,33.38,
2017-04-05,33.08,5413742.0,33.08,32.965,33.84,33.48,
2017-04-06,33.83,3773931.0,33.83,33.46,34.16,33.59,
2017-04-07,33.5,3972746.0,33.5,33.49,33.87,33.72,
2017-04-10,33.57,2415931.0,33.57,33.49,33.94,33.49,
2017-04-11,33.96,2494655.0,33.96,33.4701,33.97,33.52,
2017-04-12,33.31,3083802.0,33.31,33.3,33.92,33.84,
2017-04-13,33.09,2467614.0,33.09,33.05,33.5,33.24,
2017-04-17,33.49,1886408.0,33.49,33.16,33.53,33.2,
2017-04-18,33.38,3024918.0,33.38,33.07,33.48,33.26,
2017-04-19,33.72,3703681.0,33.72,33.51,34.03,33.51,
2017-04-20,33.93,4588213.0,33.93,33.82,34.25,33.96,
2017-04-21,34.34,4432322.0,34.34,33.86,34.58,33.93,
2017-04-24,35.03,4320489.0,35.03,34.66,35.09,34.78,
2017-04-25,36.9,8220052.0,36.9,36.13,37.01,36.51,
2017-04-26,37.45,6001602.0,37.45,36.9,37.58,37.05,
2017-04-27,37.25,3459831.0,37.25,37.08,37.45,37.45,
2017-04-28,37.02,4057008.0,37.02,36.95,37.32,37.2,
2017-05-01,36.72,3053238.0,36.72,36.72,37.14,37.14,
2017-05-02,36.74,3242104.0,36.74,36.43,36.83,36.67,
2017-05-03,36.64,2011879.0,36.64,36.47,36.71,36.54,
2017-05-04,36.79,1428453.0,36.79,36.545,36.9,36.69,
