YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,44.85,6169941.0,44.85,44.42,44.875,44.71,41419.0
2017-01-04,44.8,4817667.0,44.8,44.67,45.2,44.85,32092.0
2017-01-05,45.0,7145764.0,45.0,44.65,45.13,44.77,37488.0
2017-01-06,45.06,5118553.0,45.06,44.6,45.37,45.08,35945.0
2017-01-09,44.69,6669638.0,44.69,44.62,45.28,45.28,40291.0
2017-01-10,44.17,10070531.0,44.17,44.11,44.76,44.56,33782.0
2017-01-11,45.07,8076803.0,45.07,44.11,45.285,44.12,46930.0
2017-01-12,44.89,4278782.0,44.89,44.745,45.18,45.0,28753.0
2017-01-13,44.6,5273094.0,44.6,44.41,45.17,44.97,27771.0
2017-01-17,44.9,5090852.0,44.9,44.4,44.9,44.56,33356.0
2017-01-18,45.03,5576951.0,45.03,44.9,45.46,45.0,35074.0
2017-01-19,44.59,6937740.0,44.59,44.4,45.03,45.01,33115.0
2017-01-20,45.2,10029708.0,45.2,44.69,45.45,44.93,42626.0
2017-01-23,44.86,7453399.0,44.86,44.52,45.195,45.06,27803.0
2017-01-24,44.93,8857313.0,44.93,44.67,45.1625,44.84,33470.0
2017-01-25,45.09,6791357.0,45.09,44.92,45.37,45.15,32872.0
2017-01-26,44.61,4829774.0,44.61,44.58,45.09,45.09,35471.0
2017-01-27,44.2,9441413.0,44.2,44.15,44.76,44.68,40486.0
2017-01-30,44.43,7357533.0,44.43,44.03,44.89,44.18,40309.0
2017-01-31,44.28,10261475.0,44.28,43.92,44.55,44.42,41482.0
2017-02-01,43.89,6027189.0,43.89,43.65,44.3482,44.18,42094.0
2017-02-02,44.01,5258323.0,44.01,43.88,44.35,43.88,35687.0
2017-02-03,44.36,5238745.0,44.36,44.0,44.53,44.32,34223.0
2017-02-06,44.01,4567120.0,44.01,43.91,44.485,44.35,28072.0
2017-02-07,43.93,7063229.0,43.93,43.8299,44.14,44.04,45546.0
2017-02-08,44.47,15334541.0,44.47,43.5801,45.23,43.59,79333.0
2017-02-09,44.7,11050460.0,44.7,44.49,45.21,44.6,38573.0
2017-02-10,44.99,9971159.0,44.99,44.61,45.3,44.8,43031.0
2017-02-13,45.03,6873107.0,45.03,44.4,45.17,45.07,38941.0
2017-02-14,44.99,5641025.0,44.99,44.72,45.17,45.01,34673.0
2017-02-15,45.37,5804827.0,45.37,44.5,45.48,44.79,40036.0
2017-02-16,43.2,20664028.0,43.2,43.015,45.29,45.23,111333.0
2017-02-17,42.5,29197389.0,42.5,41.3,42.91,41.86,145245.0
2017-02-21,44.97,17097555.0,44.97,43.94,45.04,44.26,88298.0
2017-02-22,44.65,8174908.0,44.65,44.33,44.85,44.61,53637.0
2017-02-23,44.89,6280262.0,44.89,44.17,45.12,44.69,44654.0
2017-02-24,45.38,5972154.0,45.38,44.86,45.39,44.98,36755.0
2017-02-27,43.77,9277306.0,43.77,43.73,44.75,44.74,48276.0
2017-02-28,43.92,8218917.0,43.92,43.65,44.08,43.85,44634.0
2017-03-01,44.04,11534800.0,44.04,43.9301,44.4,44.16,51269.0
2017-03-02,43.78,7333986.0,43.78,43.72,44.23,44.23,47494.0
2017-03-03,43.73,5773893.0,43.73,43.465,43.9,43.85,38279.0
2017-03-06,43.65,5435737.0,43.65,43.34,43.84,43.42,33649.0
2017-03-07,43.23,7798969.0,43.23,43.18,43.7,43.48,39297.0
2017-03-08,43.14,7231202.0,43.14,43.08,43.43,43.22,40929.0
2017-03-09,43.8,7432330.0,43.8,43.11,43.93,43.27,40636.0
2017-03-10,43.85,7144638.0,43.85,43.72,44.02,44.0,35620.0
2017-03-13,44.21,5812394.0,44.21,43.55,44.24,43.74,33854.0
2017-03-14,43.86,9841479.0,43.86,43.82,44.265,44.13,34033.0
2017-03-15,44.55,7940485.0,44.55,44.01,44.96,44.12,43868.0
2017-03-16,44.88,6882590.0,44.88,44.32,44.9,44.55,39861.0
2017-03-17,44.75,15066957.0,44.75,44.66,45.115,45.06,45423.0
2017-03-20,44.44,6801122.0,44.44,44.28,44.71,44.64,34987.0
2017-03-21,44.1,6383944.0,44.1,44.06,44.54,44.51,37100.0
2017-03-22,44.0,5623530.0,44.0,43.7647,44.34,44.19,39162.0
2017-03-23,44.02,4558313.0,44.02,43.8,44.28,43.9,32442.0
2017-03-24,43.8,5982633.0,43.8,43.6,44.11,44.11,39672.0
2017-03-27,43.53,9414101.0,43.53,43.46,43.86,43.64,29651.0
2017-03-28,43.7,6172754.0,43.7,43.06,43.93,43.4,39331.0
2017-03-29,43.75,5171082.0,43.75,43.33,43.86,43.57,32614.0
2017-03-30,43.28,6918390.0,43.28,43.21,43.66,43.65,29230.0
2017-03-31,43.08,8233911.0,43.08,43.08,43.505,43.18,36266.0
2017-04-03,43.05,12837478.0,43.05,42.915,43.3,43.23,47096.0
