YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,70.61,11125439.0,70.61,69.35,71.03,70.25,
2017-01-04,71.27,7806756.0,71.27,70.82,71.66,70.9,
2017-01-05,70.83,6217295.0,70.83,70.59,71.51,71.48,
2017-01-06,72.87,8985597.0,72.87,71.105,72.88,71.14,
2017-01-09,73.82,9671972.0,73.82,73.2,74.11,73.3,
2017-01-10,74.9,7681694.0,74.9,74.12,75.27,74.27,
2017-01-11,74.44,7475395.0,74.44,73.38,75.12,75.12,
2017-01-12,75.11,6462636.0,75.11,73.74,75.23,74.06,
2017-01-13,75.09,5455763.0,75.09,74.66,75.2999,75.0,
2017-01-17,75.82,7084447.0,75.82,74.37,75.95,75.06,
2017-01-18,75.67,5833131.0,75.67,75.21,76.27,76.27,
2017-01-19,75.3,6753741.0,75.3,74.945,75.72,75.3,
2017-01-20,74.99,8898612.0,74.99,74.72,75.68,75.51,
2017-01-23,74.77,4523412.0,74.77,74.36,75.14,74.72,
2017-01-24,73.83,6430264.0,73.83,73.59,74.73,74.64,
2017-01-25,74.49,6171222.0,74.49,73.59,74.61,73.99,
2017-01-26,74.04,3699426.0,74.04,73.89,74.58,74.49,
2017-01-27,74.95,4903039.0,74.95,74.47,75.23,74.54,
2017-01-30,74.67,4372073.0,74.67,74.32,74.94,74.68,
2017-01-31,76.02,7828178.0,76.02,74.27,76.23,74.59,
2017-02-01,76.0,5618319.0,76.0,75.23,76.04,75.28,
2017-02-02,75.92,5357309.0,75.92,75.44,76.29,75.58,
2017-02-03,76.34,4985915.0,76.34,75.67,76.5,76.13,
2017-02-06,75.98,3817624.0,75.98,75.5201,76.34,76.32,
2017-02-07,76.12,3898535.0,76.12,75.52,76.16,75.87,
2017-02-08,75.6,3668198.0,75.6,75.52,76.14,76.07,
2017-02-09,75.71,4367492.0,75.71,75.44,75.88,75.77,
2017-02-10,76.15,3427117.0,76.15,75.71,76.26,75.85,
2017-02-13,76.92,4081591.0,76.92,76.15,76.93,76.27,
2017-02-14,77.05,3781965.0,77.05,76.46,77.2999,77.0,
2017-02-15,77.7,4244303.0,77.7,76.57,77.89,76.64,
2017-02-16,77.99,4152633.0,77.99,77.16,78.0,77.72,
2017-02-17,78.88,9954648.0,78.88,77.8,78.98,77.86,
2017-02-21,80.56,7313051.0,80.56,79.8,80.98,80.0,
2017-02-22,79.62,5507981.0,79.62,79.24,80.47,80.25,
2017-02-23,80.74,4552670.0,80.74,79.95,80.93,80.25,
2017-02-24,81.03,4489059.0,81.03,80.44,81.05,80.54,
2017-02-27,80.75,3589002.0,80.75,80.65,81.16,81.03,
2017-02-28,80.91,3749326.0,80.91,80.46,81.13,80.51,
2017-03-01,82.07,4995977.0,82.07,80.96,82.28,81.31,
2017-03-02,81.99,4069138.0,81.99,81.49,82.47,81.9,
2017-03-03,81.86,2775683.0,81.86,81.3403,82.0,81.62,
2017-03-06,81.54,2681761.0,81.54,81.28,81.86,81.42,
2017-03-07,81.4,2594882.0,81.4,81.1,81.72,81.18,
2017-03-08,82.22,4018613.0,82.22,81.27,82.4,81.4,
2017-03-09,82.79,3478828.0,82.79,81.89,82.88,82.15,
2017-03-10,83.04,4034472.0,83.04,82.58,83.19,83.0,
2017-03-13,82.89,3134236.0,82.89,82.44,83.19,82.99,
2017-03-14,82.52,3591993.0,82.52,82.135,84.0,82.66,
2017-03-15,83.3,3267104.0,83.3,82.57,83.45,82.6,
2017-03-16,81.83,6347398.0,81.83,81.61,83.47,83.24,
2017-03-17,82.23,11360911.0,82.23,81.7,82.345,81.808,
2017-03-20,81.42,4423782.0,81.42,81.28,82.24,82.16,
2017-03-21,81.12,5343909.0,81.12,80.72,81.9,81.8,
2017-03-22,81.0,4419781.0,81.0,80.36,81.19,80.7,
2017-03-23,80.86,4194824.0,80.86,80.68,81.35,80.74,
2017-03-24,81.0,3010258.0,81.0,80.85,81.47,80.85,
2017-03-27,81.03,5272212.0,81.03,80.39,81.16,80.7,
2017-03-28,80.74,7442253.0,80.74,80.6201,81.05,80.92,
2017-03-29,81.14,5686691.0,81.14,80.45,81.33,80.83,
2017-03-30,80.99,2421423.0,80.99,80.5,81.22,81.04,
2017-03-31,80.56,3789950.0,80.56,80.55,81.11,80.75,
2017-04-03,81.03,3250242.0,81.03,80.21,81.16,80.85,
