YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,116.86,20653662.0,116.86,115.51,117.84,116.03,124795.0
2017-01-04,118.69,19630932.0,118.69,117.29,119.66,117.55,113973.0
2017-01-05,120.67,19492150.0,120.67,118.3209,120.95,118.86,111861.0
2017-01-06,123.41,28576663.0,123.41,120.03,123.88,120.98,162442.0
2017-01-09,124.9,22880360.0,124.9,123.04,125.43,123.55,129993.0
2017-01-10,124.35,17324590.0,124.35,124.28,125.5,124.82,100951.0
2017-01-11,126.09,18357523.0,126.09,124.06,126.12,124.35,104423.0
2017-01-12,126.62,18653914.0,126.62,124.8,126.73,125.61,103269.0
2017-01-13,128.34,24874467.0,128.34,127.37,129.27,127.49,139158.0
2017-01-17,127.87,15294460.0,127.87,127.4,128.34,128.04,88730.0
2017-01-18,127.92,13146332.0,127.92,126.84,128.43,128.41,79758.0
2017-01-19,127.55,12195480.0,127.55,127.45,128.35,128.23,69161.0
2017-01-20,127.04,19097223.0,127.04,126.78,128.48,128.1,96237.0
2017-01-23,128.93,16593563.0,128.93,126.95,129.25,127.31,99173.0
2017-01-24,129.37,15162724.0,129.37,128.38,129.9,129.38,88475.0
2017-01-25,131.48,18777314.0,131.48,129.77,131.74,130.0,113321.0
2017-01-26,132.78,20020141.0,132.78,131.4401,133.14,131.63,122191.0
2017-01-27,132.18,19528014.0,132.18,131.08,132.95,132.68,107518.0
2017-01-30,130.98,18973904.0,130.98,129.6,131.58,131.58,114910.0
2017-01-31,130.32,19790514.0,130.32,129.5157,130.66,130.17,113815.0
2017-02-01,133.23,50141823.0,133.23,130.68,133.49,132.25,254274.0
2017-02-02,130.84,54367208.0,130.84,130.4,135.49,133.22,280420.0
2017-02-03,130.98,24808890.0,130.98,130.76,132.85,131.24,141035.0
2017-02-06,132.06,17058494.0,132.06,130.3,132.06,130.98,101780.0
2017-02-07,131.84,14596699.0,131.84,131.661,133.0,132.24,88995.0
2017-02-08,134.2,22390556.0,134.2,132.44,134.44,132.6,115433.0
2017-02-09,134.14,16470709.0,134.14,133.31,134.5,134.49,88372.0
2017-02-10,134.19,15061939.0,134.19,133.68,134.94,134.1,84943.0
2017-02-13,134.05,13533425.0,134.05,133.7,134.6975,134.6975,82636.0
2017-02-14,133.85,14400889.0,133.85,132.55,134.23,134.1,87042.0
2017-02-15,133.44,13226534.0,133.44,132.66,133.7,133.45,84593.0
2017-02-16,133.84,12781092.0,133.84,133.022,133.87,133.07,74220.0
2017-02-17,133.53,12276490.0,133.53,133.17,134.0912,133.5,63814.0
2017-02-21,133.72,14759109.0,133.72,132.9,133.91,133.5,87557.0
2017-02-22,136.12,27861092.0,136.12,133.46,136.79,133.6,136903.0
2017-02-23,135.36,18422549.0,135.36,134.33,136.12,135.89,106405.0
2017-02-24,135.44,12625742.0,135.44,134.16,135.62,134.16,72379.0
2017-02-27,136.41,14306668.0,136.41,135.02,137.1846,135.26,86037.0
2017-02-28,135.54,16112094.0,135.54,134.75,136.805,136.79,91876.0
2017-03-01,137.42,16257011.0,137.42,136.3,137.48,136.47,98519.0
2017-03-02,136.76,12346054.0,136.76,136.31,137.82,137.09,77132.0
2017-03-03,137.17,11160563.0,137.17,136.08,137.33,136.63,69168.0
2017-03-06,137.42,12748179.0,137.42,136.51,137.83,136.88,74831.0
2017-03-07,137.3,13527132.0,137.3,136.99,138.37,137.03,79348.0
2017-03-08,137.72,10184514.0,137.72,137.0516,137.99,137.15,65902.0
2017-03-09,138.24,15535259.0,138.24,137.4,138.57,137.72,84266.0
2017-03-10,138.79,16314113.0,138.79,138.22,139.49,138.91,89201.0
2017-03-13,139.6,10955450.0,139.6,138.6729,139.68,138.71,63683.0
2017-03-14,139.32,12944068.0,139.32,138.52,139.46,139.46,72980.0
2017-03-15,139.72,19346177.0,139.72,138.49,140.1,139.29,103912.0
2017-03-16,139.99,13612942.0,139.99,139.73,140.25,140.2,87545.0
2017-03-17,139.84,20592818.0,139.84,139.7,140.34,140.34,77095.0
