YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,54.28,5612991.0,54.28,53.6,54.97,54.51,
2017-01-04,54.58,6839013.0,54.58,54.16,54.95,54.33,
2017-01-05,53.83,5832325.0,53.83,53.19,54.61,54.33,
2017-01-06,54.18,3966200.0,54.18,53.95,54.5771,54.11,
2017-01-09,53.7,6954629.0,53.7,53.63,54.7,53.93,
2017-01-10,53.93,9190903.0,53.93,53.35,54.53,53.78,
2017-01-11,54.43,6244847.0,54.43,53.67,54.65,54.21,
2017-01-12,53.91,4926275.0,53.91,53.07,54.09,54.05,
2017-01-13,54.31,5213456.0,54.31,54.14,54.78,54.3,
2017-01-17,53.55,5371948.0,53.55,53.305,54.045,53.84,
2017-01-18,54.06,5236366.0,54.06,53.05,54.08,53.69,
2017-01-19,54.02,4851418.0,54.02,53.63,54.42,54.26,
2017-01-20,54.33,5586628.0,54.33,53.93,54.72,54.22,
2017-01-23,54.1,4556852.0,54.1,53.86,54.7,54.47,
2017-01-24,54.91,4201453.0,54.91,54.36,55.39,54.36,
2017-01-25,56.15,5548798.0,56.15,55.4,56.25,55.43,
2017-01-26,56.03,5066756.0,56.03,55.5,56.36,55.58,
2017-01-27,55.61,5007495.0,55.61,55.37,55.94,55.77,
2017-01-30,54.9,5317491.0,54.9,54.18,55.24,55.24,
2017-01-31,54.41,5144517.0,54.41,53.81,55.16,54.72,
2017-02-01,54.32,7882348.0,54.32,54.01,55.3,55.11,
2017-02-02,51.46,15661341.0,51.46,50.35,52.49,52.12,
2017-02-03,51.77,10456512.0,51.77,51.57,52.47,52.35,
2017-02-06,51.88,5885588.0,51.88,51.22,52.19,51.22,
2017-02-07,51.68,5642349.0,51.68,51.67,52.38,52.17,
2017-02-08,51.39,6310457.0,51.39,51.09,51.64,51.51,
2017-02-09,52.58,5909686.0,52.58,51.63,52.885,51.73,
2017-02-10,52.91,4998238.0,52.91,52.66,53.295,52.9,
2017-02-13,53.5,4940116.0,53.5,53.33,54.11,53.33,
2017-02-14,53.88,4936590.0,53.88,53.18,54.09,53.3,
2017-02-15,53.93,6785537.0,53.93,53.57,54.15,54.09,
2017-02-16,53.65,7509080.0,53.65,53.54,54.19,53.93,
2017-02-17,52.97,7975887.0,52.97,52.6665,53.35,53.21,
2017-02-21,53.35,5717407.0,53.35,53.13,53.7,53.4,
2017-02-22,53.48,5460877.0,53.48,52.93,53.69,52.97,
2017-02-23,53.56,5594394.0,53.56,53.2675,53.72,53.58,
2017-02-24,52.49,6718392.0,52.49,52.405,53.03,52.81,
2017-02-27,52.66,7325699.0,52.66,52.42,52.805,52.65,
2017-02-28,52.44,7491977.0,52.44,52.25,52.74,52.44,
2017-03-01,54.33,10909438.0,54.33,53.3,54.84,53.39,
2017-03-02,53.43,6564076.0,53.43,53.35,54.5503,54.39,
2017-03-03,54.83,8365972.0,54.83,53.62,55.065,53.67,
2017-03-06,53.93,6571912.0,53.93,53.44,54.24,53.63,
2017-03-07,53.35,5285531.0,53.35,53.16,53.81,53.72,
2017-03-08,53.46,5312105.0,53.46,53.42,54.27,53.94,
2017-03-09,53.62,5026814.0,53.62,53.42,53.995,53.63,
2017-03-10,54.02,5302152.0,54.02,53.69,54.26,53.93,
2017-03-13,54.16,5358646.0,54.16,53.88,54.4,54.03,
2017-03-14,53.89,3865190.0,53.89,53.41,53.97,53.85,
2017-03-15,53.68,5908746.0,53.68,53.425,54.18,54.09,
2017-03-16,54.02,4891835.0,54.02,53.73,54.33,53.75,
2017-03-17,53.36,6909679.0,53.36,53.12,54.21,54.21,
2017-03-20,53.13,3934540.0,53.13,52.87,53.43,53.19,
2017-03-21,51.92,6332712.0,51.92,51.81,53.55,53.43,
2017-03-22,51.77,5288684.0,51.77,50.88,52.035,51.34,
2017-03-23,52.05,5034991.0,52.05,51.38,52.6501,51.6,
2017-03-24,52.01,4987576.0,52.01,51.665,52.72,52.24,
2017-03-27,51.69,6254885.0,51.69,50.25,51.79,50.89,
2017-03-28,52.48,5252216.0,52.48,51.34,52.83,51.4,
2017-03-29,52.18,4899323.0,52.18,52.05,52.64,52.27,
2017-03-30,53.12,6826078.0,53.12,52.1095,53.43,52.17,
2017-03-31,52.82,4519142.0,52.82,52.79,53.17,52.9,
2017-04-03,52.4,5253820.0,52.4,51.58,53.08,52.9,
2017-04-04,52.32,4983890.0,52.32,51.88,52.45,52.29,
2017-04-05,51.9,4891153.0,51.9,51.83,53.02,52.72,
2017-04-06,52.67,6307530.0,52.67,51.55,52.82,51.91,
2017-04-07,52.61,6548103.0,52.61,51.97,52.9125,52.21,
2017-04-10,52.79,5215948.0,52.79,52.5,53.19,52.6,
