YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,29.48,9439195.0,29.48,28.76,29.51,29.01,
2017-01-04,29.46,6330917.0,29.46,29.18,29.65,29.52,
2017-01-05,29.37,8587124.0,29.37,29.35,29.97,29.65,
2017-01-06,29.52,6989539.0,29.52,29.35,29.705,29.37,
2017-01-09,29.16,5893400.0,29.16,29.16,29.9,29.71,
2017-01-10,29.62,11879526.0,29.62,28.7165,29.92,29.29,
2017-01-11,29.03,9595209.0,29.03,28.69,29.57,29.5,
2017-01-12,28.63,6311993.0,28.63,28.35,29.1604,28.86,
2017-01-13,28.62,8786605.0,28.62,28.55,29.06,28.73,
2017-01-17,28.66,6966129.0,28.66,28.45,28.8,28.45,
2017-01-18,28.61,3839876.0,28.61,28.33,28.69,28.56,
2017-01-19,28.69,4820921.0,28.69,28.56,28.855,28.71,
2017-01-20,28.74,5371803.0,28.74,28.74,29.25,28.85,
2017-01-23,28.5,6588065.0,28.5,28.4,28.88,28.73,
2017-01-24,29.01,4468015.0,29.01,28.46,29.05,28.59,
2017-01-25,29.6,7275696.0,29.6,29.2101,29.655,29.31,
2017-01-26,29.48,4955539.0,29.48,29.24,29.8668,29.48,
2017-01-27,29.79,5813446.0,29.79,29.46,29.889,29.8,
2017-01-30,29.11,5634600.0,29.11,29.08,29.62,29.62,
2017-01-31,28.8,5479744.0,28.8,28.73,29.195,29.01,
2017-02-01,28.56,6986942.0,28.56,28.38,28.89,28.76,
2017-02-02,28.8,6200467.0,28.8,28.45,28.82,28.52,
2017-02-03,28.86,3781195.0,28.86,28.78,29.01,28.93,
2017-02-06,29.05,6694787.0,29.05,28.763,29.14,28.93,
2017-02-07,28.56,5338630.0,28.56,28.5,29.1,29.08,
2017-02-08,28.64,3298707.0,28.64,28.44,28.73,28.52,
2017-02-09,28.62,4931354.0,28.62,28.31,28.71,28.66,
2017-02-10,28.53,4791305.0,28.53,28.48,28.79,28.68,
2017-02-13,29.16,10158933.0,29.16,28.59,29.3,28.73,
2017-02-14,28.65,9169618.0,28.65,28.61,29.6,29.44,
2017-02-15,29.6,14333028.0,29.6,28.66,29.71,28.66,
2017-02-16,26.86,49246857.0,26.86,26.64,28.06,28.04,
2017-02-17,26.6,20858708.0,26.6,26.04,26.78,26.5,
2017-02-21,26.95,12650295.0,26.95,26.56,27.06,26.62,
2017-02-22,26.46,9682320.0,26.46,26.32,27.06,26.97,
2017-02-23,26.18,10040992.0,26.18,26.07,26.69,26.58,
2017-02-24,26.39,11647282.0,26.39,26.03,26.4,26.1,
2017-02-27,26.47,8026766.0,26.47,26.3201,26.55,26.45,
2017-02-28,26.29,8232019.0,26.29,26.15,26.53,26.39,
2017-03-01,26.83,9781250.0,26.83,26.78,27.2,27.07,
2017-03-02,26.31,7705111.0,26.31,26.27,26.79,26.74,
2017-03-03,26.46,6844683.0,26.46,26.08,26.52,26.22,
2017-03-06,26.55,6478756.0,26.55,26.14,26.61,26.42,
2017-03-07,25.74,23495002.0,25.74,25.33,26.41,26.37,
2017-03-08,25.68,12078975.0,25.68,25.635,25.9,25.8,
2017-03-09,25.43,7790571.0,25.43,25.29,25.8,25.53,
2017-03-10,25.5,6840763.0,25.5,25.15,25.59,25.56,
2017-03-13,25.95,6783580.0,25.95,25.56,26.02,25.61,
2017-03-14,26.35,7634198.0,26.35,25.83,26.4,25.95,
2017-03-15,26.82,10563811.0,26.82,26.34,26.87,26.5,
2017-03-16,26.79,10592719.0,26.79,26.52,26.99,26.75,
2017-03-17,27.58,15365616.0,27.58,26.85,27.6,26.95,
2017-03-20,26.62,19573325.0,26.62,26.34,27.45,27.43,
2017-03-21,26.13,17554753.0,26.13,25.8937,26.76,26.7,
2017-03-22,26.03,7313909.0,26.03,25.92,26.43,26.04,
2017-03-23,25.92,6979294.0,25.92,25.91,26.4,26.02,
2017-03-24,25.71,11061581.0,25.71,25.465,26.13,26.07,
2017-03-27,26.58,12583993.0,26.58,25.21,26.61,25.25,
2017-03-28,27.17,12824460.0,27.17,26.59,27.27,26.65,
2017-03-29,27.29,6146911.0,27.29,27.0,27.54,27.13,
2017-03-30,27.33,4714815.0,27.33,27.2,27.5,27.36,
2017-03-31,27.4,7166641.0,27.4,27.06,27.5,27.17,
2017-04-03,27.75,10087540.0,27.75,27.51,28.09,27.74,
2017-04-04,27.82,5159725.0,27.82,27.63,27.9,27.68,
2017-04-05,27.6,7249261.0,27.6,27.58,28.12,27.99,
2017-04-06,28.43,11886800.0,28.43,27.52,28.53,27.56,
2017-04-07,28.11,6968689.0,28.11,28.0,28.5,28.27,
2017-04-10,27.77,7840602.0,27.77,27.65,28.09,28.08,
