YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,201.75,492807.0,201.75,200.08,204.15,201.68,
2017-01-04,205.88,544649.0,205.88,202.0,206.41,202.0,
2017-01-05,204.35,540523.0,204.35,203.09,206.18,205.45,
2017-01-06,204.44,590923.0,204.44,203.315,206.37,204.55,
2017-01-09,203.73,458323.0,203.73,203.52,205.77,205.28,
2017-01-10,203.18,520080.0,203.18,203.0,205.52,203.14,
2017-01-11,202.2,494400.0,202.2,200.84,204.16,203.82,
2017-01-12,201.74,468566.0,201.74,199.9,202.04,200.96,
2017-01-13,202.41,387872.0,202.41,201.11,203.13,201.62,
2017-01-17,201.81,457560.0,201.81,200.74,202.67,201.73,
2017-01-18,204.09,777658.0,204.09,201.53,204.6,202.17,
2017-01-19,205.9,863297.0,205.9,204.51,210.21,204.51,
2017-01-20,207.14,617529.0,207.14,206.4,208.01,206.4,
2017-01-23,209.52,892028.0,209.52,206.74,210.3,207.08,
2017-01-24,214.87,1027693.0,214.87,210.63,215.99,210.63,
2017-01-25,215.38,942908.0,215.38,215.19,217.96,215.63,
2017-01-26,215.45,417836.0,215.45,213.89,216.52,215.33,
2017-01-27,215.17,334973.0,215.17,214.04,215.29,214.88,
2017-01-30,215.46,485257.0,215.46,212.13,216.08,213.42,
2017-01-31,215.84,558078.0,215.84,213.43,216.42,215.63,
2017-02-01,215.87,493414.0,215.87,213.07,217.25,215.85,
2017-02-02,216.03,558626.0,216.03,214.8,216.975,215.58,
2017-02-03,215.39,455780.0,215.39,214.83,217.51,216.31,
2017-02-06,213.38,749001.0,213.38,212.77,216.48,214.46,
2017-02-07,214.0,566719.0,214.0,213.75,216.175,214.46,
2017-02-08,214.1,458141.0,214.1,213.47,215.5,214.27,
2017-02-09,214.77,999180.0,214.77,211.13,215.37,213.23,
2017-02-10,222.72,2023906.0,222.72,209.9,224.165,212.5,
2017-02-13,223.8,688412.0,223.8,222.68,225.53,224.41,
2017-02-14,224.23,540692.0,224.23,222.19,224.3,223.39,
2017-02-15,222.98,459025.0,222.98,222.41,224.98,224.0,
2017-02-16,221.78,421657.0,221.78,220.24,224.01,223.2,
2017-02-17,221.55,470703.0,221.55,219.22,221.995,221.37,
2017-02-21,224.54,603479.0,224.54,219.53,224.88,222.08,
