YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,223.33,752929.0,223.33,219.5,225.64,223.49,
2017-01-04,226.36,664936.0,226.36,222.81,227.68,223.24,
2017-01-05,226.52,649765.0,226.52,225.11,229.645,226.15,
2017-01-06,219.84,818360.0,219.84,219.528,226.24,226.08,
2017-01-09,219.36,643739.0,219.36,218.5,221.6,219.88,
2017-01-10,220.56,587951.0,220.56,219.24,222.47,220.07,
2017-01-11,221.95,415827.0,221.95,219.79,222.24,221.64,
2017-01-12,219.92,611699.0,219.92,216.8,222.5,222.14,
2017-01-13,220.67,478796.0,220.67,219.05,221.611,219.62,
2017-01-17,219.86,635397.0,219.86,217.11,220.95,220.95,
2017-01-18,225.36,622901.0,225.36,219.4,225.89,220.15,
2017-01-19,225.76,727553.0,225.76,225.02,227.32,225.93,
2017-01-20,227.75,612657.0,227.75,226.48,229.15,227.12,
2017-01-23,227.36,607310.0,227.36,225.51,229.855,228.6,
2017-01-24,234.5,727481.0,234.5,228.39,235.57,229.2,
2017-01-25,242.0,1432844.0,242.0,237.56,243.29,237.57,
2017-01-26,241.62,796069.0,241.62,239.83,243.98,242.02,
2017-01-27,239.78,420399.0,239.78,238.73,242.74,242.57,
2017-01-30,235.31,606820.0,235.31,233.28,238.0,238.0,
2017-01-31,229.6,1151143.0,229.6,226.74,236.69,234.89,
2017-02-01,230.5,649322.0,230.5,228.55,232.23,231.29,
2017-02-02,228.59,602927.0,228.59,227.06,230.37,229.48,
2017-02-03,230.91,491136.0,230.91,228.6101,233.333,229.86,
2017-02-06,230.58,524170.0,230.58,229.69,231.56,230.86,
2017-02-07,226.62,1086699.0,226.62,221.33,229.0,223.87,
2017-02-08,226.25,500439.0,226.25,223.3301,228.65,226.62,
2017-02-09,225.32,520109.0,225.32,224.85,227.33,227.0,
2017-02-10,230.32,519689.0,230.32,226.45,231.16,226.89,
2017-02-13,231.39,664374.0,231.39,230.03,234.43,232.66,
2017-02-14,226.41,1557078.0,226.41,221.36,229.11,226.62,
2017-02-15,222.0,1739565.0,222.0,219.96,226.29,224.65,
2017-02-16,221.53,772553.0,221.53,220.0,222.715,221.95,
2017-02-17,217.55,835054.0,217.55,215.26,221.0,220.82,
2017-02-21,219.98,727138.0,219.98,218.05,221.69,218.25,
2017-02-22,218.94,749239.0,218.94,218.72,221.37,219.89,
2017-02-23,208.68,1913454.0,208.68,206.34,220.25,219.7,
2017-02-24,210.05,985751.0,210.05,206.1,211.32,207.08,
2017-02-27,215.26,825399.0,215.26,208.95,219.7,210.49,
2017-02-28,215.95,1167833.0,215.95,213.92,219.33,215.65,
2017-03-01,222.27,1166911.0,222.27,219.8308,224.98,223.02,
2017-03-02,219.02,710919.0,219.02,217.6,221.97,221.91,
2017-03-03,217.69,677526.0,217.69,215.95,221.85,218.91,
2017-03-06,214.68,754045.0,214.68,213.58,217.7,215.93,
2017-03-07,209.93,839170.0,209.93,209.0,214.96,214.52,
2017-03-08,210.85,577163.0,210.85,209.59,212.28,209.59,
2017-03-09,208.16,610832.0,208.16,205.8601,212.89,210.41,
2017-03-10,212.81,708009.0,212.81,208.59,213.14,209.37,
2017-03-13,214.93,567395.0,214.93,211.75,215.17,212.36,
2017-03-14,211.67,500646.0,211.67,209.31,213.5,212.91,
2017-03-15,214.02,553465.0,214.02,209.63,215.22,212.45,
2017-03-16,210.37,658087.0,210.37,209.19,214.63,214.52,
2017-03-17,211.95,572326.0,211.95,209.6,213.13,211.0,
2017-03-20,211.11,365046.0,211.11,209.5,212.03,212.03,
2017-03-21,209.09,526301.0,209.09,207.59,212.5994,212.08,
2017-03-22,212.54,715596.0,212.54,207.0,213.09,208.5,
2017-03-23,213.49,672157.0,213.49,210.19,214.67,212.38,
2017-03-24,207.24,812123.0,207.24,206.489,213.24,213.15,
2017-03-27,207.04,718870.0,207.04,201.77,208.22,203.84,
2017-03-28,209.92,767976.0,209.92,206.4999,212.03,206.5,
2017-03-29,214.27,591755.0,214.27,210.0,214.73,211.15,
2017-03-30,211.56,705983.0,211.56,210.94,216.79,213.66,
2017-03-31,218.25,927580.0,218.25,213.08,219.07,214.0,
2017-04-03,214.43,634271.0,214.43,212.79,218.63,218.2,
2017-04-04,216.01,450333.0,216.01,212.65,216.13,214.3,
2017-04-05,214.98,833158.0,214.98,214.64,218.98,216.4,
2017-04-06,218.21,848411.0,218.21,214.1,218.3551,214.84,
2017-04-07,221.41,874186.0,221.41,218.7,223.55,218.7,
2017-04-10,220.31,398016.0,220.31,219.55,222.03,221.54,
2017-04-11,219.59,533834.0,219.59,214.07,220.21,219.84,
2017-04-12,212.79,786345.0,212.79,211.75,218.8,218.8,
2017-04-13,210.11,496345.0,210.11,210.09,213.31,212.31,
2017-04-17,212.69,456585.0,212.69,210.16,212.85,210.57,
2017-04-18,210.73,310113.0,210.73,209.43,213.17,211.07,
2017-04-19,211.16,484320.0,211.16,210.73,213.87,211.75,
2017-04-20,217.29,474467.0,217.29,211.97,218.84,212.63,
2017-04-21,218.89,561114.0,218.89,216.45,219.99,217.58,
2017-04-24,222.81,553729.0,222.81,218.91,223.57,221.48,
2017-04-25,223.5,655722.0,223.5,222.07,224.82,224.04,
2017-04-26,221.15,487773.0,221.15,220.8,223.814,223.55,
2017-04-27,223.35,528997.0,223.35,218.87,223.99,221.0,
2017-04-28,220.19,542334.0,220.19,219.79,223.89,223.15,
2017-05-01,222.87,989002.0,222.87,219.91,226.47,221.51,
2017-05-02,239.85,1761172.0,239.85,231.0,243.39,232.18,
2017-05-03,238.97,744235.0,238.97,237.11,244.32,238.4,
2017-05-04,237.0,924157.0,237.0,236.95,242.46,239.24,
2017-05-05,237.55,456300.0,237.55,235.5,238.52,238.43,
2017-05-08,234.29,388974.0,234.29,233.245,236.86,236.86,
2017-05-09,233.84,412726.0,233.84,232.85,237.0,234.66,
2017-05-10,234.28,788716.0,234.28,233.79,239.13,235.74,
2017-05-11,233.76,581546.0,233.76,228.66,234.459,233.61,
2017-05-12,230.54,405888.0,230.54,229.94,233.27,232.26,
