YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,67.87,2318664.0,67.87,67.31,68.04,67.85,
2017-01-04,68.29,1715110.0,68.29,67.92,68.525,67.92,
2017-01-05,68.31,1562293.0,68.31,68.06,68.53,68.28,
2017-01-06,68.68,1842520.0,68.68,68.25,68.83,68.4,
2017-01-09,67.8,1167978.0,67.8,67.78,68.4262,68.42,
2017-01-10,67.51,1781966.0,67.51,67.46,68.325,67.84,
2017-01-11,67.44,2162076.0,67.44,66.9648,67.68,67.4,
2017-01-12,67.58,2110344.0,67.58,66.75,67.66,67.14,
2017-01-13,67.73,1221958.0,67.73,67.68,68.1,67.69,
2017-01-17,67.64,1384844.0,67.64,67.16,68.015,67.4,
2017-01-18,68.17,1750220.0,68.17,67.58,68.271,67.85,
2017-01-19,67.45,1577612.0,67.45,67.33,68.32,68.32,
2017-01-20,67.99,2107167.0,67.99,67.49,67.99,67.62,
2017-01-23,67.56,1235073.0,67.56,67.33,67.72,67.58,
2017-01-24,68.23,1813272.0,68.23,67.74,68.36,67.8,
2017-01-25,68.66,2163994.0,68.66,68.41,68.8,68.52,
2017-01-26,68.75,1418142.0,68.75,68.55,69.0,68.69,
2017-01-27,68.85,1956768.0,68.85,68.67,69.18,68.94,
2017-01-30,68.34,1874926.0,68.34,67.94,68.79,68.56,
2017-01-31,68.02,2191438.0,68.02,67.7,68.47,68.26,
2017-02-01,67.41,2126318.0,67.41,67.32,68.41,68.12,
2017-02-02,69.55,2931520.0,69.55,67.61,69.78,67.78,
2017-02-03,70.52,2986389.0,70.52,69.69,70.6,70.25,
2017-02-06,69.91,1654894.0,69.91,69.86,70.645,70.2,
2017-02-07,69.77,1127867.0,69.77,69.71,70.26,70.19,
2017-02-08,70.41,2278201.0,70.41,69.33,70.44,69.38,
2017-02-09,70.58,1641454.0,70.58,70.455,70.87,70.58,
2017-02-10,71.08,2866507.0,71.08,70.45,71.29,70.69,
2017-02-13,71.48,1414345.0,71.48,71.03,71.73,71.25,
2017-02-14,71.94,1492129.0,71.94,71.43,71.99,71.55,
2017-02-15,72.63,1609015.0,72.63,71.67,72.72,71.88,
2017-02-16,73.26,2173657.0,73.26,72.44,73.29,72.5,
2017-02-17,73.52,2029848.0,73.52,72.73,73.52,72.93,
2017-02-21,72.93,1729613.0,72.93,72.72,73.67,73.38,
2017-02-22,72.93,1502901.0,72.93,72.5,73.18,72.51,
2017-02-23,73.54,2203063.0,73.54,72.87,73.57,73.15,
2017-02-24,73.51,1908356.0,73.51,72.95,73.74,73.18,
2017-02-27,73.47,868775.0,73.47,72.66,73.9,73.65,
2017-02-28,73.48,1825566.0,73.48,73.05,73.72,73.23,
2017-03-01,74.65,1677264.0,74.65,73.93,74.76,74.06,
2017-03-02,74.13,1248796.0,74.13,74.1,74.59,74.52,
2017-03-03,74.22,1014915.0,74.22,73.87,74.34,74.11,
2017-03-06,73.82,1197874.0,73.82,73.65,74.27,73.82,
2017-03-07,73.62,1261248.0,73.62,73.48,73.93,73.59,
