YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,53.59,1239461.0,53.59,53.23,54.85,54.25,
2017-01-04,55.52,1645255.0,55.52,54.25,55.92,54.58,
2017-01-05,56.47,1139723.0,56.47,55.05,57.2,55.52,
2017-01-06,57.09,798225.0,57.09,56.15,57.25,56.48,
2017-01-09,56.77,405326.0,56.77,56.25,57.3299,56.88,
2017-01-10,57.97,453551.0,57.97,56.97,58.12,56.98,
2017-01-11,58.87,1321250.0,58.87,57.54,59.29,58.0,
2017-01-12,58.52,1836521.0,58.52,57.735,59.44,58.29,
2017-01-13,58.47,522016.0,58.47,58.0,59.01,58.73,
2017-01-17,58.64,570568.0,58.64,57.12,58.84,58.37,
2017-01-18,59.04,449825.0,59.04,58.32,59.49,59.0,
2017-01-19,58.76,895782.0,58.76,58.23,59.66,58.89,
2017-01-20,59.68,492244.0,59.68,58.52,60.0,58.52,
2017-01-23,57.49,1535329.0,57.49,57.43,59.53,59.31,
2017-01-24,56.6,1212229.0,56.6,56.48,57.56,57.5,
2017-01-25,56.93,1233943.0,56.93,56.74,57.53,56.89,
2017-01-26,56.59,621107.0,56.59,56.17,57.16,56.92,
2017-01-27,57.4,503805.0,57.4,56.1,57.41,56.87,
2017-01-30,55.96,791745.0,55.96,55.91,57.48,57.02,
2017-01-31,56.72,719612.0,56.72,55.46,56.76,56.0,
2017-02-01,57.42,621687.0,57.42,56.64,57.85,57.06,
2017-02-02,57.74,1559603.0,57.74,56.71,58.1,57.43,
2017-02-03,58.0,390661.0,58.0,57.55,58.35,58.33,
2017-02-06,57.73,305734.0,57.73,57.54,58.27,58.19,
2017-02-07,57.75,476580.0,57.75,57.62,58.46,58.2,
2017-02-08,57.69,668940.0,57.69,57.11,57.95,57.62,
2017-02-09,58.88,818471.0,58.88,57.72,59.19,57.96,
2017-02-10,59.86,757459.0,59.86,58.74,59.99,58.85,
2017-02-13,59.24,1067371.0,59.24,58.68,59.64,59.64,
2017-02-14,59.39,703020.0,59.39,59.0,59.94,59.07,
2017-02-15,59.89,1289858.0,59.89,59.08,60.3,59.47,
2017-02-16,49.18,12836902.0,49.18,48.55,51.5,49.9,
2017-02-17,48.23,4318933.0,48.23,47.6701,49.79,49.0,
2017-02-21,49.47,2413015.0,49.47,48.09,49.575,48.13,
2017-02-22,49.57,1765037.0,49.57,48.96,50.11,49.27,
2017-02-23,49.79,1225315.0,49.79,49.22,50.04,49.59,
2017-02-24,48.83,1173210.0,48.83,48.5,49.76,49.59,
2017-02-27,48.8,1268606.0,48.8,48.44,49.3,48.95,
2017-02-28,48.51,1491466.0,48.51,48.11,49.08,49.0,
2017-03-01,49.4,1336360.0,49.4,48.9,49.62,49.03,
2017-03-02,49.99,917476.0,49.99,49.05,50.25,49.31,
2017-03-03,49.99,742705.0,49.99,49.65,50.5,49.81,
2017-03-06,49.3,657427.0,49.3,48.66,49.885,49.67,
2017-03-07,48.52,1101545.0,48.52,48.47,49.49,49.15,
2017-03-08,48.48,1317232.0,48.48,48.47,49.08,48.71,
2017-03-09,46.9,1349456.0,46.9,46.71,48.89,48.67,
2017-03-10,45.73,2211120.0,45.73,45.41,47.315,46.86,
2017-03-13,45.28,897553.0,45.28,45.08,46.02,45.75,
2017-03-14,44.23,1674965.0,44.23,43.91,45.455,45.25,
2017-03-15,45.04,1245690.0,45.04,44.21,45.28,44.31,
2017-03-16,45.16,514664.0,45.16,44.91,45.32,45.08,
2017-03-17,45.86,1362084.0,45.86,44.95,46.0,45.11,
2017-03-20,44.54,836249.0,44.54,44.37,45.76,45.74,
2017-03-21,44.01,1232120.0,44.01,43.74,44.74,44.61,
2017-03-22,43.79,1339844.0,43.79,43.6,44.3,44.01,
2017-03-23,42.7,1878815.0,42.7,42.56,44.0,43.8,
2017-03-24,44.68,2402081.0,44.68,42.68,45.05,42.68,
2017-03-27,45.91,2165801.0,45.91,45.78,46.91,46.02,
2017-03-28,45.74,1049234.0,45.74,44.9,45.85,45.65,
2017-03-29,45.16,716622.0,45.16,44.99,45.76,45.57,
