YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,29.53,3359126.0,29.53,29.28,30.07,29.65,
2017-01-04,30.81,12151785.0,30.81,29.69,30.9,29.7,
2017-01-05,30.87,4712722.0,30.87,30.46,31.04,30.9,
2017-01-06,30.8,2707567.0,30.8,30.56,30.91,30.85,
2017-01-09,30.71,3086120.0,30.71,30.445,31.12,30.87,
2017-01-10,30.72,3005320.0,30.72,30.29,31.23,30.79,
2017-01-11,31.43,3408557.0,31.43,30.51,31.45,30.77,
2017-01-12,31.41,3511385.0,31.41,30.665,31.61,31.43,
2017-01-13,31.25,2961028.0,31.25,30.93,31.78,31.49,
2017-01-17,30.77,3302148.0,30.77,30.59,31.515,31.49,
2017-01-18,30.6,2898602.0,30.6,30.345,30.92,30.84,
2017-01-19,30.25,3145605.0,30.25,30.01,30.83,30.69,
2017-01-20,31.28,5524931.0,31.28,30.65,31.57,30.69,
2017-01-23,31.55,3544878.0,31.55,31.05,31.63,31.33,
2017-01-24,33.45,9688176.0,33.45,31.89,33.99,31.89,
2017-01-25,33.26,7093257.0,33.26,32.93,33.93,33.5,
2017-01-26,31.84,8222283.0,31.84,31.425,32.34,32.01,
2017-01-27,31.42,4891632.0,31.42,31.12,31.99,31.82,
2017-01-30,30.97,3627098.0,30.97,30.705,31.15,31.15,
2017-01-31,31.37,5095303.0,31.37,30.71,31.39,31.04,
2017-02-01,31.68,3910936.0,31.68,31.065,31.96,31.38,
2017-02-02,31.45,2807858.0,31.45,30.76,31.68,31.59,
2017-02-03,31.85,4943349.0,31.85,31.51,31.95,31.53,
2017-02-06,32.03,5790505.0,32.03,31.6,32.14,31.77,
2017-02-07,32.23,7328088.0,32.23,30.66,33.02,31.1,
2017-02-08,32.21,4806074.0,32.21,31.6,32.59,32.23,
2017-02-09,31.83,5003591.0,31.83,31.59,32.57,32.39,
2017-02-10,32.86,4617034.0,32.86,32.08,33.04,32.08,
2017-02-13,33.75,5985625.0,33.75,33.1,34.36,33.13,
2017-02-14,34.02,3403208.0,34.02,33.41,34.035,33.65,
2017-02-15,33.78,4173485.0,33.78,33.365,34.04,34.01,
2017-02-16,33.15,3699384.0,33.15,32.93,33.805,33.68,
2017-02-17,33.59,2771476.0,33.59,32.76,33.6,33.14,
2017-02-21,33.64,3024563.0,33.64,33.45,33.9,33.9,
2017-02-22,33.13,2382093.0,33.13,33.0931,33.59,33.37,
2017-02-23,31.83,6941133.0,31.83,31.4707,33.31,33.31,
2017-02-24,31.42,4386010.0,31.42,31.04,31.56,31.47,
2017-02-27,31.54,4690039.0,31.54,31.2,31.65,31.38,
2017-02-28,31.19,8541961.0,31.19,31.075,31.86,31.24,
2017-03-01,31.03,6733194.0,31.03,30.94,31.9,31.6,
2017-03-02,30.42,5348703.0,30.42,30.41,31.17,31.09,
2017-03-03,30.22,6561116.0,30.22,29.93,30.38,30.3,
2017-03-06,29.65,4017083.0,29.65,29.63,30.14,30.01,
2017-03-07,29.18,9147370.0,29.18,28.96,29.71,29.67,
2017-03-08,28.67,8117124.0,28.67,28.64,29.44,29.25,
2017-03-09,29.0,11897009.0,29.0,28.78,30.49,29.21,
2017-03-10,29.19,5809645.0,29.19,28.85,29.43,29.03,
2017-03-13,29.12,2801137.0,29.12,28.98,29.435,29.3,
2017-03-14,28.6,3282632.0,28.6,28.46,28.95,28.83,
2017-03-15,29.14,3678045.0,29.14,28.55,29.265,28.78,
2017-03-16,28.99,2716627.0,28.99,28.94,29.4,29.32,
2017-03-17,29.17,4827977.0,29.17,28.93,29.29,29.08,
2017-03-20,29.25,3050754.0,29.25,29.0,29.57,29.22,
2017-03-21,28.64,3534592.0,28.64,28.62,29.59,29.25,
2017-03-22,28.75,2676034.0,28.75,28.34,28.88,28.64,
2017-03-23,29.0,1969071.0,29.0,28.66,29.18,28.79,
2017-03-24,28.75,2158625.0,28.75,28.58,29.08,28.98,
2017-03-27,28.64,3073120.0,28.64,28.38,28.9,28.46,
2017-03-28,29.17,2860631.0,29.17,28.65,29.37,28.65,
2017-03-29,29.48,2737884.0,29.48,29.04,29.8,29.18,
2017-03-30,29.35,2997284.0,29.35,29.02,29.56,29.37,
2017-03-31,29.18,4223356.0,29.18,28.93,29.475,29.24,
2017-04-03,28.91,3958722.0,28.91,28.41,29.43,29.25,
2017-04-04,29.16,4588679.0,29.16,28.58,29.17,28.89,
2017-04-05,29.0,5330429.0,29.0,28.97,29.51,29.36,
2017-04-06,29.19,3258014.0,29.19,28.86,29.33,29.0,
2017-04-07,28.85,2480339.0,28.85,28.81,29.1349,29.05,
2017-04-10,28.94,2918885.0,28.94,28.67,29.13,28.95,
2017-04-11,28.69,3736005.0,28.69,28.27,29.05,28.93,
2017-04-12,28.15,3797424.0,28.15,28.11,28.66,28.56,
2017-04-13,27.46,4231723.0,27.46,27.42,28.16,28.08,
2017-04-17,27.36,4467607.0,27.36,27.2,27.56,27.48,
2017-04-18,27.04,3874602.0,27.04,26.82,27.185,27.16,
2017-04-19,26.83,3063908.0,26.83,26.72,27.21,27.11,
2017-04-20,27.1,3432959.0,27.1,26.89,27.26,26.97,
2017-04-21,26.67,3539715.0,26.67,26.67,27.13,27.04,
2017-04-24,27.09,4856226.0,27.09,26.93,27.2457,27.06,
2017-04-25,27.54,4322643.0,27.54,27.29,27.71,27.39,
2017-04-26,27.42,5188884.0,27.42,26.85,27.52,27.37,
2017-04-27,27.45,4214651.0,27.45,27.38,27.89,27.56,
2017-04-28,26.93,5411670.0,26.93,26.875,27.61,27.55,
2017-05-01,26.87,4390151.0,26.87,26.8,27.15,27.12,
2017-05-02,24.95,14086964.0,24.95,24.58,26.11,26.04,
