YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,52.93,13329197.0,52.93,52.44,54.59,53.7,
2017-01-04,51.24,10980420.0,51.24,51.03,53.5,52.95,
2017-01-05,51.05,9534922.0,51.05,50.03,51.79,51.5,
2017-01-06,50.37,4748268.0,50.37,50.29,51.25,51.11,
2017-01-09,49.46,8037726.0,49.46,49.36,50.22,50.05,
2017-01-10,48.97,5124394.0,48.97,48.97,49.96,49.5,
2017-01-11,49.66,6681549.0,49.66,49.1,50.0,49.4,
2017-01-12,49.25,3952609.0,49.25,48.73,49.73,49.61,
2017-01-13,48.38,5758470.0,48.38,47.85,49.1448,48.91,
2017-01-17,48.73,5121278.0,48.73,48.26,49.6,48.64,
2017-01-18,48.9,3752211.0,48.9,48.2,49.34,48.34,
2017-01-19,48.37,4185741.0,48.37,47.93,49.02,48.94,
2017-01-20,48.76,5033334.0,48.76,48.405,49.04,48.8,
2017-01-23,48.72,8149227.0,48.72,48.12,48.77,48.56,
2017-01-24,50.09,7319677.0,50.09,48.97,50.48,49.12,
2017-01-25,49.67,7580229.0,49.67,49.16,50.31,50.29,
2017-01-26,49.44,4333326.0,49.44,49.28,50.09,50.09,
2017-01-27,49.08,5083977.0,49.08,48.67,50.0,49.59,
2017-01-30,48.36,5473874.0,48.36,48.12,49.2,49.12,
2017-01-31,48.05,5308936.0,48.05,46.88,48.6,48.54,
2017-02-01,47.71,7659253.0,47.71,47.1,49.97,49.68,
2017-02-02,47.9,4151292.0,47.9,47.43,48.5,48.44,
2017-02-03,48.16,3778917.0,48.16,47.17,48.5,47.84,
2017-02-06,48.37,7976535.0,48.37,47.8,48.75,48.19,
2017-02-07,47.93,3999699.0,47.93,47.575,48.51,48.13,
2017-02-08,49.12,4461304.0,49.12,47.39,49.135,47.57,
2017-02-09,49.93,4232154.0,49.93,49.225,50.08,49.65,
2017-02-10,50.14,2788007.0,50.14,49.6799,50.4692,50.37,
2017-02-13,50.28,3256517.0,50.28,49.92,50.68,50.13,
2017-02-14,50.96,4359308.0,50.96,49.7,50.97,50.03,
2017-02-15,50.64,4396124.0,50.64,50.27,51.155,50.79,
2017-02-16,49.96,2955418.0,49.96,49.86,51.0,50.99,
2017-02-17,50.02,3352675.0,50.02,49.41,50.05,49.67,
2017-02-21,50.38,3963511.0,50.38,49.99,50.61,50.48,
2017-02-22,49.81,3157880.0,49.81,49.57,50.37,50.1,
2017-02-23,50.35,2673896.0,50.35,49.92,50.65,50.39,
2017-02-24,50.03,3118658.0,50.03,49.43,50.04,50.0,
2017-02-27,50.76,5134802.0,50.76,49.99,50.935,50.02,
2017-02-28,49.6,5659388.0,49.6,49.485,51.17,50.5,
2017-03-01,50.99,5952844.0,50.99,49.97,51.5,50.0,
2017-03-02,51.04,4947428.0,51.04,50.4,51.4097,50.9,
2017-03-03,51.27,3997345.0,51.27,50.8,51.38,51.18,
2017-03-06,51.15,6826664.0,51.15,50.51,51.31,51.04,
2017-03-07,50.15,3413679.0,50.15,50.11,51.45,51.14,
2017-03-08,50.22,5849211.0,50.22,50.075,50.94,50.15,
2017-03-09,49.28,4952235.0,49.28,48.92,50.18,50.02,
2017-03-10,49.87,4704383.0,49.87,48.97,49.945,49.58,
2017-03-13,50.99,5771626.0,50.99,49.86,51.09,49.87,
2017-03-14,50.01,5882976.0,50.01,49.67,50.59,50.42,
2017-03-15,51.56,6299222.0,51.56,50.16,51.6,50.48,
2017-03-16,51.18,5216118.0,51.18,51.11,52.24,51.65,
2017-03-17,50.79,5309613.0,50.79,50.55,51.75,51.47,
2017-03-20,50.5,5599342.0,50.5,50.155,50.81,50.66,
2017-03-21,49.26,5192683.0,49.26,49.15,50.61,50.48,
2017-03-22,49.57,4048680.0,49.57,48.93,49.83,49.11,
2017-03-23,49.3,2721533.0,49.3,49.18,49.95,49.55,
2017-03-24,48.87,3563205.0,48.87,48.81,49.52,49.51,
2017-03-27,48.83,3191787.0,48.83,48.18,49.06,48.38,
2017-03-28,49.03,4069800.0,49.03,48.61,49.155,48.93,
2017-03-29,50.55,3867402.0,50.55,48.97,50.62,49.02,
2017-03-30,50.14,5893493.0,50.14,50.0,50.81,50.6,
2017-03-31,50.54,4851509.0,50.54,49.83,50.84,49.89,
2017-04-03,49.94,2746672.0,49.94,49.63,50.84,50.68,
2017-04-04,50.3,2445737.0,50.3,49.54,50.32,50.22,
2017-04-05,49.44,4060346.0,49.44,49.4,51.18,50.66,
2017-04-06,49.84,4536125.0,49.84,49.49,50.45,49.67,
2017-04-07,50.02,3526839.0,50.02,49.51,50.43,49.75,
2017-04-10,50.14,3773903.0,50.14,50.12,50.8,50.32,
2017-04-11,50.43,4537252.0,50.43,49.91,50.54,50.19,
2017-04-12,49.94,2986648.0,49.94,49.83,50.94,50.58,
2017-04-13,49.24,3373789.0,49.24,49.1,49.9982,49.86,
