YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,17.76,13525956.0,17.76,17.29,18.06,17.74,
2017-01-04,18.05,9323117.0,18.05,17.54,18.09,17.71,
2017-01-05,18.18,9764740.0,18.18,17.88,18.27,18.1,
2017-01-06,17.88,7807763.0,17.88,17.83,18.17,18.17,
2017-01-09,17.4,8866686.0,17.4,17.4,17.75,17.64,
2017-01-10,17.48,6969475.0,17.48,17.35,17.58,17.5,
2017-01-11,17.69,9787363.0,17.69,17.47,17.76,17.56,
2017-01-12,17.44,10282420.0,17.44,17.325,18.1,18.03,
2017-01-13,17.45,5406827.0,17.45,17.24,17.49,17.33,
2017-01-17,17.44,6865047.0,17.44,17.4,17.7,17.63,
2017-01-18,17.33,9286678.0,17.33,17.15,17.475,17.26,
2017-01-19,17.27,6267139.0,17.27,17.21,17.505,17.33,
2017-01-20,17.61,11179169.0,17.61,17.42,17.745,17.49,
2017-01-23,17.42,9514775.0,17.42,17.27,17.615,17.48,
2017-01-24,17.7,8316047.0,17.7,17.5,17.91,17.55,
2017-01-25,17.75,8053516.0,17.75,17.67,17.88,17.69,
2017-01-26,17.75,6978412.0,17.75,17.64,17.935,17.8,
2017-01-27,17.41,6444456.0,17.41,17.28,17.7,17.68,
2017-01-30,16.53,13623395.0,16.53,16.355,17.34,17.27,
2017-01-31,16.75,10892719.0,16.75,16.28,16.75,16.55,
2017-02-01,16.59,11449083.0,16.59,16.23,17.12,17.03,
2017-02-02,16.68,9235813.0,16.68,16.29,16.77,16.64,
2017-02-03,17.23,12758614.0,17.23,16.66,17.36,16.7,
2017-02-06,16.52,9566020.0,16.52,16.46,17.25,17.25,
2017-02-07,16.03,14647836.0,16.03,15.75,16.43,16.39,
2017-02-08,15.88,13282283.0,15.88,15.63,16.24,15.86,
2017-02-09,16.05,8911580.0,16.05,15.925,16.2301,16.13,
2017-02-10,16.19,11992619.0,16.19,16.05,16.4,16.38,
2017-02-13,16.06,14778846.0,16.06,15.79,16.14,16.08,
2017-02-14,16.41,11092094.0,16.41,15.97,16.43,16.16,
2017-02-15,16.3,13241260.0,16.3,16.19,16.57,16.39,
2017-02-16,16.17,23882206.0,16.17,16.13,17.05,16.6,
2017-02-17,16.23,13921148.0,16.23,15.93,16.26,16.05,
2017-02-21,16.38,13302165.0,16.38,16.32,16.635,16.42,
2017-02-22,15.76,14602335.0,15.76,15.73,16.26,16.2,
2017-02-23,15.98,16366349.0,15.98,15.7,16.25,16.25,
2017-02-24,15.73,12131010.0,15.73,15.59,15.99,15.69,
2017-02-27,15.85,11130915.0,15.85,15.66,15.98,15.9,
2017-02-28,16.0,13377907.0,16.0,15.67,16.12,15.68,
2017-03-01,16.45,12991682.0,16.45,16.1,16.65,16.16,
2017-03-02,16.14,11310758.0,16.14,16.085,16.48,16.25,
2017-03-03,16.18,6984632.0,16.18,16.12,16.5,16.18,
2017-03-06,16.47,8821140.0,16.47,15.98,16.48,16.1,
2017-03-07,16.28,11320444.0,16.28,16.11,16.588,16.55,
2017-03-08,14.87,24467105.0,14.87,14.81,16.21,16.12,
2017-03-09,16.07,36557869.0,16.07,15.22,16.07,15.69,
2017-03-10,16.16,24326687.0,16.16,15.61,16.54,16.44,
2017-03-13,15.84,15432314.0,15.84,15.8,16.245,16.05,
2017-03-14,15.32,24942891.0,15.32,14.61,15.5,15.49,
2017-03-15,15.56,15756356.0,15.56,15.23,15.68,15.48,
2017-03-16,15.55,9523244.0,15.55,15.43,15.7,15.63,
2017-03-17,15.46,12129438.0,15.46,15.39,15.65,15.61,
2017-03-20,15.48,11142568.0,15.48,15.08,15.52,15.29,
2017-03-21,15.05,15350747.0,15.05,14.885,15.565,15.55,
2017-03-22,15.02,10055389.0,15.02,14.81,15.13,14.95,
2017-03-23,14.68,14362607.0,14.68,14.66,15.02,14.96,
2017-03-24,14.61,11814853.0,14.61,14.55,14.95,14.73,
2017-03-27,14.75,9639768.0,14.75,14.3,14.78,14.41,
2017-03-28,15.23,13184954.0,15.23,14.715,15.27,14.76,
2017-03-29,15.85,15762081.0,15.85,15.18,15.98,15.21,
2017-03-30,15.85,13249700.0,15.85,15.775,16.18,16.05,
2017-03-31,15.8,9802733.0,15.8,15.56,16.0,15.8,
2017-04-03,15.82,8428273.0,15.82,15.54,15.9,15.81,
2017-04-04,16.14,9142062.0,16.14,15.65,16.15,15.81,
2017-04-05,15.98,19647056.0,15.98,15.95,16.64,16.31,
2017-04-06,16.31,12363554.0,16.31,16.01,16.46,16.14,
2017-04-07,16.26,12551113.0,16.26,16.25,16.47,16.31,
2017-04-10,16.56,11566712.0,16.56,16.35,16.68,16.38,
2017-04-11,16.6,9674099.0,16.6,16.265,16.615,16.56,
2017-04-12,16.41,16372093.0,16.41,16.29,16.9,16.64,
2017-04-13,15.91,15490945.0,15.91,15.82,16.4,16.35,
2017-04-17,16.02,11375158.0,16.02,15.7,16.11,15.91,
2017-04-18,15.74,14014903.0,15.74,15.51,16.05,15.83,
2017-04-19,15.06,13678193.0,15.06,14.96,15.82,15.76,
2017-04-20,15.09,10314427.0,15.09,15.04,15.3,15.16,
2017-04-21,15.16,14072858.0,15.16,14.89,15.24,15.02,
2017-04-24,15.15,12722638.0,15.15,14.99,15.36,15.31,
2017-04-25,15.61,10929393.0,15.61,15.05,15.63,15.17,
2017-04-26,15.31,14794164.0,15.31,15.31,15.86,15.49,
2017-04-27,14.88,21618281.0,14.88,14.63,15.18,15.1,
2017-04-28,14.87,12815391.0,14.87,14.82,15.17,14.99,
2017-05-01,14.82,7810750.0,14.82,14.74,14.95,14.87,
2017-05-02,14.64,11147998.0,14.64,14.465,14.95,14.84,
2017-05-03,14.85,12226484.0,14.85,14.52,14.95,14.56,
2017-05-04,14.17,18856777.0,14.17,13.97,14.67,14.65,
2017-05-05,14.29,21878546.0,14.29,13.65,14.34,14.1,
2017-05-08,14.59,11747584.0,14.59,14.22,14.65,14.29,
2017-05-09,14.4,10126082.0,14.4,14.28,14.63,14.63,
2017-05-10,14.7,14454263.0,14.7,14.52,14.94,14.57,
2017-05-11,14.48,12619308.0,14.48,14.47,14.84,14.66,
2017-05-12,14.33,17497995.0,14.33,14.1517,14.559,14.535,
2017-05-15,14.54,15984820.0,14.54,14.43,15.12,14.93,
2017-05-16,14.43,12764906.0,14.43,14.32,14.7,14.65,
2017-05-17,14.35,14647038.0,14.35,14.18,14.61,14.23,
2017-05-18,14.12,10776468.0,14.12,14.02,14.47,14.22,
2017-05-19,14.53,12773472.0,14.53,14.21,14.67,14.25,
2017-05-22,14.44,10009221.0,14.44,14.4,14.7,14.61,
2017-05-23,14.56,10507179.0,14.56,14.365,14.59,14.49,
2017-05-24,14.53,13020723.0,14.53,14.36,14.67,14.55,
2017-05-25,13.5,26995539.0,13.5,13.43,14.7,14.42,
2017-05-26,13.52,11294538.0,13.52,13.3,13.62,13.52,
2017-05-30,13.12,10953983.0,13.12,13.11,13.43,13.42,
2017-05-31,13.02,14886131.0,13.02,12.75,13.1,12.92,
2017-06-01,13.1,11616959.0,13.1,12.95,13.41,13.05,
2017-06-02,12.72,13849648.0,12.72,12.56,12.99,12.96,
2017-06-05,12.78,10988549.0,12.78,12.54,12.86,12.61,
2017-06-06,12.88,10660289.0,12.88,12.64,12.96,12.76,
2017-06-07,12.21,24182868.0,12.21,12.125,12.92,12.8,
2017-06-08,12.09,15665919.0,12.09,12.04,12.36,12.12,
2017-06-09,12.54,17448833.0,12.54,12.04,12.67,12.15,
2017-06-12,12.62,13353362.0,12.62,12.55,12.96,12.75,
2017-06-13,13.01,13933733.0,13.01,12.57,13.06,12.61,
2017-06-14,12.64,14260298.0,12.64,12.47,13.0,12.87,
2017-06-15,12.37,12857856.0,12.37,12.26,12.755,12.57,
2017-06-16,12.52,16457424.0,12.52,12.32,12.59,12.47,
2017-06-19,12.49,10139721.0,12.49,12.42,12.6,12.54,
2017-06-20,12.06,18851783.0,12.06,11.85,12.23,12.23,
2017-06-21,11.61,19904441.0,11.61,11.55,12.13,11.99,
2017-06-22,11.59,12304566.0,11.59,11.5,11.82,11.72,
2017-06-23,11.53,14252811.0,11.53,11.41,11.7357,11.62,
2017-06-26,11.53,9819888.0,11.53,11.4,11.68,11.56,
2017-06-27,11.35,24909384.0,11.35,11.315,11.62,11.55,
2017-06-28,11.45,23210374.0,11.45,11.2,11.57,11.32,
2017-06-29,11.71,19772484.0,11.71,11.5,12.01,11.51,
2017-06-30,11.85,15088431.0,11.85,11.6,11.97,11.78,
2017-07-03,12.14,8812912.0,12.14,11.94,12.227,11.97,
2017-07-05,11.74,18979809.0,11.74,11.5701,12.05,12.03,
2017-07-06,11.59,17909368.0,11.59,11.53,11.96,11.89,
2017-07-07,11.47,15445947.0,11.47,11.22,11.55,11.54,
2017-07-10,11.52,10970423.0,11.52,11.34,11.59,11.41,
2017-07-11,11.59,10410178.0,11.59,11.414,11.73,11.53,
2017-07-12,11.43,17744826.0,11.43,11.415,11.865,11.72,
2017-07-13,11.45,18171571.0,11.45,11.22,11.49,11.43,
2017-07-14,11.65,15235661.0,11.65,11.425,11.665,11.53,
2017-07-17,11.59,14067463.0,11.59,11.58,11.87,11.63,
2017-07-18,11.68,14961552.0,11.68,11.48,11.7786,11.73,
2017-07-19,12.25,19457909.0,12.25,11.6,12.28,11.66,
2017-07-20,12.1,18313409.0,12.1,12.07,12.44,12.41,
2017-07-21,11.85,12368309.0,11.85,11.77,12.08,12.05,
2017-07-24,11.88,9086090.0,11.88,11.76,11.95,11.87,
2017-07-25,12.34,19405743.0,12.34,12.08,12.49,12.09,
2017-07-26,12.18,14425313.0,12.18,12.15,12.62,12.52,
2017-07-27,12.23,15910213.0,12.23,11.99,12.27,12.17,
2017-07-28,12.36,15975308.0,12.36,12.2,12.66,12.2,
2017-07-31,12.23,10798345.0,12.23,12.07,12.39,12.33,
2017-08-01,11.91,13883796.0,11.91,11.84,12.25,12.23,
2017-08-02,12.04,23072698.0,12.04,11.75,12.28,11.82,
2017-08-03,12.51,32550204.0,12.51,12.17,13.11,12.28,
2017-08-04,12.9,21773594.0,12.9,12.45,12.96,12.51,
2017-08-07,12.35,19967845.0,12.35,12.31,12.82,12.78,
2017-08-08,12.37,13121097.0,12.37,12.25,12.65,12.27,
2017-08-09,12.2,13580863.0,12.2,12.15,12.55,12.44,
2017-08-10,12.05,12984711.0,12.05,12.03,12.4,12.34,
