YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,83.6,1028958.0,83.6,83.02,83.92,83.39,
2017-01-04,83.49,778225.0,83.49,83.12,83.93,83.55,
2017-01-05,82.64,735134.0,82.64,82.0,83.63,83.24,
2017-01-06,82.89,587858.0,82.89,82.51,83.41,82.88,
2017-01-09,83.02,853340.0,83.02,82.575,83.11,82.89,
2017-01-10,82.63,627094.0,82.63,82.13,83.08,82.96,
2017-01-11,82.88,522754.0,82.88,82.3,82.91,82.3,
2017-01-12,82.18,624444.0,82.18,81.63,82.61,82.61,
2017-01-13,82.27,542541.0,82.27,82.07,83.09,82.39,
2017-01-17,80.73,865736.0,80.73,80.57,82.1,81.81,
2017-01-18,81.65,709339.0,81.65,80.55,81.68,80.97,
2017-01-19,81.86,566706.0,81.86,81.28,82.26,81.69,
2017-01-20,82.36,616416.0,82.36,81.83,82.51,82.07,
2017-01-23,82.44,855697.0,82.44,81.95,83.5,82.64,
2017-01-24,84.35,1126392.0,84.35,82.32,84.82,82.58,
2017-01-25,85.29,994824.0,85.29,84.49,85.44,84.69,
2017-01-26,83.36,1298859.0,83.36,83.35,85.29,85.11,
2017-01-27,82.98,1238580.0,82.98,81.68,83.38,83.38,
2017-01-30,81.7,1685585.0,81.7,81.18,83.07,82.39,
2017-01-31,80.71,1381219.0,80.71,79.9,81.7,81.35,
2017-02-01,80.03,1528793.0,80.03,79.75,81.78,81.16,
2017-02-02,81.0,1961604.0,81.0,79.63,81.06,79.86,
2017-02-03,81.6,3440225.0,81.6,78.95,83.75,82.925,
2017-02-06,81.73,3032567.0,81.73,80.2,82.31,81.37,
2017-02-07,77.34,11474969.0,77.34,76.92,81.98,81.72,
2017-02-08,78.25,2484900.0,78.25,77.82,79.45,77.82,
2017-02-09,77.81,1740391.0,77.81,77.75,78.78,78.5,
2017-02-10,78.37,1596090.0,78.37,77.23,78.52,77.9,
2017-02-13,78.48,1412554.0,78.48,78.42,79.39,78.79,
2017-02-14,78.68,1271173.0,78.68,77.92,78.7,78.27,
