YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,17.33,1032246.0,17.33,16.57,17.37,17.23,6228.0
2017-01-04,17.29,1446284.0,17.29,17.18,17.46,17.35,10381.0
2017-01-05,17.99,2805244.0,17.99,17.0,18.2,17.2,12452.0
2017-01-06,18.03,1059938.0,18.03,17.55,18.13,18.01,7770.0
2017-01-09,18.15,1129855.0,18.15,18.03,18.39,18.05,5666.0
2017-01-10,18.28,683787.0,18.28,17.97,18.33,18.19,4150.0
2017-01-11,18.24,526123.0,18.24,18.02,18.32,18.24,4028.0
2017-01-12,18.06,664755.0,18.06,17.58,18.32,18.22,4696.0
2017-01-13,18.2,426348.0,18.2,18.1,18.29,18.17,3397.0
2017-01-17,17.89,1099072.0,17.89,17.86,18.2,18.14,5918.0
2017-01-18,18.18,1106996.0,18.18,17.62,18.29,17.93,6499.0
2017-01-19,18.46,1628403.0,18.46,18.06,18.64,18.16,8823.0
2017-01-20,18.07,1102081.0,18.07,17.8693,18.345,18.1,7757.0
2017-01-23,18.23,1117573.0,18.23,17.9592,18.45,17.97,8112.0
2017-01-24,18.23,1055318.0,18.23,18.0501,18.33,18.19,5167.0
2017-01-25,18.26,1043688.0,18.26,18.07,18.31,18.23,6248.0
2017-01-26,17.78,770642.0,17.78,17.75,18.26,18.22,4949.0
2017-01-27,17.5,1165780.0,17.5,17.28,17.93,17.71,6659.0
2017-01-30,17.46,1650680.0,17.46,16.78,17.5,17.35,9773.0
2017-01-31,17.37,1811257.0,17.37,17.24,17.575,17.32,11119.0
2017-02-01,16.52,4712954.0,16.52,16.1,17.0,16.49,24637.0
2017-02-02,17.0,2982358.0,17.0,16.39,17.49,16.39,20485.0
2017-02-03,17.5,1449325.0,17.5,17.0,17.64,17.1,9963.0
2017-02-06,17.6,926721.0,17.6,17.415,17.69,17.5,6280.0
2017-02-07,17.54,1602087.0,17.54,17.33,17.68,17.6,7975.0
2017-02-08,17.88,1132675.0,17.88,17.3,17.9,17.51,9167.0
2017-02-09,17.9,700469.0,17.9,17.76,18.09,17.8,4846.0
2017-02-10,17.51,692441.0,17.51,17.49,18.0,18.0,5624.0
2017-02-13,17.47,870355.0,17.47,17.3,17.7199,17.51,6930.0
2017-02-14,17.32,1356349.0,17.32,17.13,17.53,17.53,8763.0
2017-02-15,17.26,831969.0,17.26,17.13,17.55,17.32,6583.0
2017-02-16,17.04,789933.0,17.04,16.92,17.285,17.25,5113.0
2017-02-17,17.16,804495.0,17.16,16.77,17.16,17.0,5574.0
2017-02-21,17.05,697676.0,17.05,16.93,17.39,17.15,4645.0
2017-02-22,17.09,615995.0,17.09,16.92,17.15,16.97,5118.0
2017-02-23,16.79,1085739.0,16.79,16.65,17.15,17.15,6390.0
2017-02-24,16.5,1932049.0,16.5,16.43,16.81,16.66,9551.0
2017-02-27,16.4,1360851.0,16.4,16.27,16.515,16.39,10252.0
2017-02-28,16.16,1646680.0,16.16,15.94,16.41,16.38,9258.0
2017-03-01,16.43,1489347.0,16.43,16.21,16.57,16.31,9092.0
2017-03-02,16.06,571664.0,16.06,16.02,16.42,16.4,4662.0
2017-03-03,16.22,1214980.0,16.22,15.76,16.27,16.01,5320.0
2017-03-06,16.31,1448024.0,16.31,15.82,16.38,16.06,9082.0
2017-03-07,16.59,1313239.0,16.59,16.2,16.66,16.28,8549.0
2017-03-08,16.62,651896.0,16.62,16.55,16.82,16.6,5007.0
2017-03-09,16.72,607734.0,16.72,16.49,16.79,16.63,4573.0
2017-03-10,16.78,781980.0,16.78,16.71,16.94,16.78,6014.0
2017-03-13,16.75,768102.0,16.75,16.6,16.97,16.82,5394.0
2017-03-14,16.53,584696.0,16.53,16.36,16.75,16.75,4536.0
2017-03-15,16.75,759027.0,16.75,16.49,16.84,16.6,5623.0
2017-03-16,16.55,641742.0,16.55,16.52,16.88,16.79,3881.0
2017-03-17,16.35,703602.0,16.35,16.31,16.59,16.55,4529.0
2017-03-20,16.24,793873.0,16.24,16.1,16.455,16.4,6848.0
2017-03-21,16.08,1036424.0,16.08,16.01,16.45,16.24,6532.0
2017-03-22,16.24,632903.0,16.24,15.9501,16.25,16.05,4620.0
2017-03-23,15.98,584312.0,15.98,15.865,16.515,16.27,4824.0
2017-03-24,15.88,504308.0,15.88,15.86,16.1499,15.95,4356.0
2017-03-27,16.08,1351108.0,16.08,15.62,16.13,15.85,8420.0
2017-03-28,15.7,2015761.0,15.7,15.42,16.05,16.05,11670.0
2017-03-29,16.28,1500525.0,16.28,15.71,16.33,15.71,10341.0
2017-03-30,16.45,2154562.0,16.45,16.0601,16.59,16.27,8519.0
2017-03-31,16.33,489358.0,16.33,16.29,16.56,16.44,4298.0
2017-04-03,16.55,1401676.0,16.55,16.265,16.65,16.3,8415.0
2017-04-04,16.61,1004079.0,16.61,16.39,16.7,16.61,5847.0
2017-04-05,16.45,1256213.0,16.45,16.385,16.7999,16.73,6954.0
2017-04-06,16.63,702459.0,16.63,16.3,16.65,16.4,5160.0
2017-04-07,16.72,1063532.0,16.72,16.54,17.0,16.61,7894.0
2017-04-10,17.03,1267382.0,17.03,16.76,17.12,16.76,7345.0
2017-04-11,17.23,998971.0,17.23,16.91,17.23,17.05,5038.0
2017-04-12,17.4,1730511.0,17.4,17.15,17.5,17.18,11345.0
2017-04-13,17.22,660696.0,17.22,17.11,17.44,17.41,4862.0
2017-04-17,17.35,411926.0,17.35,17.17,17.43,17.22,3827.0
2017-04-18,17.47,1324459.0,17.47,17.36,17.66,17.43,8561.0
2017-04-19,18.01,1878498.0,18.01,17.515,18.18,17.59,11057.0
2017-04-20,18.03,1016856.0,18.03,17.96,18.22,18.05,6954.0
2017-04-21,18.17,1277652.0,18.17,17.94,18.225,18.0,7744.0
2017-04-24,18.26,1084008.0,18.26,18.125,18.31,18.3,5966.0
2017-04-25,18.47,1287108.0,18.47,18.25,18.63,18.25,7961.0
2017-04-26,18.71,943318.0,18.71,18.42,18.72,18.53,6014.0
2017-04-27,18.83,1063697.0,18.83,18.52,18.885,18.52,6056.0
2017-04-28,18.63,2488748.0,18.63,18.35,18.97,18.89,9899.0
2017-05-01,19.17,2130704.0,19.17,18.69,19.35,18.71,10430.0
2017-05-02,19.13,4700644.0,19.13,18.64,19.83,19.2,24060.0
2017-05-03,18.48,2886207.0,18.48,18.0,18.73,18.01,18886.0
2017-05-04,19.17,3269172.0,19.17,18.14,19.24,18.54,18024.0
2017-05-05,19.31,2944682.0,19.31,19.04,19.87,19.26,19426.0
2017-05-08,19.02,1002949.0,19.02,19.0,19.4,19.31,5790.0
2017-05-09,19.11,787540.0,19.11,18.8,19.56,19.56,5923.0
2017-05-10,19.09,1960119.0,19.09,18.75,19.17,18.95,11744.0
2017-05-11,19.98,2625459.0,19.98,18.995,20.0,19.01,16141.0
2017-05-12,19.25,1896982.0,19.25,19.18,19.9,19.81,12897.0
2017-05-15,19.69,1146509.0,19.69,19.34,19.87,19.34,8375.0
2017-05-16,19.58,1616862.0,19.58,19.25,19.88,19.5,9506.0
2017-05-17,18.62,1693595.0,18.62,18.45,19.48,19.37,11918.0
2017-05-18,19.05,1451897.0,19.05,18.42,19.33,18.49,10398.0
2017-05-19,19.15,605011.0,19.15,19.12,19.39,19.17,4346.0
2017-05-22,19.65,930383.0,19.65,19.15,19.66,19.19,7768.0
2017-05-23,19.66,862644.0,19.66,19.57,19.81,19.63,7559.0
2017-05-24,19.72,543518.0,19.72,19.64,19.83,19.75,4151.0
2017-05-25,19.44,517131.0,19.44,19.42,19.82,19.8,4243.0
2017-05-26,19.61,851227.0,19.61,19.32,19.62,19.43,7587.0
2017-05-30,20.04,2414172.0,20.04,19.62,20.745,19.62,15777.0
2017-05-31,19.48,1620104.0,19.48,19.41,20.3,20.14,10520.0
2017-06-01,19.38,905007.0,19.38,19.18,19.71,19.52,7806.0
2017-06-02,19.4,688417.0,19.4,19.29,19.61,19.46,5803.0
2017-06-05,19.15,763262.0,19.15,18.935,19.37,19.37,5730.0
2017-06-06,19.36,711924.0,19.36,19.01,19.55,19.12,6162.0
2017-06-07,19.29,557346.0,19.29,19.07,19.46,19.33,4003.0
2017-06-08,19.11,581521.0,19.11,18.91,19.425,19.29,5163.0
2017-06-09,18.47,1225133.0,18.47,17.88,19.33,19.26,8920.0
2017-06-12,17.53,2717697.0,17.53,17.4,18.2425,18.22,16164.0
2017-06-13,17.66,1434346.0,17.66,17.45,18.12,17.89,9254.0
2017-06-14,17.53,1110853.0,17.53,17.37,18.05,17.73,6582.0
2017-06-15,17.0,988136.0,17.0,16.9301,17.3823,17.27,7621.0
2017-06-16,17.03,1715690.0,17.03,16.85,17.2,16.98,8686.0
2017-06-19,17.68,1256118.0,17.68,17.15,17.73,17.26,7186.0
2017-06-20,17.5,719694.0,17.5,17.44,17.895,17.5,6102.0
2017-06-21,17.51,765571.0,17.51,17.24,17.61,17.49,5585.0
2017-06-22,17.58,883629.0,17.58,17.31,17.81,17.5,7750.0
2017-06-23,17.83,1181648.0,17.83,17.41,17.855,17.6,6859.0
2017-06-26,17.79,743712.0,17.79,17.58,17.99,17.94,6158.0
2017-06-27,17.495,668496.0,17.495,17.48,17.7999,17.7,6399.0
2017-06-28,17.56,825381.0,17.56,17.25,17.65,17.65,7380.0
2017-06-29,17.38,1317760.0,17.38,16.57,17.56,17.45,10314.0
2017-06-30,17.38,886965.0,17.38,17.205,17.53,17.39,7435.0
2017-07-03,17.3,377599.0,17.3,17.19,17.58,17.45,3268.0
2017-07-05,17.38,990178.0,17.38,17.11,17.49,17.3,7750.0
2017-07-06,17.45,1074418.0,17.45,17.07,17.58,17.28,7498.0
2017-07-07,17.55,807718.0,17.55,17.35,17.83,17.51,6929.0
2017-07-10,17.95,758302.0,17.95,17.55,18.07,17.58,6895.0
2017-07-11,18.09,741147.0,18.09,17.67,18.13,17.95,5393.0
2017-07-12,18.28,1000072.0,18.28,18.14,18.525,18.17,8293.0
2017-07-13,18.13,1070286.0,18.13,17.96,18.3862,18.35,8128.0
2017-07-14,18.09,656896.0,18.09,17.92,18.39,18.16,5416.0
2017-07-17,17.78,1480412.0,17.78,17.76,18.385,18.19,9844.0
2017-07-18,18.75,2658951.0,18.75,17.85,19.07,17.85,15996.0
2017-07-19,19.01,1214646.0,19.01,18.75,19.18,18.82,8874.0
2017-07-20,18.54,951278.0,18.54,18.46,19.09,19.01,7136.0
2017-07-21,18.41,800245.0,18.41,18.14,18.52,18.5,6297.0
2017-07-24,18.67,523077.0,18.67,18.41,18.73,18.44,3921.0
2017-07-25,18.89,1066653.0,18.89,18.54,19.15,18.82,5880.0
2017-07-26,18.71,813153.0,18.71,18.67,18.98,18.94,5596.0
2017-07-27,18.57,1518747.0,18.57,18.215,19.155,18.89,12714.0
2017-07-28,18.57,956344.0,18.57,18.37,18.9061,18.49,8338.0
2017-07-31,18.25,1808131.0,18.25,18.24,18.85,18.61,11702.0
2017-08-01,18.24,2539848.0,18.24,18.0,18.54,18.28,14944.0
2017-08-02,19.01,3767051.0,19.01,18.1,19.75,18.14,24395.0
2017-08-03,18.89,1598427.0,18.89,18.76,19.23,19.06,12749.0
2017-08-04,18.82,1469850.0,18.82,18.24,18.87,18.87,10398.0
2017-08-07,18.79,1079513.0,18.79,18.7701,19.2,18.81,7855.0
2017-08-08,18.89,877902.0,18.89,18.37,18.97,18.8,7367.0
2017-08-09,18.76,723537.0,18.76,18.51,18.91,18.78,6323.0
2017-08-10,18.17,1297856.0,18.17,18.06,18.72,18.62,11020.0
2017-08-11,18.76,1089264.0,18.76,18.11,18.79,18.17,9224.0
2017-08-14,19.36,1518589.0,19.36,18.73,19.45,18.75,9033.0
2017-08-15,19.39,1261299.0,19.39,19.21,19.67,19.46,9165.0
2017-08-16,19.26,1964420.0,19.26,19.16,19.77,19.21,9390.0
2017-08-17,18.63,1504485.0,18.63,18.57,19.2,19.19,10845.0
