YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,22.55,24950867.0,22.55,22.045,22.74,22.07,106576.0
2017-01-04,22.36,20426819.0,22.36,22.245,22.84,22.67,77745.0
2017-01-05,22.11,19758381.0,22.11,21.96,22.57,22.4,71263.0
2017-01-06,22.04,17782160.0,22.04,21.975,22.28,22.27,70118.0
2017-01-09,22.34,21537171.0,22.34,21.94,22.55,21.94,78001.0
2017-01-10,22.48,20644345.0,22.48,22.3,22.6861,22.36,76856.0
2017-01-11,22.79,20904463.0,22.79,22.56,22.88,22.61,89098.0
2017-01-12,22.31,27595288.0,22.31,21.7,22.48,22.46,106107.0
2017-01-13,22.18,14025660.0,22.18,21.985,22.31,22.27,55486.0
2017-01-17,21.74,20053761.0,21.74,21.5839,22.0662,21.88,77311.0
2017-01-18,22.32,19493417.0,22.32,21.53,22.34,21.68,72720.0
2017-01-19,21.71,31259017.0,21.71,21.49,22.3,21.5,105870.0
2017-01-20,21.96,19978669.0,21.96,21.89,22.33,21.9,78095.0
2017-01-23,21.89,16126657.0,21.89,21.74,22.31,21.96,55008.0
2017-01-24,22.85,29461353.0,22.85,22.26,23.085,22.27,106009.0
2017-01-25,23.56,33384707.0,23.56,23.19,23.98,23.4,113272.0
2017-01-26,23.52,19379092.0,23.52,23.29,23.99,23.8,77504.0
2017-01-27,23.97,18621482.0,23.97,23.45,24.1,23.53,69449.0
2017-01-30,24.18,30508099.0,24.18,23.43,24.24,23.82,109846.0
2017-01-31,24.11,22712508.0,24.11,23.68,24.1457,23.95,86975.0
2017-02-01,24.75,28729427.0,24.75,24.31,24.85,24.43,110904.0
2017-02-02,24.79,45499729.0,24.79,24.46,25.31,24.53,143719.0
2017-02-03,24.6,25054360.0,24.6,24.5,25.24,24.9,86731.0
2017-02-06,24.34,18900002.0,24.34,24.21,24.7287,24.53,66869.0
2017-02-07,24.6,19879272.0,24.6,24.21,24.69,24.59,69884.0
2017-02-08,24.21,21559205.0,24.21,23.91,24.375,24.25,83952.0
2017-02-09,24.45,27887385.0,24.45,24.42,24.89,24.75,104318.0
2017-02-10,24.05,28578398.0,24.05,23.9,24.76,24.71,99302.0
2017-02-13,23.9,16876390.0,23.9,23.82,24.2,24.07,72652.0
2017-02-14,23.12,60685529.0,23.12,22.68,23.37,23.36,171597.0
2017-02-15,23.02,27901708.0,23.02,22.79,23.26,23.07,96564.0
2017-02-16,22.98,23820098.0,22.98,22.85,23.34,23.04,98390.0
2017-02-17,23.35,22108736.0,23.35,23.01,23.38,23.01,75602.0
2017-02-21,23.77,20257131.0,23.77,23.58,23.98,23.62,75947.0
2017-02-22,23.75,16013317.0,23.75,23.65,24.06,23.86,57059.0
2017-02-23,23.48,20172926.0,23.48,23.225,23.97,23.92,87298.0
2017-02-24,23.24,22019787.0,23.24,22.64,23.26,22.96,91286.0
2017-02-27,23.76,17999814.0,23.76,23.15,23.77,23.36,67662.0
2017-02-28,23.44,21447514.0,23.44,23.315,23.95,23.79,65330.0
2017-03-01,24.55,27989312.0,24.55,24.07,24.58,24.16,102233.0
2017-03-02,24.7,45941859.0,24.7,24.375,25.25,24.88,173481.0
2017-03-03,25.57,37981583.0,25.57,24.98,25.68,25.2,131264.0
2017-03-06,25.71,25530079.0,25.71,25.17,25.92,25.5,96559.0
2017-03-07,25.64,20313002.0,25.64,25.28,25.75,25.56,80420.0
2017-03-08,25.38,24921136.0,25.38,25.04,25.83,25.64,93010.0
2017-03-09,25.15,21786556.0,25.15,24.85,25.49,25.23,86524.0
2017-03-10,25.18,28919045.0,25.18,24.81,25.75,25.275,110924.0
2017-03-13,25.7,23768209.0,25.7,25.29,25.82,25.39,75507.0
2017-03-14,25.58,14587546.0,25.58,25.25,25.7,25.59,51604.0
2017-03-15,26.12,29788078.0,26.12,24.935,26.15,25.15,106141.0
2017-03-16,26.04,19151562.0,26.04,25.83,26.23,26.2,68637.0
2017-03-17,25.8,19126498.0,25.8,25.4,25.91,25.86,54778.0
2017-03-20,26.21,26919053.0,26.21,25.81,26.61,25.99,89786.0
2017-03-21,25.52,28398018.0,25.52,25.43,26.44,26.3,114225.0
2017-03-22,26.06,25092830.0,26.06,25.63,26.15,25.73,96890.0
2017-03-23,26.47,47152274.0,26.47,26.04,26.49,26.36,153298.0
2017-03-24,28.43,107481789.0,28.43,28.1601,29.87,29.71,339092.0
2017-03-27,28.76,48190396.0,28.76,28.07,29.18,28.1,143443.0
2017-03-28,28.69,24786507.0,28.69,28.62,29.06,28.73,88066.0
2017-03-29,28.5,23060612.0,28.5,28.35,28.68,28.6,89571.0
2017-03-30,28.97,25092660.0,28.97,28.33,29.0,28.4,90340.0
2017-03-31,28.9,32337822.0,28.9,28.9,29.36,29.1,114406.0
2017-04-03,28.64,21629078.0,28.64,28.3,29.04,28.95,80217.0
2017-04-04,28.59,13957931.0,28.59,28.16,28.68,28.47,58344.0
2017-04-05,28.26,22391860.0,28.26,28.23,28.905,28.64,86230.0
2017-04-06,28.62,19423730.0,28.62,28.02,28.78,28.25,76761.0
2017-04-07,28.52,20325474.0,28.52,28.35,28.855,28.45,70330.0
2017-04-10,27.64,27422050.0,27.64,27.58,28.49,28.45,96898.0
2017-04-11,27.18,38619437.0,27.18,26.6808,27.54,27.5,139460.0
2017-04-12,26.69,24621861.0,26.69,26.655,27.43,27.42,85512.0
2017-04-13,26.74,26081966.0,26.74,26.3601,27.23,26.55,92148.0
2017-04-17,27.13,14108578.0,27.13,26.83,27.22,26.91,49036.0
2017-04-18,27.14,14407057.0,27.14,26.9,27.34,27.0,57645.0
2017-04-19,27.26,21231909.0,27.26,27.05,27.55,27.45,82958.0
2017-04-20,27.96,23807781.0,27.96,27.5,28.08,27.5,83440.0
2017-04-21,27.32,28361662.0,27.32,27.16,28.03,28.0,92259.0
2017-04-24,26.57,44041032.0,26.57,26.52,27.76,27.74,144285.0
2017-04-25,26.99,22881446.0,26.99,26.365,27.02,26.71,80473.0
2017-04-26,26.79,24670741.0,26.79,26.3938,27.07,26.58,82177.0
2017-04-27,27.63,24626933.0,27.63,27.095,27.65,27.17,74993.0
2017-04-28,27.67,28105074.0,27.67,27.51,28.2,28.02,100908.0
2017-05-01,28.29,23937955.0,28.29,27.72,28.38,27.85,80506.0
2017-05-02,27.77,25335263.0,27.77,27.45,28.28,28.28,92603.0
2017-05-03,28.0,15061281.0,28.0,27.55,28.1,27.55,53893.0
2017-05-04,27.79,15544635.0,27.79,27.72,28.165,27.94,53488.0
2017-05-05,28.2,15639616.0,28.2,27.62,28.22,27.8,53240.0
2017-05-08,28.06,32326876.0,28.06,27.28,28.07,27.56,89753.0
2017-05-09,28.81,31073381.0,28.81,28.06,28.9,28.11,106777.0
2017-05-10,29.32,29267456.0,29.32,28.8,29.415,28.92,102259.0
2017-05-11,29.03,22494565.0,29.03,28.69,29.31,29.17,78185.0
2017-05-12,28.93,15902721.0,28.93,28.68,29.12,29.1,52191.0
2017-05-15,28.83,21899866.0,28.83,28.73,29.19,29.08,53201.0
2017-05-16,29.02,14940842.0,29.02,28.57,29.08,28.92,59127.0
2017-05-17,27.0,38064238.0,27.0,26.96,28.51,28.34,140818.0
2017-05-18,27.48,26862953.0,27.48,27.085,27.89,27.15,108126.0
2017-05-19,27.82,19173238.0,27.82,27.73,28.16,27.78,69636.0
2017-05-22,28.06,18032725.0,28.06,27.645,28.25,28.2,64354.0
2017-05-23,28.29,21800825.0,28.29,27.56,28.31,28.08,68393.0
2017-05-24,28.99,22353013.0,28.99,28.44,29.12,28.47,77732.0
2017-05-25,29.43,20714035.0,29.43,29.19,29.66,29.2,83404.0
2017-05-26,29.76,17784830.0,29.76,28.875,29.77,29.27,60038.0
2017-05-30,30.7,34689995.0,30.7,29.88,30.87,29.94,124531.0
2017-05-31,30.77,26435777.0,30.77,30.32,31.1,31.01,95636.0
2017-06-01,30.76,20544952.0,30.76,30.28,30.83,30.75,82425.0
2017-06-02,31.21,20206337.0,31.21,30.53,31.38,30.8,79180.0
2017-06-05,31.21,24360840.0,31.21,31.07,31.755,31.3,97391.0
2017-06-06,31.57,33174433.0,31.57,30.87,31.77,31.04,113367.0
2017-06-07,32.5,32635843.0,32.5,31.7,32.55,31.7,114317.0
2017-06-08,32.45,29156452.0,32.45,31.88,32.86,32.84,97810.0
2017-06-09,30.6,53064220.0,30.6,29.55,32.93,32.67,214035.0
2017-06-12,31.2,46550935.0,31.2,29.21,31.685,30.06,195196.0
2017-06-13,31.54,33767863.0,31.54,30.77,32.24,31.75,146120.0
