YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,42.79,1618472.0,42.79,42.64,43.87,43.13,14415.0
2017-01-04,44.77,1854498.0,44.77,42.78,44.89,43.1,15456.0
2017-01-05,44.55,933743.0,44.55,44.02,44.79,44.51,8381.0
2017-01-06,44.25,932858.0,44.25,44.06,44.92,44.75,8294.0
2017-01-09,44.39,855769.0,44.39,43.9,44.7,44.14,5690.0
2017-01-10,45.22,1065488.0,45.22,44.33,45.36,44.33,9009.0
2017-01-11,45.75,870469.0,45.75,44.72,45.82,45.01,8298.0
2017-01-12,45.35,731462.0,45.35,44.67,45.83,45.47,7783.0
2017-01-13,44.95,547673.0,44.95,44.84,45.49,45.49,5664.0
2017-01-17,44.74,905427.0,44.74,44.2,45.2172,45.08,8217.0
2017-01-18,45.67,942996.0,45.67,44.56,45.77,44.97,9203.0
2017-01-19,45.62,1031295.0,45.62,45.385,46.36,45.76,9584.0
2017-01-20,45.63,735986.0,45.63,45.41,46.41,45.93,7814.0
2017-01-23,46.0,826780.0,46.0,45.15,46.145,45.47,8766.0
2017-01-24,46.84,1239446.0,46.84,45.83,46.95,45.92,10849.0
2017-01-25,48.09,1275823.0,48.09,46.955,48.24,47.22,12187.0
2017-01-26,49.33,2613556.0,49.33,48.77,50.05,49.22,19934.0
2017-01-27,49.02,945318.0,49.02,48.61,49.56,49.35,9270.0
2017-01-30,48.03,1337131.0,48.03,47.94,48.88,48.8,12057.0
2017-01-31,47.0,1625213.0,47.0,46.83,48.11,47.88,15132.0
2017-02-01,48.08,1296482.0,48.08,46.83,48.45,47.3,13018.0
2017-02-02,47.66,694731.0,47.66,47.55,48.5,48.17,7005.0
2017-02-03,47.74,760795.0,47.74,47.41,48.36,48.13,7950.0
2017-02-06,47.52,1139099.0,47.52,47.28,48.02,47.76,9614.0
2017-02-07,47.7,1477247.0,47.7,47.465,48.09,47.58,12949.0
2017-02-08,47.86,1065787.0,47.86,47.51,48.14,47.88,10084.0
2017-02-09,48.06,1249178.0,48.06,47.7,48.31,47.81,11169.0
2017-02-10,47.8,1611014.0,47.8,47.54,48.905,48.43,12942.0
2017-02-13,47.87,1449892.0,47.87,47.56,48.1,48.02,13601.0
2017-02-14,47.77,1048707.0,47.77,47.575,47.97,47.82,10912.0
2017-02-15,47.92,1464834.0,47.92,47.005,48.12,47.66,13088.0
2017-02-16,47.63,1236250.0,47.63,47.24,48.14,47.95,11947.0
2017-02-17,47.69,1653718.0,47.69,47.27,47.85,47.62,12094.0
2017-02-21,48.2,1802151.0,48.2,47.74,48.52,47.74,15255.0
2017-02-22,51.64,4043069.0,51.64,48.68,52.14,49.24,31245.0
2017-02-23,50.68,1869803.0,50.68,50.61,52.5,52.48,17458.0
2017-02-24,50.02,1443274.0,50.02,49.77,50.6322,50.51,12233.0
2017-02-27,50.77,1326575.0,50.77,49.57,50.83,49.93,11671.0
