YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,113.42,233890.0,113.42,112.07,114.93,113.52,4252.0
2017-01-04,115.94,363818.0,115.94,113.46,116.01,113.59,4276.0
2017-01-05,111.41,467604.0,111.41,111.12,115.51,114.18,5017.0
2017-01-06,111.92,276635.0,111.92,111.0,113.32,111.07,3435.0
2017-01-09,110.24,269648.0,110.24,110.07,111.31,111.2,3581.0
2017-01-10,112.5,305867.0,112.5,110.43,113.5,110.77,3885.0
2017-01-11,114.5,290674.0,114.5,112.805,114.85,112.89,3881.0
2017-01-12,112.26,319905.0,112.26,109.89,114.18,114.18,3897.0
2017-01-13,113.56,253428.0,113.56,112.52,114.4,112.87,3173.0
2017-01-17,111.41,180428.0,111.41,110.75,112.93,112.44,2433.0
2017-01-18,111.85,268451.0,111.85,111.08,112.74,111.52,3420.0
2017-01-19,111.67,173378.0,111.67,110.87,112.37,112.02,2636.0
2017-01-20,111.35,172071.0,111.35,110.96,112.55,111.67,2238.0
2017-01-23,111.44,138664.0,111.44,110.41,112.43,111.2,2138.0
2017-01-24,113.74,188916.0,113.74,111.68,114.03,112.12,2304.0
2017-01-25,115.58,191661.0,115.58,112.075,115.84,114.48,2529.0
2017-01-26,115.25,213336.0,115.25,114.54,115.79,115.79,2546.0
2017-01-27,114.97,221552.0,114.97,113.625,115.695,115.58,2508.0
2017-01-30,114.67,212636.0,114.67,112.01,114.83,114.08,2377.0
2017-01-31,113.53,390854.0,113.53,112.28,115.26,114.26,2636.0
2017-02-01,113.74,292994.0,113.74,112.23,115.82,115.07,3755.0
2017-02-02,113.35,202417.0,113.35,112.25,113.92,113.85,2322.0
2017-02-03,115.26,148072.0,115.26,113.3575,115.415,114.34,2151.0
2017-02-06,114.05,177317.0,114.05,112.64,115.47,114.67,2441.0
2017-02-07,113.53,194405.0,113.53,112.6,114.4175,114.15,2862.0
2017-02-08,113.65,133318.0,113.65,112.77,114.4,113.36,2039.0
2017-02-09,114.92,252724.0,114.92,113.5359,115.2,114.27,2980.0
2017-02-10,116.47,206193.0,116.47,114.7,116.59,115.04,2839.0
2017-02-13,117.13,279680.0,117.13,116.46,118.0,117.0,3421.0
2017-02-14,116.52,155698.0,116.52,115.67,116.91,116.91,2508.0
2017-02-15,119.93,363810.0,119.93,117.14,120.4,117.14,3811.0
2017-02-16,119.18,240419.0,119.18,117.79,120.91,117.82,2840.0
2017-02-17,119.95,291160.0,119.95,118.02,120.22,118.63,3677.0
2017-02-21,120.04,670779.0,120.04,117.87,120.73,120.5,4998.0
2017-02-22,120.31,225746.0,120.31,118.09,120.43,119.31,3228.0
2017-02-23,119.19,306277.0,119.19,118.1991,120.96,120.96,3406.0
2017-02-24,120.6,240339.0,120.6,118.01,120.78,118.01,3176.0
2017-02-27,121.73,239028.0,121.73,119.99,121.9557,120.34,2695.0
2017-02-28,120.04,342412.0,120.04,120.01,121.82,121.4,3981.0
2017-03-01,124.71,377438.0,124.71,121.8,124.8,121.8,4076.0
2017-03-02,123.75,640723.0,123.75,122.502,124.43,124.43,7578.0
2017-03-03,125.03,386194.0,125.03,123.81,125.11,123.96,4227.0
2017-03-06,124.78,224187.0,124.78,123.0092,124.95,124.06,2904.0
2017-03-07,124.37,186207.0,124.37,123.1201,124.845,124.53,2652.0
2017-03-08,124.2,205531.0,124.2,123.83,125.13,124.71,2783.0
2017-03-09,123.93,402922.0,123.93,123.5401,124.73,124.0,4257.0
2017-03-10,124.28,254467.0,124.28,122.62,125.05,124.51,3500.0
2017-03-13,125.88,270797.0,125.88,124.06,125.96,124.28,3155.0
