YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,22.19,1925191.0,22.19,21.99,22.21,22.17,
2017-01-04,22.36,2235547.0,22.36,22.25,22.63,22.25,
2017-01-05,22.68,5483521.0,22.68,22.26,22.735,22.42,
2017-01-06,22.36,4398555.0,22.36,22.26,22.66,22.6,
2017-01-09,22.06,3023212.0,22.06,21.96,22.56,22.53,
2017-01-10,21.94,2181608.0,21.94,21.84,22.145,22.05,
2017-01-11,22.12,3292406.0,22.12,21.79,22.19,21.95,
2017-01-12,22.03,2538079.0,22.03,21.75,22.09,22.09,
2017-01-13,21.96,1749776.0,21.96,21.8,22.125,21.96,
2017-01-17,22.35,2960578.0,22.35,22.01,22.44,22.04,
2017-01-18,22.52,2469972.0,22.52,22.27,22.53,22.33,
2017-01-19,22.34,1806675.0,22.34,22.23,22.5,22.43,
2017-01-20,22.51,2533322.0,22.51,22.35,22.525,22.42,
2017-01-23,22.2,2271421.0,22.2,22.085,22.57,22.54,
2017-01-24,22.25,1861524.0,22.25,22.13,22.32,22.2,
2017-01-25,22.2,1956864.0,22.2,22.12,22.26,22.19,
2017-01-26,22.22,2298005.0,22.22,22.14,22.405,22.21,
2017-01-27,22.03,1862910.0,22.03,21.97,22.2907,22.28,
2017-01-30,21.84,2565836.0,21.84,21.65,22.11,22.1,
2017-01-31,22.37,2723170.0,22.37,21.81,22.39,21.82,
2017-02-01,21.98,3088471.0,21.98,21.9,22.215,22.16,
2017-02-02,22.16,2893017.0,22.16,21.915,22.175,21.95,
2017-02-03,22.26,2492580.0,22.26,22.13,22.355,22.24,
2017-02-06,22.24,2789991.0,22.24,22.18,22.386,22.35,
2017-02-07,22.16,2851040.0,22.16,22.15,22.32,22.26,
2017-02-08,22.18,3283966.0,22.18,22.0,22.26,22.04,
2017-02-09,22.23,2839953.0,22.23,22.105,22.37,22.18,
2017-02-10,22.41,2713930.0,22.41,22.11,22.535,22.15,
2017-02-13,22.52,2640184.0,22.52,22.26,22.53,22.42,
2017-02-14,22.25,2102270.0,22.25,22.145,22.47,22.44,
2017-02-15,22.23,2465593.0,22.23,21.93,22.24,22.07,
2017-02-16,22.67,3382368.0,22.67,22.16,22.67,22.25,
2017-02-17,22.7,11287198.0,22.7,22.505,22.73,22.71,
2017-02-21,22.99,4043866.0,22.99,22.53,23.04,22.65,
2017-02-22,23.17,3573006.0,23.17,22.73,23.175,23.04,
2017-02-23,23.77,4395805.0,23.77,23.3,23.82,23.3,
2017-02-24,24.01,3693833.0,24.01,23.755,24.04,23.77,
2017-02-27,23.8,2080303.0,23.8,23.77,23.98,23.98,
2017-02-28,23.91,3099322.0,23.91,23.71,24.03,23.74,
2017-03-01,23.9,6108919.0,23.9,23.56,24.0,23.58,
2017-03-02,24.09,2920328.0,24.09,23.77,24.285,23.81,
2017-03-03,23.72,4921918.0,23.72,23.55,24.11,24.11,
2017-03-06,23.58,3383279.0,23.58,23.53,23.77,23.71,
2017-03-07,23.5,3056784.0,23.5,23.465,23.65,23.59,
2017-03-08,23.02,2963367.0,23.02,23.02,23.35,23.31,
2017-03-09,22.99,3495942.0,22.99,22.96,23.23,23.07,
2017-03-10,23.33,2448009.0,23.33,23.1,23.35,23.16,
2017-03-13,23.5,3154568.0,23.5,23.27,23.52,23.31,
2017-03-14,23.36,2256655.0,23.36,23.315,23.525,23.47,
2017-03-15,23.71,3931790.0,23.71,23.32,24.25,23.47,
2017-03-16,23.37,2431462.0,23.37,23.31,23.62,23.62,
2017-03-17,23.5,3826198.0,23.5,23.37,23.61,23.44,
2017-03-20,23.22,2362548.0,23.22,23.18,23.57,23.45,
2017-03-21,23.57,4059287.0,23.57,23.19,23.69,23.29,
2017-03-22,23.81,3455325.0,23.81,23.66,23.87,23.66,
2017-03-23,23.75,2432568.0,23.75,23.685,24.07,23.77,
2017-03-24,23.87,2340129.0,23.87,23.69,23.94,23.79,
2017-03-27,23.81,2046024.0,23.81,23.65,24.04,24.01,
2017-03-28,23.71,1973364.0,23.71,23.56,23.8,23.8,
2017-03-29,23.71,1589020.0,23.71,23.52,23.73,23.7,
2017-03-30,23.59,2031652.0,23.59,23.48,23.65,23.58,
2017-03-31,23.79,2072368.0,23.79,23.58,23.88,23.58,
2017-04-03,23.68,2264312.0,23.68,23.5301,23.77,23.74,
2017-04-04,23.66,2694518.0,23.66,23.57,23.79,23.66,
2017-04-05,23.78,2952283.0,23.78,23.57,23.81,23.65,
2017-04-06,23.84,2768984.0,23.84,23.64,23.94,23.77,
2017-04-07,23.68,5453086.0,23.68,23.67,23.95,23.89,
2017-04-10,23.74,2275496.0,23.74,23.59,23.8,23.73,
2017-04-11,23.85,2682704.0,23.85,23.54,23.89,23.71,
2017-04-12,23.94,1817646.0,23.94,23.7,23.97,23.85,
