YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,51.98,13295607.0,51.98,51.77,52.5,51.99,
2017-01-04,53.07,13759473.0,53.07,52.09,53.345,52.23,
2017-01-05,53.06,8682193.0,53.06,52.44,53.1,52.92,
2017-01-06,53.91,12532449.0,53.91,52.98,54.09,53.09,
2017-01-09,53.38,8835265.0,53.38,53.215,53.99,53.96,
2017-01-10,53.11,8041852.0,53.11,53.11,53.7301,53.55,
2017-01-11,52.69,8208307.0,52.69,52.665,53.29,53.12,
2017-01-12,52.4,7368654.0,52.4,52.16,52.69,52.51,
2017-01-13,52.92,6694367.0,52.92,52.23,52.93,52.59,
2017-01-17,53.65,9888451.0,53.65,53.01,53.95,53.4,
2017-01-18,53.27,6743094.0,53.27,52.86,53.89,53.86,
2017-01-19,52.93,8320612.0,52.93,52.89,53.94,53.84,
2017-01-20,53.2,7861047.0,53.2,52.9,53.352,53.22,
2017-01-23,53.24,7025715.0,53.24,52.7247,53.26,53.02,
2017-01-24,53.45,6321310.0,53.45,52.99,53.57,53.02,
2017-01-25,53.86,6675011.0,53.86,53.69,54.12,53.73,
2017-01-26,53.65,6202005.0,53.65,53.36,54.12,54.11,
2017-01-27,53.19,7362028.0,53.19,53.03,54.08,53.68,
2017-01-30,53.08,9770763.0,53.08,52.41,53.22,52.78,
2017-01-31,52.9,12342873.0,52.9,51.63,52.9,51.68,
2017-02-01,53.02,8810937.0,53.02,52.61,53.26,52.98,
2017-02-02,52.8,7874179.0,52.8,52.4801,53.01,53.0,
2017-02-03,52.36,8850416.0,52.36,52.25,52.805,52.62,
2017-02-06,52.8,7355182.0,52.8,52.05,52.8,52.09,
2017-02-07,52.81,6446876.0,52.81,52.67,53.28,53.07,
2017-02-08,53.88,9281071.0,53.88,52.7,53.94,52.74,
2017-02-09,55.31,14345385.0,55.31,53.93,55.7,53.93,
2017-02-10,56.22,14973383.0,56.22,55.63,56.47,55.63,
