YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,75.66,1101812.0,75.66,74.63,76.99,75.31,
2017-01-04,78.83,2015348.0,78.83,75.89,78.98,76.09,
2017-01-05,79.13,1564020.0,79.13,78.34,79.67,78.71,
2017-01-06,82.1,1686580.0,82.1,78.9,82.39,79.24,
2017-01-09,82.0,1339252.0,82.0,81.3,82.57,81.8,
2017-01-10,81.67,1268804.0,81.67,81.14,82.43,82.25,
2017-01-11,83.9,2084701.0,83.9,81.26,84.9,81.26,
2017-01-12,83.46,1397980.0,83.46,80.91,83.76,83.02,
2017-01-13,83.53,745833.0,83.53,82.63,84.0,83.82,
2017-01-17,81.41,879932.0,81.41,81.29,83.25,83.08,
2017-01-18,82.85,1466114.0,82.85,82.69,84.349,83.01,
2017-01-19,82.7,1302082.0,82.7,82.39,83.6,82.96,
2017-01-20,83.4,1251869.0,83.4,83.11,84.27,83.12,
2017-01-23,83.25,988780.0,83.25,82.26,83.91,83.84,
2017-01-24,83.97,1487810.0,83.97,82.14,84.59,83.86,
2017-01-25,86.36,2686379.0,86.36,84.49,86.96,84.91,
2017-01-26,89.48,4369411.0,89.48,89.41,92.98,92.01,
2017-01-27,90.09,1980966.0,90.09,88.7066,90.5,89.01,
2017-01-30,90.12,1585650.0,90.12,88.01,90.328,89.6,
2017-01-31,90.62,1326870.0,90.62,88.95,90.67,90.1,
2017-02-01,89.7,2884156.0,89.7,89.39,91.17,91.17,
2017-02-02,88.86,2125715.0,88.86,88.23,89.84,89.25,
2017-02-03,89.47,2454808.0,89.47,89.12,89.99,89.18,
2017-02-06,90.5,1441749.0,90.5,88.63,90.71,89.19,
2017-02-07,90.66,1646858.0,90.66,90.35,91.16,90.81,
2017-02-08,90.09,1887296.0,90.09,89.39,90.44,89.76,
2017-02-09,92.3,1819978.0,92.3,90.01,92.31,90.14,
2017-02-10,92.46,1647909.0,92.46,91.7,92.82,92.58,
2017-02-13,91.74,960525.0,91.74,91.5,92.5,92.18,
2017-02-14,92.89,1422454.0,92.89,91.3501,93.3,91.68,
2017-02-15,93.97,1584467.0,93.97,92.33,94.72,92.44,
2017-02-16,91.85,1411179.0,91.85,91.54,94.19,93.94,
2017-02-17,92.74,1117760.0,92.74,91.23,92.9692,91.87,
2017-02-21,93.18,617651.0,93.18,92.17,93.51,93.02,
2017-02-22,92.98,547666.0,92.98,92.17,93.67,92.71,
2017-02-23,92.65,832162.0,92.65,91.41,93.4,93.36,
2017-02-24,91.82,1038173.0,91.82,90.66,92.39,91.6,
2017-02-27,87.75,5592673.0,87.75,86.93,90.61,90.61,
2017-02-28,86.92,2168345.0,86.92,86.815,88.28,87.22,
2017-03-01,88.89,3165753.0,88.89,86.74,88.99,88.02,
2017-03-02,86.34,1411414.0,86.34,86.24,89.14,89.09,
2017-03-03,86.47,1189485.0,86.47,86.01,87.19,86.03,
2017-03-06,86.26,1419210.0,86.26,85.56,86.77,85.93,
2017-03-07,87.06,1478591.0,87.06,86.1,87.69,86.33,
2017-03-08,87.29,794034.0,87.29,86.98,88.27,87.32,
2017-03-09,87.83,893161.0,87.83,86.39,88.13,87.31,
2017-03-10,88.03,857091.0,88.03,86.8978,88.59,88.27,
2017-03-13,88.64,1292811.0,88.64,87.66,88.86,88.09,
2017-03-14,87.47,1142589.0,87.47,86.68,88.61,88.49,
2017-03-15,88.41,1020658.0,88.41,87.29,88.77,87.88,
2017-03-16,88.8,953622.0,88.8,88.49,89.37,88.79,
2017-03-17,88.71,1010277.0,88.71,88.51,89.47,89.05,
2017-03-20,88.11,621321.0,88.11,87.75,88.945,88.85,
2017-03-21,83.93,2410051.0,83.93,83.79,89.0,88.8,
2017-03-22,85.04,1423350.0,85.04,83.46,85.19,83.85,
2017-03-23,84.4,860136.0,84.4,84.13,85.805,85.12,
2017-03-24,84.81,818649.0,84.81,84.31,85.69,85.04,
2017-03-27,84.87,906894.0,84.87,83.42,85.59,84.24,
2017-03-28,86.0,940816.0,86.0,84.83,86.37,85.4,
2017-03-29,87.61,1438420.0,87.61,86.1,87.88,86.28,
2017-03-30,86.94,771791.0,86.94,86.81,87.7,87.44,
2017-03-31,87.47,910624.0,87.47,86.38,88.0,86.82,
2017-04-03,86.22,1250023.0,86.22,85.41,88.3614,87.6,
2017-04-04,85.29,1177198.0,85.29,85.2,87.3825,86.06,
2017-04-05,85.66,1416340.0,85.66,85.41,87.68,85.99,
2017-04-06,86.19,673557.0,86.19,85.1,86.42,85.75,
2017-04-07,86.02,767039.0,86.02,85.52,86.57,85.9,
2017-04-10,85.53,671436.0,85.53,85.42,86.39,85.95,
2017-04-11,85.39,939028.0,85.39,84.82,85.99,85.35,
2017-04-12,84.49,874250.0,84.49,84.03,85.71,85.01,
2017-04-13,84.64,1132148.0,84.64,84.3355,85.2025,84.37,
2017-04-17,86.41,1118215.0,86.41,84.92,86.42,85.04,
2017-04-18,87.6,1381737.0,87.6,85.93,87.67,86.0,
2017-04-19,88.15,1194688.0,88.15,87.65,88.4,87.96,
2017-04-20,88.26,1352012.0,88.26,87.46,88.49,88.49,
2017-04-21,88.32,1076475.0,88.32,88.08,89.43,88.8,
2017-04-24,89.42,1312012.0,89.42,88.35,89.67,89.67,
2017-04-25,90.24,1417602.0,90.24,89.56,90.8,89.92,
2017-04-26,90.92,2814850.0,90.92,89.03,91.21,90.43,
2017-04-27,94.33,4690399.0,94.33,93.3,96.92,96.281,
2017-04-28,94.48,2342129.0,94.48,92.94,95.32,94.3,
2017-05-01,94.93,2741325.0,94.93,93.71,95.44,94.64,
2017-05-02,94.96,1170402.0,94.96,93.77,95.1,94.82,
2017-05-03,94.11,982385.0,94.11,93.73,95.15,94.69,
2017-05-04,96.02,1515958.0,96.02,94.15,96.3,94.59,
2017-05-05,98.07,1818083.0,98.07,96.12,98.19,96.12,
2017-05-08,97.9,2173116.0,97.9,97.1501,99.09,97.675,
2017-05-09,97.33,1586206.0,97.33,96.96,98.47,98.16,
2017-05-10,96.47,1210042.0,96.47,96.36,97.57,97.22,
2017-05-11,96.76,1100191.0,96.76,95.5,96.92,96.5,
2017-05-12,96.9,966061.0,96.9,95.99,97.35,96.81,
2017-05-15,97.95,892450.0,97.95,96.91,98.61,97.24,
2017-05-16,100.18,1845962.0,100.18,97.81,100.19,98.76,
2017-05-17,98.55,3630285.0,98.55,98.06,99.395,98.7,
2017-05-18,98.97,2842059.0,98.97,97.354,99.1,97.88,
2017-05-19,99.3,2131758.0,99.3,99.23,100.72,99.5,
2017-05-22,101.7,2087395.0,101.7,99.755,102.23,99.81,
2017-05-23,101.7,2338251.0,101.7,100.06,101.76,101.37,
