YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,12.3,3228591.0,12.3,12.185,12.445,12.32,
2017-01-04,13.03,8040905.0,13.03,12.3,13.07,12.32,
2017-01-05,13.28,8121311.0,13.28,12.915,13.31,13.01,
2017-01-06,13.36,8693199.0,13.36,12.96,13.45,13.31,
2017-01-09,13.47,8445232.0,13.47,13.13,13.51,13.35,
2017-01-10,13.62,8770640.0,13.62,13.24,13.71,13.43,
2017-01-11,14.1,14526847.0,14.1,13.68,14.1,13.68,
2017-01-12,14.38,7591133.0,14.38,13.95,14.44,14.05,
2017-01-13,14.6,6953502.0,14.6,14.3,14.63,14.33,
2017-01-17,15.34,10917987.0,15.34,15.05,15.92,15.45,
2017-01-18,15.26,6565489.0,15.26,15.125,15.5626,15.39,
2017-01-19,15.56,13204134.0,15.56,15.11,15.57,15.17,
2017-01-20,16.11,8393893.0,16.11,15.66,16.41,15.68,
2017-01-23,16.21,5812675.0,16.21,15.885,16.5,16.21,
2017-01-24,16.37,6634389.0,16.37,16.2,16.62,16.32,
2017-01-25,16.44,5031056.0,16.44,16.31,16.56,16.39,
2017-01-26,16.46,4412747.0,16.46,16.33,16.64,16.46,
2017-01-27,16.45,3317616.0,16.45,16.31,16.6,16.41,
2017-01-30,16.26,4848323.0,16.26,16.015,16.4175,16.4,
2017-01-31,16.54,3836708.0,16.54,16.18,16.575,16.18,
2017-02-01,16.34,3379154.0,16.34,16.185,16.6,16.49,
2017-02-02,16.71,6049650.0,16.71,16.08,16.79,16.28,
2017-02-03,17.08,11968852.0,17.08,16.57,17.56,16.74,
2017-02-06,16.7,6966277.0,16.7,16.39,17.21,17.12,
2017-02-07,16.27,5060144.0,16.27,16.23,16.7,16.64,
2017-02-08,16.36,4443492.0,16.36,16.02,16.51,16.2,
2017-02-09,16.42,4257470.0,16.42,16.21,16.5,16.23,
2017-02-10,16.66,3186988.0,16.66,16.32,16.66,16.5,
2017-02-13,16.75,5709712.0,16.75,16.54,16.94,16.6,
2017-02-14,16.79,6752840.0,16.79,16.32,16.81,16.63,
2017-02-15,17.49,8391042.0,17.49,16.73,17.75,16.74,
2017-02-16,17.11,4479008.0,17.11,17.09,17.49,17.49,
2017-02-17,17.1,3986996.0,17.1,16.725,17.13,17.11,
2017-02-21,17.12,3779057.0,17.12,16.52,17.3,16.79,
2017-02-22,16.83,4706572.0,16.83,16.685,17.05,17.05,
2017-02-23,17.04,6036009.0,17.04,16.94,17.28,17.01,
2017-02-24,17.46,6467851.0,17.46,17.13,17.565,17.19,
2017-02-27,16.77,9383733.0,16.77,16.66,17.71,17.41,
2017-02-28,16.56,9653038.0,16.56,15.83,16.88,16.43,
2017-03-01,16.85,14262167.0,16.85,16.7,17.1,16.86,
2017-03-02,17.03,8078878.0,17.03,16.73,17.47,16.73,
2017-03-03,17.3,4584487.0,17.3,16.89,17.31,17.03,
2017-03-06,17.36,10790047.0,17.36,16.95,17.43,17.28,
2017-03-07,17.1,5974710.0,17.1,16.95,17.66,17.49,
2017-03-08,17.17,7587644.0,17.17,16.59,17.265,17.06,
2017-03-09,17.86,7437129.0,17.86,17.04,17.87,17.09,
2017-03-10,17.86,5923911.0,17.86,17.57,18.06,17.96,
