YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,35.57,3218929.0,35.57,35.09,36.19,35.44,26128.0
2017-01-04,35.65,2481351.0,35.65,35.19,35.95,35.37,20602.0
2017-01-05,35.36,1875539.0,35.36,35.18,35.83,35.66,15980.0
2017-01-06,35.23,1711770.0,35.23,35.16,35.71,35.36,14069.0
2017-01-09,35.23,2140763.0,35.23,35.13,35.47,35.32,16445.0
2017-01-10,35.25,3026010.0,35.25,35.16,35.72,35.28,20563.0
2017-01-11,35.65,3006831.0,35.65,35.25,35.88,35.25,23237.0
2017-01-12,35.81,2069787.0,35.81,35.08,35.88,35.52,18839.0
2017-01-13,35.93,1251218.0,35.93,35.79,36.11,35.81,10496.0
2017-01-17,35.56,1329667.0,35.56,35.46,35.97,35.73,12342.0
2017-01-18,35.99,1313155.0,35.99,35.41,36.0,35.7,11274.0
2017-01-19,35.83,2625928.0,35.83,35.61,36.19,35.89,20631.0
2017-01-20,36.37,2358949.0,36.37,35.84,36.5,35.89,18223.0
2017-01-23,36.17,2762479.0,36.17,35.77,36.49,36.3,13538.0
2017-01-24,37.52,3172752.0,37.52,36.2447,37.655,36.3,22591.0
2017-01-25,37.95,3174696.0,37.95,37.77,38.5,37.93,27248.0
2017-01-26,37.6,2144022.0,37.6,37.25,38.13,38.02,18107.0
2017-01-27,37.76,1915534.0,37.76,37.3,37.865,37.71,15238.0
2017-01-30,38.07,3517443.0,38.07,37.87,38.97,38.5,25639.0
2017-01-31,38.32,2377821.0,38.32,37.48,38.42,37.85,16229.0
2017-02-01,38.05,1892012.0,38.05,37.895,38.7,38.55,16575.0
2017-02-02,38.24,1565284.0,38.24,37.58,38.36,37.89,15841.0
2017-02-03,38.28,1459413.0,38.28,38.1,38.51,38.32,12639.0
2017-02-06,38.36,2583719.0,38.36,38.13,38.632,38.18,14605.0
2017-02-07,38.83,2459059.0,38.83,38.435,38.87,38.5,19244.0
2017-02-08,38.96,2152667.0,38.96,38.43,39.0,38.71,17586.0
2017-02-09,39.31,3378449.0,39.31,38.77,39.6,38.9,25644.0
2017-02-10,39.45,2846733.0,39.45,38.97,39.72,39.43,22329.0
2017-02-13,39.58,2844536.0,39.58,39.49,39.84,39.61,23212.0
2017-02-14,39.52,2930378.0,39.52,39.36,39.9,39.9,22536.0
2017-02-15,38.93,4894368.0,38.93,38.85,39.5,39.36,36628.0
2017-02-16,40.56,8173090.0,40.56,40.36,42.18,40.8,52335.0
2017-02-17,40.17,3930630.0,40.17,40.01,40.98,40.3,28861.0
2017-02-21,40.52,3000676.0,40.52,40.1109,40.68,40.16,22300.0
2017-02-22,40.7,2839641.0,40.7,40.32,40.77,40.4,22850.0
2017-02-23,40.94,3177104.0,40.94,40.45,41.11,40.8,24710.0
2017-02-24,40.95,3146068.0,40.95,40.47,41.05,40.66,26333.0
2017-02-27,41.27,3203180.0,41.27,40.77,41.38,40.87,25632.0
2017-02-28,41.83,4647802.0,41.83,41.29,41.96,41.37,29273.0
2017-03-01,43.01,4715125.0,43.01,41.83,43.14,42.02,37278.0
2017-03-02,42.26,4063158.0,42.26,42.245,43.14,43.13,32078.0
2017-03-03,42.8,2572260.0,42.8,42.24,42.83,42.33,20939.0
2017-03-06,42.57,2283175.0,42.57,42.25,42.695,42.58,19020.0
2017-03-07,42.66,3476786.0,42.66,42.35,43.08,42.43,24414.0
2017-03-08,42.15,3888550.0,42.15,42.12,42.83,42.65,28730.0
2017-03-09,41.98,2007440.0,41.98,41.75,42.245,41.96,17544.0
2017-03-10,42.15,2301324.0,42.15,41.89,42.4,42.03,17128.0
2017-03-13,41.99,3139779.0,41.99,41.93,42.39,42.27,17868.0
2017-03-14,42.03,2593749.0,42.03,41.745,42.16,41.99,17855.0
2017-03-15,42.22,2210410.0,42.22,41.89,42.44,42.31,17001.0
2017-03-16,42.2,3181339.0,42.2,42.02,42.44,42.23,23142.0
2017-03-17,42.06,4226872.0,42.06,42.06,42.43,42.25,18451.0
2017-03-20,41.95,2330226.0,41.95,41.93,42.31,42.2,17915.0
2017-03-21,40.91,2917869.0,40.91,40.84,42.09,42.01,24644.0
2017-03-22,40.98,2597882.0,40.98,40.63,41.07,40.97,20143.0
