YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,59.61,3698548.0,59.61,59.02,60.87,59.74,
2017-01-04,61.25,3568571.0,61.25,59.13,61.29,59.76,
2017-01-05,60.9,3884626.0,60.9,60.62,62.6,61.12,
2017-01-06,60.29,3057681.0,60.29,60.28,61.86,60.88,
2017-01-09,59.64,3590218.0,59.64,59.52,61.54,60.88,
2017-01-10,61.22,3988168.0,61.22,59.65,61.47,60.4,
2017-01-11,61.19,2085770.0,61.19,60.54,61.79,61.45,
2017-01-12,60.61,2469533.0,60.61,59.97,61.13,60.76,
2017-01-13,60.37,1475100.0,60.37,60.17,61.285,60.49,
2017-01-17,60.14,1534615.0,60.14,59.715,60.7,60.36,
2017-01-18,62.38,3744111.0,62.38,60.05,62.44,60.29,
2017-01-19,60.15,2892582.0,60.15,59.8,62.25,62.02,
2017-01-20,60.99,2802394.0,60.99,60.21,61.14,60.48,
2017-01-23,60.06,3026257.0,60.06,59.5,61.33,61.18,
2017-01-24,60.92,4368671.0,60.92,60.78,62.34,61.02,
2017-01-25,59.71,6208924.0,59.71,59.02,60.84,60.78,
2017-01-26,60.71,3239119.0,60.71,59.41,60.8,59.64,
2017-01-27,61.01,2585248.0,61.01,60.18,61.23,60.8,
2017-01-30,60.1,4339969.0,60.1,59.03,60.79,60.54,
2017-01-31,58.09,9225931.0,58.09,57.13,59.85,59.81,
2017-02-01,56.93,4771610.0,56.93,56.19,59.29,58.57,
2017-02-02,57.49,3051851.0,57.49,56.71,57.64,57.03,
2017-02-03,57.35,2570001.0,57.35,56.6605,58.09,57.39,
2017-02-06,57.85,2644029.0,57.85,57.5,58.2,57.5,
2017-02-07,57.65,2218015.0,57.65,57.53,58.75,58.47,
2017-02-08,58.28,2407953.0,58.28,57.2,58.32,57.57,
2017-02-09,60.97,5505541.0,60.97,58.36,60.98,58.43,
2017-02-10,60.99,5096300.0,60.99,60.66,61.9,61.63,
2017-02-13,63.59,4343636.0,63.59,62.24,63.975,62.36,
2017-02-14,63.09,2665145.0,63.09,62.4,63.5,63.29,
2017-02-15,63.87,2963627.0,63.87,63.11,64.68,63.18,
2017-02-16,63.61,2174752.0,63.61,63.08,64.32,63.89,
2017-02-17,63.9,2225042.0,63.9,62.7,63.97,63.48,
2017-02-21,64.49,2908328.0,64.49,64.26,65.4,64.5,
2017-02-22,63.24,3090403.0,63.24,63.065,64.05,64.0,
2017-02-23,60.89,3010402.0,60.89,60.61,63.84,63.71,
2017-02-24,60.86,2228737.0,60.86,60.17,61.34,60.37,
2017-02-27,62.64,2651993.0,62.64,61.03,63.12,61.03,
2017-02-28,62.57,2325099.0,62.57,62.2,63.1058,62.62,
2017-03-01,64.01,3238951.0,64.01,63.72,64.68,64.25,
2017-03-02,62.64,2578229.0,62.64,62.59,63.95,63.85,
2017-03-03,62.64,2353727.0,62.64,62.09,62.96,62.63,
2017-03-06,62.81,2358928.0,62.81,61.65,63.04,61.86,
2017-03-07,60.93,2637262.0,60.93,60.88,63.11,62.78,
2017-03-08,60.97,2339922.0,60.97,60.6186,61.44,60.97,
2017-03-09,60.54,2305523.0,60.54,60.01,61.23,60.54,
2017-03-10,60.62,2554416.0,60.62,60.46,61.42,61.06,
2017-03-13,60.71,1950322.0,60.71,60.45,61.34,61.01,
2017-03-14,60.73,1581279.0,60.73,60.01,60.88,60.32,
2017-03-15,63.45,3792761.0,63.45,61.25,63.59,61.25,
2017-03-16,64.6,5324620.0,64.6,64.4901,66.0,65.67,
2017-03-17,64.72,6201533.0,64.72,64.395,65.83,64.82,
2017-03-20,64.67,1794560.0,64.67,63.83,64.74,64.58,
2017-03-21,61.33,4247118.0,61.33,61.21,64.88,64.67,
2017-03-22,62.14,2563716.0,62.14,61.19,62.43,61.64,
2017-03-23,61.26,2182163.0,61.26,60.87,62.479,62.16,
2017-03-24,59.76,2830698.0,59.76,59.43,61.78,61.42,
2017-03-27,59.5,2824728.0,59.5,57.97,59.72,58.44,
2017-03-28,60.21,2887482.0,60.21,59.02,60.77,59.28,
2017-03-29,59.77,1482387.0,59.77,59.4702,60.25,59.96,
2017-03-30,60.1,2005958.0,60.1,59.81,60.68,59.81,
2017-03-31,59.72,2609728.0,59.72,59.39,60.15,59.93,
2017-04-03,60.21,2746193.0,60.21,59.19,60.89,60.14,
2017-04-04,60.49,1624158.0,60.49,59.59,60.65,59.95,
2017-04-05,59.72,2730167.0,59.72,59.57,62.0,61.09,
2017-04-06,60.11,2099656.0,60.11,59.36,60.63,59.82,
2017-04-07,60.77,1713267.0,60.77,59.56,61.18,59.6,
2017-04-10,60.08,1441947.0,60.08,59.67,61.1,61.0,
2017-04-11,60.5,1913279.0,60.5,58.97,60.56,59.9,
2017-04-12,57.88,2908858.0,57.88,57.78,59.99,59.99,
2017-04-13,56.96,2822080.0,56.96,56.9,58.44,57.84,
2017-04-17,57.21,2249549.0,57.21,56.7362,57.43,57.17,
2017-04-18,57.33,2183647.0,57.33,56.42,57.66,56.62,
2017-04-19,57.62,2456448.0,57.62,57.45,58.32,57.75,
2017-04-20,60.35,5916216.0,60.35,58.03,60.78,58.89,
2017-04-21,60.0,3711377.0,60.0,58.95,60.35,60.34,
2017-04-24,61.18,3325871.0,61.18,60.05,61.6,61.12,
2017-04-25,60.94,3203999.0,60.94,60.59,61.83,61.82,
2017-04-26,62.0,4377222.0,62.0,59.16,62.31,59.44,
2017-04-27,61.61,4399724.0,61.61,61.24,62.07,62.02,
2017-04-28,61.33,3233362.0,61.33,61.16,62.09,61.96,
2017-05-01,61.71,2071822.0,61.71,60.995,62.31,61.65,
2017-05-02,61.7,2107118.0,61.7,61.2,61.9551,61.47,
2017-05-03,60.28,3007706.0,60.28,59.891,61.42,61.33,
2017-05-04,61.09,2727551.0,61.09,60.02,61.3,60.2,
2017-05-05,60.47,2207286.0,60.47,60.24,61.4,61.23,
2017-05-08,59.87,1983873.0,59.87,59.67,60.338,60.25,
2017-05-09,58.8,2679432.0,58.8,58.635,60.02,60.01,
2017-05-10,58.21,4348681.0,58.21,57.6746,59.08,59.07,
2017-05-11,57.53,2652335.0,57.53,57.2,58.95,58.95,
2017-05-12,57.32,1832226.0,57.32,57.0,57.75,57.27,
2017-05-15,57.61,3364639.0,57.61,57.165,57.95,57.69,
2017-05-16,57.78,2638957.0,57.78,57.29,58.36,58.27,
2017-05-17,56.12,2940612.0,56.12,56.07,57.62,57.58,
2017-05-18,55.88,2997035.0,55.88,55.12,56.36,55.79,
2017-05-19,56.66,2480757.0,56.66,56.09,57.18,56.35,
2017-05-22,56.76,3304428.0,56.76,56.47,57.24,56.94,
2017-05-23,58.64,3550272.0,58.64,56.63,59.2,56.83,
2017-05-24,58.65,3815814.0,58.65,58.265,60.0,59.29,
2017-05-25,58.37,2281803.0,58.37,58.29,59.0,58.81,
2017-05-26,58.15,1455276.0,58.15,57.96,58.68,58.35,
2017-05-30,58.33,2027598.0,58.33,57.785,58.57,58.05,
2017-05-31,58.1,2511761.0,58.1,56.88,58.44,57.87,
2017-06-01,59.07,2194257.0,59.07,57.68,59.09,58.17,
2017-06-02,58.7,1452096.0,58.7,58.62,59.1,58.99,
2017-06-05,58.97,2137424.0,58.97,58.3405,59.33,58.39,
2017-06-06,57.81,2245557.0,57.81,57.765,58.6,58.6,
2017-06-07,57.21,2799768.0,57.21,56.48,58.3564,58.21,
2017-06-08,59.14,2934146.0,59.14,56.79,59.4,57.2,
2017-06-09,59.79,2010739.0,59.79,58.75,59.824,59.14,
2017-06-12,59.9,2411012.0,59.9,59.115,60.6,59.75,
2017-06-13,60.49,1952544.0,60.49,59.67,60.53,59.9,
2017-06-14,59.11,1703077.0,59.11,58.46,60.49,60.4,
2017-06-15,54.6,8170442.0,54.6,54.56,58.17,58.11,
2017-06-16,54.92,4723981.0,54.92,54.01,55.46,54.59,
2017-06-19,55.8,4028839.0,55.8,55.63,57.09,55.99,
2017-06-20,56.13,2370994.0,56.13,55.18,56.64,55.43,
2017-06-21,55.97,3569307.0,55.97,55.9,56.95,56.89,
2017-06-22,56.7,2397020.0,56.7,55.68,57.0,56.2,
2017-06-23,57.5,4209830.0,57.5,56.83,58.255,57.91,
2017-06-26,57.41,2604886.0,57.41,56.93,57.98,57.6,
2017-06-27,56.86,2143192.0,56.86,56.86,58.41,57.83,
2017-06-28,58.17,2050635.0,58.17,57.15,58.51,57.15,
2017-06-29,58.17,1793250.0,58.17,57.78,58.8,58.47,
2017-06-30,57.87,2605000.0,57.87,57.85,59.12,58.55,
2017-07-03,58.87,1794329.0,58.87,58.11,59.12,58.15,
2017-07-05,59.16,2776811.0,59.16,58.045,59.43,58.93,
2017-07-06,59.19,2290367.0,59.19,58.64,59.9,58.9,
2017-07-07,58.2,2530724.0,58.2,57.43,59.4,59.33,
2017-07-10,58.71,1958787.0,58.71,57.56,59.48,57.93,
2017-07-11,58.6,2220224.0,58.6,58.21,59.26,58.87,
2017-07-12,58.94,1751422.0,58.94,58.41,59.14,58.84,
2017-07-13,60.5,3822773.0,60.5,58.72,60.87,59.21,
2017-07-14,59.72,2001811.0,59.72,59.64,60.54,60.52,
2017-07-17,60.12,1691461.0,60.12,59.53,60.27,59.86,
2017-07-18,59.35,3079795.0,59.35,58.66,60.0,59.89,
2017-07-19,60.66,4081864.0,60.66,59.36,60.79,59.56,
2017-07-20,59.92,4061577.0,59.92,58.75,60.94,59.62,
2017-07-21,60.23,3382780.0,60.23,59.68,60.56,59.76,
2017-07-24,60.51,2596833.0,60.51,59.7602,60.63,60.21,
2017-07-25,60.92,3223555.0,60.92,60.83,62.26,61.28,
2017-07-26,58.12,4601262.0,58.12,58.01,61.28,61.05,
2017-07-27,58.67,2939770.0,58.67,57.76,59.0699,58.24,
2017-07-28,57.46,2966060.0,57.46,57.05,58.29,58.28,
2017-07-31,57.67,2395713.0,57.67,57.21,58.07,57.96,
2017-08-01,57.15,1862803.0,57.15,56.76,57.95,57.87,
2017-08-02,56.88,2401470.0,56.88,56.0,57.01,56.71,
2017-08-03,57.11,1333976.0,57.11,56.65,57.42,56.77,
2017-08-04,57.48,1259303.0,57.48,56.9,57.54,57.46,
2017-08-07,57.86,1907210.0,57.86,57.37,58.13,57.96,
2017-08-08,57.55,1764410.0,57.55,56.86,58.07,57.72,
2017-08-09,57.14,1807892.0,57.14,56.74,57.48,57.41,
2017-08-10,56.54,2246096.0,56.54,56.3,57.285,56.51,
2017-08-11,55.37,2180700.0,55.37,55.3,56.643,56.22,
2017-08-14,55.72,2381344.0,55.72,55.29,56.0,55.63,
2017-08-15,55.57,1359565.0,55.57,55.38,56.23,55.81,
2017-08-16,56.73,2521122.0,56.73,55.83,56.86,55.91,
2017-08-17,54.35,2840517.0,54.35,54.34,56.06,56.0,
2017-08-18,54.11,2279463.0,54.11,54.02,54.63,54.33,
2017-08-21,53.73,1487293.0,53.73,53.6,54.47,54.29,
2017-08-22,54.65,1724203.0,54.65,53.7,54.67,54.09,
2017-08-23,54.91,1350872.0,54.91,54.12,55.2,54.27,
2017-08-24,54.59,1423648.0,54.59,54.3,55.19,54.97,
2017-08-25,54.71,1671782.0,54.71,54.08,55.0,54.94,
2017-08-28,54.58,1675455.0,54.58,54.0251,54.94,54.91,
2017-08-29,54.93,1884029.0,54.93,53.8501,55.47,54.27,
2017-08-30,55.68,1504109.0,55.68,54.63,55.96,54.93,
2017-08-31,55.11,1714437.0,55.11,55.05,56.25,56.1,
2017-09-01,55.5,1935082.0,55.5,55.17,55.83,55.61,
2017-09-05,54.79,2489612.0,54.79,54.29,56.19,55.65,
2017-09-06,55.31,1615635.0,55.31,54.83,55.545,54.93,
2017-09-07,54.26,1944068.0,54.26,53.95,55.38,55.25,
2017-09-08,54.55,2552697.0,54.55,53.55,54.9597,53.95,
2017-09-11,53.97,2706860.0,53.97,53.76,55.06,55.0,
