YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,11.69,2011737.0,11.69,11.51,11.84,11.55,12212.0
2017-01-04,11.87,1255993.0,11.87,11.7,11.9,11.7,9501.0
2017-01-05,11.89,2412032.0,11.89,11.78,11.975,11.87,14735.0
2017-01-06,11.93,1697230.0,11.93,11.76,12.0,11.88,11473.0
2017-01-09,12.0,2372424.0,12.0,11.86,12.05,11.9,12337.0
2017-01-10,12.0,2780866.0,12.0,11.9,12.07,12.05,16152.0
2017-01-11,12.04,2550376.0,12.04,11.94,12.17,12.0,14328.0
2017-01-12,12.02,2820425.0,12.02,11.86,12.18,12.01,18023.0
2017-01-13,12.05,1561334.0,12.05,11.93,12.1,12.01,9432.0
2017-01-17,12.23,2610063.0,12.23,11.885,12.2575,11.97,14099.0
2017-01-18,12.14,2310755.0,12.14,12.0,12.215,12.2,13103.0
2017-01-19,12.04,2306421.0,12.04,11.97,12.14,12.14,12704.0
2017-01-20,11.97,1497493.0,11.97,11.93,12.12,12.05,9163.0
2017-01-23,11.96,1140150.0,11.96,11.88,12.01,11.97,8302.0
2017-01-24,12.11,1961292.0,12.11,11.91,12.165,11.96,11264.0
2017-01-25,12.31,1861073.0,12.31,12.12,12.36,12.13,12224.0
2017-01-26,12.22,1395885.0,12.22,12.02,12.365,12.32,10192.0
2017-01-27,12.36,1841782.0,12.36,12.11,12.37,12.19,10761.0
2017-01-30,12.33,1406707.0,12.33,12.11,12.34,12.33,9579.0
2017-01-31,12.29,1436900.0,12.29,12.08,12.32,12.28,8802.0
2017-02-01,12.36,2004093.0,12.36,12.16,12.41,12.29,12435.0
2017-02-02,12.22,2174706.0,12.22,12.18,12.38,12.38,12113.0
2017-02-03,12.27,2440344.0,12.27,12.17,12.3,12.26,13487.0
2017-02-06,12.22,1275644.0,12.22,12.2,12.35,12.26,8634.0
2017-02-07,12.2,1639616.0,12.2,12.07,12.24,12.24,9965.0
2017-02-08,12.16,2059362.0,12.16,12.0,12.29,12.2,11588.0
2017-02-09,12.39,2419291.0,12.39,12.18,12.405,12.21,15046.0
2017-02-10,13.29,4798441.0,13.29,12.19,13.415,12.5,30200.0
2017-02-13,13.08,2640827.0,13.08,13.06,13.48,13.37,17345.0
2017-02-14,13.08,3224446.0,13.08,12.95,13.165,13.11,15566.0
2017-02-15,13.1,2670573.0,13.1,12.983,13.22,13.04,16076.0
2017-02-16,13.05,2531705.0,13.05,12.98,13.28,13.09,14944.0
2017-02-17,13.08,3753415.0,13.08,12.87,13.14,13.02,14768.0
2017-02-21,13.33,2836401.0,13.33,13.05,13.465,13.08,15316.0
2017-02-22,13.29,2593019.0,13.29,13.105,13.36,13.32,13534.0
2017-02-23,13.24,3460609.0,13.24,13.09,13.38,13.27,19493.0
2017-02-24,13.1,2170424.0,13.1,12.95,13.25,13.24,14115.0
2017-02-27,13.06,1738855.0,13.06,13.0,13.17,13.13,11787.0
2017-02-28,12.82,2559719.0,12.82,12.795,13.06,13.06,13208.0
2017-03-01,13.09,1995100.0,13.09,12.85,13.105,12.92,13106.0
2017-03-02,12.84,1427687.0,12.84,12.81,13.11,13.11,9403.0
2017-03-03,12.9,2451162.0,12.9,12.74,12.93,12.79,12140.0
2017-03-06,12.95,2218092.0,12.95,12.78,12.97,12.78,12666.0
2017-03-07,12.66,2553826.0,12.66,12.62,13.335,13.07,14670.0
2017-03-08,12.49,2167397.0,12.49,12.47,12.71,12.68,13221.0
2017-03-09,12.41,1351568.0,12.41,12.33,12.56,12.49,8437.0
2017-03-10,12.38,1689682.0,12.38,12.22,12.51,12.46,12197.0
2017-03-13,12.28,1704580.0,12.28,12.25,12.37,12.25,8540.0
2017-03-14,12.4,1698385.0,12.4,12.2,12.4,12.25,10018.0
2017-03-15,12.6,1857429.0,12.6,12.35,13.07,12.41,9914.0
2017-03-16,12.64,1541000.0,12.64,12.53,12.65,12.59,8419.0
2017-03-17,12.65,2534384.0,12.65,12.57,12.71,12.6,8408.0
2017-03-20,12.63,1121034.0,12.63,12.53,12.67,12.67,7311.0
2017-03-21,12.52,3366595.0,12.52,12.495,12.76,12.7,17473.0
2017-03-22,12.52,1430117.0,12.52,12.43,12.59,12.53,9244.0
2017-03-23,12.55,1421749.0,12.55,12.49,12.62,12.52,9597.0
2017-03-24,12.55,1180227.0,12.55,12.5,12.655,12.58,7918.0
2017-03-27,12.58,1404856.0,12.58,12.5,12.61,12.5,9148.0
2017-03-28,12.84,1211628.0,12.84,12.545,12.87,12.59,8377.0
2017-03-29,13.0,1136512.0,13.0,12.75,13.03,12.81,9284.0
2017-03-30,13.24,2539404.0,13.24,12.95,13.31,12.99,17161.0
2017-03-31,13.0,5023979.0,13.0,12.89,13.1,13.09,15770.0
2017-04-03,12.79,2463935.0,12.79,12.77,13.19,12.96,13791.0
2017-04-04,12.77,1445388.0,12.77,12.74,12.89,12.84,9587.0
2017-04-05,12.63,2086108.0,12.63,12.55,12.91,12.82,12120.0
2017-04-06,12.57,1724911.0,12.57,12.5,12.67,12.59,11115.0
2017-04-07,12.51,3552578.0,12.51,12.5,12.57,12.55,13049.0
2017-04-10,12.53,1913070.0,12.53,12.495,12.63,12.51,9814.0
2017-04-11,12.5,1623720.0,12.5,12.435,12.56,12.5,9427.0
2017-04-12,12.49,1697162.0,12.49,12.41,12.565,12.49,10906.0
2017-04-13,12.33,1857405.0,12.33,12.32,12.52,12.49,9415.0
2017-04-17,12.41,1617722.0,12.41,12.3,12.44,12.39,9272.0
2017-04-18,12.33,1668159.0,12.33,12.185,12.45,12.36,10276.0
2017-04-19,12.43,1696467.0,12.43,12.34,12.48,12.38,10529.0
2017-04-20,12.94,2718624.0,12.94,12.43,13.01,12.45,15486.0
2017-04-21,12.89,2142311.0,12.89,12.715,12.99,12.91,14192.0
2017-04-24,13.04,1498701.0,13.04,12.97,13.0892,13.05,10060.0
2017-04-25,13.07,1236254.0,13.07,13.0,13.13,13.08,8090.0
2017-04-26,12.94,2187805.0,12.94,12.94,13.14,13.07,9811.0
