YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,97.66,2392843.0,97.66,97.55,98.25,98.25,18237.0
2017-01-04,98.3,3949710.0,98.3,97.65,98.36,97.67,24041.0
2017-01-05,98.4,2181845.0,98.4,98.18,98.79,98.48,17943.0
2017-01-06,98.21,2849128.0,98.21,97.99,98.7225,98.7,19766.0
2017-01-09,98.11,2189584.0,98.11,97.97,98.47,98.25,17004.0
2017-01-10,98.63,2767909.0,98.63,98.26,98.79,98.54,20516.0
2017-01-11,98.48,1727308.0,98.48,98.28,98.61,98.49,14178.0
2017-01-12,98.3,1574853.0,98.3,98.26,98.58,98.49,15218.0
2017-01-13,98.38,2074849.0,98.38,97.97,98.62,98.21,15523.0
2017-01-17,97.62,5503282.0,97.62,97.61,98.62,98.5,31793.0
2017-01-18,98.01,1936800.0,98.01,97.86,98.34,98.09,14101.0
2017-01-19,98.06,2464636.0,98.06,97.81,98.26,98.14,19618.0
2017-01-20,97.8,2751024.0,97.8,97.68,98.305,98.2,21328.0
2017-01-23,96.0,9077842.0,96.0,96.0,97.7,97.5,58679.0
2017-01-24,96.7,4201211.0,96.7,96.06,97.32,96.23,27863.0
2017-01-25,97.5,3860287.0,97.5,96.83,97.81,96.83,23592.0
2017-01-26,97.26,3113378.0,97.26,97.11,97.62,97.43,23734.0
2017-01-27,97.88,2484538.0,97.88,97.3,97.99,97.4,17173.0
2017-01-30,98.02,2971901.0,98.02,97.25,98.2,98.05,21639.0
2017-01-31,97.85,2699390.0,97.85,97.455,98.17,97.75,18065.0
2017-02-01,97.75,4620993.0,97.75,97.75,98.58,98.39,27573.0
2017-02-02,99.01,3450411.0,99.01,98.1,99.34,98.1,24811.0
2017-02-03,99.46,1840348.0,99.46,98.9,99.5,99.0,14187.0
2017-02-06,100.05,12649562.0,100.05,99.76,101.25,99.85,34749.0
2017-02-07,101.27,2716584.0,101.27,100.44,101.28,100.65,17401.0
2017-02-08,102.08,3419412.0,102.08,101.04,102.155,101.47,17423.0
2017-02-09,101.6,1995669.0,101.6,101.551,102.17,102.0,12633.0
2017-02-10,101.99,2131363.0,101.99,101.75,102.31,101.76,15699.0
2017-02-13,102.26,1462872.0,102.26,101.85,102.49,102.1,11069.0
2017-02-14,102.28,2149155.0,102.28,101.91,102.49,102.0,12014.0
2017-02-15,102.58,1725068.0,102.58,102.25,102.74,102.25,12512.0
2017-02-16,102.49,1069978.0,102.49,102.41,102.74,102.65,7967.0
2017-02-17,102.4,1335362.0,102.4,102.18,102.78,102.31,8781.0
2017-02-21,102.6,1530121.0,102.6,102.21,102.75,102.21,10034.0
2017-02-22,102.65,1576878.0,102.65,102.4,102.89,102.6,8836.0
2017-02-23,102.59,1368286.0,102.59,102.46,102.89,102.65,10047.0
2017-02-24,102.83,2153608.0,102.83,102.19,102.86,102.2,10106.0
2017-02-27,102.81,881055.0,102.81,102.57,102.89,102.58,7560.0
2017-02-28,102.81,1650151.0,102.81,102.3,103.18,102.65,10136.0
2017-03-01,103.2,1797903.0,103.2,102.96,103.44,103.2,11982.0
2017-03-02,103.61,4282410.0,103.61,103.05,103.79,103.12,13875.0
2017-03-03,103.86,1484471.0,103.86,103.44,103.94,103.72,9135.0
2017-03-06,103.89,1535542.0,103.89,103.3,104.1,103.55,8879.0
2017-03-07,103.77,2881801.0,103.77,103.56,104.11,103.86,12606.0
2017-03-08,103.87,5757303.0,103.87,103.65,104.03,103.68,9619.0
2017-03-09,103.92,3101443.0,103.92,103.75,104.02,103.76,19925.0
2017-03-10,104.22,3009999.0,104.22,103.9,104.23,104.1,21224.0
2017-03-13,103.99,3592655.0,103.99,103.8,104.45,104.1,28914.0
2017-03-14,103.8,1669486.0,103.8,103.71,103.98,103.9,12249.0
2017-03-15,103.75,2702330.0,103.75,103.72,103.97,103.8,15077.0
2017-03-16,103.4,3891490.0,103.4,103.28,103.97,103.88,19764.0
