YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,58.75,1812478.0,58.75,57.45,58.85,58.14,
2017-01-04,58.6,1721292.0,58.6,58.45,59.15,59.05,
2017-01-05,58.83,1343360.0,58.83,58.28,59.12,58.84,
2017-01-06,57.9,2212712.0,57.9,57.69,59.1,59.04,
2017-01-09,57.48,2111073.0,57.48,57.16,58.14,57.63,
2017-01-10,56.07,2595062.0,56.07,56.03,57.15,57.15,
2017-01-11,57.26,1540881.0,57.26,56.23,57.3,56.37,
2017-01-12,56.57,1930145.0,56.57,56.13,57.257,56.57,
2017-01-13,56.31,1023978.0,56.31,56.22,56.91,56.38,
2017-01-17,56.31,1699383.0,56.31,56.22,56.935,56.78,
2017-01-18,56.56,1488814.0,56.56,55.5,56.93,55.94,
2017-01-19,55.96,1000494.0,55.96,55.7784,56.75,56.54,
2017-01-20,56.59,1398465.0,56.59,56.26,56.81,56.67,
2017-01-23,55.89,1245500.0,55.89,55.83,56.7599,56.31,
2017-01-24,56.28,1337223.0,56.28,55.38,56.4419,56.14,
2017-01-25,55.55,2728443.0,55.55,53.84,55.86,54.48,
2017-01-26,54.93,2065082.0,54.93,54.66,55.87,54.98,
2017-01-27,54.91,1445602.0,54.91,54.25,55.04,54.66,
2017-01-30,53.77,1336892.0,53.77,53.51,54.74,54.62,
2017-01-31,55.11,1999308.0,55.11,53.65,55.25,54.18,
2017-02-01,54.0,20726038.0,54.0,52.86,59.3,58.27,
2017-02-02,55.56,5375354.0,55.56,53.73,56.01,54.19,
2017-02-03,56.45,3973944.0,56.45,55.69,56.8,55.88,
2017-02-06,55.31,3365539.0,55.31,55.09,56.67,56.62,
2017-02-07,54.37,2804592.0,54.37,53.97,55.61,55.17,
2017-02-08,54.4,2393929.0,54.4,53.25,54.68,53.86,
2017-02-09,55.12,2528397.0,55.12,54.7,55.66,54.85,
2017-02-10,55.31,2728017.0,55.31,54.73,55.73,55.73,
2017-02-13,55.02,1971412.0,55.02,54.54,55.25,55.03,
2017-02-14,54.95,2476126.0,54.95,54.17,55.41,55.13,
2017-02-15,54.49,1822893.0,54.49,54.36,55.0237,54.67,
2017-02-16,54.03,1918102.0,54.03,53.94,55.09,54.75,
2017-02-17,53.64,1889363.0,53.64,53.32,53.97,53.83,
2017-02-21,54.22,2163103.0,54.22,53.59,54.42,54.07,
2017-02-22,53.52,2063195.0,53.52,53.46,54.092,53.76,
2017-02-23,54.64,2931495.0,54.64,53.77,54.94,54.41,
2017-02-24,53.16,2479848.0,53.16,52.8046,54.54,54.43,
2017-02-27,53.35,3491516.0,53.35,52.705,53.6,53.27,
2017-02-28,54.05,6183806.0,54.05,53.25,55.5199,53.62,
2017-03-01,55.39,2965424.0,55.39,54.35,55.82,54.43,
2017-03-02,55.25,3650674.0,55.25,54.7,55.5116,55.08,
2017-03-03,56.42,3050927.0,56.42,55.06,56.66,55.25,
2017-03-06,56.61,3469252.0,56.61,55.83,56.755,56.18,
2017-03-07,56.58,3327722.0,56.58,56.23,56.95,56.83,
2017-03-08,54.77,2394643.0,54.77,54.71,56.76,56.6,
2017-03-09,54.51,3147099.0,54.51,53.39,54.635,54.62,
2017-03-10,54.33,2285799.0,54.33,54.09,55.06,55.0,
2017-03-13,53.98,3041000.0,53.98,53.75,54.47,54.25,
2017-03-14,52.2,3880064.0,52.2,51.99,53.5,53.5,
2017-03-15,53.64,4193790.0,53.64,52.51,53.865,52.75,
2017-03-16,53.24,2475683.0,53.24,52.71,54.07,53.87,
2017-03-17,52.82,8199046.0,52.82,52.48,53.64,53.47,
2017-03-20,53.24,2467083.0,53.24,52.21,53.35,52.46,
2017-03-21,52.28,2089367.0,52.28,52.03,53.63,53.47,
2017-03-22,52.7,2180971.0,52.7,51.96,52.87,52.23,
2017-03-23,52.25,2051793.0,52.25,52.12,52.78,52.55,
2017-03-24,53.1,2821616.0,53.1,52.37,53.52,52.39,
2017-03-27,53.09,2186545.0,53.09,52.22,53.25,52.53,
2017-03-28,53.06,1681461.0,53.06,52.88,53.61,53.31,
2017-03-29,54.73,2670602.0,54.73,52.99,54.94,53.04,
2017-03-30,54.92,3402159.0,54.92,54.24,55.07,54.97,
2017-03-31,55.44,3421178.0,55.44,54.52,56.0,54.52,
2017-04-03,55.31,2735041.0,55.31,54.41,55.75,55.55,
2017-04-04,55.94,1762716.0,55.94,54.86,55.96,55.34,
2017-04-05,55.93,3344503.0,55.93,55.89,57.16,56.31,
2017-04-06,56.33,2821281.0,56.33,55.86,56.48,56.2,
2017-04-07,56.19,2158787.0,56.19,55.99,56.91,56.28,
2017-04-10,55.93,2037523.0,55.93,55.85,56.5,56.5,
