YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,12.69,10438467.0,12.69,12.37,12.93,12.75,51879.0
2017-01-04,13.0,9216797.0,13.0,12.93,13.33,13.07,49576.0
2017-01-05,12.85,7193409.0,12.85,12.77,13.13,13.03,37166.0
2017-01-06,13.01,5747162.0,13.01,12.8192,13.07,12.84,29851.0
2017-01-09,13.34,7460804.0,13.34,13.01,13.45,13.02,39125.0
2017-01-10,13.45,4244703.0,13.45,13.27,13.48,13.29,28270.0
2017-01-11,13.51,6130419.0,13.51,13.33,13.62,13.43,36048.0
2017-01-12,13.43,5056954.0,13.43,13.1,13.62,13.52,31079.0
2017-01-13,13.47,6286991.0,13.47,13.405,13.62,13.47,32170.0
2017-01-17,13.18,4952348.0,13.18,13.11,13.48,13.42,28446.0
2017-01-18,13.26,6045833.0,13.26,13.18,13.42,13.28,34901.0
2017-01-19,13.11,8526676.0,13.11,13.015,13.4,13.19,46814.0
2017-01-20,13.4,6418863.0,13.4,13.15,13.49,13.16,30744.0
2017-01-23,13.5,5861854.0,13.5,13.28,13.53,13.34,29997.0
2017-01-24,13.62,4785842.0,13.62,13.5,13.685,13.57,24921.0
2017-01-25,13.9,5674444.0,13.9,13.75,14.0,13.76,32860.0
2017-01-26,13.86,4378503.0,13.86,13.72,14.0,14.0,23552.0
2017-01-27,13.88,2322016.0,13.88,13.76,13.94,13.92,15971.0
2017-01-30,13.75,4812892.0,13.75,13.43,13.81,13.77,27856.0
2017-01-31,13.32,8658476.0,13.32,13.0634,13.69,13.69,42936.0
2017-02-01,13.7,6335613.0,13.7,13.42,13.74,13.59,35895.0
2017-02-02,13.69,2770747.0,13.69,13.33,13.72,13.56,18699.0
2017-02-03,13.94,4404351.0,13.94,13.73,13.95,13.76,18232.0
2017-02-06,13.87,2600151.0,13.87,13.73,13.965,13.94,14592.0
2017-02-07,13.96,3611222.0,13.96,13.81,13.97,13.93,17988.0
2017-02-08,14.01,5614026.0,14.01,13.88,14.29,13.98,29902.0
2017-02-09,13.96,3073887.0,13.96,13.93,14.14,14.01,19316.0
2017-02-10,14.14,7156947.0,14.14,13.77,14.22,14.0,33757.0
2017-02-13,14.94,21425597.0,14.94,14.58,15.86,15.14,92563.0
