YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,38.55,11051341.0,38.55,38.3,38.69,38.45,
2017-01-04,38.74,9545541.0,38.74,38.55,38.92,38.55,
2017-01-05,38.64,12064718.0,38.64,38.405,38.95,38.67,
2017-01-06,38.45,14829725.0,38.45,38.38,38.75,38.75,
2017-01-09,39.03,15587888.0,39.03,38.47,39.45,38.53,
2017-01-10,38.66,11316576.0,38.66,38.66,39.07,39.0,
2017-01-11,39.11,10403082.0,39.11,38.64,39.13,38.64,
2017-01-12,39.2,11527296.0,39.2,38.59,39.32,39.03,
2017-01-13,39.26,9455308.0,39.26,39.03,39.33,39.16,
2017-01-17,39.1,11081367.0,39.1,38.885,39.28,39.07,
2017-01-18,39.19,10394029.0,39.19,39.03,39.34,39.28,
2017-01-19,39.21,12232380.0,39.21,39.1,39.38,39.12,
2017-01-20,39.87,25439091.0,39.87,39.45,40.035,39.46,
2017-01-23,39.68,13251221.0,39.68,39.43,40.09,39.76,
2017-01-24,40.1,12216458.0,40.1,39.75,40.2,39.85,
2017-01-25,40.15,13164793.0,40.15,39.95,40.375,40.32,
2017-01-26,40.13,10556466.0,40.13,39.95,40.25,40.21,
2017-01-27,40.23,9232665.0,40.23,40.13,40.39,40.2,
2017-01-30,40.23,10589562.0,40.23,39.81,40.25,40.11,
2017-01-31,40.11,10766745.0,40.11,39.675,40.25,40.21,
2017-02-01,39.84,11836961.0,39.84,39.71,40.22,40.22,
2017-02-02,39.98,10120343.0,39.98,39.68,40.0,39.77,
2017-02-03,40.43,12941164.0,40.43,39.95,40.43,40.07,
2017-02-06,40.1,7871322.0,40.1,40.08,40.44,40.44,
2017-02-07,40.07,8848671.0,40.07,40.04,40.3,40.16,
2017-02-08,40.02,8883343.0,40.02,40.01,40.35,40.06,
2017-02-09,40.23,10977185.0,40.23,40.05,40.45,40.09,
2017-02-10,40.79,13168666.0,40.79,40.21,40.92,40.33,
2017-02-13,41.09,12779834.0,41.09,40.8,41.19,40.89,
2017-02-14,41.1,9622961.0,41.1,40.75,41.17,40.92,
2017-02-15,41.41,9243647.0,41.41,40.89,41.48,40.96,
2017-02-16,41.59,10132672.0,41.59,41.365,41.735,41.46,
2017-02-17,42.06,18545336.0,42.06,41.5,42.06,41.54,
2017-02-21,42.27,12394709.0,42.27,41.93,42.38,41.99,
2017-02-22,42.51,11602769.0,42.51,42.13,42.52,42.26,
2017-02-23,42.96,15483953.0,42.96,42.5,42.99,42.56,
2017-02-24,43.17,11426697.0,43.17,42.68,43.19,42.74,
2017-02-27,42.7,13876507.0,42.7,42.52,43.26,43.26,
2017-02-28,42.59,14450263.0,42.59,42.42,42.745,42.62,
