YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,126.94,1137099.0,126.94,125.82,127.93,125.85,
2017-01-04,128.0,1603167.0,128.0,126.21,128.13,127.2,
2017-01-05,131.97,3285095.0,131.97,127.95,135.0,128.04,
2017-01-06,135.05,2894058.0,135.05,131.2,136.23,132.27,
2017-01-09,133.72,1502099.0,133.72,133.11,135.74,135.68,
2017-01-10,134.68,1137030.0,134.68,133.11,135.5,134.81,
2017-01-11,137.5,2242445.0,137.5,135.08,138.0,135.84,
2017-01-12,136.36,1470262.0,136.36,133.46,137.3,137.3,
2017-01-13,138.48,1512955.0,138.48,136.78,139.43,136.78,
2017-01-17,138.45,1593951.0,138.45,136.5,139.5,138.08,
2017-01-18,138.76,1612922.0,138.76,135.59,138.9,137.51,
2017-01-19,141.92,2366478.0,141.92,140.5,143.63,141.7,
2017-01-20,142.11,1091072.0,142.11,141.48,142.98,141.82,
2017-01-23,140.84,1354264.0,140.84,139.96,142.44,142.12,
2017-01-24,143.98,1552536.0,143.98,140.11,144.59,141.57,
2017-01-25,146.12,1630443.0,146.12,145.11,148.14,145.19,
2017-01-26,145.55,1009997.0,145.55,144.51,148.0,147.0,
2017-01-27,145.18,863900.0,145.18,143.185,145.63,145.0,
2017-01-30,144.88,985241.0,144.88,142.27,145.14,144.97,
2017-01-31,147.56,1992620.0,147.56,144.1176,148.38,144.62,
2017-02-01,146.09,1148021.0,146.09,144.61,148.25,148.0,
2017-02-02,145.57,1103199.0,145.57,144.8961,146.8499,145.21,
2017-02-03,151.02,2041774.0,151.02,147.79,151.6,149.51,
2017-02-06,149.64,857692.0,149.64,148.74,150.08,149.72,
2017-02-07,150.15,1066583.0,150.15,149.92,151.6731,150.0,
2017-02-08,151.89,1241215.0,151.89,150.0,151.89,151.3,
2017-02-09,155.49,1739447.0,155.49,152.53,155.77,152.9,
2017-02-10,155.29,966121.0,155.29,154.95,156.49,155.55,
2017-02-13,156.23,862220.0,156.23,155.01,156.98,155.41,
2017-02-14,156.91,875511.0,156.91,153.36,157.1,155.19,
2017-02-15,155.35,1731001.0,155.35,155.07,157.65,156.91,
2017-02-16,152.93,1766422.0,152.93,151.4,155.745,155.39,
2017-02-17,154.76,1505620.0,154.76,150.015,154.83,152.59,
2017-02-21,155.8,1423204.0,155.8,154.25,157.51,154.8,
2017-02-22,155.37,710430.0,155.37,154.615,156.59,155.89,
2017-02-23,152.74,1971400.0,152.74,150.29,155.37,155.23,
2017-02-24,153.01,1477316.0,153.01,148.13,153.01,151.5,
2017-02-27,153.95,1411379.0,153.95,152.3,155.1,153.0,
2017-02-28,151.9,4794913.0,151.9,151.04,154.25,153.37,
2017-03-01,115.21,21786421.0,115.21,115.01,120.99,119.96,
2017-03-02,116.49,6758679.0,116.49,115.0,117.78,116.22,
2017-03-03,115.55,3257788.0,115.55,115.2,117.93,117.11,
2017-03-06,114.65,2752763.0,114.65,113.7,116.65,115.93,
2017-03-07,114.25,2016613.0,114.25,114.17,116.63,114.77,
2017-03-08,114.55,2368568.0,114.55,114.2,116.0,114.79,
2017-03-09,115.05,1567709.0,115.05,114.07,115.83,114.97,
2017-03-10,118.88,4708049.0,118.88,114.91,119.4,115.16,
2017-03-13,117.68,2118507.0,117.68,116.8,119.75,119.1,
2017-03-14,116.64,1124959.0,116.64,116.0,117.95,117.15,
2017-03-15,116.95,1274809.0,116.95,115.56,117.49,116.82,
2017-03-16,116.98,1371234.0,116.98,116.04,117.78,117.4,
2017-03-17,115.81,1614016.0,115.81,115.78,117.6,117.48,
2017-03-20,114.87,2892356.0,114.87,113.9,116.08,115.5,
2017-03-21,111.1,2852295.0,111.1,110.77,115.9,114.87,
2017-03-22,111.72,1705027.0,111.72,110.29,112.62,111.2,
2017-03-23,111.89,1312329.0,111.89,111.72,113.0,111.97,
2017-03-24,111.77,1192899.0,111.77,111.2,113.08,112.35,
2017-03-27,111.8,1306069.0,111.8,110.044,112.35,110.49,
2017-03-28,112.87,1395446.0,112.87,111.71,113.42,111.91,
2017-03-29,113.43,1382909.0,113.43,112.9,114.71,113.15,
2017-03-30,113.5,1421041.0,113.5,113.37,115.21,114.31,
2017-03-31,112.68,2609767.0,112.68,112.42,114.15,113.17,
2017-04-03,111.02,2613159.0,111.02,110.22,113.73,112.83,
2017-04-04,109.82,1216303.0,109.82,109.66,111.79,110.84,
2017-04-05,108.01,2339629.0,108.01,107.31,110.45,110.0,
2017-04-06,110.88,1772225.0,110.88,108.5,111.06,108.5,
2017-04-07,112.2,2505721.0,112.2,111.09,113.22,111.58,
2017-04-10,112.41,1809253.0,112.41,111.44,112.74,112.06,
2017-04-11,113.47,1659218.0,113.47,111.0,113.62,111.61,
2017-04-12,113.38,1494158.0,113.38,112.51,114.2,113.0,
2017-04-13,112.21,1729609.0,112.21,112.2,114.1,113.7,
2017-04-17,109.87,2990937.0,109.87,108.75,111.825,110.5,
2017-04-18,109.09,1256291.0,109.09,108.521,110.19,109.67,
2017-04-19,109.16,1625260.0,109.16,108.52,110.27,109.09,
2017-04-20,108.84,1243223.0,108.84,108.407,110.03,109.25,
2017-04-21,108.55,1481866.0,108.55,107.88,109.59,109.43,
2017-04-24,109.82,1658812.0,109.82,108.56,110.12,109.36,
2017-04-25,110.4,1319943.0,110.4,110.09,111.16,110.19,
2017-04-26,109.27,1048739.0,109.27,109.04,110.98,110.4,
2017-04-27,109.95,1098129.0,109.95,109.68,110.99,110.12,
2017-04-28,108.41,2423234.0,108.41,107.37,109.82,109.82,
2017-05-01,108.42,961806.0,108.42,108.15,109.24,108.75,
2017-05-02,109.91,1974854.0,109.91,108.4,110.06,108.42,
2017-05-03,113.14,1910052.0,113.14,111.21,113.93,111.74,
2017-05-04,115.64,2371791.0,115.64,113.33,117.67,113.33,
2017-05-05,116.31,1559252.0,116.31,114.88,117.2,115.48,
2017-05-08,116.83,1041249.0,116.83,115.63,117.22,116.21,
2017-05-09,118.3,1483933.0,118.3,116.21,118.615,116.5,
2017-05-10,115.83,2566399.0,115.83,114.761,116.76,116.61,
2017-05-11,115.15,1153230.0,115.15,114.19,115.7,115.7,
2017-05-12,116.46,977117.0,116.46,114.16,116.5,114.93,
2017-05-15,119.61,3253449.0,119.61,119.2,122.08,121.31,
2017-05-16,118.67,1327818.0,118.67,118.2,120.65,120.0,
2017-05-17,114.47,1504406.0,114.47,114.34,118.43,117.32,
2017-05-18,113.71,1568530.0,113.71,112.3,114.53,113.59,
2017-05-19,116.5,2146366.0,116.5,114.66,118.04,118.0,
2017-05-22,117.11,1388351.0,117.11,115.9,117.77,117.41,
2017-05-23,118.12,1348579.0,118.12,116.51,118.97,117.4,
2017-05-24,117.97,2023989.0,117.97,116.74,118.51,118.51,
2017-05-25,117.64,1237655.0,117.64,117.35,119.37,118.44,
2017-05-26,118.08,1029494.0,118.08,116.25,118.59,117.25,
2017-05-30,117.0,2906612.0,117.0,115.01,119.57,118.23,
2017-05-31,118.59,4953529.0,118.59,115.755,119.5,117.6,
2017-06-01,138.99,15127449.0,138.99,133.0,139.97,133.13,
2017-06-02,138.11,4389001.0,138.11,136.33,139.7,137.27,
2017-06-05,140.52,3463620.0,140.52,136.9101,140.99,137.49,
2017-06-06,139.14,1610907.0,139.14,138.58,141.29,139.47,
2017-06-07,140.03,1695612.0,140.03,138.66,141.3,138.99,
2017-06-08,139.22,1756814.0,139.22,137.43,140.0,140.0,
2017-06-09,134.04,2432546.0,134.04,133.3,139.8,138.87,
2017-06-12,133.0,2336287.0,133.0,128.48,133.56,132.3,
2017-06-13,134.75,1211723.0,134.75,132.69,135.67,134.0,
2017-06-14,133.88,1105222.0,133.88,132.31,135.44,134.9,
2017-06-15,132.04,2330041.0,132.04,128.84,132.68,131.43,
