YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,61.06,1922270.0,61.06,60.61,61.75,61.15,17703.0
2017-01-04,61.29,1610098.0,61.29,61.04,61.59,61.31,15112.0
2017-01-05,60.85,1646510.0,60.85,60.6165,61.48,61.12,15263.0
2017-01-06,61.27,1271373.0,61.27,60.55,61.55,60.85,12655.0
2017-01-09,61.02,1429824.0,61.02,60.9,61.4,61.23,11509.0
2017-01-10,60.81,1392941.0,60.81,60.69,61.29,61.08,12764.0
2017-01-11,61.15,1424554.0,61.15,60.8,61.38,61.11,13473.0
2017-01-12,61.34,1070209.0,61.34,60.71,61.41,60.97,10520.0
2017-01-13,61.47,938987.0,61.47,61.26,61.69,61.32,8499.0
2017-01-17,60.85,1357477.0,60.85,60.64,61.47,61.33,13555.0
2017-01-18,61.04,1145814.0,61.04,60.72,61.14,61.0,11642.0
2017-01-19,60.9,1173448.0,60.9,60.79,61.11,61.04,10572.0
2017-01-20,61.47,1517933.0,61.47,60.95,61.7,61.1,13521.0
2017-01-23,61.11,1716851.0,61.11,60.98,61.49,61.36,11192.0
2017-01-24,61.87,1472049.0,61.87,61.18,61.96,61.18,14220.0
2017-01-25,61.62,1529386.0,61.62,61.395,62.17,62.01,13243.0
2017-01-26,61.45,1053615.0,61.45,61.25,61.61,61.54,10638.0
2017-01-27,61.17,1009834.0,61.17,60.98,61.56,61.55,9619.0
2017-01-30,60.81,1272953.0,60.81,60.42,60.99,60.73,11427.0
2017-01-31,60.29,1684077.0,60.29,60.0907,60.76,60.45,14244.0
2017-02-01,58.52,4522152.0,58.52,58.43,59.5,59.5,35283.0
2017-02-02,58.55,2649473.0,58.55,58.12,58.81,58.41,21585.0
2017-02-03,57.97,4003329.0,57.97,57.71,59.17,58.9,30787.0
2017-02-06,57.62,4610570.0,57.62,57.35,58.395,58.02,32416.0
2017-02-07,57.57,2810298.0,57.57,57.0701,57.99,57.65,23034.0
2017-02-08,57.65,1671210.0,57.65,57.17,57.83,57.48,16068.0
2017-02-09,58.49,2017717.0,58.49,57.66,58.67,57.69,17342.0
2017-02-10,58.46,1303093.0,58.46,58.42,58.99,58.62,12221.0
2017-02-13,59.04,1471217.0,59.04,58.705,59.2269,58.75,13712.0
2017-02-14,59.27,1113730.0,59.27,58.8297,59.33,58.88,10740.0
2017-02-15,59.38,1526344.0,59.38,58.85,59.525,59.33,13601.0
2017-02-16,59.49,1276209.0,59.49,59.09,59.59,59.47,12411.0
2017-02-17,59.13,1708140.0,59.13,58.74,59.46,59.46,12912.0
2017-02-21,59.1,2218893.0,59.1,58.75,59.35,59.23,14381.0
2017-02-22,59.6,1507651.0,59.6,58.95,59.63,58.95,11990.0
2017-02-23,60.41,1894701.0,60.41,59.56,60.54,59.85,15417.0
2017-02-24,61.81,3372648.0,61.81,60.2,61.935,60.44,26412.0
2017-02-27,61.53,2122795.0,61.53,61.24,62.13,61.58,15845.0
2017-02-28,61.42,1618247.0,61.42,61.21,61.81,61.58,11155.0
2017-03-01,62.81,2816968.0,62.81,61.65,63.01,61.71,21296.0
2017-03-02,62.36,1382992.0,62.36,62.21,62.5948,62.56,11968.0
2017-03-03,62.5,1778954.0,62.5,61.845,62.545,62.18,15323.0
2017-03-06,62.41,1244794.0,62.41,62.07,62.59,62.24,11167.0
2017-03-07,62.16,1097391.0,62.16,62.065,62.58,62.14,10439.0
2017-03-08,62.32,1178930.0,62.32,62.01,62.6,62.15,10953.0
