YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,65.32,2115795.0,65.32,64.61,65.93,64.62,20236.0
2017-01-04,66.22,2448430.0,66.22,65.65,66.39,65.7,19614.0
2017-01-05,65.14,1658250.0,65.14,64.97,66.23,65.9,16050.0
2017-01-06,65.88,1741057.0,65.88,64.95,66.35,65.55,14936.0
2017-01-09,65.07,1483803.0,65.07,64.76,65.99,65.75,13183.0
2017-01-10,66.25,2035508.0,66.25,65.11,66.31,65.27,16160.0
2017-01-11,66.8,1602024.0,66.8,66.02,66.82,66.25,15067.0
2017-01-12,66.33,1480635.0,66.33,65.69,66.8,66.8,14142.0
2017-01-13,67.52,1512772.0,67.52,66.775,67.65,67.07,13133.0
2017-01-17,66.92,1238555.0,66.92,66.61,67.46,67.0,12632.0
2017-01-18,66.31,2454089.0,66.31,66.18,66.91,66.9,20822.0
2017-01-19,65.74,2068205.0,65.74,65.48,66.7,66.54,20380.0
2017-01-20,66.0,1880617.0,66.0,65.42,66.31,66.0,15712.0
2017-01-23,65.47,2356529.0,65.47,65.23,66.0,65.99,17204.0
2017-01-24,66.7,1639076.0,66.7,65.65,66.91,65.65,16490.0
2017-01-25,68.4,2295294.0,68.4,66.82,68.69,67.0,19442.0
2017-01-26,68.08,1614351.0,68.08,67.7247,68.44,68.28,16627.0
2017-01-27,67.59,1601188.0,67.59,67.13,68.19,68.17,14828.0
2017-01-30,67.62,3627583.0,67.62,66.4,67.75,67.36,30892.0
2017-01-31,67.31,6319054.0,67.31,64.96,68.64,65.92,38353.0
2017-02-01,68.63,3058770.0,68.63,67.37,69.8,67.64,27590.0
2017-02-02,67.59,1875749.0,67.59,67.38,68.97,68.24,18528.0
2017-02-03,68.49,1981162.0,68.49,67.32,68.87,67.32,17765.0
2017-02-06,68.07,1623691.0,68.07,67.57,68.57,68.05,15885.0
2017-02-07,67.63,1237192.0,67.63,67.53,68.59,68.07,13533.0
2017-02-08,66.84,1911572.0,66.84,66.67,67.58,67.58,17008.0
2017-02-09,68.19,2137244.0,68.19,66.7,68.32,67.0,19873.0
2017-02-10,68.73,1899608.0,68.73,67.88,68.87,68.21,15136.0
2017-02-13,69.87,1835160.0,69.87,68.94,69.89,69.0,17513.0
2017-02-14,70.07,2006624.0,70.07,69.53,70.12,69.74,18126.0
2017-02-15,69.8,1416240.0,69.8,69.27,70.07,69.68,15371.0
2017-02-16,68.72,1492971.0,68.72,68.445,69.92,69.88,15495.0
2017-02-17,68.85,1455370.0,68.85,67.65,68.88,68.5,12402.0
2017-02-21,68.77,1870663.0,68.77,68.38,69.18,68.93,16011.0
2017-02-22,68.04,1420377.0,68.04,67.71,68.54,68.4,14064.0
2017-02-23,67.44,1362297.0,67.44,67.11,68.49,68.34,13943.0
2017-02-24,67.42,1646585.0,67.42,66.66,67.58,67.4,15524.0
2017-02-27,67.61,1747506.0,67.61,67.01,67.69,67.31,15862.0
2017-02-28,66.81,1827622.0,66.81,66.65,67.65,67.53,14521.0
2017-03-01,69.19,2703574.0,69.19,67.49,69.51,67.91,24851.0
2017-03-02,67.38,2739201.0,67.38,67.28,68.98,68.94,24181.0
2017-03-03,68.63,2127145.0,68.63,67.41,68.715,67.58,20531.0
2017-03-06,68.27,1761044.0,68.27,67.51,68.76,68.23,16737.0
2017-03-07,67.57,1688532.0,67.57,67.52,68.63,67.91,16218.0
2017-03-08,67.31,1490635.0,67.31,67.11,67.9731,67.73,15466.0
2017-03-09,66.72,2287329.0,66.72,66.23,67.4696,67.02,17612.0
2017-03-10,67.71,1621530.0,67.71,67.03,67.85,67.37,15626.0
2017-03-13,67.87,1295407.0,67.87,67.71,68.16,67.76,12997.0
2017-03-14,67.35,1160471.0,67.35,66.64,67.67,67.67,12309.0
2017-03-15,68.87,1859469.0,68.87,67.75,69.13,67.81,18425.0
2017-03-16,68.89,1679351.0,68.89,68.69,69.205,68.95,16990.0
2017-03-17,69.52,5316568.0,69.52,68.8,69.61,69.18,20454.0
2017-03-20,69.11,2038010.0,69.11,68.79,69.6,69.44,13774.0
2017-03-21,67.65,2888546.0,67.65,67.35,69.43,69.24,29206.0
2017-03-22,67.53,1412631.0,67.53,67.055,67.9,67.52,14265.0
2017-03-23,67.59,1584289.0,67.59,67.04,67.865,67.55,13417.0
2017-03-24,67.62,1432881.0,67.62,67.29,68.065,67.74,11525.0
2017-03-27,66.49,1662284.0,66.49,65.76,67.25,66.99,15321.0
2017-03-28,67.09,1167219.0,67.09,66.25,67.37,66.37,12878.0
2017-03-29,67.65,1347731.0,67.65,66.8903,67.9377,66.9,11853.0
2017-03-30,67.64,884630.0,67.64,67.2,67.83,67.36,10245.0
2017-03-31,67.2,1336709.0,67.2,67.03,67.79,67.29,12431.0
2017-04-03,66.84,1522179.0,66.84,65.84,67.34,67.31,13440.0
2017-04-04,66.62,1653448.0,66.62,66.28,66.96,66.62,14752.0
2017-04-05,66.75,2326769.0,66.75,66.67,68.12,66.95,20145.0
2017-04-06,67.16,1243846.0,67.16,66.7,67.38,66.92,13319.0
2017-04-07,67.16,1603917.0,67.16,66.83,67.79,67.08,14899.0
2017-04-10,67.65,1441319.0,67.65,66.581,68.03,66.98,13738.0
2017-04-11,67.53,1531612.0,67.53,66.65,67.6703,67.33,15105.0
2017-04-12,65.65,1844177.0,65.65,65.55,67.52,67.46,16319.0
2017-04-13,64.63,1891263.0,64.63,64.59,65.96,65.62,18608.0
2017-04-17,65.34,1678277.0,65.34,64.43,65.39,64.98,13714.0
2017-04-18,64.2,2442489.0,64.2,64.01,64.98,64.26,24614.0
2017-04-19,64.56,1948555.0,64.56,64.3,65.0,64.55,17992.0
2017-04-20,65.88,1401067.0,65.88,64.49,66.08,65.0,14467.0
2017-04-21,65.76,2285595.0,65.76,65.44,66.4,66.09,18076.0
2017-04-24,67.73,2878458.0,67.73,67.1,68.11,67.26,25667.0
2017-04-25,65.76,3950676.0,65.76,65.0,67.21,66.35,34417.0
2017-04-26,65.34,3118685.0,65.34,65.14,66.59,65.71,29083.0
2017-04-27,66.41,2247255.0,66.41,64.99,66.44,65.4,19988.0
2017-04-28,66.73,1895201.0,66.73,65.78,66.945,66.5,16999.0
2017-05-01,66.18,1671293.0,66.18,65.92,66.97,66.97,17473.0
2017-05-02,68.06,2411387.0,68.06,67.07,68.16,67.33,21454.0
2017-05-03,67.36,1378956.0,67.36,67.08,69.17,69.17,14328.0
2017-05-04,66.9,1509080.0,66.9,66.4,67.88,67.46,14534.0
2017-05-05,67.04,1112147.0,67.04,66.6,67.42,67.0,11190.0
2017-05-08,66.32,2136830.0,66.32,65.825,67.08,67.05,17573.0
2017-05-09,66.29,1251544.0,66.29,66.03,66.59,66.25,11414.0
2017-05-10,65.97,1468427.0,65.97,65.69,66.41,66.08,14296.0
2017-05-11,64.37,4377985.0,64.37,63.51,64.89,64.35,33406.0
2017-05-12,63.37,2344448.0,63.37,63.12,64.23,64.14,18866.0
2017-05-15,63.78,1905900.0,63.78,63.36,63.9,63.39,16161.0
2017-05-16,64.44,2541523.0,64.44,63.57,64.46,64.02,17561.0
2017-05-17,63.38,1981370.0,63.38,63.25,63.96,63.67,19330.0
2017-05-18,62.33,2235700.0,62.33,62.094,63.26,63.04,19307.0
2017-05-19,62.83,2348368.0,62.83,62.33,63.275,62.42,15816.0
2017-05-22,62.88,2025674.0,62.88,62.72,63.38,63.06,12565.0
2017-05-23,62.81,1122444.0,62.81,62.28,63.1,63.07,10626.0
2017-05-24,62.69,1462160.0,62.69,62.23,63.01,62.95,12828.0
2017-05-25,62.69,1288379.0,62.69,62.15,63.12,62.77,13152.0
2017-05-26,62.63,988061.0,62.63,62.44,63.0,62.69,9270.0
2017-05-30,62.64,942750.0,62.64,62.39,62.91,62.52,9613.0
2017-05-31,62.96,1730361.0,62.96,62.01,62.98,62.81,11650.0
2017-06-01,63.69,1330456.0,63.69,62.646,64.04,63.16,12697.0
2017-06-02,63.15,3535151.0,63.15,62.97,64.43,63.66,25388.0
2017-06-05,62.32,2570168.0,62.32,61.93,63.0,62.92,21237.0
2017-06-06,64.12,3692271.0,64.12,63.58,65.14,64.35,31712.0
2017-06-07,63.45,1872095.0,63.45,62.87,64.51,64.21,16671.0
2017-06-08,63.97,1646360.0,63.97,63.41,64.27,63.6,18403.0
2017-06-09,64.01,1076510.0,64.01,63.82,64.47,64.01,12057.0
2017-06-12,64.57,1624723.0,64.57,63.72,64.93,63.72,16266.0
2017-06-13,64.33,1327244.0,64.33,64.2,64.9375,64.73,13045.0
2017-06-14,63.89,1418007.0,63.89,63.47,64.765,64.13,12644.0
2017-06-15,65.11,1744607.0,65.11,64.15,65.25,64.49,16520.0
2017-06-16,65.21,2251988.0,65.21,64.45,65.23,65.03,13981.0
2017-06-19,65.19,1617961.0,65.19,64.8,65.45,65.45,12202.0
2017-06-20,63.99,1040674.0,63.99,63.97,65.01,64.98,10242.0
2017-06-21,62.75,1470696.0,62.75,62.585,63.94,63.92,12554.0
2017-06-22,62.75,1090231.0,62.75,62.32,63.09,62.56,10381.0
2017-06-23,62.51,1724475.0,62.51,62.49,63.17,62.77,9659.0
2017-06-26,63.19,1218390.0,63.19,62.5751,63.32,62.77,8737.0
2017-06-27,62.8,1349775.0,62.8,62.78,63.77,63.11,11227.0
2017-06-28,65.36,2020652.0,65.36,62.97,65.505,63.05,19469.0
2017-06-29,65.31,2655954.0,65.31,64.6893,65.97,65.35,23385.0
2017-06-30,66.04,2112369.0,66.04,65.38,66.395,66.13,17925.0
2017-07-03,67.0,1418298.0,67.0,66.18,67.43,66.41,11574.0
2017-07-05,66.39,2532872.0,66.39,65.84,67.35,67.17,20741.0
2017-07-06,67.2,3234539.0,67.2,66.32,68.0,66.42,24416.0
2017-07-07,67.62,1485082.0,67.62,66.845,68.11,67.43,13322.0
2017-07-10,68.48,2194331.0,68.48,67.4,68.94,67.46,17530.0
2017-07-11,68.52,1686368.0,68.52,68.03,68.87,68.4,13402.0
2017-07-12,68.52,1380375.0,68.52,68.48,69.56,69.16,12431.0
2017-07-13,68.26,1529927.0,68.26,68.08,68.81,68.64,14807.0
2017-07-14,68.65,948247.0,68.65,67.82,68.87,67.87,9586.0
2017-07-17,68.23,1411786.0,68.23,68.14,68.88,68.65,13024.0
2017-07-18,68.45,1183394.0,68.45,67.88,68.51,68.1,11983.0
2017-07-19,68.53,1491324.0,68.53,67.76,68.625,68.07,13494.0
2017-07-20,68.55,1464831.0,68.55,68.17,69.36,68.78,10736.0
2017-07-21,68.87,1534076.0,68.87,68.13,69.04,68.25,11585.0
2017-07-24,69.14,2695909.0,69.14,68.61,69.42,69.07,19759.0
2017-07-25,68.64,4416935.0,68.64,67.25,70.32,70.0,34317.0
2017-07-26,68.56,1709559.0,68.56,68.37,69.36,68.72,14453.0
2017-07-27,68.16,1489740.0,68.16,67.66,68.73,68.27,11893.0
2017-07-28,68.18,1377993.0,68.18,67.68,68.42,67.9,10643.0
2017-07-31,68.45,1149671.0,68.45,68.2,69.01,68.48,8709.0
2017-08-01,67.04,2269113.0,67.04,66.5,68.69,68.69,17968.0
2017-08-02,67.44,1757396.0,67.44,66.44,67.48,66.66,15364.0
2017-08-03,67.61,1607993.0,67.61,67.28,68.35,67.58,13010.0
2017-08-04,68.58,1535750.0,68.58,67.83,68.76,67.85,11695.0
2017-08-07,68.55,1159671.0,68.55,68.19,68.89,68.47,9239.0
2017-08-08,67.9,1422482.0,67.9,67.81,69.04,68.33,13041.0
2017-08-09,67.21,1572804.0,67.21,67.03,68.0,67.75,12390.0
2017-08-10,65.21,2402889.0,65.21,65.17,66.8983,66.53,18069.0
2017-08-11,64.81,1497840.0,64.81,64.76,65.46,65.46,13307.0
2017-08-14,65.21,1666493.0,65.21,64.825,65.52,65.15,10951.0
2017-08-15,64.87,1313940.0,64.87,64.66,65.59,65.46,10481.0
2017-08-16,64.43,1015646.0,64.43,64.34,65.36,65.1,8645.0
2017-08-17,63.15,1752317.0,63.15,63.01,64.16,64.16,14782.0
