YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,43.39,2976349.0,43.39,43.16,44.01,44.01,
2017-01-04,43.69,2155594.0,43.69,43.51,43.97,43.53,
2017-01-05,43.76,2208906.0,43.76,43.3,43.84,43.64,
2017-01-06,44.2,2324131.0,44.2,43.48,44.24,43.61,
2017-01-09,43.52,2050005.0,43.52,43.46,44.31,44.21,
2017-01-10,43.46,2307746.0,43.46,43.2,43.6,43.36,
2017-01-11,44.04,2993079.0,44.04,43.53,44.22,43.53,
2017-01-12,44.07,1974080.0,44.07,43.785,44.14,44.0,
2017-01-13,44.03,1579169.0,44.03,43.755,44.1,43.95,
2017-01-17,44.41,1599001.0,44.41,44.12,44.695,44.22,
2017-01-18,44.18,1126735.0,44.18,44.095,44.45,44.25,
2017-01-19,43.68,1538351.0,43.68,43.54,44.16,43.96,
2017-01-20,43.74,1497923.0,43.74,43.51,44.0,43.81,
2017-01-23,43.27,1488388.0,43.27,43.2,43.9241,43.77,
2017-01-24,43.45,1810310.0,43.45,43.24,43.705,43.27,
2017-01-25,43.39,1570578.0,43.39,43.255,43.5,43.33,
2017-01-26,43.33,1443730.0,43.33,43.14,43.675,43.39,
2017-01-27,43.06,1679113.0,43.06,42.885,43.49,43.41,
2017-01-30,43.21,1869259.0,43.21,42.86,43.295,43.14,
2017-01-31,44.25,3496587.0,44.25,43.28,44.33,43.32,
2017-02-01,43.37,3222737.0,43.37,43.24,44.03,43.97,
2017-02-02,43.52,3581664.0,43.52,43.04,43.59,43.36,
2017-02-03,43.71,1886615.0,43.71,43.515,43.88,43.62,
2017-02-06,43.45,1886094.0,43.45,43.42,43.85,43.82,
2017-02-07,43.44,2279445.0,43.44,43.33,43.53,43.46,
2017-02-08,43.54,2524024.0,43.54,43.39,43.83,43.5,
2017-02-09,43.19,2588627.0,43.19,43.06,43.64,43.54,
2017-02-10,43.39,2113263.0,43.39,42.98,43.44,43.06,
2017-02-13,43.76,1860285.0,43.76,43.38,43.78,43.43,
2017-02-14,43.43,1908903.0,43.43,43.13,43.71,43.63,
2017-02-15,43.21,3604522.0,43.21,42.77,43.38,43.05,
2017-02-16,43.66,1952241.0,43.66,43.24,43.66,43.24,
2017-02-17,43.49,5840019.0,43.49,43.32,43.84,43.69,
2017-02-21,44.33,2680512.0,44.33,43.26,44.43,43.49,
2017-02-22,44.27,2291384.0,44.27,44.04,44.43,44.39,
2017-02-23,44.25,3280200.0,44.25,44.165,44.61,44.48,
2017-02-24,45.61,3084644.0,45.61,44.11,45.63,44.47,
2017-02-27,45.61,3649462.0,45.61,44.94,45.66,45.41,
2017-02-28,45.98,3513416.0,45.98,45.44,46.1375,45.5,
2017-03-01,45.32,2608192.0,45.32,45.09,45.73,45.46,
2017-03-02,45.79,2905964.0,45.79,44.95,46.08,45.09,
2017-03-03,45.53,2723041.0,45.53,45.015,45.88,45.84,
2017-03-06,45.11,2697230.0,45.11,45.055,45.6361,45.5,
2017-03-07,44.98,3525883.0,44.98,44.7,45.32,45.13,
2017-03-08,43.96,3446262.0,43.96,43.88,44.39,44.27,
2017-03-09,43.89,1914357.0,43.89,43.88,44.37,43.98,
2017-03-10,44.43,2621753.0,44.43,43.98,44.51,44.03,
2017-03-13,44.48,1861201.0,44.48,44.29,44.57,44.41,
2017-03-14,44.49,1975947.0,44.49,44.27,44.68,44.34,
2017-03-15,45.13,2543094.0,45.13,44.56,45.49,44.62,
2017-03-16,44.41,2558485.0,44.41,44.3,45.01,44.94,
2017-03-17,44.73,3940496.0,44.73,44.54,45.04,44.58,
2017-03-20,44.13,3475448.0,44.13,43.985,44.89,44.82,
2017-03-21,44.66,3878253.0,44.66,43.865,44.87,44.18,
2017-03-22,45.1,3907769.0,45.1,44.79,45.34,44.8,
2017-03-23,45.07,2855669.0,45.07,44.925,45.4,45.08,
2017-03-24,45.15,1881215.0,45.15,44.93,45.39,44.98,
2017-03-27,44.74,1733273.0,44.74,44.59,45.57,45.44,
2017-03-28,44.51,4747714.0,44.51,44.21,44.72,44.62,
2017-03-29,44.15,3371083.0,44.15,43.96,44.35,44.35,
2017-03-30,43.91,2157214.0,43.91,43.77,44.12,44.03,
2017-03-31,44.35,3122501.0,44.35,43.93,44.55,43.96,
2017-04-03,44.26,2478270.0,44.26,43.93,44.33,44.31,
2017-04-04,44.27,2638392.0,44.27,43.95,44.42,44.21,
2017-04-05,44.42,3387763.0,44.42,44.08,44.53,44.24,
2017-04-06,44.89,3863042.0,44.89,44.16,44.9,44.28,
2017-04-07,44.72,4103908.0,44.72,44.665,45.19,44.97,
2017-04-10,44.66,2906375.0,44.66,44.24,44.835,44.68,
2017-04-11,45.29,4408181.0,45.29,44.4,45.45,44.65,
2017-04-12,45.61,3746860.0,45.61,44.98,45.65,45.19,
2017-04-13,45.65,3868765.0,45.65,45.34,45.94,45.69,
2017-04-17,45.68,2009287.0,45.68,45.42,45.81,45.69,
2017-04-18,45.34,4108887.0,45.34,45.14,45.71,45.49,
2017-04-19,44.6,4572902.0,44.6,44.31,45.38,45.27,
2017-04-20,44.37,2666234.0,44.37,44.1,44.55,44.52,
2017-04-21,44.51,3472671.0,44.51,44.3,44.69,44.3,
2017-04-24,45.0,2409200.0,45.0,44.35,45.09,44.57,
2017-04-25,44.72,1834698.0,44.72,44.61,45.0,44.84,
2017-04-26,44.49,2873459.0,44.49,44.43,44.95,44.63,
2017-04-27,44.41,3133251.0,44.41,44.335,44.885,44.53,
2017-04-28,44.05,2443406.0,44.05,43.92,44.55,44.39,
2017-05-01,43.71,2151732.0,43.71,43.62,44.14,44.1,
2017-05-02,43.87,2532105.0,43.87,43.64,43.99,43.75,
2017-05-03,43.66,2203206.0,43.66,43.53,43.9,43.82,
2017-05-04,43.48,2104935.0,43.48,43.26,43.82,43.59,
2017-05-05,43.81,2171674.0,43.81,43.63,43.895,43.63,
2017-05-08,43.62,2153644.0,43.62,43.465,43.9,43.9,
2017-05-09,42.95,2238648.0,42.95,42.93,43.61,43.57,
2017-05-10,42.7,4261486.0,42.7,42.465,43.07,43.0,
2017-05-11,42.77,4674538.0,42.77,42.49,42.8,42.61,
2017-05-12,42.77,2650206.0,42.77,42.64,43.13,42.96,
2017-05-15,43.04,4080149.0,43.04,42.76,43.14,42.84,
2017-05-16,43.1,3603008.0,43.1,42.93,43.28,43.11,
2017-05-17,43.64,4311524.0,43.64,43.07,43.9,43.23,
2017-05-18,43.79,3506113.0,43.79,43.415,44.16,43.75,
2017-05-19,44.02,2831674.0,44.02,43.43,44.07,43.78,
2017-05-22,44.24,3312428.0,44.24,43.42,44.34,43.8,
2017-05-23,44.07,3558178.0,44.07,43.905,44.42,44.2,
2017-05-24,44.42,2061710.0,44.42,44.17,44.58,44.23,
2017-05-25,44.54,2339878.0,44.54,44.33,44.7,44.43,
2017-05-26,44.43,2575168.0,44.43,44.08,44.57,44.53,
2017-05-30,44.56,2592483.0,44.56,44.31,44.67,44.37,
2017-05-31,44.91,4928831.0,44.91,44.5,45.27,44.57,
2017-06-01,45.54,2687534.0,45.54,44.72,45.585,44.93,
2017-06-02,45.17,2463321.0,45.17,45.01,45.8,45.75,
2017-06-05,44.99,1414331.0,44.99,44.92,45.24,45.05,
2017-06-06,44.69,2877594.0,44.69,44.63,45.08,45.07,
2017-06-07,44.58,1886463.0,44.58,44.235,44.69,44.39,
2017-06-08,43.98,2883253.0,43.98,43.67,44.45,44.45,
2017-06-09,44.33,1958483.0,44.33,43.75,44.45,43.8,
2017-06-12,44.28,2743063.0,44.28,44.0,44.75,44.38,
2017-06-13,44.04,2710703.0,44.04,43.66,44.2,44.19,
2017-06-14,44.27,1505930.0,44.27,44.08,44.5,44.35,
2017-06-15,44.32,1494158.0,44.32,43.985,44.38,44.18,
2017-06-16,44.45,5051153.0,44.45,44.32,44.72,44.45,
2017-06-19,44.26,2664629.0,44.26,44.15,44.63,44.47,
2017-06-20,44.31,1672635.0,44.31,44.13,44.43,44.3,
2017-06-21,43.96,2154856.0,43.96,43.76,44.3,44.14,
2017-06-22,43.67,2455452.0,43.67,43.65,44.03,43.98,
2017-06-23,43.57,2450387.0,43.57,43.52,43.91,43.69,
2017-06-26,44.18,5160914.0,44.18,43.55,44.32,43.57,
2017-06-27,43.62,5342028.0,43.62,43.485,44.09,43.98,
2017-06-28,43.26,2377413.0,43.26,43.24,43.88,43.85,
2017-06-29,42.92,2439131.0,42.92,42.79,43.22,43.01,
2017-06-30,43.01,3479655.0,43.01,42.79,43.27,43.02,
2017-07-03,42.7,1511713.0,42.7,42.59,43.16,43.1,
2017-07-05,42.32,3085435.0,42.32,41.9,42.69,42.69,
2017-07-06,42.01,2924611.0,42.01,41.9,42.285,42.25,
2017-07-07,42.1,1813601.0,42.1,42.0,42.33,42.04,
2017-07-10,41.97,2912162.0,41.97,41.93,42.195,42.09,
2017-07-11,41.85,2675119.0,41.85,41.67,42.09,42.02,
2017-07-12,42.27,2054894.0,42.27,42.16,42.48,42.22,
2017-07-13,42.23,2829380.0,42.23,42.07,42.45,42.28,
2017-07-14,42.36,1667268.0,42.36,42.31,42.66,42.56,
2017-07-17,43.23,3745249.0,43.23,42.48,43.2525,42.49,
2017-07-18,43.56,4052687.0,43.56,43.145,43.675,43.32,
