YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,33.0,22193434.0,33.0,32.59,33.0,32.7,
2017-01-04,33.29,21588216.0,33.29,33.03,33.35,33.13,
2017-01-05,33.61,20003366.0,33.61,33.12,33.69,33.37,
2017-01-06,33.48,17474593.0,33.48,33.34,33.7,33.66,
2017-01-09,33.47,20455302.0,33.47,33.38,33.67,33.43,
2017-01-10,33.44,19397333.0,33.44,33.32,33.66,33.59,
2017-01-11,32.83,40439412.0,32.83,32.4,33.54,33.37,
2017-01-12,32.6,31760852.0,32.6,32.3,32.62,32.53,
2017-01-13,32.52,20291186.0,32.52,32.33,32.78,32.67,
2017-01-17,32.06,32104523.0,32.06,31.78,32.38,32.35,
2017-01-18,32.03,21469733.0,32.03,31.95,32.275,32.09,
2017-01-19,31.7,26144122.0,31.7,31.53,32.09,32.06,
2017-01-20,31.77,30159695.0,31.77,31.66,32.12,31.72,
2017-01-23,31.46,24760966.0,31.46,31.44,31.82,31.68,
2017-01-24,31.15,29625416.0,31.15,30.9,31.46,31.4,
2017-01-25,31.29,32168240.0,31.29,31.1,31.52,31.36,
2017-01-26,31.28,27185453.0,31.28,31.2,31.47,31.4,
2017-01-27,31.42,24054743.0,31.42,31.26,31.54,31.47,
2017-01-30,31.31,27464839.0,31.31,31.06,31.5,31.47,
2017-01-31,31.73,37450039.0,31.73,30.9343,31.93,31.01,
2017-02-01,31.67,28493260.0,31.67,31.26,31.69,31.51,
2017-02-02,31.73,23372299.0,31.73,31.32,31.73,31.47,
2017-02-03,32.09,35991724.0,32.09,31.92,32.24,32.12,
2017-02-06,32.23,24534376.0,32.23,31.94,32.33,32.0,
2017-02-07,32.08,23512005.0,32.08,31.94,32.35,32.32,
2017-02-08,32.14,19160070.0,32.14,31.92,32.345,31.92,
2017-02-09,32.38,23816348.0,32.38,32.23,32.54,32.26,
2017-02-10,32.35,21907167.0,32.35,32.23,32.45,32.41,
2017-02-13,32.61,20620122.0,32.61,32.44,32.69,32.44,
2017-02-14,32.75,22965351.0,32.75,32.35,32.77,32.53,
2017-02-15,33.51,45574488.0,33.51,32.685,33.58,32.78,
2017-02-16,33.62,38332300.0,33.62,33.22,33.885,33.45,
2017-02-17,33.62,34992707.0,33.62,33.53,33.89,33.59,
2017-02-21,33.62,24090742.0,33.62,33.48,33.8,33.571,
2017-02-22,33.59,27207299.0,33.59,33.25,33.75,33.57,
2017-02-23,34.06,30477129.0,34.06,33.58,34.12,33.7,
2017-02-24,34.26,24711954.0,34.26,33.99,34.35,34.17,
2017-02-27,34.28,21830284.0,34.28,34.16,34.46,34.23,
2017-02-28,34.12,27480705.0,34.12,33.91,34.264,34.1,
2017-03-01,34.42,32291229.0,34.42,34.05,34.53,34.27,
2017-03-02,34.51,25572123.0,34.51,34.42,34.75,34.46,
2017-03-03,34.52,18837249.0,34.52,34.36,34.6464,34.42,
2017-03-06,34.35,18191883.0,34.35,34.08,34.47,34.33,
2017-03-07,33.99,29206226.0,33.99,33.75,34.2,33.87,
2017-03-08,33.91,22647434.0,33.91,33.72,34.1,33.91,
2017-03-09,34.05,19164707.0,34.05,33.78,34.14,33.88,
2017-03-10,34.11,19179038.0,34.11,34.0,34.32,34.14,
2017-03-13,34.11,18964029.0,34.11,33.91,34.15,34.14,
2017-03-14,34.22,14766085.0,34.22,33.98,34.33,34.02,
2017-03-15,34.63,23035916.0,34.63,34.18,34.7099,34.22,
2017-03-16,34.43,20698492.0,34.43,34.25,34.63,34.57,
2017-03-17,34.32,43392929.0,34.32,34.27,34.58,34.46,
2017-03-20,34.38,17490950.0,34.38,34.32,34.4999,34.4,
2017-03-21,34.25,31388495.0,34.25,34.18,34.61,34.48,
2017-03-22,34.47,26117870.0,34.47,33.99,34.54,34.3,
2017-03-23,34.29,20283431.0,34.29,34.23,34.56,34.32,
2017-03-24,34.0,27118654.0,34.0,33.94,34.27,34.27,
2017-03-27,34.18,17886174.0,34.18,33.74,34.31,33.74,
2017-03-28,34.16,18337464.0,34.16,33.97,34.26,34.06,
2017-03-29,34.33,17281021.0,34.33,34.11,34.45,34.16,
2017-03-30,34.35,14993815.0,34.35,34.15,34.44,34.19,
2017-03-31,34.21,18611785.0,34.21,34.16,34.38,34.21,
2017-04-03,34.24,18088044.0,34.24,34.1,34.35,34.11,
2017-04-04,34.34,19282949.0,34.34,34.05,34.5,34.18,
2017-04-05,34.19,19280079.0,34.19,34.15,34.52,34.33,
2017-04-06,34.11,16285254.0,34.11,34.06,34.35,34.14,
2017-04-07,34.1,13973510.0,34.1,34.04,34.25,34.09,
2017-04-10,34.04,15989255.0,34.04,33.97,34.215,34.13,
2017-04-11,33.93,19123012.0,33.93,33.74,34.08,34.02,
2017-04-12,33.92,24689361.0,33.92,33.71,33.99,33.88,
2017-04-13,33.88,12865826.0,33.88,33.82,34.02,33.88,
2017-04-17,34.0,15145568.0,34.0,33.82,34.05,33.9,
2017-04-18,33.84,21151220.0,33.84,33.66,33.88,33.76,
2017-04-19,33.61,23913011.0,33.61,33.55,33.91,33.85,
2017-04-20,33.74,18348503.0,33.74,33.48,33.87,33.63,
2017-04-21,33.64,24243076.0,33.64,33.47,33.73,33.64,
2017-04-24,33.74,21288924.0,33.74,33.65,34.03,33.98,
2017-04-25,33.76,18744026.0,33.76,33.71,33.96,33.82,
2017-04-26,33.85,19814537.0,33.85,33.85,34.03,33.86,
2017-04-27,33.86,14832197.0,33.86,33.77,34.02,33.96,
2017-04-28,33.92,15979173.0,33.92,33.75,33.94,33.88,
2017-05-01,33.78,22685809.0,33.78,33.7699,33.99,33.89,
2017-05-02,33.61,40764439.0,33.61,32.88,33.72,33.58,
2017-05-03,33.47,24815663.0,33.47,33.3,33.59,33.48,
2017-05-04,33.45,25519830.0,33.45,33.32,33.59,33.44,
2017-05-05,33.48,21821633.0,33.48,33.23,33.48,33.44,
2017-05-08,33.45,23511940.0,33.45,33.35,33.62,33.4,
2017-05-09,33.38,17104601.0,33.38,33.35,33.59,33.56,
2017-05-10,33.03,33045403.0,33.03,32.9,33.12,33.0,
2017-05-11,33.04,25067891.0,33.04,32.85,33.14,32.99,
2017-05-12,33.01,17636786.0,33.01,32.89,33.07,32.89,
2017-05-15,33.12,19478614.0,33.12,32.8,33.18,32.97,
2017-05-16,32.6,40263569.0,32.6,32.39,32.8,32.56,
2017-05-17,32.23,28397788.0,32.23,32.21,32.57,32.31,
2017-05-18,32.22,23600353.0,32.22,32.07,32.42,32.2,
2017-05-19,32.46,28354336.0,32.46,32.19,32.46,32.3,
2017-05-22,32.12,25356699.0,32.12,32.12,32.5,32.5,
2017-05-23,32.14,17568656.0,32.14,32.08,32.28,32.12,
2017-05-24,32.05,22486949.0,32.05,31.97,32.275,32.17,
2017-05-25,32.16,17293352.0,32.16,31.97,32.2,32.06,
2017-05-26,32.14,11699041.0,32.14,32.1,32.29,32.18,
2017-05-30,32.13,16047050.0,32.13,32.02,32.31,32.06,
2017-05-31,32.65,29018501.0,32.65,32.13,32.79,32.28,
2017-06-01,32.71,23894513.0,32.71,32.52,32.85,32.67,
2017-06-02,32.54,20858188.0,32.54,32.44,32.88,32.77,
2017-06-05,32.35,14226613.0,32.35,32.2,32.58,32.51,
2017-06-06,32.07,17866356.0,32.07,32.04,32.365,32.3,
2017-06-07,32.0,16584142.0,32.0,31.9,32.16,32.08,
2017-06-08,31.75,33795781.0,31.75,31.67,32.1,32.06,
2017-06-09,32.77,30137170.0,32.77,31.74,32.8,31.81,
2017-06-12,32.7,28876207.0,32.7,32.5,33.12,32.75,
2017-06-13,32.58,17166939.0,32.58,32.52,32.78,32.71,
2017-06-14,32.69,13821775.0,32.69,32.46,32.76,32.59,
2017-06-15,32.81,18929889.0,32.81,32.56,33.03,32.62,
