YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,58.58,1276133.0,58.58,58.03,59.29,58.61,
2017-01-04,59.11,995223.0,59.11,58.69,59.19,58.84,
2017-01-05,58.51,1308307.0,58.51,57.96,59.31,59.14,
2017-01-06,58.86,1356243.0,58.86,58.57,59.15,58.86,
2017-01-09,58.19,1177557.0,58.19,58.19,59.15,58.45,
2017-01-10,58.65,851538.0,58.65,58.05,59.24,58.36,
2017-01-11,58.98,944746.0,58.98,58.48,59.31,58.58,
2017-01-12,58.87,1552795.0,58.87,58.01,59.04,58.6,
2017-01-13,59.03,709746.0,59.03,58.86,59.63,59.2,
2017-01-17,58.27,1487190.0,58.27,58.0,58.91,58.36,
2017-01-18,59.48,987436.0,59.48,58.09,59.54,58.54,
2017-01-19,58.3,1517768.0,58.3,58.05,59.67,59.53,
2017-01-20,58.24,1238684.0,58.24,57.95,58.94,58.43,
2017-01-23,57.74,1088416.0,57.74,57.56,58.42,58.1,
2017-01-24,58.58,1596130.0,58.58,57.74,58.89,57.96,
2017-01-25,59.65,1014237.0,59.65,59.07,59.77,59.17,
2017-01-26,58.57,1772287.0,58.57,57.62,59.54,59.49,
2017-01-27,58.0,2334045.0,58.0,57.27,58.72,58.57,
2017-01-30,57.74,1757301.0,57.74,56.67,57.86,57.86,
2017-01-31,57.09,2998917.0,57.09,56.34,58.25,58.25,
2017-02-01,57.2,1940439.0,57.2,56.97,58.57,57.65,
2017-02-02,57.51,1648440.0,57.51,56.12,57.86,56.75,
2017-02-03,59.42,1590832.0,59.42,58.63,59.44,58.69,
2017-02-06,59.47,1205072.0,59.47,58.87,59.82,58.87,
2017-02-07,59.72,1243773.0,59.72,59.45,59.87,59.73,
2017-02-08,59.84,1396002.0,59.84,58.9401,59.91,59.33,
2017-02-09,60.58,1329830.0,60.58,59.8,60.79,60.04,
2017-02-10,60.86,1183072.0,60.86,60.54,61.05,60.87,
2017-02-13,62.09,1699396.0,62.09,61.07,62.32,61.13,
2017-02-14,62.06,1277243.0,62.06,61.95,62.59,62.01,
2017-02-15,62.73,1270517.0,62.73,61.89,62.785,62.27,
2017-02-16,62.6,1178657.0,62.6,62.33,62.885,62.56,
2017-02-17,62.12,990232.0,62.12,61.43,62.14,61.84,
2017-02-21,62.42,883940.0,62.42,62.15,62.7,62.24,
2017-02-22,62.83,2041430.0,62.83,61.99,63.12,62.13,
2017-02-23,62.87,1015518.0,62.87,62.44,62.97,62.9,
2017-02-24,62.75,1342903.0,62.75,62.04,62.84,62.04,
2017-02-27,62.78,1103870.0,62.78,62.28,63.0,62.68,
2017-02-28,62.54,1225280.0,62.54,61.98,62.69,62.48,
2017-03-01,64.02,1765218.0,64.02,63.49,64.31,63.53,
2017-03-02,62.71,1461680.0,62.71,62.65,63.62,63.43,
2017-03-03,63.57,1678112.0,63.57,62.88,63.71,62.88,
2017-03-06,63.37,992539.0,63.37,63.03,63.61,63.12,
2017-03-07,63.04,1036415.0,63.04,62.78,63.245,63.16,
2017-03-08,63.07,857802.0,63.07,63.0,63.89,63.71,
2017-03-09,63.07,961219.0,63.07,62.81,63.62,63.12,
2017-03-10,63.54,914053.0,63.54,62.9,63.92,63.1,
2017-03-13,63.58,945636.0,63.58,63.36,63.745,63.52,
2017-03-14,63.01,904946.0,63.01,62.74,63.35,63.25,
