YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,84.2,8792706.0,84.2,83.5,84.39,83.88,
2017-01-04,84.5,8096650.0,84.5,84.2354,84.6016,84.45,
2017-01-05,85.06,6852435.0,85.06,84.38,85.4274,84.41,
2017-01-06,85.03,4799945.0,85.03,84.62,85.25,84.941,
2017-01-09,84.4,11000579.0,84.4,83.75,84.66,84.06,
2017-01-10,83.49,10918153.0,83.49,83.24,84.43,84.34,
2017-01-11,83.75,9572286.0,83.75,83.275,83.75,83.39,
2017-01-12,83.84,6545444.0,83.84,83.3701,83.88,83.71,
2017-01-13,84.01,6762797.0,84.01,83.44,84.02,83.85,
2017-01-17,85.21,13145073.0,85.21,83.88,85.58,83.9,
2017-01-18,84.93,10521181.0,84.93,84.59,85.3,84.8,
2017-01-19,84.7,14074464.0,84.7,84.28,85.0,84.63,
2017-01-20,87.45,22944405.0,87.45,86.42,87.975,86.89,
2017-01-23,86.96,9408904.0,86.96,86.85,87.35,87.09,
2017-01-24,87.86,8704722.0,87.86,87.22,87.95,87.22,
2017-01-25,87.16,8082874.0,87.16,87.06,87.9,87.84,
2017-01-26,86.6,6542285.0,86.6,86.59,87.23,87.12,
2017-01-27,86.72,9332303.0,86.72,86.02,86.85,86.45,
2017-01-30,86.75,7350036.0,86.75,86.5,86.86,86.78,
2017-01-31,87.6,9712432.0,87.6,86.53,87.66,86.63,
2017-02-01,87.33,8291514.0,87.33,86.75,87.59,87.03,
2017-02-02,87.76,8997158.0,87.76,87.25,88.35,87.61,
2017-02-03,87.41,7161948.0,87.41,87.39,88.17,88.12,
2017-02-06,87.4,7482993.0,87.4,87.13,87.785,87.5,
2017-02-07,88.01,6646055.0,88.01,87.475,88.28,87.64,
2017-02-08,88.33,6815753.0,88.33,87.81,88.34,88.07,
2017-02-09,88.67,9914070.0,88.67,88.03,88.78,88.25,
2017-02-10,87.97,11057552.0,87.97,87.965,88.73,88.56,
2017-02-13,88.31,6905130.0,88.31,87.64,88.355,88.04,
2017-02-14,87.86,20123406.0,87.86,87.23,88.22,88.0,
2017-02-15,91.12,25847697.0,91.12,89.81,91.15,89.81,
2017-02-16,90.79,12408473.0,90.79,90.54,91.12,90.92,
2017-02-17,91.09,12152428.0,91.09,90.45,91.36,90.61,
2017-02-21,91.67,9018703.0,91.67,90.58,91.8,90.58,
2017-02-22,91.44,6749919.0,91.44,91.25,91.8,91.45,
2017-02-23,91.13,7611638.0,91.13,90.91,91.8,91.61,
2017-02-24,91.05,6643365.0,91.05,90.67,91.34,90.97,
2017-02-27,90.89,11840268.0,90.89,90.06,90.91,90.53,
2017-02-28,91.07,10535619.0,91.07,90.65,91.79,90.9,
2017-03-01,91.66,8792150.0,91.66,90.71,91.89,91.05,
2017-03-02,90.91,7031221.0,90.91,90.88,91.585,91.4,
2017-03-03,90.5,8341071.0,90.5,89.8948,90.82,90.8,
2017-03-06,90.37,9533795.0,90.37,89.59,90.51,89.89,
2017-03-07,90.29,5362951.0,90.29,90.06,90.49,90.14,
2017-03-08,90.14,5513405.0,90.14,89.76,90.35,90.02,
2017-03-09,90.34,5587379.0,90.34,90.095,90.49,90.14,
2017-03-10,91.07,6797792.0,91.07,90.65,91.16,90.8,
2017-03-13,91.31,7397472.0,91.31,90.85,91.49,91.06,
2017-03-14,91.0,6686388.0,91.0,90.82,91.59,91.26,
2017-03-15,91.4,7855256.0,91.4,90.73,91.78,91.0,
2017-03-16,91.44,6601208.0,91.44,91.1,91.7199,91.44,
2017-03-17,91.0,37010081.0,91.0,90.92,92.0,91.45,
2017-03-20,91.22,7772903.0,91.22,90.94,91.41,90.96,
2017-03-21,91.19,8210951.0,91.19,91.03,91.75,91.3,
2017-03-22,90.99,7798024.0,90.99,90.75,91.8,91.31,
2017-03-23,90.77,6831401.0,90.77,90.6,91.46,90.91,
2017-03-24,90.57,9251999.0,90.57,90.21,90.915,90.77,
2017-03-27,90.49,10071996.0,90.49,90.18,90.715,90.45,
2017-03-28,90.76,11855807.0,90.76,90.13,91.0599,90.17,
2017-03-29,90.6,4252782.0,90.6,90.39,90.87,90.56,
2017-03-30,90.2,3691926.0,90.2,90.1,90.568,90.5,
2017-03-31,89.85,6942356.0,89.85,89.84,90.34,90.03,
2017-04-03,89.68,6967439.0,89.68,89.45,90.06,89.86,
2017-04-04,89.91,5680764.0,89.91,89.42,89.96,89.75,
2017-04-05,89.97,6320139.0,89.97,89.76,90.5,90.0,
2017-04-06,89.4,7231506.0,89.4,89.31,89.81,89.77,
2017-04-07,89.23,4739140.0,89.23,89.18,89.61,89.46,
2017-04-10,89.49,5955986.0,89.49,88.75,89.679,89.13,
2017-04-11,89.8,5185977.0,89.8,89.29,89.82,89.66,
2017-04-12,90.31,6286312.0,90.31,89.56,90.421,89.7,
2017-04-13,90.03,5040104.0,90.03,89.79,90.54,90.05,
2017-04-17,90.39,6931678.0,90.39,90.13,90.59,90.23,
2017-04-18,90.8,7087796.0,90.8,90.34,91.13,90.4,
2017-04-19,89.6,6918993.0,89.6,89.5,90.45,90.1,
2017-04-20,89.33,6983536.0,89.33,89.31,89.7,89.7,
2017-04-21,88.62,9061218.0,88.62,88.61,89.28,89.17,
2017-04-24,89.55,8338467.0,89.55,89.01,89.655,89.12,
2017-04-25,90.0,9088390.0,90.0,89.47,90.25,89.58,
2017-04-26,87.74,11951322.0,87.74,87.61,90.0,89.85,
2017-04-27,87.69,8517522.0,87.69,87.23,88.24,87.58,
2017-04-28,87.33,8295445.0,87.33,87.15,87.59,87.52,
2017-05-01,87.09,4546624.0,87.09,87.08,87.5967,87.38,
2017-05-02,86.22,13197492.0,86.22,86.02,87.29,87.29,
2017-05-03,86.43,6121974.0,86.43,85.9,86.63,86.3,
2017-05-04,86.45,5986188.0,86.45,86.3,87.24,86.85,
2017-05-05,86.5,4506197.0,86.5,86.1335,86.61,86.54,
2017-05-08,86.55,4634623.0,86.55,86.24,86.62,86.33,
2017-05-09,86.4,9577623.0,86.4,86.22,86.82,86.8,
2017-05-10,86.49,6178549.0,86.49,86.385,86.79,86.48,
2017-05-11,86.17,6064727.0,86.17,85.88,86.63,86.61,
2017-05-12,86.19,5892430.0,86.19,85.915,86.32,86.24,
2017-05-15,86.33,5820742.0,86.33,86.245,86.71,86.65,
2017-05-16,86.24,6554454.0,86.24,86.19,87.0,86.88,
2017-05-17,86.26,7805770.0,86.26,85.93,86.63,86.22,
2017-05-18,85.87,6985567.0,85.87,85.52,86.22,86.18,
2017-05-19,86.24,7320725.0,86.24,85.67,86.38,86.0,
2017-05-22,86.21,4259955.0,86.21,86.03,86.4,86.25,
2017-05-23,86.08,4394225.0,86.08,85.98,86.54,86.28,
2017-05-24,86.5,4902470.0,86.5,86.21,86.65,86.45,
2017-05-25,86.86,4367960.0,86.86,86.55,86.98,86.58,
2017-05-26,87.25,4337023.0,87.25,86.816,87.38,86.93,
2017-05-30,87.4,4594514.0,87.4,87.095,87.61,87.25,
2017-05-31,88.09,10146610.0,88.09,87.45,88.35,87.67,
2017-06-01,88.13,6251292.0,88.13,87.37,88.14,88.02,
2017-06-02,88.59,6136425.0,88.59,88.005,88.675,88.4,
2017-06-05,88.74,4115288.0,88.74,88.0,88.76,88.3,
2017-06-06,88.8,6503039.0,88.8,88.45,88.97,88.76,
2017-06-07,88.77,4781587.0,88.77,88.4,88.8931,88.68,
2017-06-08,87.85,7712062.0,87.85,87.36,88.8,88.58,
2017-06-09,88.16,9696915.0,88.16,87.55,88.21,87.85,
2017-06-12,88.24,7867734.0,88.24,88.09,88.66,88.28,
2017-06-13,88.06,6419319.0,88.06,87.77,88.4,88.36,
2017-06-14,88.44,6183875.0,88.44,88.06,88.75,88.49,
2017-06-15,89.38,7047471.0,89.38,88.23,89.62,88.231,
2017-06-16,89.66,13855018.0,89.66,88.81,89.77,89.72,
2017-06-19,89.86,5246246.0,89.86,89.2046,89.86,89.6,
2017-06-20,89.63,5674212.0,89.63,89.61,90.21,89.77,
2017-06-21,89.4,4164473.0,89.4,89.29,89.9499,89.62,
2017-06-22,89.03,4536714.0,89.03,88.9,89.41,89.271,
2017-06-23,89.42,8782097.0,89.42,88.9,89.8,89.03,
2017-06-26,89.36,4373314.0,89.36,89.27,89.68,89.63,
2017-06-27,88.61,5180391.0,88.61,88.61,89.3,89.18,
2017-06-28,88.37,4874990.0,88.37,88.26,89.21,89.08,
2017-06-29,86.99,8123516.0,86.99,86.93,88.22,88.02,
2017-06-30,87.15,6070254.0,87.15,87.0,87.47,87.05,
2017-07-03,87.74,3607447.0,87.74,87.18,88.0,87.4,
2017-07-05,87.67,4974329.0,87.67,87.49,88.0,87.86,
2017-07-06,87.37,6038851.0,87.37,87.36,87.95,87.65,
2017-07-07,87.65,5142197.0,87.65,87.28,87.82,87.69,
2017-07-10,87.09,5356392.0,87.09,86.89,87.87,87.63,
2017-07-11,86.77,5838563.0,86.77,86.305,87.45,87.23,
2017-07-12,86.96,4374171.0,86.96,86.83,87.465,87.24,
2017-07-13,86.7,5448911.0,86.7,86.5,87.05,86.77,
2017-07-14,87.1,4577701.0,87.1,86.73,87.285,86.96,
2017-07-17,87.55,5227821.0,87.55,86.74,87.905,87.07,
2017-07-18,88.64,7492306.0,88.64,87.46,88.76,87.61,
2017-07-19,88.35,6008454.0,88.35,87.595,88.41,87.87,
2017-07-20,88.6,7285004.0,88.6,88.31,89.31,88.32,
2017-07-21,88.61,5714842.0,88.61,87.81,88.68,88.16,
2017-07-24,88.18,6202019.0,88.18,87.97,88.6,88.55,
2017-07-25,89.14,6766682.0,89.14,88.54,89.2,88.67,
2017-07-26,89.3,6986999.0,89.3,88.87,89.42,89.0,
2017-07-27,90.68,11089181.0,90.68,89.0,90.75,90.29,
2017-07-28,90.21,6137534.0,90.21,89.96,91.0,90.56,
2017-07-31,90.82,7835661.0,90.82,90.21,91.07,90.21,
2017-08-01,91.1,8662108.0,91.1,90.72,91.73,91.03,
2017-08-02,91.04,7167732.0,91.04,90.53,91.295,90.97,
