YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,35.53,2993700.0,35.53,35.23,35.78,35.74,
2017-01-04,35.85,2915716.0,35.85,35.63,35.95,35.63,
2017-01-05,35.84,2348829.0,35.84,35.545,35.95,35.93,
2017-01-06,36.03,2147029.0,36.03,35.765,36.18,35.8,
2017-01-09,35.72,1876385.0,35.72,35.72,35.98,35.98,
2017-01-10,36.32,3641700.0,36.32,35.81,36.5,35.98,
2017-01-11,36.47,3412024.0,36.47,36.22,36.59,36.23,
2017-01-12,36.2,2388047.0,36.2,35.96,36.3,36.3,
2017-01-13,36.25,1208163.0,36.25,36.2233,36.5,36.32,
2017-01-17,35.98,2367830.0,35.98,35.85,36.28,36.1,
2017-01-18,36.35,2113435.0,36.35,35.95,36.43,36.12,
2017-01-19,36.38,2310121.0,36.38,36.19,36.46,36.41,
2017-01-20,36.54,2233743.0,36.54,36.37,36.65,36.39,
2017-01-23,36.44,3011327.0,36.44,36.17,36.52,36.52,
2017-01-24,36.61,2946465.0,36.61,36.275,36.66,36.52,
2017-01-25,37.77,5169778.0,37.77,36.67,37.91,36.77,
2017-01-26,38.04,2772975.0,38.04,37.73,38.05,37.87,
2017-01-27,38.0,2140888.0,38.0,37.87,38.17,38.05,
2017-01-30,37.49,3223105.0,37.49,37.41,37.97,37.97,
2017-01-31,37.44,3354851.0,37.44,37.22,37.57,37.5,
2017-02-01,36.94,3494555.0,36.94,36.74,37.25,36.84,
2017-02-02,37.09,3522608.0,37.09,36.78,37.25,36.89,
2017-02-03,37.13,4121430.0,37.13,36.985,37.49,37.41,
2017-02-06,37.01,2124869.0,37.01,36.93,37.18,36.96,
2017-02-07,37.04,2643412.0,37.04,36.78,37.1556,37.1,
2017-02-08,36.97,2070423.0,36.97,36.84,37.1,37.01,
2017-02-09,37.32,2149441.0,37.32,36.88,37.36,37.0,
2017-02-10,37.66,2575320.0,37.66,37.22,37.72,37.22,
2017-02-13,37.6,2515339.0,37.6,37.45,37.75,37.72,
2017-02-14,37.45,2320373.0,37.45,37.29,37.61,37.6,
2017-02-15,38.39,4086933.0,38.39,37.75,38.435,37.75,
2017-02-16,38.61,2445778.0,38.61,38.2701,38.61,38.41,
2017-02-17,38.57,1976978.0,38.57,38.36,38.6,38.53,
2017-02-21,38.93,2315842.0,38.93,38.59,38.97,38.63,
2017-02-22,38.84,2127603.0,38.84,38.54,38.85,38.74,
2017-02-23,39.09,3470815.0,39.09,38.74,39.21,38.81,
2017-02-24,39.05,1976252.0,39.05,38.82,39.1976,38.9,
