YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,18.55,3364804.0,18.55,18.18,18.665,18.55,
2017-01-04,18.99,6343425.0,18.99,18.65,19.085,18.67,
2017-01-05,18.93,5056205.0,18.93,18.685,19.08,18.91,
2017-01-06,18.46,5333358.0,18.46,18.415,19.14,19.05,
2017-01-09,18.53,3803846.0,18.53,18.235,18.61,18.43,
2017-01-10,18.69,2743938.0,18.69,18.53,18.82,18.62,
2017-01-11,18.84,2441942.0,18.84,18.545,18.87,18.67,
2017-01-12,19.01,3431734.0,19.01,18.54,19.03,18.81,
2017-01-13,19.19,3030305.0,19.19,19.0,19.21,19.0,
2017-01-17,19.16,2914482.0,19.16,18.95,19.29,19.11,
2017-01-18,19.21,3261208.0,19.21,19.05,19.3,19.18,
2017-01-19,18.94,4995142.0,18.94,18.87,19.35,19.2,
2017-01-20,19.12,5689417.0,19.12,18.88,19.15,18.96,
2017-01-23,19.21,3767554.0,19.21,19.02,19.395,19.05,
2017-01-24,20.34,7874571.0,20.34,19.59,20.35,19.62,
2017-01-25,20.44,8528395.0,20.44,20.325,20.735,20.36,
2017-01-26,21.18,13807409.0,21.18,21.01,21.985,21.05,
2017-01-27,21.26,10768396.0,21.26,21.2,21.585,21.36,
2017-01-30,21.39,7107798.0,21.39,20.92,21.485,21.22,
2017-01-31,21.51,6857673.0,21.51,21.2043,21.56,21.39,
2017-02-01,21.21,8274866.0,21.21,21.18,21.64,21.54,
2017-02-02,21.26,5562765.0,21.26,21.0895,21.51,21.25,
2017-02-03,21.39,4466726.0,21.39,21.18,21.55,21.41,
2017-02-06,21.29,4649451.0,21.29,21.18,21.44,21.36,
2017-02-07,21.25,5003179.0,21.25,21.14,21.62,21.62,
2017-02-08,21.27,4153781.0,21.27,21.06,21.37,21.14,
2017-02-09,21.4,3320694.0,21.4,21.13,21.455,21.3,
2017-02-10,21.62,3532424.0,21.62,21.4,21.69,21.46,
2017-02-13,21.52,3116760.0,21.52,21.51,21.75,21.7,
2017-02-14,21.49,4346309.0,21.49,21.4,21.88,21.79,
2017-02-15,21.63,4375797.0,21.63,21.28,21.705,21.4,
2017-02-16,21.34,3727220.0,21.34,21.32,21.75,21.61,
2017-02-17,21.4,3307660.0,21.4,21.13,21.41,21.29,
2017-02-21,21.61,4343814.0,21.61,21.39,21.65,21.51,
2017-02-22,21.71,7004113.0,21.71,21.63,21.93,21.93,
2017-02-23,21.6,3746198.0,21.6,21.5,21.79,21.78,
2017-02-24,21.73,4985518.0,21.73,21.31,21.77,21.53,
2017-02-27,22.1,6539206.0,22.1,21.65,22.16,21.65,
2017-02-28,22.05,6841553.0,22.05,21.92,22.19,22.07,
2017-03-01,22.49,7511004.0,22.49,22.21,22.73,22.25,
2017-03-02,22.42,4941876.0,22.42,22.36,22.71,22.51,
2017-03-03,22.48,5033427.0,22.48,22.21,22.555,22.37,
2017-03-06,22.46,6289986.0,22.46,22.2,22.565,22.33,
2017-03-07,22.79,7282647.0,22.79,22.32,22.94,22.46,
2017-03-08,23.16,10662912.0,23.16,22.72,23.25,22.73,
2017-03-09,23.12,8811967.0,23.12,22.89,23.425,23.16,
2017-03-10,23.53,10823170.0,23.53,23.3,23.82,23.41,
2017-03-13,23.39,6187726.0,23.39,23.17,23.64,23.6,
2017-03-14,23.18,6175700.0,23.18,22.87,23.27,23.27,
2017-03-15,23.43,5107268.0,23.43,23.09,23.57,23.28,
2017-03-16,23.81,7643299.0,23.81,23.49,24.05,23.5,
2017-03-17,23.72,8350620.0,23.72,23.57,23.92,23.87,
2017-03-20,23.74,3593529.0,23.74,23.53,23.8,23.7,
2017-03-21,23.4,5417642.0,23.4,23.25,23.88,23.8,
2017-03-22,23.37,7081980.0,23.37,23.09,23.45,23.4,
2017-03-23,23.42,3601059.0,23.42,23.365,23.76,23.37,
2017-03-24,23.49,3311575.0,23.49,23.3,23.66,23.53,
2017-03-27,23.47,3723222.0,23.47,23.13,23.55,23.18,
2017-03-28,23.73,3967614.0,23.73,23.37,23.81,23.4,
2017-03-29,23.75,2555368.0,23.75,23.5842,23.83,23.65,
2017-03-30,23.83,2600726.0,23.83,23.64,23.87,23.74,
2017-03-31,23.55,4572271.0,23.55,23.49,23.84,23.78,
2017-04-03,23.48,3617919.0,23.48,23.32,23.72,23.65,
2017-04-04,23.37,3170275.0,23.37,23.31,23.55,23.41,
2017-04-05,23.29,5344648.0,23.29,23.2,23.73,23.45,
2017-04-06,23.36,6105190.0,23.36,23.25,23.615,23.31,
2017-04-07,23.28,7508976.0,23.28,23.24,23.46,23.3,
2017-04-10,23.46,3311379.0,23.46,23.28,23.6,23.28,
2017-04-11,23.76,4407819.0,23.76,23.385,23.83,23.45,
2017-04-12,23.77,3901179.0,23.77,23.57,23.89,23.76,
2017-04-13,23.71,4503325.0,23.71,23.68,23.97,23.76,
2017-04-17,24.11,4580458.0,24.11,23.72,24.15,23.76,
2017-04-18,24.2,4387404.0,24.2,23.83,24.31,24.04,
2017-04-19,24.19,4227490.0,24.19,24.11,24.36,24.27,
2017-04-20,23.34,9572658.0,23.34,23.175,24.43,24.38,
