YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,91.23,5020899.0,91.23,90.92,92.0,91.79,
2017-01-04,90.42,6694960.0,90.42,90.12,91.12,90.53,
2017-01-05,91.13,4840145.0,91.13,90.53,91.755,90.69,
2017-01-06,91.84,3826077.0,91.84,90.73,91.96,91.39,
2017-01-09,91.31,3529324.0,91.31,90.83,91.44,91.09,
2017-01-10,90.52,4203360.0,90.52,90.31,91.66,91.66,
2017-01-11,90.44,3603539.0,90.44,90.33,90.96,90.65,
2017-01-12,90.51,3000708.0,90.51,90.25,90.86,90.45,
2017-01-13,90.4,3054565.0,90.4,89.97,90.7,90.42,
2017-01-17,92.36,6363309.0,92.36,90.15,92.56,90.63,
2017-01-18,93.49,5236822.0,93.49,92.54,93.52,92.6,
2017-01-19,93.85,5563269.0,93.85,93.23,93.9718,93.36,
2017-01-20,94.57,5628698.0,94.57,94.07,94.68,94.13,
2017-01-23,94.76,3350306.0,94.76,94.32,94.81,94.61,
2017-01-24,95.78,4945315.0,95.78,94.88,95.94,94.92,
2017-01-25,96.39,5352985.0,96.39,95.49,96.97,95.67,
2017-01-26,96.36,3524600.0,96.36,96.26,96.89,96.56,
2017-01-27,96.32,3055309.0,96.32,95.83,96.84,96.58,
2017-01-30,95.96,3403157.0,95.96,95.627,96.52,96.51,
2017-01-31,96.13,4173356.0,96.13,95.75,96.39,96.11,
2017-02-01,95.95,5264332.0,95.95,95.2,97.0,95.61,
2017-02-02,98.84,6169575.0,98.84,97.2515,99.32,97.93,
2017-02-03,101.11,6655181.0,101.11,99.1,101.4301,99.18,
2017-02-06,100.0,5905702.0,100.0,99.92,100.84,100.83,
2017-02-07,101.63,5450109.0,101.63,99.94,101.78,100.0,
2017-02-08,102.63,4881531.0,102.63,101.39,102.99,101.45,
2017-02-09,102.77,3125812.0,102.77,101.73,102.91,102.33,
2017-02-10,102.63,3412676.0,102.63,101.785,102.84,102.32,
2017-02-13,102.73,2886517.0,102.73,102.2,103.13,102.81,
2017-02-14,102.58,3311851.0,102.58,101.79,102.89,102.67,
2017-02-15,102.93,3395970.0,102.93,101.7672,103.04,102.29,
2017-02-16,102.99,4888558.0,102.99,102.315,103.13,102.9,
2017-02-17,103.66,5092977.0,103.66,102.77,103.73,102.93,
2017-02-21,104.56,4570234.0,104.56,103.05,104.75,103.37,
2017-02-22,104.53,3660478.0,104.53,103.8,104.87,104.49,
2017-02-23,106.52,4286136.0,106.52,104.76,106.67,104.95,
2017-02-24,107.72,5549728.0,107.72,105.8,107.77,106.44,
2017-02-27,108.7,5557339.0,108.7,107.23,108.9,107.53,
2017-02-28,109.35,7336639.0,109.35,108.3,109.99,108.31,
2017-03-01,110.22,5140681.0,110.22,108.681,110.3,109.0,
2017-03-02,109.8,4419458.0,109.8,109.52,110.3,110.0,
2017-03-03,110.21,3725014.0,110.21,109.27,110.25,109.61,
2017-03-06,109.73,7192096.0,109.73,109.46,110.17,109.81,
2017-03-07,110.55,3929137.0,110.55,109.5,110.64,109.52,
2017-03-08,109.72,3681918.0,109.72,109.39,110.4999,110.19,
