YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,57.95,1277426.0,57.95,56.775,57.965,56.92,
2017-01-04,58.15,1023563.0,58.15,57.655,58.19,57.94,
2017-01-05,58.07,828790.0,58.07,57.34,58.43,57.94,
2017-01-06,58.01,681088.0,58.01,57.92,58.56,58.02,
2017-01-09,56.57,873594.0,56.57,56.53,58.0,57.77,
2017-01-10,56.93,951678.0,56.93,56.655,57.34,56.94,
2017-01-11,57.47,643676.0,57.47,56.82,57.77,56.94,
2017-01-12,57.27,622538.0,57.27,56.71,57.6743,57.44,
2017-01-13,58.71,872230.0,58.71,58.07,58.8335,58.18,
2017-01-17,58.5,1333263.0,58.5,58.0135,59.0,58.67,
2017-01-18,58.74,696876.0,58.74,58.26,58.78,58.48,
2017-01-19,58.93,890111.0,58.93,58.385,59.25,58.65,
2017-01-20,58.8,607200.0,58.8,58.54,59.25,59.16,
2017-01-23,58.8,746181.0,58.8,58.053,59.24,58.58,
2017-01-24,60.23,922048.0,60.23,58.77,60.3,59.0,
2017-01-25,61.5,1261219.0,61.5,60.1,61.6,60.2,
2017-01-26,60.83,952084.0,60.83,60.545,61.87,61.26,
2017-01-27,61.05,1168581.0,61.05,60.77,61.33,60.8,
2017-01-30,60.76,1208655.0,60.76,59.88,60.99,60.62,
2017-01-31,58.63,3292331.0,58.63,58.42,60.76,60.31,
2017-02-01,58.12,2098504.0,58.12,57.48,59.54,58.61,
2017-02-02,57.82,1192620.0,57.82,57.44,58.22,58.14,
2017-02-03,58.39,1286257.0,58.39,57.98,58.46,58.29,
2017-02-06,57.89,1059571.0,57.89,57.44,58.21,58.16,
2017-02-07,58.14,1034815.0,58.14,57.76,58.445,58.15,
2017-02-08,57.96,1137609.0,57.96,57.65,58.02,57.97,
2017-02-09,58.3,1474682.0,58.3,57.94,58.67,57.94,
2017-02-10,58.72,1054387.0,58.72,58.16,58.76,58.46,
2017-02-13,59.48,1320789.0,59.48,58.73,59.69,58.73,
2017-02-14,58.62,1218740.0,58.62,58.5,59.46,59.35,
2017-02-15,59.15,644150.0,59.15,58.2601,59.21,58.44,
2017-02-16,58.54,1371432.0,58.54,58.04,59.12,59.12,
2017-02-17,58.13,871907.0,58.13,57.63,58.32,58.32,
2017-02-21,59.34,876079.0,59.34,58.02,59.41,58.11,
2017-02-22,58.9,697496.0,58.9,58.61,59.19,58.95,
2017-02-23,58.48,1192303.0,58.48,58.08,59.53,59.23,
2017-02-24,58.15,1943141.0,58.15,57.7,58.31,57.96,
2017-02-27,58.62,2078947.0,58.62,57.89,58.8,58.29,
2017-02-28,58.06,1073996.0,58.06,57.84,58.8,58.43,
2017-03-01,59.86,2076653.0,59.86,58.75,60.09,58.87,
2017-03-02,58.77,861911.0,58.77,58.72,59.84,59.61,
2017-03-03,59.15,836768.0,59.15,58.34,59.2099,58.81,
2017-03-06,58.86,834851.0,58.86,58.588,59.29,58.62,
2017-03-07,58.9,915588.0,58.9,58.59,59.19,58.8,
2017-03-08,59.31,1219317.0,59.31,58.84,59.42,59.1,
2017-03-09,59.2,1278273.0,59.2,58.93,59.69,59.31,
2017-03-10,60.11,2512631.0,60.11,59.68,60.23,59.73,
2017-03-13,60.81,2090634.0,60.81,60.18,60.92,60.18,
2017-03-14,60.4,1142524.0,60.4,59.4101,60.51,60.32,
2017-03-15,62.71,2566392.0,62.71,60.73,63.2,61.13,
2017-03-16,62.64,1142817.0,62.64,62.53,63.17,62.88,
2017-03-17,62.87,1377154.0,62.87,62.69,63.1,62.8,
2017-03-20,62.2,862003.0,62.2,61.94,62.99,62.91,
2017-03-21,60.89,1444489.0,60.89,60.78,62.78,62.48,
2017-03-22,60.94,998754.0,60.94,60.595,61.365,60.96,
2017-03-23,60.96,638013.0,60.96,60.62,61.52,60.62,
2017-03-24,60.72,668092.0,60.72,60.31,61.33,61.1,
2017-03-27,61.06,941806.0,61.06,59.38,61.345,59.77,
2017-03-28,62.76,1409569.0,62.76,60.76,63.13,61.06,
2017-03-29,63.07,1142118.0,63.07,62.31,63.43,62.6,
2017-03-30,62.89,1147967.0,62.89,62.82,63.45,62.86,
2017-03-31,62.78,1261103.0,62.78,62.21,63.23,62.6,
2017-04-03,62.27,1001019.0,62.27,61.611,63.17,62.99,
2017-04-04,62.84,1084489.0,62.84,61.75,62.86,62.23,
2017-04-05,62.38,1264311.0,62.38,62.12,63.54,63.2,
2017-04-06,62.82,676250.0,62.82,62.24,63.38,62.51,
2017-04-07,62.79,688433.0,62.79,62.575,63.21,62.64,
2017-04-10,63.12,752140.0,63.12,62.63,63.55,62.73,
2017-04-11,63.44,813202.0,63.44,62.66,63.59,63.06,
2017-04-12,62.35,872318.0,62.35,62.16,63.47,63.47,
2017-04-13,62.16,775313.0,62.16,62.065,62.8,62.19,
2017-04-17,63.31,785694.0,63.31,62.12,63.31,62.56,
2017-04-18,62.94,896795.0,62.94,62.61,63.28,62.77,
2017-04-19,62.22,699944.0,62.22,61.98,63.03,62.92,
2017-04-20,62.8,1359004.0,62.8,62.5,63.01,62.5,
2017-04-21,62.57,1166831.0,62.57,62.24,62.97,62.96,
2017-04-24,63.27,1735113.0,63.27,63.18,64.0,63.62,
2017-04-25,64.66,2585295.0,64.66,62.6,64.78,63.5,
2017-04-26,64.97,2049913.0,64.97,64.6,65.66,64.6,
2017-04-27,64.66,975414.0,64.66,64.62,65.27,64.87,
2017-04-28,64.51,1414168.0,64.51,64.29,65.06,64.75,
2017-05-01,64.33,1059519.0,64.33,63.84,64.74,64.24,
2017-05-02,64.73,922074.0,64.73,64.43,64.94,64.43,
2017-05-03,65.45,1359746.0,65.45,64.29,65.67,64.43,
2017-05-04,65.29,1228207.0,65.29,64.93,65.51,65.36,
2017-05-05,66.43,1356851.0,66.43,65.35,66.45,65.5,
2017-05-08,66.09,1292080.0,66.09,65.84,66.59,66.13,
2017-05-09,67.73,2890020.0,67.73,67.26,69.03,67.48,
2017-05-10,65.98,1827545.0,65.98,65.86,67.7205,67.7,
2017-05-11,65.06,1195247.0,65.06,64.68,65.67,65.67,
2017-05-12,64.64,813814.0,64.64,64.57,65.07,64.72,
