YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,77.32,517304.0,77.32,76.97,78.02,77.99,
2017-01-04,77.75,728629.0,77.75,77.2732,77.995,77.49,
2017-01-05,78.39,1230752.0,78.39,77.09,78.59,77.95,
2017-01-06,78.49,724940.0,78.49,77.8,78.8,78.13,
2017-01-09,77.23,464478.0,77.23,77.18,78.8,78.54,
2017-01-10,77.13,899755.0,77.13,76.84,77.74,77.34,
2017-01-11,77.72,549618.0,77.72,76.92,77.86,76.92,
2017-01-12,77.5,641763.0,77.5,77.135,78.3,77.63,
2017-01-13,77.26,418831.0,77.26,76.875,77.6,77.37,
2017-01-17,78.0,577351.0,78.0,77.5,78.4,77.83,
2017-01-18,77.89,315838.0,77.89,77.43,78.29,77.96,
2017-01-19,77.05,377954.0,77.05,76.85,77.885,76.85,
2017-01-20,77.02,612928.0,77.02,76.64,77.71,77.19,
2017-01-23,77.2,521828.0,77.2,76.99,77.41,77.2,
2017-01-24,77.44,607493.0,77.44,76.86,77.74,77.35,
2017-01-25,77.14,482684.0,77.14,76.85,77.47,77.15,
2017-01-26,76.98,387142.0,76.98,76.6,77.63,77.07,
2017-01-27,76.77,363057.0,76.77,76.68,77.38,77.06,
2017-01-30,76.44,519476.0,76.44,75.79,76.53,76.23,
2017-01-31,77.63,631005.0,77.63,76.24,77.65,76.5,
2017-02-01,76.69,699151.0,76.69,76.47,77.7433,76.98,
2017-02-02,77.79,1004716.0,77.79,76.73,77.98,76.73,
2017-02-03,78.03,833013.0,78.03,77.84,78.46,78.02,
2017-02-06,77.85,341862.0,77.85,77.8,78.49,78.25,
2017-02-07,77.92,279667.0,77.92,77.66,78.31,77.87,
2017-02-08,78.57,390247.0,78.57,78.0,78.87,78.0,
2017-02-09,78.13,416152.0,78.13,78.04,78.93,78.45,
2017-02-10,78.67,258544.0,78.67,77.78,78.73,77.78,
2017-02-13,78.72,315360.0,78.72,78.17,78.91,78.65,
2017-02-14,78.09,469279.0,78.09,77.57,78.61,78.61,
2017-02-15,78.0,1172678.0,78.0,76.89,78.0,77.52,
2017-02-16,78.55,489298.0,78.55,77.8,78.56,78.0,
2017-02-17,78.7,412907.0,78.7,78.09,78.83,78.7,
2017-02-21,79.77,395361.0,79.77,78.32,79.91,78.37,
2017-02-22,79.72,382297.0,79.72,79.21,79.93,79.65,
2017-02-23,80.5,551202.0,80.5,79.8,80.87,80.0,
2017-02-24,81.44,820868.0,81.44,80.63,81.84,80.8,
2017-02-27,81.18,543005.0,81.18,81.03,81.51,81.45,
2017-02-28,82.19,1029127.0,82.19,81.08,82.5,81.13,
2017-03-01,82.4,1420526.0,82.4,80.76,82.56,81.37,
2017-03-02,83.32,1144622.0,83.32,81.92,83.77,82.2,
2017-03-03,83.03,701965.0,83.03,82.35,83.47,83.47,
2017-03-06,82.96,700986.0,82.96,82.7,83.44,82.89,
2017-03-07,82.54,763269.0,82.54,82.23,83.09,82.52,
2017-03-08,80.94,850591.0,80.94,80.78,81.99,81.62,
2017-03-09,80.87,475505.0,80.87,80.601,81.41,80.78,
2017-03-10,81.61,424218.0,81.61,81.0,81.68,81.46,
2017-03-13,81.68,432860.0,81.68,81.345,81.84,81.54,
2017-03-14,81.88,606308.0,81.88,81.3,81.92,81.62,
2017-03-15,83.6,629439.0,83.6,81.79,83.92,82.07,
2017-03-16,82.55,850284.0,82.55,82.365,83.38,83.37,
2017-03-17,83.23,942322.0,83.23,82.73,83.71,82.88,
2017-03-20,82.53,606837.0,82.53,82.23,83.6599,83.35,
2017-03-21,83.69,650364.0,83.69,82.42,83.78,82.54,
2017-03-22,83.66,507340.0,83.66,83.49,84.43,84.0,
2017-03-23,83.59,359699.0,83.59,83.09,84.44,83.6,
2017-03-24,84.12,415776.0,84.12,83.49,84.48,83.58,
2017-03-27,84.14,606834.0,84.14,83.67,84.72,84.53,
2017-03-28,84.2,441671.0,84.2,83.77,84.41,83.95,
2017-03-29,83.52,622141.0,83.52,83.36,84.0,84.0,
2017-03-30,83.28,402884.0,83.28,82.84,83.62,83.39,
2017-03-31,83.38,584786.0,83.38,83.0,83.87,83.23,
2017-04-03,83.51,497812.0,83.51,82.615,83.54,83.41,
2017-04-04,83.74,489443.0,83.74,83.1,83.995,83.3,
2017-04-05,84.02,756693.0,84.02,83.42,84.15,83.74,
